"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","27-029","POR","","LAL","W (+9)","1","31:01","6","17",".353","3","6",".500","6","6","1.000","1","4","5","1","0","0","2","4","21","10.5","-9",".535",".441","3.0","12.9","7.7","4.5","0.0","0.0","9.2","26.0","109","114"
"2","2","2018-10-20","27-031","POR","","SAS","W (+13)","1","30:16","9","15",".600","4","7",".571","2","3",".667","0","2","2","2","0","0","2","1","24","16.3","+18",".735",".733","0.0","6.0","3.7","10.3","0.0","0.0","10.9","27.8","131","122"
"3","3","2018-10-22","27-033","POR","","WAS","L (-1)","1","38:22","5","25",".200","1","9",".111","2","2","1.000","2","2","4","4","1","0","2","2","13","0.5","+4",".251",".220","4.7","4.3","4.5","15.3","1.2","0.0","7.2","27.4","66","110"
"4","4","2018-10-25","27-036","POR","@","ORL","W (+14)","1","29:01","7","12",".583","2","3",".667","6","6","1.000","1","1","2","2","1","0","1","3","22","17.6","+18",".751",".667","4.0","3.8","3.9","9.1","1.7","0.0","6.4","23.9","153","122"
"5","5","2018-10-27","27-038","POR","@","MIA","L (-9)","1","35:43","7","20",".350","3","7",".429","2","5",".400","2","5","7","2","0","1","0","4","19","10.0","-1",".428",".425","5.6","13.4","9.6","9.7","0.0","2.4","0.0","27.3","97","123"
"6","6","2018-10-29","27-040","POR","@","IND","W (+10)","1","32:30","7","15",".467","1","5",".200","2","2","1.000","2","4","6","1","0","1","1","0","17","12.3","-7",".535",".500","8.0","12.3","10.4","5.3","0.0","2.1","5.9","24.0","113","99"
"7","7","2018-10-30","27-041","POR","@","HOU","W (+19)","1","27:36","7","13",".538","3","6",".500","2","2","1.000","0","4","4","2","0","1","1","1","19","14.6","+20",".684",".654","0.0","10.9","7.0","13.5","0.0","3.3","6.7","24.2","131","92"
"8","8","2018-11-01","27-043","POR","","NOP","W (+13)","1","29:47","2","8",".250","0","3",".000","4","6",".667","0","2","2","4","1","0","4","3","8","1.6","+12",".376",".250","0.0","6.2","3.6","15.8","1.5","0.0","27.3","20.6","74","116"
"9","9","2018-11-03","27-045","POR","","LAL","L (-4)","1","35:48","13","24",".542","2","8",".250","2","2","1.000","2","3","5","4","0","0","3","3","30","19.3","+16",".603",".583","4.7","9.4","6.7","20.2","0.0","0.0","10.8","29.3","117","112"
"10","10","2018-11-04","27-046","POR","","MIN","W (+30)","1","28:01","7","14",".500","1","4",".250","1","1","1.000","1","2","3","1","2","0","2","0","16","11.0","+19",".554",".536","4.1","5.5","4.9","6.6","3.6","0.0","12.2","24.3","113","85"
"11","11","2018-11-06","27-048","POR","","MIL","W (+15)","1","35:53","17","26",".654","5","10",".500","1","2",".500","2","2","4","6","4","0","2","4","40","34.8","+10",".744",".750","6.5","5.1","5.8","31.8","5.7","0.0","6.9","36.3","148","105"
"12","12","2018-11-08","27-050","POR","","LAC","W (+11)","1","34:57","8","20",".400","2","6",".333","5","5","1.000","2","5","7","2","0","0","0","0","23","16.5","+5",".518",".450","5.7","14.9","10.2","9.5","0.0","0.0","0.0","26.4","123","114"
"13","13","2018-11-11","27-053","POR","","BOS","W (+6)","1","34:49","6","15",".400","1","6",".167","1","1","1.000","0","2","2","1","0","1","1","2","14","6.1","+13",".453",".433","0.0","5.4","2.8","4.5","0.0","2.7","6.1","20.3","97","104"
"14","14","2018-11-14","27-056","POR","@","LAL","L (-9)","1","35:23","9","20",".450","3","8",".375","2","2","1.000","0","1","1","4","2","0","2","4","23","14.1","-11",".551",".525","0.0","2.9","1.4","18.8","2.6","0.0","8.7","26.5","108","125"
"15","15","2018-11-16","27-058","POR","@","MIN","L (-16)","1","30:40","8","16",".500","1","4",".250","1","2",".500","0","1","1","2","1","0","3","2","18","8.5","-13",".533",".531","0.0","3.4","1.7","12.8","1.6","0.0","15.1","27.1","95","115"
"16","16","2018-11-18","27-060","POR","@","WAS","W (+10)","1","39:10","9","16",".563","3","5",".600","4","4","1.000","3","4","7","0","0","0","0","4","25","19.1","+22",".704",".656","8.6","9.4","9.0","0.0","0.0","0.0","0.0","18.7","146","108"
"17","17","2018-11-20","27-062","POR","@","NYK","W (+4)","1","38:28","13","23",".565","5","9",".556","0","0","","1","3","4","2","0","1","1","3","31","21.6","+3",".674",".674","2.7","9.6","5.9","8.7","0.0","2.3","4.2","26.4","135","123"
"18","18","2018-11-21","27-063","POR","@","MIL","L (-43)","1","32:53","7","15",".467","2","4",".500","6","6","1.000","1","0","1","1","2","0","2","4","22","14.1","-30",".624",".533","2.6","0.0","1.5","6.1","2.6","0.0","10.2","23.4","117","131"
"19","19","2018-11-23","27-065","POR","@","GSW","L (-28)","1","36:15","8","19",".421","3","8",".375","0","2",".000","0","1","1","5","1","0","2","2","19","10.1","-18",".478",".500","0.0","4.0","1.6","24.2","1.3","0.0","9.1","25.0","96","129"
"20","20","2018-11-25","27-067","POR","","LAC","L (-4)","1","36:14","8","21",".381","2","4",".500","0","0","","3","6","9","1","0","0","1","3","18","8.9","-8",".429",".429","7.5","15.0","11.2","4.2","0.0","0.0","4.5","25.7","97","111"
"21","21","2018-11-28","27-070","POR","","ORL","W (+3)","1","34:47","6","17",".353","1","5",".200","2","4",".500","1","5","6","2","1","0","1","1","15","7.9","0",".400",".382","2.9","18.6","9.9","9.6","1.4","0.0","5.1","24.8","90","117"
"22","22","2018-11-30","27-072","POR","","DEN","L (-1)","1","37:51","14","21",".667","0","4",".000","5","5","1.000","1","3","4","1","1","1","3","5","33","22.9","+4",".711",".667","3.2","8.5","6.0","4.7","1.3","2.2","11.5","30.7","131","122"
"23","23","2018-12-02","27-074","POR","@","SAS","L (-13)","1","38:33","11","22",".500","2","6",".333","0","0","","0","2","2","3","0","1","4","2","24","11.6","-1",".545",".545","0.0","8.0","3.6","11.9","0.0","1.8","15.4","29.4","96","136"
"24","24","2018-12-04","27-076","POR","@","DAL","L (-9)","1","39:35","7","19",".368","2","7",".286","2","2","1.000","1","2","3","4","2","0","2","5","18","9.6","+9",".453",".421","2.6","4.7","3.7","16.4","2.4","0.0","9.1","23.7","96","114"
"26","25","2018-12-08","27-080","POR","","MIN","W (+8)","1","33:04","7","15",".467","3","7",".429","2","2","1.000","0","5","5","4","1","2","1","1","19","16.6","+15",".598",".567","0.0","14.8","7.8","20.1","1.5","3.9","5.9","21.3","128","105"
"27","26","2018-12-11","27-083","POR","@","HOU","L (-7)","1","39:16","10","21",".476","0","5",".000","3","4",".750","0","3","3","4","0","0","1","3","23","13.4","+10",".505",".476","0.0","8.5","4.3","19.0","0.0","0.0","4.2","26.3","112","124"
"28","27","2018-12-12","27-084","POR","@","MEM","L (-9)","1","39:27","16","27",".593","2","5",".400","6","7",".857","0","5","5","2","1","1","4","5","40","25.7","-2",".665",".630","0.0","12.4","6.4","19.4","1.2","2.1","11.7","38.4","113","98"
"29","28","2018-12-14","27-086","POR","","TOR","W (+6)","1","28:06","5","14",".357","2","5",".400","2","2","1.000","0","1","1","4","3","1","1","1","14","11.6","-9",".470",".429","0.0","5.3","2.3","17.3","5.3","3.6","6.3","24.4","106","119"
"30","29","2018-12-17","27-089","POR","@","LAC","W (+4)","1","34:18","11","19",".579","2","4",".500","3","3","1.000","1","2","3","3","0","1","1","5","27","19.2","+18",".664",".632","4.0","8.0","6.0","13.3","0.0","2.5","4.7","27.0","132","130"
"31","30","2018-12-19","27-091","POR","","MEM","W (+7)","1","29:33","5","16",".313","0","3",".000","1","2",".500","1","3","4","1","1","0","2","3","11","1.5","-14",".326",".313","4.4","11.6","8.2","6.0","1.8","0.0","10.6","29.3","73","107"
"32","31","2018-12-21","27-093","POR","","UTA","L (-30)","1","30:12","5","15",".333","0","3",".000","2","2","1.000","0","4","4","2","3","0","2","3","12","5.9","-3",".378",".333","0.0","18.2","7.6","11.8","4.9","0.0","11.2","26.1","78","118"
"33","32","2018-12-23","27-095","POR","","DAL","W (+3)","1","34:02","10","20",".500","1","8",".125","1","2",".500","0","5","5","5","1","0","0","2","22","16.8","+5",".527",".525","0.0","14.4","7.6","23.3","1.4","0.0","0.0","27.0","112","106"
"34","33","2018-12-25","27-097","POR","@","UTA","L (-21)","1","33:44","4","14",".286","1","3",".333","2","4",".500","1","2","3","3","1","1","4","2","11","2.3","-14",".349",".321","2.8","7.1","4.7","14.6","1.4","2.6","20.2","25.0","66","118"
"35","34","2018-12-27","27-099","POR","@","GSW","W (+1)","1","39:20","7","22",".318","3","9",".333","7","7","1.000","2","2","4","3","1","1","2","2","24","14.4","+1",".478",".386","4.8","4.7","4.8","14.2","1.2","2.2","7.4","28.3","100","101"
