"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"7","1","2018-10-29","25-291","TOR","@","MIL","L (-15)","0","2:17","1","2",".500","0","1",".000","4","6",".667","2","0","2","0","0","1","0","0","6","6.3","+8",".647",".500","65.7","0.0","38.9","0.0","0.0","44.7","0.0","77.8","148","94"
"17","2","2018-11-17","25-310","TOR","@","CHI","W (+39)","0","6:38","1","4",".250","0","2",".000","0","0","","0","3","3","0","0","2","0","1","2","1.5","-1",".250",".250","0.0","41.0","24.7","0.0","0.0","24.5","0.0","24.6","55","60"
"19","3","2018-11-21","25-314","TOR","@","ATL","W (+16)","0","3:03","2","2","1.000","1","1","1.000","0","0","","1","1","2","0","0","0","0","1","5","5.0","-2","1.250","1.250","40.4","31.5","35.4","0.0","0.0","0.0","0.0","26.9","241","107"
"32","4","2018-12-16","25-339","TOR","@","DEN","L (-9)","0","1:37","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-1",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.2","0","116"
"33","5","2018-12-19","25-342","TOR","","IND","W (+3)","0","9:43","2","4",".500","1","2",".500","0","0","","0","2","2","0","1","3","0","0","5","6.7","-7",".625",".625","0.0","24.1","10.7","0.0","5.1","24.7","0.0","17.8","122","76"
"34","6","2018-12-21","25-344","TOR","","CLE","W (+16)","0","2:01","0","1",".000","0","0","","2","2","1.000","1","0","1","0","0","1","0","0","2","2.7","+5",".532",".000","56.7","0.0","28.3","0.0","0.0","41.0","0.0","40.5","149","98"
"35","7","2018-12-22","25-345","TOR","@","PHI","L (-25)","0","5:47","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","1","2","4","0","-3.0","-6",".000",".000","0.0","44.9","17.7","0.0","0.0","13.6","66.7","21.0","0","103"
"37","8","2018-12-28","25-351","TOR","@","ORL","L (-29)","0","9:10","3","4",".750","3","3","1.000","0","0","","0","1","1","0","1","2","0","1","9","9.7","-1","1.125","1.125","0.0","13.8","5.2","0.0","5.2","15.6","0.0","18.0","189","98"
"38","9","2018-12-30","25-353","TOR","","CHI","W (+6)","0","5:24","1","2",".500","1","2",".500","0","0","","1","0","1","0","0","2","0","2","3","3.3","-2",".750",".750","16.5","0.0","9.3","0.0","0.0","29.6","0.0","15.9","163","77"
"40","10","2019-01-03","25-357","TOR","@","SAS","L (-18)","0","4:43","1","3",".333","1","2",".500","0","0","","1","1","2","0","0","1","0","0","3","3.0","+8",".500",".500","22.6","26.8","24.5","0.0","0.0","17.5","0.0","27.8","114","118"
"42","11","2019-01-06","25-360","TOR","","IND","W (+16)","0","1:44","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","0","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.8","300","114"
"44","12","2019-01-11","26-000","TOR","","BRK","W (+17)","0","4:53","1","4",".250","0","1",".000","0","0","","2","0","2","0","0","0","0","1","2","0.6","-18",".250",".250","33.9","0.0","18.0","0.0","0.0","0.0","0.0","31.6","82","105"
"47","13","2019-01-17","26-006","TOR","","PHO","W (+2)","0","5:18","1","3",".333","0","1",".000","1","1","1.000","0","0","0","0","0","1","0","3","3","0.8","+5",".436",".333","0.0","0.0","0.0","0.0","0.0","16.8","0.0","28.1","95","112"
"48","14","2019-01-19","26-008","TOR","","MEM","W (+29)","0","9:04","1","4",".250","1","2",".500","0","0","","0","3","3","0","0","2","0","1","3","2.5","-6",".375",".375","0.0","40.7","20.1","0.0","0.0","20.8","0.0","19.8","76","84"
"49","15","2019-01-22","26-011","TOR","","SAC","W (+15)","0","11:39","2","4",".500","0","2",".000","4","4","1.000","1","2","3","0","0","0","0","0","8","7.3","+2",".694",".500","9.2","18.7","13.9","0.0","0.0","0.0","0.0","19.4","157","105"
"54","16","2019-02-03","26-023","TOR","","LAC","W (+18)","0","6:15","4","6",".667","0","1",".000","0","0","","2","2","4","0","1","0","0","2","8","7.6","-3",".667",".667","34.1","32.7","33.4","0.0","7.4","0.0","0.0","37.9","145","87"
