"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","19-286","CLE","@","TOR","L (-12)","0","17:43","2","7",".286","0","1",".000","5","5","1.000","1","2","3","0","0","0","4","4","9","0.6","0",".489",".286","5.5","12.6","8.8","0.0","0.0","0.0","30.3","30.3","76","118"
"2","2","2018-10-19","19-288","CLE","@","MIN","L (-8)","0","23:03","6","9",".667","0","0","","2","2","1.000","0","2","2","1","0","0","0","1","14","11.0","-15",".709",".667","0.0","10.7","5.0","6.4","0.0","0.0","0.0","17.2","150","131"
"3","3","2018-10-21","19-290","CLE","","ATL","L (-22)","0","27:33","2","11",".182","0","1",".000","0","0","","1","1","2","2","0","0","2","4","4","-4.1","-23",".182",".182","3.5","4.1","3.7","8.2","0.0","0.0","15.4","18.4","49","131"
"4","4","2018-10-24","19-293","CLE","","BRK","L (-16)","0","25:01","6","10",".600","0","1",".000","2","2","1.000","0","3","3","1","0","0","2","2","14","8.2","+1",".643",".600","0.0","12.8","5.9","8.5","0.0","0.0","15.5","22.3","111","111"
"5","5","2018-10-25","19-294","CLE","@","DET","L (-7)","0","25:02","5","9",".556","0","1",".000","4","5",".800","0","0","0","5","2","0","1","1","14","13.4","+3",".625",".556","0.0","0.0","0.0","30.5","4.0","0.0","8.2","22.4","129","116"
"6","6","2018-10-27","19-296","CLE","","IND","L (-12)","0","22:34","2","8",".250","0","1",".000","8","9",".889","0","1","1","4","1","0","2","1","12","8.5","+1",".502",".250","0.0","7.9","3.4","23.8","2.3","0.0","14.3","26.8","117","129"
"7","7","2018-10-30","19-299","CLE","","ATL","W (+22)","0","27:42","4","10",".400","1","2",".500","8","9",".889","4","4","8","3","0","1","3","3","17","13.8","-2",".609",".450","15.1","16.9","15.9","13.7","0.0","3.7","17.7","24.1","124","111"
"8","8","2018-11-01","19-301","CLE","","DEN","L (-19)","0","25:04","5","11",".455","1","1","1.000","1","1","1.000","1","1","2","2","1","0","4","2","12","4.9","-9",".524",".500","4.5","5.3","4.8","15.7","2.2","0.0","25.9","28.3","85","131"
"9","9","2018-11-03","19-303","CLE","@","CHO","L (-32)","0","19:18","1","5",".200","0","1",".000","2","2","1.000","0","1","1","2","1","0","1","4","4","1.0","-25",".340",".200","0.0","7.1","3.3","15.3","2.6","0.0","14.5","17.0","72","131"
"10","10","2018-11-05","19-305","CLE","@","ORL","L (-2)","0","16:44","2","6",".333","1","1","1.000","0","0","","0","1","1","2","0","0","2","2","5","0.5","-7",".417",".417","0.0","6.5","3.5","16.3","0.0","0.0","25.0","22.2","75","114"
"11","11","2018-11-07","19-307","CLE","","OKC","L (-9)","1","41:46","7","14",".500","1","2",".500","0","0","","0","2","2","1","0","1","3","4","15","5.4","-2",".536",".536","0.0","5.0","2.4","4.6","0.0","2.0","17.6","17.2","89","100"
"12","12","2018-11-10","19-310","CLE","@","CHI","L (-1)","1","34:20","8","16",".500","2","3",".667","2","2","1.000","1","3","4","3","0","0","1","2","20","13.9","-7",".592",".563","2.9","9.8","6.1","15.1","0.0","0.0","5.6","22.5","128","110"
"13","13","2018-11-13","19-313","CLE","","CHO","W (+24)","1","32:40","7","18",".389","2","2","1.000","0","0","","2","3","5","4","1","0","4","3","16","7.1","+24",".444",".444","7.5","7.6","7.6","16.9","1.5","0.0","18.2","29.6","94","96"
"14","14","2018-11-14","19-314","CLE","@","WAS","L (-24)","1","33:53","9","16",".563","2","3",".667","4","4","1.000","0","3","3","2","0","0","4","2","24","13.9","-15",".676",".625","0.0","9.4","4.9","12.7","0.0","0.0","18.4","27.1","108","121"
"15","15","2018-11-19","19-319","CLE","@","DET","L (-11)","1","23:46","6","10",".600","2","3",".667","4","6",".667","0","1","1","4","1","0","0","3","18","15.5","-21",".712",".700","0.0","5.3","2.3","35.3","2.2","0.0","0.0","24.8","154","129"
"16","16","2018-11-21","19-321","CLE","","LAL","L (-4)","1","35:47","5","17",".294","0","2",".000","2","2","1.000","1","2","3","2","0","0","0","0","12","4.8","-6",".336",".294","2.3","7.1","4.1","8.3","0.0","0.0","0.0","21.5","83","118"
"17","17","2018-11-23","19-323","CLE","@","PHI","W (+9)","1","31:30","10","18",".556","0","0","","3","4",".750","1","4","5","3","1","1","2","1","23","17.3","0",".582",".556","3.7","19.0","10.4","13.5","1.7","3.6","9.2","30.7","122","120"
"18","18","2018-11-24","19-324","CLE","","HOU","W (+9)","1","33:39","14","21",".667","1","3",".333","0","0","","0","4","4","2","0","0","3","4","29","17.9","+7",".690",".690","0.0","15.4","7.1","11.9","0.0","0.0","12.5","29.6","132","123"
"19","19","2018-11-26","19-326","CLE","","MIN","L (-7)","1","38:57","5","19",".263","0","3",".000","1","1","1.000","1","6","7","4","0","0","4","2","11","0.2","+8",".283",".263","3.1","19.0","10.9","16.5","0.0","0.0","17.1","26.7","61","112"
"20","20","2018-11-28","19-328","CLE","@","OKC","L (-17)","1","37:57","9","20",".450","1","2",".500","2","2","1.000","1","9","10","3","1","0","2","2","21","14.3","-7",".503",".475","2.6","25.9","13.6","16.1","1.3","0.0","8.7","27.6","96","101"
"21","21","2018-11-30","19-330","CLE","@","BOS","L (-33)","1","33:07","6","18",".333","0","1",".000","3","3","1.000","0","4","4","4","0","0","3","4","15","4.2","-32",".388",".333","0.0","14.9","7.0","27.2","0.0","0.0","13.4","30.7","77","139"
"22","22","2018-12-01","19-331","CLE","","TOR","L (-11)","1","26:25","5","12",".417","0","1",".000","0","0","","0","2","2","2","0","0","3","3","10","1.4","-15",".417",".417","0.0","9.3","4.2","14.6","0.0","0.0","20.0","24.8","73","117"
"23","23","2018-12-03","19-333","CLE","@","BRK","W (+2)","1","31:59","7","16",".438","1","1","1.000","0","0","","1","0","1","2","1","0","0","1","15","9.3","-2",".469",".469","3.2","0.0","1.4","10.9","1.6","0.0","0.0","22.7","110","113"
"24","24","2018-12-05","19-335","CLE","","GSW","L (-24)","1","35:16","7","14",".500","3","3","1.000","4","5",".800","0","2","2","3","0","0","1","1","21","14.9","-20",".648",".607","0.0","7.2","3.1","13.9","0.0","0.0","5.8","21.5","132","144"
"25","25","2018-12-07","19-337","CLE","","SAC","L (-19)","1","34:41","9","16",".563","0","2",".000","5","6",".833","1","0","1","2","0","0","5","4","23","10.5","-28",".617",".563","4.3","0.0","2.0","9.1","0.0","0.0","21.2","31.1","103","137"
"26","26","2018-12-08","19-338","CLE","","WAS","W (+15)","1","40:07","13","23",".565","3","7",".429","0","0","","0","3","3","6","2","0","4","3","29","20.0","+10",".630",".630","0.0","8.0","4.4","22.8","2.7","0.0","14.8","32.2","118","114"
"27","27","2018-12-10","19-340","CLE","@","MIL","L (-16)","1","32:15","5","18",".278","2","3",".667","3","4",".750","1","3","4","2","0","0","2","4","15","3.4","-13",".380",".333","2.8","8.9","5.7","10.4","0.0","0.0","9.2","29.0","75","112"
"28","28","2018-12-12","19-342","CLE","","NYK","W (+7)","1","28:40","9","16",".563","1","4",".250","0","0","","1","2","3","2","0","0","5","4","19","7.5","-15",".594",".594","3.6","7.0","5.3","12.0","0.0","0.0","23.8","31.3","93","113"
"29","29","2018-12-14","19-344","CLE","","MIL","L (-12)","1","23:58","2","11",".182","0","2",".000","1","2",".500","1","2","3","1","0","0","1","1","5","-1.7","-18",".210",".182","3.9","7.9","5.8","6.5","0.0","0.0","7.8","23.2","53","123"
"30","30","2018-12-16","19-346","CLE","","PHI","L (-23)","1","30:30","6","13",".462","0","2",".000","0","0","","0","1","1","2","2","0","3","3","12","4.8","-22",".462",".462","0.0","4.0","1.9","10.0","3.2","0.0","18.8","23.4","75","130"
"31","31","2018-12-18","19-348","CLE","@","IND","W (+1)","1","32:26","6","13",".462","0","1",".000","0","0","","1","0","1","0","0","0","2","1","12","3.6","-17",".462",".462","3.0","0.0","1.4","0.0","0.0","0.0","13.3","21.0","83","108"
"32","32","2018-12-19","19-349","CLE","@","CHO","L (-11)","1","27:11","5","16",".313","1","2",".500","0","0","","0","3","3","3","1","0","1","4","11","3.2","-5",".344",".344","0.0","12.0","6.2","16.5","1.9","0.0","5.9","30.9","71","120"
