"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","1","2018-10-19","24-261","OKC","@","LAC","L (-16)","0","0:55","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","118"
"3","2","2018-10-21","24-263","OKC","","SAC","L (-11)","0","6:53","2","4",".500","1","2",".500","0","0","","0","1","1","0","0","1","0","0","5","4.0","-2",".625",".625","0.0","15.5","7.2","0.0","0.0","10.1","0.0","20.6","134","118"
"5","3","2018-10-28","24-270","OKC","","PHO","W (+7)","0","4:42","0","2",".000","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-1.8","-7",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.7","0","115"
"13","4","2018-11-12","24-285","OKC","","PHO","W (+17)","0","1:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","116"
"14","5","2018-11-14","24-287","OKC","","NYK","W (+25)","0","12:00","3","6",".500","1","2",".500","0","0","","1","3","4","1","2","1","1","1","7","7.6","+5",".583",".583","10.0","27.9","19.3","10.3","7.8","6.5","14.3","24.1","113","83"
"15","6","2018-11-17","24-290","OKC","@","PHO","W (+10)","0","10:19","0","3",".000","0","1",".000","0","0","","0","2","2","0","0","0","1","2","0","-3.3","+5",".000",".000","0.0","22.2","11.2","0.0","0.0","0.0","25.0","15.9","0","106"
"16","7","2018-11-19","24-292","OKC","@","SAC","L (-4)","0","7:03","0","2",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-1.5","-1",".000",".000","0.0","12.6","6.1","0.0","0.0","0.0","0.0","10.6","0","111"
"17","8","2018-11-21","24-294","OKC","@","GSW","W (+28)","0","3:09","3","3","1.000","0","0","","0","0","","0","0","0","1","0","0","0","1","6","5.4","+3","1.000","1.000","0.0","0.0","0.0","100.0","0.0","0.0","0.0","37.3","204","100"
"18","9","2018-11-23","24-296","OKC","","CHO","W (+5)","0","21:15","4","8",".500","1","3",".333","2","3",".667","0","2","2","2","0","0","0","2","11","7.8","-4",".590",".563","0.0","9.8","4.9","14.1","0.0","0.0","0.0","17.9","129","108"
"19","10","2018-11-24","24-297","OKC","","DEN","L (-7)","0","13:59","4","6",".667","0","1",".000","0","0","","0","2","2","0","1","0","0","2","8","6.2","-1",".667",".667","0.0","13.7","6.4","0.0","3.4","0.0","0.0","16.7","133","103"
"20","11","2018-11-28","24-301","OKC","","CLE","W (+17)","0","16:19","3","6",".500","1","2",".500","1","1","1.000","0","2","2","0","0","2","0","0","8","7.0","+22",".621",".583","0.0","12.0","6.3","0.0","0.0","8.9","0.0","17.9","122","85"
"21","12","2018-11-30","24-303","OKC","","ATL","W (+15)","0","19:40","1","2",".500","0","0","","0","0","","0","1","1","1","0","1","3","2","2","-1.1","+10",".500",".500","0.0","4.6","2.8","5.6","0.0","4.1","60.0","10.6","47","108"
"22","13","2018-12-03","24-306","OKC","@","DET","W (+27)","0","7:47","0","1",".000","0","0","","2","2","1.000","0","0","0","0","0","0","1","3","2","-0.9","-5",".532",".000","0.0","0.0","0.0","0.0","0.0","0.0","34.7","16.0","74","91"
"23","14","2018-12-05","24-308","OKC","@","BRK","W (+2)","0","4:22","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-2.5","-2",".000",".000","0.0","20.7","10.5","0.0","0.0","0.0","33.3","26.7","0","113"
"25","15","2018-12-10","24-313","OKC","","UTA","W (+9)","0","1:26","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-5",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.1","0","112"
"53","16","2019-02-05","25-005","OKC","","ORL","W (+10)","0","3:09","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","115"
"54","17","2019-02-07","25-007","OKC","","MEM","W (+22)","0","2:29","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+3",".000",".000","0.0","47.1","21.7","0.0","0.0","0.0","0.0","17.5","0","97"
"55","18","2019-02-09","25-009","OKC","@","HOU","W (+5)","0","9:33","0","1",".000","0","1",".000","0","0","","2","1","3","1","0","0","0","3","0","0.5","+18",".000",".000","22.8","10.5","16.4","12.6","0.0","0.0","0.0","4.1","123","113"
"56","19","2019-02-11","25-011","OKC","","POR","W (+9)","0","26:04","7","9",".778","3","5",".600","1","2",".500","0","0","0","0","0","3","0","2","18","15.4","+7",".911",".944","0.0","0.0","0.0","0.0","0.0","9.5","0.0","16.4","170","111"
"57","20","2019-02-14","25-014","OKC","@","NOP","L (-9)","0","14:20","1","3",".333","0","1",".000","0","0","","0","1","1","1","1","0","1","3","2","0.1","+5",".333",".333","0.0","7.6","3.4","7.2","3.2","0.0","25.0","10.7","64","125"
"58","21","2019-02-22","25-022","OKC","","UTA","W (+1)","0","7:53","0","4",".000","0","1",".000","0","0","","0","1","1","0","1","0","0","1","0","-1.9","-3",".000",".000","0.0","15.7","7.1","0.0","5.9","0.0","0.0","21.0","0","111"
"59","22","2019-02-23","25-023","OKC","","SAC","L (-3)","0","2:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1.4","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","13.8","0","111"
"62","23","2019-03-02","25-030","OKC","@","SAS","L (-14)","0","2:23","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","1","2","0.6","+3",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36.1","98","122"
"67","24","2019-03-11","25-039","OKC","@","UTA","W (+9)","0","0:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","104"
"68","25","2019-03-13","25-041","OKC","","BRK","W (+12)","0","15:01","3","7",".429","1","2",".500","0","0","","0","2","2","0","1","0","0","1","7","4.5","-2",".500",".500","0.0","15.2","6.8","0.0","3.3","0.0","0.0","19.4","108","98"
"70","26","2019-03-16","25-044","OKC","","GSW","L (-22)","0","7:08","0","3",".000","0","0","","1","2",".500","1","0","1","1","0","0","0","0","1","-0.1","-7",".129",".000","10.9","0.0","6.4","21.7","0.0","0.0","0.0","21.4","55","117"
"71","27","2019-03-18","25-046","OKC","","MIA","L (-9)","0","6:19","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-13",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","0","122"
