"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","30-013","MIN","@","SAS","L (-4)","0","30:31","3","12",".250","0","2",".000","2","2","1.000","3","1","4","2","0","0","1","2","8","2.8","-1",".311",".250","10.0","3.1","6.4","9.2","0.0","0.0","7.2","19.2","84","126"
"2","2","2018-10-19","30-015","MIN","","CLE","W (+8)","0","23:23","3","6",".500","0","1",".000","6","6","1.000","1","3","4","8","0","0","0","2","12","15.4","+20",".694",".500","5.3","14.0","9.9","43.4","0.0","0.0","0.0","15.4","171","124"
"3","3","2018-10-20","30-016","MIN","@","DAL","L (-4)","0","32:23","11","21",".524","2","5",".400","4","6",".667","2","3","5","5","2","1","3","3","28","21.2","-10",".592",".571","9.0","10.6","9.9","26.8","2.7","3.1","11.3","33.3","117","127"
"4","4","2018-10-22","30-018","MIN","","IND","W (+10)","0","26:54","4","12",".333","0","4",".000","3","3","1.000","0","2","2","5","1","0","1","0","11","8.3","+3",".413",".333","0.0","7.0","3.9","30.9","1.8","0.0","7.0","23.1","94","98"
"5","5","2018-10-24","30-020","MIN","@","TOR","L (-7)","0","29:43","7","16",".438","2","3",".667","0","0","","1","2","3","5","0","0","2","1","16","10.0","-8",".500",".500","3.3","8.3","5.5","28.1","0.0","0.0","11.1","24.6","108","123"
"6","6","2018-10-26","30-022","MIN","","MIL","L (-30)","0","26:43","5","13",".385","1","3",".333","3","5",".600","0","3","3","2","2","0","0","1","14","10.0","-10",".461",".423","0.0","13.8","4.9","13.3","3.4","0.0","0.0","21.5","102","117"
"7","7","2018-10-29","30-025","MIN","","LAL","W (+4)","0","29:17","4","16",".250","0","1",".000","3","5",".600","4","3","7","7","0","0","2","0","11","7.2","+2",".302",".250","12.9","10.2","11.6","32.4","0.0","0.0","9.9","26.4","94","123"
"8","8","2018-10-31","30-027","MIN","","UTA","W (+3)","1","40:51","19","31",".613","4","7",".571","8","11",".727","0","4","4","6","1","1","6","4","50","34.2","+10",".698",".677","0.0","8.7","5.3","25.5","1.1","1.8","14.3","44.1","126","125"
"9","9","2018-11-02","30-029","MIN","@","GSW","L (-17)","0","4:43","1","1","1.000","1","1","1.000","0","0","","0","0","0","2","0","0","0","0","3","4.1","+3","1.500","1.500","0.0","0.0","0.0","73.2","0.0","0.0","0.0","9.1","277","124"
"11","10","2018-11-05","30-032","MIN","@","LAC","L (-11)","1","34:56","8","20",".400","1","3",".333","4","4","1.000","1","2","3","4","0","0","2","2","21","11.5","-8",".483",".425","3.6","6.4","5.1","18.9","0.0","0.0","8.4","29.9","101","134"
