"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"4","1","2018-10-22","23-242","CHO","@","TOR","L (-21)","0","5:36","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","1","0","0.3","0","","","0.0","0.0","0.0","20.9","0.0","0.0","","0.0","222","133"
"7","2","2018-10-27","23-247","CHO","@","PHI","L (-2)","0","13:05","3","6",".500","1","3",".333","0","0","","0","2","2","2","0","0","1","1","7","4.6","-8",".583",".583","0.0","13.8","7.1","28.2","0.0","0.0","14.3","22.4","105","109"
"14","3","2018-11-13","23-264","CHO","@","CLE","L (-24)","0","6:35","0","2",".000","0","2",".000","0","0","","0","0","0","1","0","0","0","0","0","-0.7","-7",".000",".000","0.0","0.0","0.0","22.1","0.0","0.0","0.0","13.0","24","129"
"17","4","2018-11-21","23-272","CHO","","IND","W (+18)","0","3:19","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1.4","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","14.2","0","125"
"18","5","2018-11-23","23-274","CHO","@","OKC","L (-5)","0","19:04","2","6",".333","1","5",".200","0","0","","0","3","3","2","1","0","1","2","5","3.1","+10",".417",".417","0.0","16.4","8.2","13.3","2.5","0.0","14.3","15.6","84","106"
"19","6","2018-11-25","23-276","CHO","@","ATL","L (-1)","0","15:03","1","3",".333","0","2",".000","0","0","","0","1","1","3","0","0","0","1","2","2.3","-8",".333",".333","0.0","7.8","3.8","25.3","0.0","0.0","0.0","8.4","115","128"
"21","7","2018-11-28","23-279","CHO","","ATL","W (+14)","0","1:41","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","1","0","2","0.7","-2","1.000","1.000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","50.3","66","107"
"22","8","2018-11-30","23-281","CHO","","UTA","L (-8)","0","0:51","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"23","9","2018-12-02","23-283","CHO","","NOP","L (-10)","0","17:36","3","7",".429","2","3",".667","0","0","","0","1","1","3","2","0","1","0","8","7.7","+7",".571",".571","0.0","7.0","3.0","26.5","5.4","0.0","12.5","19.1","108","112"
"24","10","2018-12-05","23-286","CHO","@","MIN","L (-17)","0","2:24","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","0","","","0.0","0.0","0.0","50.0","0.0","0.0","","0.0","230","128"
"26","11","2018-12-09","23-290","CHO","@","NYK","W (+12)","0","5:42","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","1.0","-9",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.2","99","113"
"29","12","2018-12-15","23-296","CHO","","LAL","L (-28)","0","16:22","2","6",".333","0","2",".000","1","1","1.000","0","2","2","6","0","0","1","1","5","5.0","+3",".388",".333","0.0","15.0","6.5","53.1","0.0","0.0","13.4","18.5","96","124"
"32","13","2018-12-23","23-304","CHO","@","BOS","L (-16)","0","12:00","3","5",".600","0","1",".000","1","1","1.000","0","1","1","5","2","0","0","0","7","10.5","+11",".643",".600","0.0","10.3","4.8","76.9","8.3","0.0","0.0","20.1","152","111"
"34","14","2018-12-28","23-309","CHO","","BRK","W (+13)","0","5:14","0","2",".000","0","1",".000","0","0","","0","0","0","0","1","0","0","0","0","-0.4","-5",".000",".000","0.0","0.0","0.0","0.0","9.6","0.0","0.0","16.3","0","79"
"35","15","2018-12-29","23-310","CHO","@","WAS","L (-4)","0","21:42","4","6",".667","1","2",".500","2","2","1.000","0","4","4","5","1","0","1","2","11","12.3","+10",".799",".750","0.0","22.1","10.7","29.0","2.1","0.0","12.7","15.0","156","124"
"36","16","2018-12-31","23-312","CHO","","ORL","W (+25)","0","24:04","3","8",".375","2","3",".667","2","2","1.000","0","3","3","4","3","0","1","2","10","10.5","+5",".563",".500","0.0","11.3","6.4","22.2","6.1","0.0","10.1","18.3","113","94"
"37","17","2019-01-02","23-314","CHO","","DAL","L (-38)","1","33:36","3","13",".231","2","8",".250","2","2","1.000","0","1","1","2","2","0","3","6","10","0.4","-34",".360",".308","0.0","3.1","1.4","10.3","2.9","0.0","17.8","21.5","64","124"
"38","18","2019-01-05","23-317","CHO","@","DEN","L (-13)","1","26:28","3","9",".333","2","5",".400","2","2","1.000","0","3","3","8","0","0","0","2","10","10.6","-2",".506",".444","0.0","10.5","5.9","43.2","0.0","0.0","0.0","16.2","141","132"
"39","19","2019-01-06","23-318","CHO","@","PHO","W (+6)","1","20:39","2","4",".500","2","2","1.000","2","2","1.000","0","3","3","4","1","0","2","1","8","8.3","-2",".820",".750","0.0","19.9","8.5","23.6","2.3","0.0","29.1","13.2","129","110"
"40","20","2019-01-08","23-320","CHO","@","LAC","L (-19)","0","12:44","1","4",".250","1","2",".500","0","0","","0","1","1","2","1","0","0","4","3","1.7","-13",".375",".375","0.0","9.4","4.3","23.4","3.7","0.0","0.0","13.3","99","122"
"41","21","2019-01-11","23-323","CHO","@","POR","L (-31)","0","6:55","2","3",".667","2","2","1.000","1","2",".500","0","0","0","0","1","0","1","0","7","5.3","0",".902","1.000","0.0","0.0","0.0","0.0","7.1","0.0","20.5","30.8","109","118"
"42","22","2019-01-12","23-324","CHO","@","SAC","L (-7)","0","22:58","3","7",".429","2","5",".400","0","0","","1","2","3","3","0","0","0","0","8","7.7","-8",".571",".571","4.2","7.6","6.0","21.1","0.0","0.0","0.0","12.6","136","112"
"43","23","2019-01-14","23-326","CHO","@","SAS","W (+15)","0","10:57","0","2",".000","0","2",".000","0","0","","0","0","0","4","0","0","0","1","0","1.0","+3",".000",".000","0.0","0.0","0.0","40.8","0.0","0.0","0.0","8.4","91","105"
"44","24","2019-01-17","23-329","CHO","","SAC","W (+19)","0","9:14","0","3",".000","0","3",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","+2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.8","0","109"
"45","25","2019-01-19","23-331","CHO","","PHO","W (+20)","0","2:34","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","+1","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.1","300","125"
"46","26","2019-01-20","23-332","CHO","@","IND","L (-25)","0","2:14","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.7","0","130"
"48","27","2019-01-25","23-337","CHO","@","MIL","L (-9)","0","21:13","3","6",".500","1","3",".333","1","3",".333","1","0","1","2","0","0","2","2","8","3.5","-11",".546",".583","4.4","0.0","2.3","15.5","0.0","0.0","21.5","17.9","94","110"
"50","28","2019-01-30","23-342","CHO","@","BOS","L (-32)","0","18:56","2","8",".250","1","5",".200","1","3",".333","0","1","1","3","1","0","2","1","6","1.4","-9",".322",".313","0.0","7.0","3.0","22.4","2.7","0.0","17.7","27.6","66","135"
