"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","25-166","DAL","@","PHO","L (-21)","1","30:21","4","7",".571","2","5",".400","2","2","1.000","0","3","3","1","0","3","0","2","12","11.6","-16",".761",".714","0.0","14.0","5.8","5.0","0.0","10.1","0.0","11.8","151","128"
"2","2","2018-10-20","25-169","DAL","","MIN","W (+4)","1","30:00","3","7",".429","2","5",".400","0","0","","4","3","7","3","1","0","2","5","8","7.1","+10",".571",".571","15.2","14.5","14.9","10.9","1.5","0.0","22.2","11.2","123","127"
"3","3","2018-10-22","25-171","DAL","","CHI","W (+6)","1","39:48","4","8",".500","2","5",".400","2","2","1.000","2","3","5","1","2","0","3","3","12","8.8","+2",".676",".625","6.0","10.3","8.0","3.4","2.4","0.0","25.3","12.2","109","110"
"4","4","2018-10-24","25-173","DAL","@","ATL","L (-7)","1","29:04","2","6",".333","0","4",".000","1","2",".500","1","0","1","0","2","1","2","6","5","0.2","-22",".363",".333","3.1","0.0","1.6","0.0","3.1","3.1","22.5","12.3","62","103"
"5","5","2018-10-26","25-175","DAL","@","TOR","L (-9)","0","19:57","2","6",".333","1","2",".500","0","0","","1","2","3","1","1","0","0","4","5","3.0","+2",".417",".417","5.0","10.5","7.7","7.2","2.4","0.0","0.0","12.4","100","116"
"6","6","2018-10-28","25-177","DAL","","UTA","L (-9)","0","10:59","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","1","3","1.6","-8",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.6","145","120"
"7","7","2018-10-29","25-178","DAL","@","SAS","L (-5)","0","16:00","3","7",".429","2","4",".500","0","0","","2","2","4","0","1","0","0","1","8","6.9","-7",".571",".571","15.1","14.4","14.7","0.0","3.0","0.0","0.0","19.2","126","101"
"8","8","2018-10-31","25-180","DAL","@","LAL","L (-1)","0","25:09","4","6",".667","1","2",".500","0","0","","2","1","3","0","0","0","1","3","9","5.9","-10",".750",".750","9.3","5.0","7.2","0.0","0.0","0.0","14.3","11.4","131","114"
"9","9","2018-11-02","25-182","DAL","","NYK","L (-12)","0","27:15","8","10",".800","2","2","1.000","1","2",".500","5","2","7","2","2","0","1","5","19","19.3","-4",".873",".900","21.5","9.0","15.4","13.6","3.7","0.0","8.4","19.1","165","118"
"10","10","2018-11-06","25-186","DAL","","WAS","W (+19)","0","28:28","3","5",".600","3","4",".750","2","2","1.000","2","3","5","0","0","3","2","1","11","10.7","+20",".935",".900","9.1","11.2","10.3","0.0","0.0","9.7","25.4","12.0","135","98"
