"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-312","MIL","@","CHO","W (+1)","1","33:32","7","13",".538","3","5",".600","0","0","","2","2","4","3","0","1","2","4","17","11.9","+4",".654",".654","6.7","5.2","5.8","13.4","0.0","2.7","13.3","18.7","122","113"
"2","2","2018-10-19","28-314","MIL","","IND","W (+17)","1","26:02","5","9",".556","2","5",".400","0","0","","3","3","6","7","2","2","0","2","12","18.2","+17",".667",".667","12.9","11.5","12.2","37.1","3.5","5.3","0.0","13.9","166","91"
"3","3","2018-10-22","28-317","MIL","","NYK","W (+11)","1","31:48","6","11",".545","2","7",".286","2","2","1.000","2","2","4","13","2","1","2","1","16","22.1","+19",".673",".636","5.9","6.4","6.2","54.6","3.0","2.2","14.4","17.4","154","111"
"4","4","2018-10-24","28-319","MIL","","PHI","W (+15)","1","33:10","6","18",".333","2","7",".286","4","4","1.000","2","5","7","4","1","1","1","3","18","13.0","+12",".455",".389","5.7","14.5","10.0","17.9","1.3","2.5","4.8","24.2","102","99"
"5","5","2018-10-26","28-321","MIL","@","MIN","W (+30)","1","20:45","3","6",".500","0","1",".000","0","1",".000","0","6","6","9","0","0","4","3","6","5.5","+21",".466",".500","0.0","19.3","12.5","49.5","0.0","0.0","38.3","21.2","97","90"
"6","6","2018-10-27","28-322","MIL","","ORL","W (+22)","1","22:55","2","7",".286","0","2",".000","2","2","1.000","1","3","4","4","1","1","2","3","6","4.8","+9",".381",".286","5.8","10.1","8.5","22.8","2.0","3.6","20.2","18.3","87","87"
"7","7","2018-10-29","28-324","MIL","","TOR","W (+15)","1","25:56","7","12",".583","2","5",".400","1","1","1.000","0","2","2","8","0","1","3","2","17","14.5","-1",".683",".667","0.0","5.8","3.4","46.2","0.0","3.2","19.4","24.4","126","106"
"8","8","2018-11-01","28-327","MIL","@","BOS","L (-4)","1","32:51","3","9",".333","1","2",".500","6","9",".667","0","1","1","7","1","0","2","4","13","9.3","-12",".502",".389","0.0","3.2","1.7","27.9","1.5","0.0","13.4","19.5","108","121"
"9","9","2018-11-04","28-330","MIL","","SAC","W (+35)","1","21:31","6","11",".545","1","5",".200","4","4","1.000","0","6","6","1","0","1","2","2","17","12.1","+11",".666",".591","0.0","24.8","13.4","6.8","0.0","3.8","13.6","27.1","116","99"
"10","10","2018-11-06","28-332","MIL","@","POR","L (-15)","1","30:20","2","12",".167","1","7",".143","0","0","","2","0","2","7","0","0","1","2","5","1.9","-14",".208",".208","6.1","0.0","3.4","30.1","0.0","0.0","7.7","19.3","80","131"
"11","11","2018-11-08","28-334","MIL","@","GSW","W (+23)","1","26:03","10","12",".833","2","3",".667","4","6",".667","2","2","4","6","1","0","3","2","26","24.2","+28",".888",".917","8.6","9.0","8.8","32.9","1.7","0.0","17.0","26.0","149","109"
"12","12","2018-11-10","28-336","MIL","@","LAC","L (-2)","1","34:20","6","16",".375","2","7",".286","1","2",".500","2","3","5","5","2","1","3","2","15","10.5","0",".444",".438","5.2","9.9","7.3","20.5","2.7","2.4","15.1","23.2","92","111"
"13","13","2018-11-11","28-337","MIL","@","DEN","W (+7)","1","30:02","4","10",".400","1","3",".333","3","3","1.000","0","8","8","3","3","1","1","2","12","13.0","+14",".530",".450","0.0","27.8","16.0","11.5","5.0","3.1","8.1","19.4","111","109"
"14","14","2018-11-14","28-340","MIL","","MEM","L (-3)","1","29:56","6","11",".545","1","3",".333","2","4",".500","1","5","6","7","2","0","1","5","15","15.0","+16",".588",".591","4.1","20.6","12.3","35.8","3.2","0.0","7.3","20.3","130","114"
"15","15","2018-11-16","28-342","MIL","","CHI","W (+19)","1","30:00","10","13",".769","3","5",".600","2","3",".667","1","3","4","6","3","1","3","0","25","26.0","+19",".873",".885","3.7","10.0","7.0","31.0","4.6","2.6","17.3","23.8","148","93"
"16","16","2018-11-19","28-345","MIL","","DEN","W (+6)","1","35:15","8","10",".800","3","4",".750","4","9",".444","2","3","5","5","3","0","4","1","23","21.6","+7",".824",".950","6.3","8.0","7.2","23.4","4.2","0.0","22.3","21.7","130","97"
"17","17","2018-11-21","28-347","MIL","","POR","W (+43)","1","23:50","7","13",".538","2","6",".333","0","0","","0","6","6","5","0","0","0","2","16","14.2","+16",".615",".615","0.0","21.6","12.2","23.5","0.0","0.0","0.0","20.2","142","93"
"18","18","2018-11-23","28-349","MIL","","PHO","L (-2)","1","30:28","4","9",".444","2","6",".333","2","4",".500","0","3","3","7","1","1","4","3","12","8.8","-3",".558",".556","0.0","11.3","5.7","30.9","1.5","2.5","27.1","20.4","95","112"
"19","19","2018-11-24","28-350","MIL","","SAS","W (+6)","1","34:50","8","15",".533","1","7",".143","3","4",".750","1","3","4","10","2","0","2","2","20","20.1","+20",".597",".567","3.8","9.4","6.9","36.3","2.7","0.0","10.7","23.1","130","123"
"20","20","2018-11-26","28-352","MIL","@","CHO","L (-3)","1","35:33","6","13",".462","4","9",".444","1","1","1.000","0","1","1","4","2","0","4","3","17","10.2","-7",".632",".615","0.0","3.1","1.5","18.7","2.7","0.0","22.9","20.8","99","111"
"21","21","2018-11-28","28-354","MIL","","CHI","W (+3)","1","28:42","2","3",".667","0","0","","3","4",".750","2","4","6","4","1","1","2","2","7","9.6","-6",".735",".667","7.6","13.7","10.8","16.9","1.7","3.2","29.6","10.3","130","111"
"22","22","2018-12-01","28-357","MIL","@","NYK","L (-2)","1","36:38","11","18",".611","3","6",".500","2","2","1.000","3","2","5","7","2","0","2","2","27","25.6","-1",".715",".694","9.6","6.2","7.9","33.7","2.6","0.0","9.6","24.4","144","122"
"23","23","2018-12-05","28-361","MIL","","DET","W (+23)","1","26:08","10","17",".588","2","6",".333","5","5","1.000","0","3","3","4","3","0","1","2","27","24.0","+14",".703",".647","0.0","10.2","5.7","37.4","5.2","0.0","5.0","33.7","133","83"
"24","24","2018-12-07","28-363","MIL","","GSW","L (-10)","1","29:29","6","12",".500","2","5",".400","0","0","","1","0","1","4","4","0","5","4","14","8.9","-6",".583",".583","3.1","0.0","1.7","24.8","6.4","0.0","29.4","23.0","90","96"
"25","25","2018-12-09","29-000","MIL","@","TOR","W (+5)","1","33:15","4","14",".286","0","4",".000","1","1","1.000","2","0","2","5","0","0","1","0","9","4.7","-4",".312",".286","6.7","0.0","3.2","23.9","0.0","0.0","6.5","20.9","86","116"
"26","26","2018-12-10","29-001","MIL","","CLE","W (+16)","1","28:00","8","15",".533","4","5",".800","0","0","","3","9","12","5","0","0","1","2","20","19.2","+19",".667",".667","10.3","28.6","19.8","30.3","0.0","0.0","6.3","23.9","140","91"
"27","27","2018-12-12","29-003","MIL","@","IND","L (-16)","1","33:25","11","16",".688","2","5",".400","2","3",".667","0","1","1","6","2","1","2","2","26","23.2","-8",".751",".750","0.0","3.0","1.5","38.8","2.9","2.4","10.4","25.3","137","113"
"28","28","2018-12-14","29-005","MIL","@","CLE","W (+12)","1","30:52","6","19",".316","1","8",".125","3","3","1.000","2","3","5","6","0","1","3","2","16","8.5","+8",".394",".342","6.1","9.0","7.5","30.4","0.0","3.0","12.9","31.4","90","111"
"29","29","2018-12-17","29-008","MIL","@","DET","W (+3)","1","34:49","7","16",".438","1","2",".500","2","5",".400","0","3","3","9","2","0","1","2","17","14.8","+8",".467",".469","0.0","9.8","5.0","36.1","2.8","0.0","5.2","25.3","104","108"
"30","30","2018-12-19","29-010","MIL","","NOP","W (+8)","1","23:32","4","10",".400","1","5",".200","0","0","","0","6","6","4","0","0","1","3","9","6.0","+13",".450",".450","0.0","26.6","13.8","23.4","0.0","0.0","9.1","20.0","99","115"
"31","31","2018-12-21","29-012","MIL","@","BOS","W (+13)","1","29:39","7","9",".778","1","2",".500","1","1","1.000","0","4","4","2","1","0","5","4","16","9.5","-8",".847",".833","0.0","12.2","7.1","10.9","1.6","0.0","34.6","20.8","102","108"
"32","32","2018-12-22","29-013","MIL","@","MIA","L (-7)","1","34:06","4","12",".333","0","4",".000","9","11",".818","2","1","3","6","1","0","3","2","17","12.5","-2",".505",".333","5.4","2.7","4.0","33.3","1.4","0.0","15.1","25.7","101","101"
"33","33","2018-12-25","29-016","MIL","@","NYK","W (+14)","1","28:39","4","8",".500","0","1",".000","3","4",".750","0","6","6","5","1","0","2","0","11","10.9","+9",".564",".500","0.0","16.8","9.3","25.2","1.6","0.0","17.0","17.6","105","93"
"34","34","2018-12-27","29-018","MIL","","NYK","W (+16)","1","30:51","3","7",".429","2","5",".400","0","0","","1","4","5","2","1","0","0","2","8","7.8","+11",".571",".571","3.5","11.1","7.8","8.3","1.5","0.0","0.0","9.3","134","97"
"35","35","2018-12-29","29-020","MIL","","BRK","W (+14)","1","23:38","2","7",".286","0","4",".000","2","2","1.000","0","3","3","4","1","0","4","4","6","1.0","-3",".381",".286","0.0","15.6","7.7","18.9","2.0","0.0","33.7","21.3","70","111"
"36","36","2019-01-01","29-023","MIL","","DET","W (+23)","1","29:37","7","14",".500","0","2",".000","4","4","1.000","0","4","4","6","1","0","0","1","18","17.0","+18",".571",".500","0.0","12.5","7.5","27.3","1.7","0.0","0.0","24.7","131","103"
"37","37","2019-01-04","29-026","MIL","","ATL","W (+32)","1","22:07","7","13",".538","0","2",".000","0","0","","2","6","8","2","1","1","2","4","14","10.4","+26",".538",".538","11.4","27.7","20.4","10.9","1.9","4.9","13.3","25.8","107","97"
"38","38","2019-01-05","29-027","MIL","","TOR","L (-7)","1","32:18","4","9",".444","2","6",".333","4","5",".800","0","3","3","8","2","0","3","2","14","13.6","-15",".625",".556","0.0","11.7","5.9","34.9","2.9","0.0","21.1","19.7","116","120"
"39","39","2019-01-07","29-029","MIL","","UTA","W (+12)","1","28:26","3","11",".273","0","4",".000","0","0","","1","3","4","6","3","0","6","0","6","2.3","+5",".273",".273","3.8","10.8","7.3","24.7","5.1","0.0","35.3","24.9","56","99"
"40","40","2019-01-09","29-031","MIL","@","HOU","W (+7)","1","28:05","5","11",".455","0","3",".000","0","0","","1","3","4","5","2","1","4","5","10","6.1","+7",".455",".455","4.1","9.7","7.2","24.1","3.4","4.6","26.7","22.4","83","106"
"41","41","2019-01-11","29-033","MIL","@","WAS","L (-7)","1","27:46","7","21",".333","2","9",".222","2","4",".500","3","5","8","9","3","0","1","0","18","17.2","+5",".395",".381","11.0","22.2","16.1","55.8","5.2","0.0","4.2","36.8","103","107"
"42","42","2019-01-13","29-035","MIL","@","ATL","W (+19)","1","26:15","9","13",".692","2","6",".333","4","4","1.000","0","2","2","10","2","1","0","2","24","28.0","+8",".813",".769","0.0","7.5","3.9","56.2","3.3","3.2","0.0","22.4","176","104"
