"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"4","1","2018-10-22","28-140","TOR","","CHO","W (+21)","0","3:53","1","1","1.000","0","0","","0","0","","1","1","2","1","0","0","0","0","2","3.4","0","1.000","1.000","38.6","22.5","28.4","32.8","0.0","0.0","0.0","11.6","216","109"
"7","2","2018-10-29","28-147","TOR","@","MIL","L (-15)","0","4:49","0","4",".000","0","0","","0","0","","2","2","4","0","0","0","0","1","0","-1.2","+7",".000",".000","31.1","45.3","36.9","0.0","0.0","0.0","0.0","31.8","34","116"
"9","3","2018-11-02","28-151","TOR","@","PHO","W (+9)","0","0:55","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-5","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","50.7","0","113"
"11","4","2018-11-05","28-154","TOR","@","UTA","W (+13)","0","12:38","4","5",".800","0","1",".000","0","0","","1","2","3","0","0","0","1","2","8","5.6","-3",".800",".800","10.9","15.8","13.7","0.0","0.0","0.0","16.7","21.5","132","115"
"13","5","2018-11-10","28-159","TOR","","NYK","W (+16)","0","2:23","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","0","121"
"14","6","2018-11-12","28-161","TOR","","NOP","L (-16)","0","1:32","0","2",".000","0","0","","0","0","","1","1","2","0","0","0","0","0","0","-0.4","+2",".000",".000","59.1","71.1","64.5","0.0","0.0","0.0","0.0","53.7","37","114"
"15","7","2018-11-14","28-163","TOR","","DET","L (-2)","0","21:02","8","10",".800","0","0","","1","2",".500","3","6","9","0","1","0","3","1","17","14.3","-7",".781",".800","15.6","31.1","23.3","0.0","2.2","0.0","21.6","26.5","117","99"
"17","8","2018-11-17","28-166","TOR","@","CHI","W (+39)","0","11:12","3","4",".750","0","0","","1","2",".500","1","2","3","2","0","0","3","3","7","3.5","+1",".717",".750","12.2","16.2","14.6","24.4","0.0","0.0","38.1","28.7","97","85"
"19","9","2018-11-21","28-170","TOR","@","ATL","W (+16)","0","13:03","1","5",".200","0","0","","1","2",".500","2","4","6","1","2","0","0","2","3","4.0","-10",".255",".200","18.9","29.4","24.8","8.3","7.4","0.0","0.0","18.5","93","92"
"20","10","2018-11-23","28-172","TOR","","WAS","W (+18)","0","2:53","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-1",".000",".000","0.0","32.6","17.7","0.0","0.0","0.0","0.0","14.3","0","102"
