"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","29-126","MIA","@","ORL","L (-3)","1","33:35","6","15",".400","0","1",".000","0","1",".000","4","14","18","0","1","2","1","2","12","11.1","+4",".389",".400","11.2","38.5","25.0","0.0","1.4","4.1","6.1","19.2","88","89"
"2","2","2018-10-18","29-127","MIA","@","WAS","W (+1)","1","28:59","3","6",".500","0","0","","3","5",".600","4","6","10","0","0","1","2","5","9","6.5","-4",".549",".500","12.0","24.8","17.4","0.0","0.0","3.0","19.6","13.2","104","110"
"3","3","2018-10-20","29-129","MIA","","CHO","L (-1)","1","24:50","3","6",".500","0","0","","5","8",".625","3","12","15","0","0","2","1","4","11","11.3","+14",".578",".500","14.5","47.3","32.6","0.0","0.0","7.6","9.5","17.5","122","103"
"4","4","2018-10-24","29-133","MIA","","NYK","W (+23)","1","26:54","8","15",".533","0","0","","6","10",".600","2","12","14","0","0","3","1","1","22","18.8","+30",".567",".533","9.2","37.6","26.0","0.0","0.0","9.2","4.9","33.9","110","77"
"5","5","2018-10-27","29-136","MIA","","POR","W (+9)","1","34:25","2","8",".250","0","2",".000","1","4",".250","3","13","16","0","0","6","2","4","5","5.6","+4",".256",".250","8.4","37.8","22.8","0.0","0.0","15.2","17.0","13.7","62","100"
"6","6","2018-10-29","29-138","MIA","","SAC","L (-10)","1","29:01","7","10",".700","0","0","","2","6",".333","5","19","24","0","2","5","6","3","16","17.7","-4",".633",".700","16.5","65.5","40.5","0.0","3.0","11.6","32.2","24.7","89","93"
"7","7","2018-10-30","29-139","MIA","@","CHO","L (-12)","1","29:01","6","11",".545","0","0","","4","4","1.000","5","7","12","0","0","2","2","2","16","14.9","-11",".627",".545","20.2","36.2","27.2","0.0","0.0","6.2","13.6","21.7","123","126"
"8","8","2018-11-03","29-143","MIA","@","ATL","L (-5)","1","15:44","3","7",".429","1","2",".500","1","2",".500","2","6","8","1","0","1","0","1","8","8.1","-14",".508",".500","14.5","50.8","31.3","9.6","0.0","5.4","0.0","21.2","125","117"
"10","9","2018-11-07","29-147","MIA","","SAS","W (+7)","1","32:13","10","18",".556","0","1",".000","9","11",".818","6","14","20","2","0","9","1","2","29","33.9","+1",".635",".556","17.5","36.0","27.3","14.1","0.0","21.6","4.2","31.2","137","71"
"11","10","2018-11-09","29-149","MIA","","IND","L (-8)","1","33:27","5","8",".625","0","0","","1","5",".200","5","15","20","1","0","4","4","5","11","11.3","+1",".539",".625","17.1","61.5","37.3","5.0","0.0","9.7","28.2","17.7","87","98"
"12","11","2018-11-10","29-150","MIA","","WAS","L (-6)","1","34:30","6","10",".600","0","1",".000","3","4",".750","5","9","14","3","1","4","1","4","15","19.5","-10",".638",".600","15.1","31.3","22.6","13.6","1.4","9.1","7.8","15.0","140","108"
"13","12","2018-11-12","29-152","MIA","","PHI","L (-10)","1","21:51","5","8",".625","1","2",".500","2","4",".500","1","10","11","0","0","1","1","5","13","10.0","-15",".666",".688","5.5","52.3","29.5","0.0","0.0","4.7","9.3","22.2","121","120"
"14","13","2018-11-14","29-154","MIA","@","BRK","W (+13)","1","21:39","5","10",".500","0","1",".000","4","6",".667","2","8","10","0","2","2","1","4","14","12.8","+7",".554",".500","12.3","31.1","23.8","0.0","4.1","6.1","7.3","26.5","111","84"
"15","14","2018-11-16","29-156","MIA","@","IND","L (-8)","1","28:35","6","15",".400","0","0","","0","0","","8","9","17","0","0","2","3","4","12","9.0","+3",".400",".400","24.0","36.0","29.1","0.0","0.0","6.2","16.7","26.7","83","97"
"16","15","2018-11-18","29-158","MIA","","LAL","L (-16)","1","26:40","2","9",".222","0","1",".000","2","4",".500","2","5","7","2","1","3","2","3","6","3.9","-5",".279",".222","7.5","18.0","12.9","11.5","1.9","7.9","15.7","21.4","67","110"
