"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-108","HOU","","NOP","L (-19)","1","24:43","3","7",".429","2","5",".400","0","0","","1","0","1","0","1","0","0","4","8","4.4","-5",".571",".571","4.0","0.0","2.1","0.0","1.9","0.0","0.0","12.0","117","132"
"2","2","2018-10-20","28-111","HOU","@","LAL","W (+9)","1","22:09","2","7",".286","2","5",".400","0","0","","3","2","5","2","2","0","1","4","6","5.4","-10",".429",".429","13.5","8.7","11.1","10.9","4.0","0.0","12.5","13.8","108","103"
"3","3","2018-10-21","28-112","HOU","@","LAC","L (-3)","1","22:51","2","5",".400","2","4",".500","0","0","","2","1","3","1","0","0","1","4","6","3.1","+13",".600",".600","9.8","5.1","7.5","5.4","0.0","0.0","16.7","11.7","113","124"
"7","4","2018-11-02","28-124","HOU","@","BRK","W (+8)","1","19:12","1","3",".333","0","1",".000","0","2",".000","0","1","1","0","0","1","0","3","2","-0.7","+4",".258",".333","0.0","6.4","3.2","0.0","0.0","4.9","0.0","9.1","55","123"
"8","5","2018-11-03","28-125","HOU","@","CHI","W (+8)","1","17:18","5","8",".625","3","5",".600","2","2","1.000","1","0","1","1","2","1","0","1","15","15.1","+5",".845",".813","6.5","0.0","3.4","13.1","5.7","5.8","0.0","22.4","169","84"
"9","6","2018-11-05","28-127","HOU","@","IND","W (+4)","1","27:12","5","7",".714","3","4",".750","0","0","","0","2","2","1","1","0","2","4","13","8.8","-1",".929",".929","0.0","8.6","4.5","7.0","1.9","0.0","22.2","16.0","122","104"
"10","7","2018-11-08","28-130","HOU","@","OKC","L (-18)","1","24:17","2","7",".286","1","3",".333","1","1","1.000","3","0","3","0","0","0","0","5","6","2.0","-6",".403",".357","11.6","0.0","6.5","0.0","0.0","0.0","0.0","14.4","102","120"
"11","8","2018-11-10","28-132","HOU","@","SAS","L (-7)","1","19:07","0","4",".000","0","4",".000","1","2",".500","0","0","0","0","1","0","1","3","1","-3.4","-14",".102",".000","0.0","0.0","0.0","0.0","2.7","0.0","17.0","13.3","20","109"
"12","9","2018-11-11","28-133","HOU","","IND","W (+12)","1","21:42","0","3",".000","0","2",".000","0","2",".000","0","1","1","2","1","0","0","2","0","-1.0","-11",".000",".000","0.0","6.3","3.0","12.3","2.4","0.0","0.0","8.3","42","110"
"13","10","2018-11-13","28-135","HOU","@","DEN","W (+10)","1","33:38","6","8",".750","2","4",".500","2","2","1.000","0","4","4","1","1","2","1","3","16","14.9","+9",".901",".875","0.0","17.3","9.1","4.7","1.6","5.6","10.1","14.6","157","108"
"14","11","2018-11-15","28-137","HOU","","GSW","W (+21)","1","32:43","7","11",".636","2","6",".333","3","5",".600","3","2","5","1","1","0","0","3","19","16.5","+17",".720",".727","9.6","7.5","8.6","5.9","1.7","0.0","0.0","18.7","156","104"
