"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","33-099","BRK","@","DET","L (-3)","1","35:51","0","5",".000","0","4",".000","1","2",".500","2","1","3","3","3","0","0","5","1","1.9","-8",".085",".000","7.2","2.8","4.7","10.0","4.0","0.0","0.0","7.2","64","104"
"2","2","2018-10-19","33-101","BRK","","NYK","W (+2)","1","27:04","3","5",".600","1","2",".500","0","0","","1","4","5","3","1","0","0","2","7","8.9","+3",".700",".700","4.9","12.9","9.7","16.8","1.9","0.0","0.0","8.2","168","111"
"3","3","2018-10-20","33-102","BRK","@","IND","L (-20)","1","22:35","1","3",".333","1","3",".333","0","0","","0","2","2","4","0","0","0","3","3","3.5","-7",".500",".500","0.0","10.4","5.3","21.9","0.0","0.0","0.0","5.5","148","135"
"4","4","2018-10-24","33-106","BRK","@","CLE","W (+16)","1","24:11","4","5",".800","4","5",".800","0","0","","0","1","1","1","1","0","0","3","12","10.9","+17","1.200","1.200","0.0","3.8","2.0","6.6","2.1","0.0","0.0","9.2","221","96"
"5","5","2018-10-26","33-108","BRK","@","NOP","L (-2)","1","22:58","3","7",".429","3","6",".500","0","0","","0","1","1","1","0","1","2","4","9","3.4","-14",".643",".643","0.0","3.9","2.1","5.7","0.0","2.8","22.2","15.3","103","120"
"6","6","2018-10-28","33-110","BRK","","GSW","L (-6)","1","21:56","3","5",".600","0","2",".000","0","0","","2","4","6","2","3","0","1","1","6","9.3","+10",".600",".600","10.9","19.9","15.6","12.4","6.6","0.0","16.7","12.1","123","107"
"7","7","2018-10-29","33-111","BRK","@","NYK","L (-19)","1","18:12","0","4",".000","0","4",".000","0","0","","0","2","2","3","0","1","1","2","0","-1.2","-5",".000",".000","0.0","14.3","6.2","23.3","0.0","3.9","20.0","12.7","34","129"
"8","8","2018-10-31","33-113","BRK","","DET","W (+1)","1","37:32","2","9",".222","1","6",".167","6","6","1.000","2","4","6","3","0","0","0","3","11","9.0","+9",".473",".278","4.8","11.1","7.7","10.5","0.0","0.0","0.0","12.6","127","113"
"9","9","2018-11-02","33-115","BRK","","HOU","L (-8)","1","23:03","1","2",".500","1","2",".500","0","0","","1","2","3","3","0","0","2","1","3","3.0","-12",".750",".750","5.3","10.4","7.9","15.7","0.0","0.0","50.0","8.0","107","134"
"10","10","2018-11-04","33-117","BRK","","PHI","W (+25)","1","14:51","2","4",".500","0","1",".000","0","0","","1","1","2","1","1","0","1","4","4","2.1","-4",".500",".500","6.2","10.1","7.7","7.4","3.2","0.0","20.0","13.3","97","95"
"11","11","2018-11-06","33-119","BRK","@","PHO","W (+22)","1","24:29","2","7",".286","1","5",".200","0","0","","0","2","2","1","0","0","2","4","5","-1.4","+5",".357",".357","0.0","8.2","3.9","5.3","0.0","0.0","22.2","16.0","61","93"
"12","12","2018-11-09","33-122","BRK","@","DEN","W (+2)","1","24:13","1","5",".200","1","4",".250","1","2",".500","1","3","4","1","0","1","2","3","4","0.3","+9",".340",".300","3.9","13.2","8.3","5.8","0.0","2.9","25.4","13.6","66","116"
"13","13","2018-11-10","33-123","BRK","@","GSW","L (-16)","1","16:53","0","0","","0","0","","0","0","","0","3","3","1","0","0","1","1","0","0.2","-3","","","0.0","24.4","11.1","7.9","0.0","0.0","100.0","2.7","42","128"
"14","14","2018-11-12","33-125","BRK","@","MIN","L (-7)","1","28:25","3","9",".333","2","5",".400","0","0","","1","3","4","4","1","1","0","5","8","7.0","+8",".444",".444","2.7","15.8","7.2","19.3","1.6","3.0","0.0","12.3","119","115"
"15","15","2018-11-14","33-127","BRK","","MIA","L (-13)","1","24:34","4","9",".444","2","4",".500","0","0","","2","3","5","0","1","1","3","3","10","5.1","-5",".556",".556","6.9","16.3","10.5","0.0","1.8","3.5","25.0","18.5","89","110"
"16","16","2018-11-16","33-129","BRK","@","WAS","W (+11)","1","22:25","2","4",".500","1","3",".333","0","0","","1","2","3","0","1","0","2","4","5","1.7","+4",".625",".625","4.5","9.3","6.8","0.0","2.1","0.0","33.3","10.9","85","105"
"17","17","2018-11-17","33-130","BRK","","LAC","L (-8)","1","25:40","2","2","1.000","1","1","1.000","0","0","","0","2","2","1","0","0","0","1","5","5.3","+4","1.250","1.250","0.0","9.1","4.4","5.2","0.0","0.0","0.0","3.3","247","133"
"18","18","2018-11-20","33-133","BRK","@","MIA","W (+12)","1","21:42","0","5",".000","0","3",".000","0","0","","0","1","1","0","0","0","0","2","0","-4.0","-7",".000",".000","0.0","3.8","2.1","0.0","0.0","0.0","0.0","10.0","0","103"
"19","19","2018-11-21","33-134","BRK","@","DAL","L (-6)","1","18:18","1","3",".333","0","1",".000","0","1",".000","1","3","4","1","0","0","1","2","2","0.4","-17",".291",".333","4.9","23.1","12.1","6.7","0.0","0.0","22.5","9.9","69","124"
"20","20","2018-11-23","33-136","BRK","","MIN","L (-10)","1","15:08","2","3",".667","0","1",".000","0","1",".000","0","1","1","1","0","0","1","1","4","1.9","-5",".581",".667","0.0","6.9","3.8","11.9","0.0","0.0","22.5","13.0","88","121"
"21","21","2018-11-25","33-138","BRK","","PHI","L (-2)","0","13:50","1","1","1.000","1","1","1.000","0","0","","0","2","2","0","0","1","1","3","3","1.8","+2","1.500","1.500","0.0","15.1","8.2","0.0","0.0","5.6","50.0","6.2","117","124"
"22","22","2018-11-28","33-141","BRK","","UTA","L (-10)","0","18:08","0","2",".000","0","2",".000","0","0","","0","1","1","0","1","0","1","1","0","-1.5","-1",".000",".000","0.0","6.3","2.8","0.0","2.6","0.0","33.3","6.7","0","103"
"23","23","2018-11-30","33-143","BRK","","MEM","L (-6)","0","19:50","0","2",".000","0","2",".000","0","0","","0","2","2","1","1","0","0","4","0","-0.7","+5",".000",".000","0.0","11.5","6.1","7.0","2.6","0.0","0.0","4.7","35","115"
"24","24","2018-12-01","33-144","BRK","@","WAS","L (-14)","0","16:29","1","3",".333","0","1",".000","2","2","1.000","0","0","0","0","0","0","2","1","4","-0.1","-16",".515",".333","0.0","0.0","0.0","0.0","0.0","0.0","34.0","15.7","69","111"
"25","25","2018-12-03","33-146","BRK","","CLE","L (-2)","0","17:47","1","3",".333","0","0","","1","2",".500","2","0","2","1","0","0","0","1","3","2.6","-5",".387",".333","9.3","0.0","5.1","7.4","0.0","0.0","0.0","9.3","113","118"
"26","26","2018-12-05","33-148","BRK","","OKC","L (-2)","0","19:31","2","5",".400","0","2",".000","0","0","","0","4","4","1","0","1","1","3","4","1.7","+12",".400",".400","0.0","18.9","9.4","7.7","0.0","4.0","16.7","13.0","73","110"
"27","27","2018-12-07","33-150","BRK","","TOR","W (+1)","0","11:15","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","0","0","0","3","3","2.2","+2","1.500","1.500","0.0","0.0","0.0","12.3","0.0","0.0","0.0","3.8","279","105"
"28","28","2018-12-08","33-151","BRK","@","NYK","W (+8)","0","7:01","2","3",".667","0","1",".000","0","0","","1","1","2","0","0","1","0","0","4","4.4","-2",".667",".667","15.9","16.3","16.1","0.0","0.0","12.0","0.0","18.5","142","103"
