"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","20-227","BOS","","PHI","W (+18)","1","28:56","9","17",".529","1","5",".200","4","5",".800","2","7","9","3","1","0","1","2","23","19.1","+6",".599",".559","6.3","23.7","14.6","18.4","1.6","0.0","5.0","28.6","125","83"
"2","2","2018-10-19","20-230","BOS","@","TOR","L (-12)","1","36:47","6","16",".375","2","6",".333","2","2","1.000","0","9","9","2","1","1","5","5","16","6.0","-14",".474",".438","0.0","26.1","12.0","8.1","1.3","2.3","22.9","24.3","77","111"
"3","3","2018-10-20","20-231","BOS","@","NYK","W (+2)","1","35:11","8","15",".533","2","3",".667","6","6","1.000","1","13","14","0","2","0","4","2","24","18.5","+19",".680",".600","3.0","37.7","20.5","0.0","2.7","0.0","18.5","26.5","109","93"
"4","4","2018-10-22","20-233","BOS","","ORL","L (-3)","1","34:25","3","12",".250","0","5",".000","1","2",".500","2","8","10","4","0","0","0","2","7","5.2","+2",".272",".250","5.6","22.3","13.9","17.0","0.0","0.0","0.0","16.8","78","99"
"5","5","2018-10-25","20-236","BOS","@","OKC","W (+6)","1","34:26","8","18",".444","1","3",".333","7","7","1.000","1","5","6","1","1","0","2","4","24","14.9","+14",".569",".472","2.7","13.7","8.2","6.4","1.4","0.0","8.7","28.8","109","96"
"6","6","2018-10-27","20-238","BOS","@","DET","W (+20)","1","28:19","2","9",".222","1","2",".500","1","2",".500","0","3","3","3","0","1","0","1","6","3.4","+5",".304",".278","0.0","9.8","5.0","14.3","0.0","3.3","0.0","15.2","79","92"
"7","7","2018-10-30","20-241","BOS","","DET","W (+3)","1","30:06","4","12",".333","1","4",".250","7","8",".875","1","5","6","3","0","0","1","3","16","10.9","+10",".515",".375","3.4","16.3","10.0","15.6","0.0","0.0","6.1","23.5","110","106"
"8","8","2018-11-01","20-243","BOS","","MIL","W (+4)","1","31:39","4","9",".444","2","3",".667","2","2","1.000","1","5","6","4","0","0","2","4","12","8.7","+14",".607",".556","3.4","18.1","10.5","17.4","0.0","0.0","16.8","16.4","117","116"
"9","9","2018-11-03","20-245","BOS","@","IND","L (-1)","1","33:17","5","11",".455","4","8",".500","0","0","","1","6","7","3","0","1","3","1","14","10.2","+8",".636",".636","3.1","20.1","11.2","14.1","0.0","2.7","21.4","19.1","105","108"
"10","10","2018-11-05","20-247","BOS","@","DEN","L (-8)","1","34:42","5","14",".357","1","4",".250","4","4","1.000","1","1","2","4","1","2","2","2","15","10.6","-4",".476",".393","3.5","2.9","3.2","14.9","1.4","4.9","11.3","23.6","100","123"
"11","11","2018-11-08","20-250","BOS","@","PHO","W (+7)","1","29:40","1","7",".143","0","1",".000","2","2","1.000","4","4","8","2","1","0","1","2","4","4.1","+15",".254",".143","13.0","16.6","14.6","9.6","1.6","0.0","11.3","12.5","86","102"
"12","12","2018-11-09","20-251","BOS","@","UTA","L (-8)","1","36:13","7","14",".500","2","4",".500","5","6",".833","1","2","3","4","5","0","1","4","21","20.1","0",".631",".571","3.2","8.6","5.4","17.8","6.8","0.0","5.7","22.1","125","119"
"13","13","2018-11-11","20-253","BOS","@","POR","L (-6)","1","34:45","9","18",".500","5","9",".556","4","4","1.000","3","5","8","0","0","2","1","2","27","21.2","-7",".683",".639","8.1","15.0","11.4","0.0","0.0","5.5","4.8","26.2","134","108"
"14","14","2018-11-14","20-256","BOS","","CHI","W (+29)","1","26:39","5","14",".357","4","8",".500","0","0","","2","4","6","0","1","0","2","2","14","7.0","+6",".500",".500","7.5","14.4","11.0","0.0","1.8","0.0","12.5","26.4","88","84"
"15","15","2018-11-16","20-258","BOS","","TOR","W (+7)","1","37:32","8","13",".615","2","4",".500","3","4",".750","1","6","7","1","2","1","3","4","21","16.0","+8",".711",".692","3.4","17.7","11.1","4.0","2.6","2.1","16.9","21.3","118","105"
