"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","29-033","MIN","@","SAS","L (-4)","1","31:36","9","23",".391","1","4",".250","4","5",".800","3","4","7","3","4","1","1","2","23","18.4","-3",".456",".413","9.7","11.9","10.8","18.0","6.3","2.2","3.8","34.9","106","107"
"2","2","2018-10-19","29-035","MIN","","CLE","W (+8)","1","36:05","10","12",".833","1","1","1.000","12","12","1.000","2","5","7","3","4","2","2","0","33","37.0","-3",".955",".875","6.8","15.1","11.2","13.0","5.1","3.8","10.4","22.2","177","110"
"4","3","2018-10-22","29-038","MIN","","IND","W (+10)","1","36:35","6","12",".500","0","2",".000","8","8","1.000","2","1","3","3","1","2","4","2","20","15.4","+7",".644",".500","6.4","2.6","4.3","14.0","1.3","4.0","20.5","23.2","112","98"
"5","4","2018-10-24","29-040","MIN","@","TOR","L (-7)","1","37:16","7","13",".538","4","7",".571","5","10",".500","2","2","4","5","6","0","2","2","23","23.4","-6",".661",".692","5.3","6.6","5.9","20.8","7.9","0.0","10.3","21.2","131","105"
"6","5","2018-10-26","29-042","MIN","","MIL","L (-30)","1","24:08","2","11",".182","0","4",".000","0","0","","0","5","5","2","2","1","0","1","4","2.3","-23",".182",".182","0.0","25.5","9.0","12.4","3.8","4.3","0.0","17.2","49","111"
"7","6","2018-10-29","29-045","MIN","","LAL","W (+4)","1","36:38","12","20",".600","6","7",".857","2","2","1.000","1","5","6","4","1","2","0","1","32","29.8","+5",".766",".750","2.6","13.6","7.9","19.9","1.3","3.7","0.0","21.9","170","117"
"9","7","2018-11-02","29-049","MIN","@","GSW","L (-17)","1","35:17","10","23",".435","0","8",".000","1","2",".500","2","1","3","5","0","0","0","3","21","12.5","-19",".440",".435","4.8","3.2","4.1","27.9","0.0","0.0","0.0","29.0","98","123"
"11","8","2018-11-05","29-052","MIN","@","LAC","L (-11)","1","39:19","6","13",".462","0","2",".000","8","11",".727","0","4","4","5","1","1","2","4","20","14.9","-11",".561",".462","0.0","11.4","6.0","18.7","1.3","2.1","10.1","22.2","114","128"
"12","9","2018-11-07","29-054","MIN","@","LAL","L (-4)","1","43:08","9","18",".500","5","8",".625","1","1","1.000","2","3","5","5","3","1","0","2","24","23.7","-2",".651",".639","4.8","8.1","6.4","18.0","3.4","2.0","0.0","18.7","147","116"
"13","10","2018-11-09","29-056","MIN","@","SAC","L (-11)","1","41:12","3","12",".250","0","2",".000","7","10",".700","2","6","8","8","2","0","3","1","13","12.0","-6",".396",".250","4.5","14.3","9.2","26.3","2.2","0.0","15.5","18.1","94","113"
"15","11","2018-11-14","29-061","PHI","@","ORL","L (-5)","1","32:55","6","12",".500","0","1",".000","2","2","1.000","1","3","4","2","0","0","2","3","14","7.8","-10",".543",".500","3.5","12.2","7.5","9.0","0.0","0.0","13.4","20.4","102","122"
"16","12","2018-11-16","29-063","PHI","","UTA","W (+6)","1","37:30","12","15",".800","2","3",".667","2","5",".400","0","3","3","7","2","0","3","2","28","25.1","+12",".814",".867","0.0","9.4","4.8","34.9","2.5","0.0","14.9","23.1","140","106"
"17","13","2018-11-17","29-064","PHI","@","CHO","W (+3)","1","37:13","4","11",".364","1","3",".333","6","7",".857","1","2","3","4","2","2","4","4","15","10.4","+3",".533",".409","2.9","5.4","4.2","17.1","2.4","4.2","22.1","20.0","95","101"
"18","14","2018-11-19","29-066","PHI","","PHO","W (+5)","1","32:17","4","9",".444","0","0","","8","8","1.000","1","2","3","1","2","0","2","3","16","12.1","-2",".639",".444","3.8","6.6","5.3","4.2","2.8","0.0","13.8","17.8","126","108"
"19","15","2018-11-21","29-068","PHI","","NOP","W (+1)","1","34:36","5","16",".313","0","3",".000","3","3","1.000","3","3","6","3","3","1","0","0","13","12.6","+4",".375",".313","9.2","7.4","8.2","11.2","3.9","2.0","0.0","19.2","99","109"
"20","16","2018-11-23","29-070","PHI","","CLE","L (-9)","1","33:42","8","14",".571","3","4",".750","3","4",".750","1","1","2","2","2","1","1","1","22","18.7","-20",".698",".679","4.5","3.5","3.9","10.0","3.1","2.0","6.0","24.8","130","131"
"21","17","2018-11-25","29-072","PHI","@","BRK","W (+2)","1","36:46","11","20",".550","5","6",".833","7","7","1.000","6","6","12","2","4","0","1","2","34","34.0","+6",".737",".675","17.0","20.1","18.4","8.8","5.2","0.0","4.2","27.5","154","118"
"22","18","2018-11-28","29-075","PHI","","NYK","W (+26)","1","25:02","3","7",".429","1","2",".500","0","0","","1","3","4","2","1","1","3","1","7","4.6","+19",".500",".500","5.0","10.9","8.4","9.3","1.9","3.0","30.0","17.4","80","91"
"23","19","2018-11-30","29-077","PHI","","WAS","W (+25)","1","25:24","5","13",".385","1","3",".333","0","0","","4","3","7","4","4","0","0","2","11","13.6","+19",".423",".423","14.8","11.6","13.2","22.5","7.2","0.0","0.0","19.7","120","86"
"24","20","2018-12-02","29-079","PHI","","MEM","W (+8)","1","32:52","7","17",".412","0","4",".000","7","8",".875","0","3","3","2","0","1","3","3","21","10.3","+7",".512",".412","0.0","10.0","5.5","11.3","0.0","2.9","12.8","33.3","92","97"
"25","21","2018-12-05","29-082","PHI","@","TOR","L (-11)","1","38:19","15","27",".556","4","7",".571","4","4","1.000","3","7","10","1","1","1","2","2","38","28.9","+3",".661",".630","8.0","15.9","12.3","5.9","1.2","1.8","6.5","33.5","125","110"
"26","22","2018-12-07","29-084","PHI","@","DET","W (+6)","1","38:59","13","27",".481","1","6",".167","11","12",".917","5","1","6","6","3","1","0","1","38","35.2","+12",".589",".500","14.0","2.7","8.3","26.4","3.7","2.0","0.0","34.5","139","114"
"27","23","2018-12-10","29-087","PHI","","DET","W (+14)","1","9:40","0","3",".000","0","1",".000","0","0","","1","3","4","2","0","0","0","1","0","0.5","+11",".000",".000","9.5","35.5","21.1","25.5","0.0","0.0","0.0","12.8","66","105"
"30","24","2018-12-16","29-093","PHI","@","CLE","W (+23)","1","25:01","6","10",".600","3","4",".750","4","5",".800","0","2","2","2","1","1","0","1","19","17.3","+18",".779",".750","0.0","9.1","4.7","9.7","2.0","3.3","0.0","21.3","165","106"
"31","25","2018-12-17","29-094","PHI","@","SAS","L (-27)","1","30:22","3","13",".231","0","3",".000","0","0","","1","2","3","2","1","0","0","0","6","1.8","-24",".231",".231","3.0","9.6","5.5","9.0","1.6","0.0","0.0","18.5","62","129"
"32","26","2018-12-19","29-096","PHI","","NYK","W (+22)","1","31:08","6","9",".667","0","1",".000","8","10",".800","1","3","4","4","3","0","0","3","20","21.5","+16",".746",".667","3.9","10.1","7.2","16.3","4.6","0.0","0.0","19.1","166","104"
"33","27","2018-12-22","29-099","PHI","","TOR","W (+25)","1","28:37","4","10",".400","0","2",".000","4","4","1.000","1","6","7","7","3","1","2","3","12","14.5","+7",".510",".400","4.5","17.7","12.5","29.9","4.7","3.0","14.5","20.7","110","87"
