"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","31-015","UTA","@","SAC","W (+6)","1","35:13","9","12",".750","4","6",".667","0","0","","0","1","1","6","4","0","5","3","22","19.5","-7",".917",".917","0.0","3.1","1.7","28.5","5.2","0.0","29.4","20.6","128","106"
"2","2","2018-10-19","31-017","UTA","","GSW","L (-1)","1","35:41","10","15",".667","7","11",".636","0","0","","0","4","4","4","2","1","1","3","27","25.0","+6",".900",".900","0.0","14.9","6.6","20.3","2.6","2.0","6.3","18.3","164","119"
"3","3","2018-10-22","31-020","UTA","","MEM","L (-8)","1","36:56","4","13",".308","1","7",".143","0","0","","2","6","8","5","2","0","2","2","9","7.4","+4",".346",".346","5.7","16.6","11.2","27.3","2.7","0.0","13.3","18.2","80","96"
"4","4","2018-10-24","31-022","UTA","@","HOU","W (+11)","1","31:25","3","8",".375","3","6",".500","2","2","1.000","0","6","6","3","1","0","3","1","11","8.1","+16",".619",".563","0.0","19.1","11.2","15.6","1.6","0.0","25.3","16.8","101","94"
"5","5","2018-10-27","31-025","UTA","@","NOP","W (+21)","1","28:28","2","10",".200","0","4",".000","3","4",".750","0","4","4","2","1","0","2","2","7","1.2","+19",".298",".200","0.0","14.1","8.1","7.9","1.6","0.0","14.5","19.8","62","104"
"6","6","2018-10-28","31-026","UTA","@","DAL","W (+9)","1","30:55","4","11",".364","3","7",".429","1","1","1.000","0","7","7","5","1","0","4","3","12","7.3","+9",".524",".500","0.0","23.1","12.6","21.7","1.6","0.0","25.9","22.3","90","104"
"7","7","2018-10-31","31-029","UTA","@","MIN","L (-3)","1","35:00","6","12",".500","1","6",".167","0","2",".000","0","6","6","5","1","0","3","4","13","7.9","+7",".505",".542","0.0","23.5","9.2","17.7","1.3","0.0","18.9","17.5","98","126"
"8","8","2018-11-02","31-031","UTA","","MEM","L (-10)","1","36:56","6","13",".462","3","8",".375","4","5",".800","0","3","3","2","1","1","5","2","19","10.1","-3",".625",".577","0.0","10.3","5.0","9.2","1.4","2.7","24.8","25.7","96","121"
"9","9","2018-11-03","31-032","UTA","@","DEN","L (-15)","1","32:44","1","5",".200","1","4",".250","1","2",".500","0","4","4","6","2","0","1","3","4","5.7","-20",".340",".300","0.0","15.4","6.7","27.9","3.1","0.0","14.5","9.7","89","109"
"10","10","2018-11-05","31-034","UTA","","TOR","L (-13)","1","32:07","3","13",".231","2","6",".333","1","4",".250","1","1","2","2","1","0","2","2","9","0.5","-20",".305",".308","3.1","4.3","3.6","8.9","1.5","0.0","11.9","21.6","65","129"
