"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","24-214","PHI","@","BOS","L (-18)","1","36:49","9","21",".429","1","4",".250","4","5",".800","2","8","10","2","1","2","5","3","23","12.9","-8",".496",".452","5.3","19.7","12.8","11.7","1.3","4.3","17.7","32.5","84","98"
"2","2","2018-10-18","24-216","PHI","","CHI","W (+19)","1","32:51","9","14",".643","0","3",".000","12","14",".857","1","11","12","3","1","4","2","4","30","29.3","+26",".744",".643","3.2","32.8","18.7","14.2","1.3","8.6","9.0","27.2","144","92"
"3","3","2018-10-20","24-218","PHI","","ORL","W (+1)","1","33:41","13","26",".500","3","5",".600","3","4",".750","4","6","10","3","0","0","0","2","32","24.5","-8",".576",".558","11.9","18.2","15.0","16.1","0.0","0.0","0.0","36.5","128","123"
"4","4","2018-10-23","24-221","PHI","@","DET","L (-1)","1","38:41","11","20",".550","0","4",".000","11","14",".786","1","10","11","7","0","3","1","5","33","29.9","+3",".631",".550","3.3","26.3","16.0","28.3","0.0","5.5","3.7","30.7","136","115"
"5","5","2018-10-24","24-222","PHI","@","MIL","L (-15)","1","35:54","9","24",".375","2","7",".286","10","13",".769","3","16","19","6","0","3","2","2","30","26.0","+3",".505",".417","8.0","41.9","25.2","30.9","0.0","7.0","6.3","35.0","107","102"
"6","6","2018-10-27","24-225","PHI","","CHO","W (+2)","1","36:46","10","22",".455","1","5",".200","6","6","1.000","2","13","15","2","0","2","3","3","27","19.5","-2",".548",".477","4.9","33.3","18.8","11.9","0.0","4.4","10.9","31.3","107","98"
"7","7","2018-10-29","24-227","PHI","","ATL","W (+21)","1","29:35","3","9",".333","0","2",".000","4","4","1.000","2","4","6","6","0","2","4","3","10","7.9","+12",".465",".333","6.1","11.2","8.8","26.9","0.0","5.7","27.1","19.0","94","90"
"8","8","2018-10-30","24-228","PHI","@","TOR","L (-17)","1","32:32","11","21",".524","3","4",".750","6","7",".857","5","6","11","4","0","1","2","4","31","25.5","-7",".644",".595","14.5","22.7","18.0","27.1","0.0","2.3","7.7","30.3","135","122"
"9","9","2018-11-01","24-230","PHI","","LAC","W (+9)","1","33:08","16","32",".500","3","8",".375","6","9",".667","4","9","13","1","0","4","2","5","41","28.8","+16",".570",".547","13.2","31.8","22.2","7.0","0.0","9.2","5.3","46.1","113","101"
"10","10","2018-11-03","24-232","PHI","","DET","W (+10)","1","33:48","10","18",".556","1","3",".333","18","23",".783","0","17","17","1","0","2","4","5","39","29.6","+1",".693",".583","0.0","49.3","27.1","10.3","0.0","5.4","12.5","42.1","120","88"
"11","11","2018-11-04","24-233","PHI","@","BRK","L (-25)","1","32:20","4","8",".500","0","1",".000","8","10",".800","1","14","15","4","0","1","5","5","16","12.6","-5",".645",".500","4.6","40.0","26.5","23.7","0.0","1.9","28.7","23.5","105","112"
"12","12","2018-11-07","24-236","PHI","@","IND","W (+6)","1","36:03","7","16",".438","1","5",".200","5","6",".833","1","9","10","2","1","3","5","2","20","13.3","+7",".536",".469","3.5","26.1","15.9","10.0","1.4","6.3","21.2","30.1","87","91"
"13","13","2018-11-09","24-238","PHI","","CHO","W (+1)","1","39:03","11","18",".611","1","2",".500","19","22",".864","2","16","18","4","0","4","3","4","42","39.8","+9",".759",".639","5.7","36.2","22.6","18.1","0.0","7.8","9.8","32.5","147","108"
"14","14","2018-11-10","24-239","PHI","@","MEM","L (-6)","1","39:22","4","15",".267","0","6",".000","6","10",".600","2","14","16","5","1","1","6","5","14","6.3","+4",".361",".267","7.1","34.3","23.2","17.4","1.3","1.8","23.6","29.7","72","101"
"15","15","2018-11-12","24-241","PHI","@","MIA","W (+10)","1","35:40","8","15",".533","3","4",".750","16","20",".800","6","12","18","3","0","0","2","1","35","33.6","+12",".735",".633","19.2","40.4","29.5","14.3","0.0","0.0","7.8","31.8","152","116"
"16","16","2018-11-14","24-243","PHI","@","ORL","L (-5)","1","35:48","6","20",".300","4","7",".571","3","4",".750","0","13","13","10","0","2","2","2","19","16.5","+2",".437",".400","0.0","48.4","22.3","40.7","0.0","5.2","8.4","29.9","103","112"
"17","17","2018-11-16","24-245","PHI","","UTA","W (+6)","1","26:14","7","20",".350","1","4",".250","8","9",".889","1","6","7","2","2","3","1","4","23","16.8","+12",".480",".375","4.7","26.8","16.0","13.0","3.6","8.3","4.0","40.7","107","93"
"18","18","2018-11-17","24-246","PHI","@","CHO","W (+3)","1","40:07","9","23",".391","2","5",".400","13","14",".929","2","9","11","3","1","2","4","5","33","22.7","-4",".566",".435","5.4","22.4","14.2","14.6","1.1","3.9","12.1","34.0","109","100"
"19","19","2018-11-19","24-248","PHI","","PHO","W (+5)","1","35:32","12","23",".522","0","5",".000","9","12",".750","3","14","17","1","3","1","6","4","33","23.6","+18",".583",".522","10.4","42.0","27.3","5.4","3.9","2.5","17.5","38.1","104","99"
"20","20","2018-11-21","24-250","PHI","","NOP","W (+1)","1","32:10","11","23",".478","2","4",".500","7","9",".778","5","14","19","2","0","2","7","5","31","20.0","-11",".575",".522","16.6","37.3","28.1","10.8","0.0","4.4","20.6","40.4","99","101"
"21","21","2018-11-23","24-252","PHI","","CLE","L (-9)","1","32:52","8","13",".615","2","4",".500","6","8",".750","0","12","12","3","0","0","2","3","24","19.8","-19",".726",".692","0.0","42.7","24.0","15.5","0.0","0.0","10.8","28.0","129","127"
"22","22","2018-11-25","24-254","PHI","@","BRK","W (+2)","1","36:16","11","19",".579","0","3",".000","10","12",".833","2","10","12","4","0","2","4","4","32","25.3","+11",".659",".579","5.8","33.9","18.7","18.0","0.0","4.2","14.1","32.7","123","123"
"23","23","2018-11-28","24-257","PHI","","NYK","W (+26)","1","30:16","10","21",".476","0","3",".000","6","8",".750","2","12","14","7","1","1","1","1","26","24.7","+25",".530",".476","8.3","35.9","24.4","35.6","1.6","2.5","3.9","36.8","120","82"
"24","24","2018-11-30","24-259","PHI","","WAS","W (+25)","1","22:18","5","12",".417","1","3",".333","5","10",".500","5","10","15","0","0","3","0","0","16","16.2","+30",".488",".458","21.1","43.9","32.3","0.0","0.0","10.1","0.0","28.3","119","86"
"25","25","2018-12-02","24-261","PHI","","MEM","W (+8)","1","37:46","4","13",".308","0","2",".000","7","8",".875","0","14","14","3","1","1","4","3","15","9.9","+13",".454",".308","0.0","40.4","22.5","12.3","1.3","2.5","19.5","25.3","80","92"
"26","26","2018-12-05","24-264","PHI","@","TOR","L (-11)","1","36:25","5","17",".294","0","4",".000","0","2",".000","2","10","12","5","0","2","4","5","10","2.6","-23",".280",".294","5.6","24.0","15.5","19.7","0.0","3.7","18.3","25.0","64","108"
"28","27","2018-12-10","24-269","PHI","","DET","W (+14)","1","32:42","6","16",".375","1","4",".250","11","14",".786","2","6","8","3","2","2","3","3","24","18.5","+30",".542",".406","5.6","21.0","12.5","14.6","3.0","4.7","11.9","31.7","112","98"
"29","28","2018-12-12","24-271","PHI","","BRK","L (-3)","1","38:03","12","18",".667","2","3",".667","7","8",".875","3","14","17","6","1","1","6","5","33","29.0","+7",".767",".722","9.5","51.9","29.0","21.7","1.2","2.7","21.8","30.2","127","122"
"30","29","2018-12-14","24-273","PHI","","IND","L (-12)","1","34:09","13","22",".591","1","6",".167","13","16",".813","8","13","21","3","1","1","6","4","40","34.3","-4",".689",".614","21.2","42.5","30.7","23.8","1.4","1.9","17.1","42.5","126","108"
"31","30","2018-12-16","24-275","PHI","@","CLE","W (+23)","1","28:41","10","16",".625","0","1",".000","4","6",".667","1","8","9","2","0","1","3","1","24","17.8","+13",".644",".625","4.3","31.9","18.6","9.8","0.0","2.9","13.9","33.0","116","108"
"32","31","2018-12-17","24-276","PHI","@","SAS","L (-27)","1","29:02","6","17",".353","0","6",".000","1","1","1.000","3","8","11","5","0","0","4","0","13","7.5","-18",".373",".353","9.4","40.1","21.1","27.5","0.0","0.0","18.7","31.9","77","130"
"33","32","2018-12-19","24-278","PHI","","NYK","W (+22)","1","25:49","10","17",".588","0","0","","4","4","1.000","3","7","10","3","0","1","4","4","24","17.5","+10",".640",".588","13.9","28.3","21.6","19.6","0.0","3.4","17.6","39.2","115","109"
"34","33","2018-12-22","24-281","PHI","","TOR","W (+25)","1","30:38","10","15",".667","0","0","","7","9",".778","1","10","11","1","1","1","3","3","27","21.6","+15",".712",".667","4.2","27.5","18.3","5.2","1.5","2.8","13.7","30.9","120","92"
"35","34","2018-12-25","24-284","PHI","@","BOS","L (-7)","1","40:13","10","17",".588","2","4",".500","12","12","1.000","0","16","16","2","0","2","5","2","34","27.9","+2",".763",".647","0.0","35.1","19.0","10.6","0.0","3.9","18.3","29.0","124","103"
"36","35","2018-12-27","24-286","PHI","@","UTA","W (+17)","1","32:33","9","17",".529","2","6",".333","3","4",".750","2","13","15","6","0","5","4","6","23","20.9","+17",".613",".588","7.2","38.3","24.3","29.8","0.0","14.5","17.6","31.4","112","87"
"38","36","2019-01-01","24-291","PHI","@","LAC","W (+6)","1","35:17","9","19",".474","2","4",".500","8","12",".667","4","15","19","3","1","3","5","5","28","22.2","-4",".577",".526","11.8","40.8","26.9","13.7","1.3","6.2","17.1","32.8","111","99"
"39","37","2019-01-02","24-292","PHI","@","PHO","W (+5)","1","36:11","12","23",".522","1","1","1.000","17","19",".895","4","14","18","2","3","2","4","3","42","37.5","+6",".670",".543","16.6","37.9","29.5","11.0","3.7","4.3","11.3","40.9","131","105"
