"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-293","MIL","@","CHO","W (+1)","0","12:00","1","3",".333","0","0","","2","2","1.000","2","4","6","0","0","1","2","1","4","3.2","+2",".515",".333","18.6","29.1","24.5","0.0","0.0","7.4","34.0","20.5","87","103"
"2","2","2018-10-19","27-295","MIL","","IND","W (+17)","0","22:26","3","7",".429","2","3",".667","2","4",".500","3","6","9","0","0","3","0","2","10","10.7","-5",".571",".571","14.9","26.7","21.2","0.0","0.0","9.3","0.0","15.7","131","92"
"3","3","2018-10-22","27-298","MIL","","NYK","W (+11)","0","17:19","4","7",".571","0","2",".000","1","2",".500","3","6","9","1","1","2","3","2","9","8.5","-4",".571",".571","16.3","35.4","25.5","8.2","2.7","7.9","27.6","25.0","96","98"
"4","4","2018-10-24","27-300","MIL","","PHI","W (+15)","0","16:05","1","4",".250","0","2",".000","0","0","","2","4","6","0","2","1","0","3","2","3.7","+7",".250",".250","11.7","23.9","17.7","0.0","5.4","5.1","0.0","9.6","83","85"
"5","5","2018-10-26","27-302","MIL","@","MIN","W (+30)","0","18:03","3","6",".500","3","4",".750","0","0","","1","11","12","1","0","1","0","0","9","11.4","+12",".750",".750","6.8","40.6","28.7","6.5","0.0","3.9","0.0","14.0","151","76"
"6","6","2018-10-27","27-303","MIL","","ORL","W (+22)","0","14:44","2","7",".286","0","1",".000","0","0","","0","5","5","3","2","1","1","0","4","5.2","+3",".286",".286","0.0","26.3","16.6","28.3","6.2","5.6","12.5","23.0","71","69"
"7","7","2018-10-29","27-305","MIL","","TOR","W (+15)","0","10:39","2","4",".500","0","1",".000","0","0","","2","3","5","1","1","0","2","2","4","3.2","+14",".500",".500","20.5","21.1","20.9","12.5","4.2","0.0","33.3","23.0","89","92"
"8","8","2018-11-01","27-308","MIL","@","BOS","L (-4)","0","9:55","2","4",".500","1","2",".500","1","2",".500","0","3","3","0","0","0","0","0","6","4.5","-4",".615",".625","0.0","32.3","16.7","0.0","0.0","0.0","0.0","21.1","122","118"
"9","9","2018-11-04","27-311","MIL","","SAC","W (+35)","0","19:39","4","7",".571","2","5",".400","0","0","","1","5","6","1","0","0","1","2","10","7.8","+3",".714",".714","5.3","22.6","14.7","6.7","0.0","0.0","12.5","16.1","126","102"
"10","10","2018-11-06","27-313","MIL","@","POR","L (-15)","0","10:19","3","5",".600","0","2",".000","0","0","","0","1","1","1","0","0","0","1","6","4.3","-7",".600",".600","0.0","11.3","5.0","17.9","0.0","0.0","0.0","21.8","124","128"
"11","11","2018-11-08","27-315","MIL","@","GSW","W (+23)","0","13:17","2","4",".500","0","2",".000","0","0","","2","1","3","0","0","1","2","0","4","2.4","+5",".500",".500","16.8","8.8","12.9","0.0","0.0","6.1","33.3","17.4","82","108"
"12","12","2018-11-10","27-317","MIL","@","LAC","L (-2)","0","10:40","3","4",".750","2","3",".667","0","0","","0","2","2","4","1","1","1","3","8","9.3","-9","1.000","1.000","0.0","21.1","9.4","61.9","4.3","7.6","20.0","18.8","165","101"
"13","13","2018-11-11","27-318","MIL","@","DEN","W (+7)","0","7:55","1","3",".333","1","2",".500","0","0","","0","1","1","1","0","0","0","0","3","2.3","-9",".500",".500","0.0","13.2","7.6","14.5","0.0","0.0","0.0","17.9","115","127"
"14","14","2018-11-14","27-321","MIL","","MEM","L (-3)","0","5:23","0","2",".000","0","2",".000","0","0","","0","3","3","1","0","0","0","0","0","0.2","-7",".000",".000","0.0","68.6","34.3","21.7","0.0","0.0","0.0","16.4","34","118"
