"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"38","1","2019-01-04","23-245","LAC","@","PHO","W (+10)","0","0:29","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","119"
"39","2","2019-01-06","23-247","LAC","","ORL","W (+10)","0","1:55","2","2","1.000","0","0","","0","0","","1","0","1","0","0","0","0","0","4","4.1","-5","1.000","1.000","48.2","0.0","23.4","0.0","0.0","0.0","0.0","45.5","203","108"
"40","3","2019-01-08","23-249","LAC","","CHO","W (+19)","0","3:47","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.0","-4",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.6","97","118"
"41","4","2019-01-10","23-251","LAC","@","DEN","L (-21)","0","4:21","1","4",".250","0","2",".000","4","5",".800","2","1","3","0","0","0","1","0","6","3.9","+1",".484",".250","48.0","24.5","36.4","0.0","0.0","0.0","13.9","71.9","101","124"
"44","5","2019-01-16","23-257","LAC","","UTA","L (-20)","0","4:19","2","4",".500","0","0","","1","1","1.000","1","0","1","2","0","0","0","0","5","5.1","-2",".563",".500","21.8","0.0","12.5","97.7","0.0","0.0","0.0","42.5","140","131"
"45","6","2019-01-18","23-259","LAC","","GSW","L (-18)","0","7:33","3","6",".500","0","0","","1","1","1.000","1","0","1","1","0","1","0","2","7","5.3","0",".543",".500","12.2","0.0","6.7","53.3","0.0","13.0","0.0","34.6","123","101"
"46","7","2019-01-20","23-261","LAC","@","SAS","W (+8)","0","18:08","4","6",".667","0","0","","2","5",".400","0","4","4","0","1","0","4","2","10","3.6","+3",".610",".667","0.0","22.5","11.5","0.0","2.7","0.0","32.8","30.3","72","93"
"47","8","2019-01-22","23-263","LAC","@","DAL","L (-8)","0","15:14","2","5",".400","0","0","","3","4",".750","2","1","3","0","1","0","1","1","7","5.2","-3",".518",".400","11.9","8.8","10.6","0.0","3.4","0.0","12.9","22.1","105","112"
"48","9","2019-01-23","23-264","LAC","@","MIA","W (+12)","0","9:14","3","6",".500","0","0","","1","2",".500","2","2","4","1","0","0","1","1","7","4.9","+5",".509",".500","29.7","22.6","25.7","17.7","0.0","0.0","12.7","40.5","106","107"
"49","10","2019-01-25","23-266","LAC","@","CHI","W (+5)","0","10:20","2","6",".333","0","0","","0","2",".000","3","4","7","1","0","0","0","2","4","3.0","-3",".291",".333","33.2","32.6","32.8","16.2","0.0","0.0","0.0","28.9","87","95"
