"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-181","MIA","@","ORL","L (-3)","0","15:25","1","4",".250","0","3",".000","2","2","1.000","1","0","1","0","0","0","1","3","4","0.1","-16",".410",".250","6.1","0.0","3.0","0.0","0.0","0.0","17.0","14.9","83","108"
"2","2","2018-10-18","27-182","MIA","@","WAS","W (+1)","0","15:22","4","6",".667","1","2",".500","0","0","","2","2","4","1","0","1","0","2","9","9.0","0",".750",".750","11.4","15.6","13.2","12.2","0.0","5.7","0.0","14.6","165","110"
"3","3","2018-10-20","27-184","MIA","","CHO","L (-1)","0","15:30","3","6",".500","1","3",".333","1","2",".500","1","2","3","2","0","1","1","2","8","6.2","-14",".581",".583","7.7","12.6","10.4","19.5","0.0","6.1","12.7","21.1","119","115"
"4","4","2018-10-24","27-188","MIA","","NYK","W (+23)","1","30:23","4","8",".500","1","5",".200","2","2","1.000","0","3","3","6","1","0","0","1","11","12.7","+25",".619",".563","0.0","8.3","4.9","29.0","1.6","0.0","0.0","13.1","142","92"
"5","5","2018-10-27","27-191","MIA","","POR","W (+9)","1","28:48","6","9",".667","3","6",".500","4","5",".800","1","4","5","5","1","0","1","2","19","19.3","+8",".848",".833","3.3","13.9","8.5","24.5","1.7","0.0","8.2","17.0","170","114"
"6","6","2018-10-29","27-193","MIA","","SAC","L (-10)","1","15:45","1","7",".143","1","5",".200","0","0","","0","2","2","0","1","1","2","2","3","-2.0","-9",".214",".214","0.0","12.7","6.2","0.0","2.8","4.3","22.2","21.9","36","110"
"7","7","2018-10-30","27-194","MIA","@","CHO","L (-12)","1","21:25","4","6",".667","1","3",".333","5","6",".833","2","1","3","3","2","0","2","3","14","13.6","-3",".810",".750","10.9","7.0","9.2","21.0","4.6","0.0","18.8","21.2","143","124"
"8","8","2018-11-03","27-198","MIA","@","ATL","L (-5)","1","13:48","0","2",".000","0","2",".000","0","0","","0","1","1","0","0","0","1","2","0","-2.9","-6",".000",".000","0.0","9.7","4.5","0.0","0.0","0.0","33.3","9.2","0","127"
"9","9","2018-11-05","27-200","MIA","@","DET","W (+5)","0","23:57","3","10",".300","3","9",".333","4","5",".800","0","5","5","4","1","2","2","5","13","9.5","+3",".533",".450","0.0","17.8","10.1","23.7","1.9","6.3","14.1","24.4","104","95"
"10","10","2018-11-07","27-202","MIA","","SAS","W (+7)","0","12:35","0","0","","0","0","","1","2",".500","1","3","4","3","0","0","2","4","1","0.7","+10",".568","","7.5","19.7","14.0","31.8","0.0","0.0","69.4","9.6","79","96"
"11","11","2018-11-09","27-204","MIA","","IND","L (-8)","0","21:16","6","8",".750","3","5",".600","5","7",".714","0","4","4","2","0","0","1","1","20","17.2","+2",".903",".938","0.0","25.8","11.7","20.1","0.0","0.0","8.3","23.7","157","111"
"12","12","2018-11-10","27-205","MIA","","WAS","L (-6)","0","11:36","1","3",".333","1","3",".333","2","2","1.000","0","1","1","2","0","0","2","1","5","2.6","-4",".644",".500","0.0","10.3","4.8","23.7","0.0","0.0","34.0","20.5","100","123"
"13","13","2018-11-12","27-207","MIA","","PHI","L (-10)","0","22:11","3","5",".600","1","3",".333","6","6","1.000","1","6","7","2","1","0","4","5","13","9.6","+8",".851",".700","5.4","30.9","18.5","14.2","2.2","0.0","34.4","23.6","119","123"
"14","14","2018-11-14","27-209","MIA","@","BRK","W (+13)","0","15:52","3","4",".750","1","2",".500","1","3",".333","1","4","5","3","0","1","3","4","8","5.7","+6",".752",".875","8.4","21.2","16.3","24.6","0.0","4.1","36.1","22.0","106","98"
"15","15","2018-11-16","27-211","MIA","@","IND","L (-8)","0","16:28","0","7",".000","0","2",".000","0","0","","3","3","6","1","1","0","2","0","0","-2.2","-14",".000",".000","15.6","20.8","17.8","8.3","2.9","0.0","22.2","23.1","25","98"
"16","16","2018-11-18","27-213","MIA","","LAL","L (-16)","0","8:29","1","2",".500","1","2",".500","0","0","","0","2","2","0","0","0","0","0","3","2.6","-10",".750",".750","0.0","22.6","11.5","0.0","0.0","0.0","0.0","10.5","146","119"
"18","17","2018-11-23","27-218","MIA","@","CHI","W (+7)","0","12:35","1","4",".250","0","3",".000","1","2",".500","0","2","2","0","0","1","1","2","3","-0.3","+4",".307",".250","0.0","15.6","7.7","0.0","0.0","5.8","17.0","19.6","53","96"
"19","18","2018-11-25","27-220","MIA","@","TOR","L (-10)","0","16:04","4","6",".667","3","4",".750","0","0","","1","2","3","1","1","0","0","2","11","10.6","+17",".917",".917","5.6","14.9","9.6","11.0","3.1","0.0","0.0","15.4","187","127"
"20","19","2018-11-27","27-222","MIA","","ATL","L (-2)","0","21:28","3","6",".500","2","5",".400","0","0","","0","3","3","1","1","0","1","2","8","5.8","+10",".667",".667","0.0","16.0","7.5","6.7","2.1","0.0","14.3","13.0","114","112"
"21","20","2018-11-30","27-225","MIA","","NOP","W (+5)","0","25:04","4","8",".500","3","6",".500","2","2","1.000","2","5","7","2","2","0","1","3","13","13.1","+20",".732",".688","8.0","21.8","14.6","11.8","3.9","0.0","10.1","16.7","143","99"
"22","21","2018-12-02","27-227","MIA","","UTA","W (+2)","0","29:10","4","8",".500","3","6",".500","5","7",".714","2","6","8","1","1","1","1","0","16","15.8","+18",".722",".688","6.1","21.5","13.2","5.6","1.7","2.9","8.3","17.4","141","102"
"23","22","2018-12-04","27-229","MIA","","ORL","L (-15)","0","27:42","4","11",".364","4","10",".400","1","2",".500","1","5","6","2","1","1","2","4","13","8.2","-6",".547",".545","3.6","20.6","11.6","11.2","1.9","3.0","14.4","22.2","107","114"
"24","23","2018-12-07","27-232","MIA","@","PHO","W (+17)","0","22:19","5","11",".455","1","6",".167","2","2","1.000","0","4","4","3","1","1","1","4","13","9.7","-5",".547",".500","0.0","22.6","10.5","20.7","2.2","4.8","7.8","26.2","106","95"
"25","24","2018-12-08","27-233","MIA","@","LAC","W (+23)","0","30:04","2","13",".154","2","8",".250","9","11",".818","4","6","10","4","1","1","1","5","15","12.0","+12",".420",".231","12.8","17.1","15.1","17.3","1.5","2.7","5.3","25.0","111","94"
"26","25","2018-12-10","27-235","MIA","@","LAL","L (-3)","0","23:57","6","10",".600","0","3",".000","3","3","1.000","0","4","4","3","1","0","3","2","15","10.9","+5",".663",".600","0.0","16.7","8.4","20.1","2.0","0.0","20.9","24.6","110","111"
"27","26","2018-12-12","27-237","MIA","@","UTA","L (-27)","0","27:34","4","8",".500","2","4",".500","4","5",".800","2","6","8","3","2","0","1","3","14","14.7","-18",".686",".625","7.4","29.8","17.0","23.7","3.6","0.0","8.9","19.4","134","111"
"28","27","2018-12-14","27-239","MIA","@","MEM","W (+3)","0","26:00","5","9",".556","4","7",".571","4","5",".800","1","4","5","5","1","1","2","1","18","18.0","+12",".804",".778","4.9","16.1","11.0","34.5","2.1","3.4","15.2","23.0","147","107"
"29","28","2018-12-16","27-241","MIA","@","NOP","W (+6)","0","32:16","2","9",".222","0","5",".000","4","4","1.000","1","5","6","1","0","0","1","3","8","3.2","+1",".372",".222","3.0","16.2","9.4","4.2","0.0","0.0","8.5","14.7","97","110"
"30","29","2018-12-20","27-245","MIA","","HOU","W (+2)","0","22:08","3","8",".375","1","6",".167","0","0","","4","5","9","2","0","0","1","4","7","5.7","+6",".438",".438","16.4","22.1","19.1","14.7","0.0","0.0","11.1","16.7","108","109"
"31","30","2018-12-22","27-247","MIA","","MIL","W (+7)","0","19:57","4","12",".333","2","9",".222","1","1","1.000","0","6","6","0","1","0","2","2","11","4.2","-5",".442",".417","0.0","27.8","13.7","0.0","2.4","0.0","13.9","31.3","74","85"
