"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","21-217","PHI","@","BOS","L (-18)","0","12:42","0","4",".000","0","2",".000","1","2",".500","0","1","1","0","0","0","0","0","1","-1.9","-8",".102",".000","0.0","7.1","3.7","0.0","0.0","0.0","0.0","16.3","23","108"
"2","2","2018-10-18","21-219","PHI","","CHI","W (+19)","0","29:11","4","7",".571","4","7",".571","0","0","","0","4","4","1","2","1","0","1","12","12.9","+1",".857",".857","0.0","13.4","7.0","4.4","3.0","2.4","0.0","9.7","163","97"
"3","3","2018-10-20","21-221","PHI","","ORL","W (+1)","0","20:56","0","4",".000","0","3",".000","0","0","","2","2","4","2","0","0","1","0","0","-0.4","+12",".000",".000","9.6","9.8","9.7","10.2","0.0","0.0","20.0","10.6","55","126"
"4","4","2018-10-23","21-224","PHI","@","DET","L (-1)","1","24:24","2","5",".400","1","4",".250","0","0","","0","0","0","2","0","0","0","2","5","2.9","-5",".500",".500","0.0","0.0","0.0","9.7","0.0","0.0","0.0","9.0","115","126"
"5","5","2018-10-24","21-225","PHI","@","MIL","L (-15)","0","8:15","1","4",".250","1","2",".500","0","0","","0","0","0","0","1","0","1","1","3","0.2","-4",".375",".375","0.0","0.0","0.0","0.0","5.2","0.0","20.0","24.0","55","106"
"6","6","2018-10-27","21-228","PHI","","CHO","W (+2)","0","9:14","1","3",".333","1","2",".500","1","1","1.000","0","0","0","0","0","0","0","0","4","2.3","-1",".581",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.5","126","111"
"7","7","2018-10-29","21-230","PHI","","ATL","W (+21)","0","24:42","4","8",".500","2","5",".400","3","3","1.000","0","1","1","2","1","0","1","2","13","9.9","+8",".697",".625","0.0","3.4","1.8","11.7","1.8","0.0","9.7","15.9","132","93"
"8","8","2018-10-30","21-231","PHI","@","TOR","L (-17)","0","16:25","3","8",".375","2","6",".333","0","0","","0","0","0","0","0","0","0","2","8","2.8","-8",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.4","108","128"
"9","9","2018-11-01","21-233","PHI","","LAC","W (+9)","0","23:14","5","8",".625","3","6",".500","0","1",".000","0","1","1","0","1","0","0","3","13","9.1","0",".770",".813","0.0","5.0","2.4","0.0","1.9","0.0","0.0","14.6","141","109"
"10","10","2018-11-03","21-235","PHI","","DET","W (+10)","0","19:25","4","7",".571","2","5",".400","1","1","1.000","0","1","1","1","0","0","1","0","11","7.7","+13",".739",".714","0.0","5.0","2.8","13.6","0.0","0.0","11.8","19.2","115","101"
"11","11","2018-11-04","21-236","PHI","@","BRK","L (-25)","0","28:27","3","6",".500","2","5",".400","4","5",".800","0","1","1","1","0","0","1","0","12","8.6","-28",".732",".667","0.0","3.2","2.0","6.5","0.0","0.0","10.9","14.1","138","127"
"12","12","2018-11-07","21-239","PHI","@","IND","W (+6)","0","22:53","4","8",".500","3","6",".500","1","1","1.000","0","1","1","1","1","1","1","3","12","8.5","-11",".711",".688","0.0","4.6","2.5","7.6","2.1","3.3","10.6","18.9","118","97"
"13","13","2018-11-09","21-241","PHI","","CHO","W (+1)","0","18:31","1","6",".167","1","5",".200","0","0","","0","0","0","1","1","1","0","3","3","0.4","+1",".250",".250","0.0","0.0","0.0","6.8","2.5","4.1","0.0","13.4","67","119"
"14","14","2018-11-10","21-242","PHI","@","MEM","L (-6)","1","42:30","2","13",".154","1","11",".091","0","0","","1","1","2","5","2","0","2","3","5","0.0","-13",".192",".192","3.3","2.3","2.7","15.0","2.4","0.0","13.3","16.3","60","113"
"15","15","2018-11-12","21-244","PHI","@","MIA","W (+10)","0","23:42","3","5",".600","2","4",".500","2","2","1.000","0","0","0","1","0","0","0","4","10","6.8","+10",".850",".800","0.0","0.0","0.0","6.2","0.0","0.0","0.0","10.9","174","123"
"16","16","2018-11-14","21-246","PHI","@","ORL","L (-5)","0","14:46","3","7",".429","1","4",".250","0","0","","1","0","1","1","0","0","0","1","7","4.3","-15",".500",".500","7.7","0.0","4.2","10.4","0.0","0.0","0.0","21.3","112","123"
"17","17","2018-11-16","21-248","PHI","","UTA","W (+6)","0","14:17","2","4",".500","2","4",".500","0","0","","0","1","1","1","0","0","1","3","6","2.8","-4",".750",".750","0.0","8.2","4.2","9.8","0.0","0.0","20.0","15.0","117","110"
"18","18","2018-11-17","21-249","PHI","@","CHO","W (+3)","0","23:28","2","6",".333","1","4",".250","0","0","","0","2","2","0","1","0","0","3","5","2.0","-3",".417",".417","0.0","8.5","4.4","0.0","1.9","0.0","0.0","10.5","84","105"
"19","19","2018-11-19","21-251","PHI","","PHO","W (+5)","0","20:36","3","4",".750","2","3",".667","1","1","1.000","0","0","0","1","0","0","0","2","9","7.3","-6","1.014","1.000","0.0","0.0","0.0","6.9","0.0","0.0","0.0","8.5","206","115"
"20","20","2018-11-21","21-253","PHI","","NOP","W (+1)","0","20:10","4","6",".667","4","6",".667","3","3","1.000","0","3","3","1","1","0","0","5","15","13.0","+14","1.025","1.000","0.0","12.8","7.1","6.9","2.2","0.0","0.0","13.9","202","111"
"21","21","2018-11-23","21-255","PHI","","CLE","L (-9)","0","29:10","4","9",".444","2","7",".286","0","0","","0","2","2","1","0","0","0","1","10","6.2","+2",".556",".556","0.0","8.0","4.5","4.9","0.0","0.0","0.0","15.4","108","138"
"22","22","2018-11-25","21-257","PHI","@","BRK","W (+2)","0","19:23","5","7",".714","4","4","1.000","2","2","1.000","0","2","2","1","0","0","0","2","16","13.6","-3","1.015","1.000","0.0","12.7","5.8","7.8","0.0","0.0","0.0","17.0","198","130"
"23","23","2018-11-28","21-260","PHI","","NYK","W (+26)","0","21:36","2","4",".500","1","2",".500","0","0","","0","3","3","2","0","0","2","1","5","2.9","0",".625",".625","0.0","12.6","7.3","10.4","0.0","0.0","33.3","12.1","88","97"
"24","24","2018-11-30","21-262","PHI","","WAS","W (+25)","0","27:22","5","9",".556","2","4",".500","0","0","","0","4","4","2","1","0","0","3","12","10.1","+4",".667",".667","0.0","14.3","7.0","10.2","1.7","0.0","0.0","12.7","144","98"
"25","25","2018-12-02","21-264","PHI","","MEM","W (+8)","0","17:45","1","4",".250","1","4",".250","1","1","1.000","0","0","0","0","0","0","3","1","4","-1.8","-1",".450",".375","0.0","0.0","0.0","0.0","0.0","0.0","40.3","19.5","51","101"
"26","26","2018-12-05","21-267","PHI","@","TOR","L (-11)","0","17:05","2","6",".333","0","4",".000","2","3",".667","0","0","0","0","0","0","0","0","6","2.2","+4",".410",".333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.9","89","121"
"27","27","2018-12-07","21-269","PHI","@","DET","W (+6)","0","15:43","1","3",".333","0","1",".000","1","1","1.000","0","1","1","0","0","0","1","3","3","-0.6","-1",".436",".333","0.0","6.8","3.4","0.0","0.0","0.0","22.5","11.8","71","121"
