"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","21-325","DEN","@","LAC","W (+9)","0","11:45","2","6",".333","1","3",".333","0","0","","0","1","1","1","0","0","1","1","5","1.2","+1",".417",".417","0.0","8.0","4.0","16.5","0.0","0.0","14.3","24.8","78","107"
"2","2","2018-10-20","21-328","DEN","","PHO","W (+28)","0","7:34","1","2",".500","0","1",".000","0","0","","0","2","2","0","1","0","0","3","2","1.4","-5",".500",".500","0.0","23.1","13.5","0.0","6.2","0.0","0.0","11.0","101","77"
"3","3","2018-10-21","21-329","DEN","","GSW","W (+2)","0","11:14","1","2",".500","0","0","","0","0","","1","1","2","0","1","0","1","1","2","1.6","-6",".500",".500","9.1","10.7","9.8","0.0","4.4","0.0","33.3","11.4","77","98"
"4","4","2018-10-23","21-331","DEN","","SAC","W (+14)","0","19:29","5","10",".500","1","3",".333","0","0","","0","1","1","0","0","1","0","1","11","6.6","-13",".550",".550","0.0","5.7","2.8","0.0","0.0","4.5","0.0","20.9","117","116"
"5","5","2018-10-25","21-333","DEN","@","LAL","L (-7)","0","10:32","2","2","1.000","0","0","","0","0","","0","2","2","0","0","0","0","0","4","4.0","+6","1.000","1.000","0.0","21.2","10.6","0.0","0.0","0.0","0.0","7.6","200","119"
"6","6","2018-10-29","21-337","DEN","","NOP","W (+5)","0","31:27","5","9",".556","2","6",".333","0","0","","0","6","6","2","0","0","1","1","12","9.5","+10",".667",".667","0.0","23.5","10.8","8.9","0.0","0.0","10.0","13.1","117","113"
"7","7","2018-10-31","21-339","DEN","@","CHI","W (+1)","0","30:31","3","9",".333","0","3",".000","0","0","","1","4","5","0","1","0","2","1","6","1.4","+2",".333",".333","3.5","14.2","8.8","0.0","1.7","0.0","18.2","15.5","64","108"
"8","8","2018-11-01","21-340","DEN","@","CLE","W (+19)","0","23:58","2","8",".250","1","4",".250","0","0","","0","0","0","4","0","0","1","2","5","1.2","+9",".313",".313","0.0","0.0","0.0","21.7","0.0","0.0","11.1","17.0","91","116"
"9","9","2018-11-03","21-342","DEN","","UTA","W (+15)","0","18:34","4","8",".500","3","5",".600","1","1","1.000","0","0","0","2","0","0","1","3","12","7.2","+20",".711",".688","0.0","0.0","0.0","16.9","0.0","0.0","10.6","22.5","122","101"
"10","10","2018-11-05","21-344","DEN","","BOS","W (+8)","0","21:53","2","9",".222","1","5",".200","0","0","","0","3","3","0","0","0","2","2","5","-2.4","+13",".278",".278","0.0","16.9","7.6","0.0","0.0","0.0","18.2","20.9","50","115"
"11","11","2018-11-07","21-346","DEN","@","MEM","L (-2)","0","6:08","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-4",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","0","111"
"12","12","2018-11-09","21-348","DEN","","BRK","L (-2)","0","22:05","3","5",".600","2","3",".667","0","0","","0","3","3","1","0","0","0","2","8","6.5","+1",".800",".800","0.0","12.8","6.8","6.5","0.0","0.0","0.0","9.5","169","118"
"13","13","2018-11-11","21-350","DEN","","MIL","L (-7)","0","21:54","4","8",".500","2","4",".500","0","0","","0","4","4","0","1","0","1","2","10","6.4","-2",".625",".625","0.0","25.8","11.0","0.0","2.3","0.0","11.1","18.3","102","126"
"14","14","2018-11-13","21-352","DEN","","HOU","L (-10)","0","6:29","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","1","0","0","0","1.0","-6",".000",".000","0.0","24.7","11.8","19.5","0.0","21.8","0.0","7.5","60","116"
"15","15","2018-11-15","21-354","DEN","","ATL","W (+45)","0","23:36","6","14",".429","1","5",".200","2","3",".667","1","2","3","3","1","0","1","2","15","9.8","+6",".490",".464","5.2","6.8","6.2","15.0","1.9","0.0","6.1","27.7","109","93"
"16","16","2018-11-17","21-356","DEN","@","NOP","L (-10)","0","13:52","2","5",".400","0","3",".000","0","0","","0","2","2","0","0","0","1","0","4","0.9","-3",".400",".400","0.0","16.1","7.8","0.0","0.0","0.0","16.7","18.3","65","128"
"17","17","2018-11-19","21-358","DEN","@","MIL","L (-6)","0","22:26","4","7",".571","4","7",".571","0","0","","0","4","4","2","1","0","0","0","12","12.3","-1",".857",".857","0.0","19.9","9.1","13.6","2.2","0.0","0.0","13.0","163","104"
"18","18","2018-11-21","21-360","DEN","@","MIN","W (+2)","0","14:15","4","5",".800","3","3","1.000","0","0","","0","2","2","0","0","0","0","3","11","8.5","-11","1.100","1.100","0.0","17.3","8.4","0.0","0.0","0.0","0.0","16.1","194","112"
"19","19","2018-11-23","21-362","DEN","","ORL","W (+25)","0","15:19","2","3",".667","1","2",".500","0","0","","1","0","1","1","1","0","0","1","5","5.7","+13",".833",".833","7.0","0.0","3.6","8.3","3.3","0.0","0.0","8.4","172","93"
"20","20","2018-11-24","21-363","DEN","@","OKC","W (+7)","0","12:43","2","6",".333","1","3",".333","0","0","","0","3","3","0","0","0","0","2","5","1.7","+8",".417",".417","0.0","19.5","10.5","0.0","0.0","0.0","0.0","18.9","90","99"
"21","21","2018-11-27","22-001","DEN","","LAL","W (+32)","0","35:52","8","14",".571","2","6",".333","2","2","1.000","0","4","4","0","2","0","0","0","20","16.6","+21",".672",".643","0.0","10.3","5.4","0.0","2.8","0.0","0.0","17.4","143","88"
"22","22","2018-11-30","22-004","DEN","@","POR","W (+1)","0","13:15","1","2",".500","1","1","1.000","0","0","","0","0","0","0","1","0","0","1","3","2.6","-6",".750",".750","0.0","0.0","0.0","0.0","3.8","0.0","0.0","6.6","146","120"
"23","23","2018-12-03","22-007","DEN","@","TOR","W (+3)","0","26:35","6","8",".750","3","3","1.000","0","0","","1","1","2","1","0","0","0","0","15","13.5","+11",".938",".938","3.7","4.4","4.0","6.2","0.0","0.0","0.0","12.1","179","109"
"24","24","2018-12-05","22-009","DEN","@","ORL","W (+6)","0","30:54","3","6",".500","2","3",".667","0","0","","0","4","4","1","0","0","1","3","8","4.7","+10",".667",".667","0.0","15.2","8.3","4.3","0.0","0.0","14.3","11.1","103","121"
"25","25","2018-12-07","22-011","DEN","@","CHO","L (-6)","0","32:47","5","13",".385","4","10",".400","2","2","1.000","2","5","7","2","0","0","1","2","16","11.4","-4",".576",".538","5.3","15.3","10.0","9.2","0.0","0.0","6.7","17.9","126","124"
"26","26","2018-12-08","22-012","DEN","@","ATL","L (-8)","0","23:05","7","16",".438","3","9",".333","2","2","1.000","0","1","1","0","2","0","0","0","19","12.9","-10",".563",".531","0.0","4.5","2.1","0.0","3.9","0.0","0.0","29.0","109","100"
"27","27","2018-12-10","22-014","DEN","","MEM","W (+6)","0","15:25","3","7",".429","1","3",".333","0","0","","0","0","0","3","0","0","0","1","7","5.0","+2",".500",".500","0.0","0.0","0.0","31.5","0.0","0.0","0.0","21.8","124","123"
"28","28","2018-12-14","22-018","DEN","","OKC","W (+11)","0","15:39","0","5",".000","0","4",".000","0","0","","1","1","2","1","1","0","2","1","0","-3.2","0",".000",".000","8.5","5.6","6.7","7.3","3.2","0.0","28.6","19.6","22","105"
"29","29","2018-12-16","22-020","DEN","","TOR","W (+9)","0","15:19","2","5",".400","1","2",".500","1","2",".500","2","3","5","1","0","1","0","1","6","6.2","+6",".510",".500","13.1","20.0","16.5","10.5","0.0","5.9","0.0","18.4","123","96"
"30","30","2018-12-18","22-022","DEN","","DAL","W (+8)","0","26:30","5","8",".625","2","4",".500","0","0","","1","0","1","4","1","0","1","5","12","9.9","+12",".750",".750","4.6","0.0","2.3","17.7","1.8","0.0","11.1","14.4","146","122"
"31","31","2018-12-22","22-026","DEN","@","LAC","L (-21)","0","28:09","5","14",".357","0","3",".000","1","1","1.000","2","2","4","1","5","0","0","3","11","9.7","-8",".381",".357","6.1","9.2","7.3","5.3","8.5","0.0","0.0","21.0","91","119"
"32","32","2018-12-26","22-030","DEN","@","SAS","L (-8)","0","30:18","8","19",".421","4","12",".333","2","2","1.000","1","6","7","3","1","0","0","2","22","16.7","-7",".553",".526","2.9","22.1","11.4","21.3","1.6","0.0","0.0","28.1","115","112"
"33","33","2018-12-28","22-032","DEN","","SAS","W (+3)","0","25:44","7","11",".636","2","3",".667","5","5","1.000","0","3","3","1","0","0","0","0","21","17.7","+8",".795",".727","0.0","11.7","6.2","7.2","0.0","0.0","0.0","21.9","171","111"
"34","34","2018-12-29","22-033","DEN","@","PHO","W (+4)","0","28:42","5","12",".417","5","9",".556","0","0","","1","0","1","2","2","0","2","2","15","9.9","-12",".625",".625","4.8","0.0","2.2","9.9","3.5","0.0","14.3","21.6","113","123"
"35","35","2019-01-01","22-036","DEN","","NYK","W (+7)","0","29:56","8","15",".533","5","9",".556","2","2","1.000","0","6","6","5","1","0","0","0","23","22.0","+11",".724",".700","0.0","18.5","10.0","25.7","1.7","0.0","0.0","22.5","158","116"
"36","36","2019-01-03","22-038","DEN","@","SAC","W (+4)","0","25:02","3","9",".333","1","4",".250","0","0","","0","3","3","0","0","1","0","3","7","2.3","-3",".389",".389","0.0","12.8","6.6","0.0","0.0","3.2","0.0","14.9","94","117"
"37","37","2019-01-05","22-040","DEN","","CHO","W (+13)","0","22:29","2","4",".500","0","2",".000","0","0","","0","2","2","0","0","1","0","3","4","2.1","-1",".500",".500","0.0","10.4","4.6","0.0","0.0","4.0","0.0","7.2","107","119"
"38","38","2019-01-07","22-042","DEN","@","HOU","L (-12)","0","26:17","6","11",".545","2","7",".286","0","0","","0","3","3","1","1","0","0","2","14","10.5","+2",".636",".636","0.0","15.2","6.8","5.5","1.8","0.0","0.0","17.3","135","126"
"39","39","2019-01-08","22-043","DEN","@","MIA","W (+4)","1","36:16","4","9",".444","1","6",".167","0","0","","0","1","1","2","0","0","3","4","9","1.4","+6",".500",".500","0.0","3.0","1.5","7.4","0.0","0.0","25.0","14.4","80","114"
"40","40","2019-01-10","22-045","DEN","","LAC","W (+21)","1","31:02","6","10",".600","3","5",".600","0","0","","1","0","1","5","2","1","0","0","15","17.3","+13",".750",".750","3.4","0.0","1.7","19.0","3.2","2.5","0.0","13.6","169","102"
"41","41","2019-01-12","22-047","DEN","@","PHO","L (-9)","1","40:04","8","14",".571","5","9",".556","0","0","","0","1","1","1","0","0","2","2","21","12.6","+2",".750",".750","0.0","2.3","1.2","4.9","0.0","0.0","12.5","17.0","119","116"
"42","42","2019-01-13","22-048","DEN","","POR","W (+3)","1","37:19","5","9",".556","3","5",".600","0","0","","0","1","1","3","2","0","1","2","13","11.3","+9",".722",".722","0.0","3.3","1.7","10.0","2.7","0.0","10.0","12.8","131","118"
"43","43","2019-01-15","22-050","DEN","","GSW","L (-31)","1","32:44","8","14",".571","6","10",".600","0","0","","0","1","1","0","0","0","0","0","22","15.7","-15",".786",".786","0.0","3.8","1.7","0.0","0.0","0.0","0.0","19.2","140","152"
"44","44","2019-01-17","22-052","DEN","","CHI","W (+30)","1","33:54","5","7",".714","2","3",".667","1","1","1.000","2","7","9","1","0","0","1","1","13","12.9","+26",".874",".857","6.7","20.6","14.2","3.3","0.0","0.0","11.8","10.7","158","113"
"45","45","2019-01-19","22-054","DEN","","CLE","W (+22)","1","30:55","5","8",".625","3","6",".500","0","0","","2","2","4","1","0","0","1","2","13","10.3","+10",".813",".813","8.9","8.6","8.7","3.7","0.0","0.0","11.1","13.3","150","120"
"46","46","2019-01-23","22-058","DEN","@","UTA","L (-6)","0","7:48","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+9","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","128"
"47","47","2019-01-25","22-060","DEN","","PHO","W (+37)","0","22:54","6","11",".545","2","6",".333","5","5","1.000","0","3","3","0","1","0","0","2","19","14.8","+13",".720",".636","0.0","14.6","6.8","0.0","2.1","0.0","0.0","23.3","155","95"
"48","48","2019-01-26","22-061","DEN","","PHI","W (+16)","0","20:18","6","12",".500","2","5",".400","0","0","","0","1","1","1","1","0","1","2","14","8.2","+2",".583",".583","0.0","4.6","2.6","7.0","2.3","0.0","7.7","26.3","110","109"
"49","49","2019-01-28","22-063","DEN","@","MEM","W (+3)","0","24:23","7","13",".538","3","9",".333","1","2",".500","0","3","3","3","1","0","0","1","18","14.9","+14",".648",".654","0.0","16.0","7.5","25.4","2.1","0.0","0.0","26.0","137","99"
"50","50","2019-01-30","22-065","DEN","@","NOP","W (+6)","0","29:27","9","14",".643","4","6",".667","0","1",".000","0","2","2","1","1","0","0","1","22","17.3","0",".762",".786","0.0","7.2","3.6","6.0","1.7","0.0","0.0","22.1","134","106"
"51","51","2019-02-01","22-067","DEN","","HOU","W (+14)","1","41:26","12","17",".706","5","9",".556","6","7",".857","0","2","2","3","1","0","2","3","35","28.0","+19",".872",".853","0.0","6.3","3.5","9.4","1.3","0.0","9.1","25.5","159","140"
"52","52","2019-02-02","22-068","DEN","@","MIN","W (+1)","1","28:42","9","14",".643","4","7",".571","0","0","","0","2","2","0","2","0","1","0","22","17.4","-10",".786",".786","0.0","8.2","3.8","0.0","3.7","0.0","6.7","23.9","135","114"
"53","53","2019-02-04","22-070","DEN","@","DET","L (-26)","1","30:34","6","13",".462","3","5",".600","1","1","1.000","2","1","3","1","1","0","0","3","16","11.5","-21",".595",".577","6.7","4.1","5.5","5.0","1.6","0.0","0.0","18.4","124","133"
"54","54","2019-02-06","22-072","DEN","@","BRK","L (-5)","1","31:50","7","15",".467","3","8",".375","0","0","","0","2","2","1","1","0","1","2","17","9.8","+4",".567",".567","0.0","7.4","3.4","3.8","1.4","0.0","6.3","19.9","107","127"
"55","55","2019-02-08","22-074","DEN","@","PHI","L (-7)","1","35:20","5","11",".455","2","6",".333","0","0","","0","3","3","0","0","0","2","2","12","4.4","0",".545",".545","0.0","10.4","5.0","0.0","0.0","0.0","15.4","15.8","83","120"
"56","56","2019-02-11","22-077","DEN","","MIA","W (+16)","1","27:35","8","13",".615","5","7",".714","2","2","1.000","0","0","0","2","0","0","0","4","23","16.9","+3",".829",".808","0.0","0.0","0.0","14.5","0.0","0.0","0.0","22.0","158","98"
"57","57","2019-02-13","22-079","DEN","","SAC","W (+2)","1","30:43","8","18",".444","2","7",".286","3","3","1.000","0","4","4","0","1","0","0","0","21","13.8","-4",".543",".500","0.0","12.8","6.4","0.0","1.5","0.0","0.0","24.5","117","113"
"58","58","2019-02-22","22-088","DEN","@","DAL","W (+10)","1","26:49","4","10",".400","3","7",".429","2","2","1.000","1","2","3","4","1","0","3","2","13","8.9","+5",".597",".550","3.2","7.3","5.1","20.6","1.7","0.0","21.6","19.6","108","104"
"59","59","2019-02-24","22-090","DEN","","LAC","W (+27)","1","24:31","3","4",".750","2","3",".667","0","0","","2","0","2","1","0","0","0","3","8","7.3","+19","1.000","1.000","9.1","0.0","4.2","5.1","0.0","0.0","0.0","6.4","199","98"
