"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","24-224","BOS","","PHI","W (+18)","0","25:01","2","4",".500","2","4",".500","1","2",".500","0","3","3","3","0","0","2","2","7","4.8","+3",".717",".750","0.0","11.7","5.6","15.1","0.0","0.0","29.1","11.3","109","89"
"2","2","2018-10-19","24-227","BOS","@","TOR","L (-12)","0","21:52","1","6",".167","0","2",".000","0","0","","0","2","2","6","0","1","0","3","2","2.5","-2",".167",".167","0.0","9.8","4.5","34.8","0.0","3.9","0.0","11.2","88","118"
"3","3","2018-10-20","24-228","BOS","@","NYK","W (+2)","0","28:01","2","5",".400","0","2",".000","4","6",".667","2","2","4","5","2","0","3","4","8","7.4","+7",".524",".400","7.4","7.3","7.4","29.0","3.4","0.0","28.2","16.3","100","100"
"4","4","2018-10-22","24-230","BOS","","ORL","L (-3)","0","19:20","4","8",".500","1","4",".250","0","0","","2","0","2","0","3","0","2","1","9","7.0","+5",".563",".563","9.9","0.0","5.0","0.0","7.7","0.0","20.0","23.2","91","87"
"5","5","2018-10-25","24-233","BOS","@","OKC","W (+6)","0","21:23","1","4",".250","0","3",".000","0","0","","0","0","0","3","0","0","0","2","2","0.9","+13",".250",".250","0.0","0.0","0.0","21.9","0.0","0.0","0.0","8.1","84","105"
"6","6","2018-10-27","24-235","BOS","@","DET","W (+20)","0","23:20","1","3",".333","0","0","","3","3","1.000","0","4","4","9","0","1","1","3","5","9.3","+17",".579",".333","0.0","15.8","8.1","50.1","0.0","4.0","18.8","9.9","144","90"
"7","7","2018-10-30","24-238","BOS","","DET","W (+3)","0","19:02","0","2",".000","0","2",".000","3","4",".750","0","4","4","2","2","0","2","3","3","2.6","+1",".399",".000","0.0","20.6","10.5","13.6","4.9","0.0","34.7","13.0","69","94"
"8","8","2018-11-01","24-240","BOS","","MIL","W (+4)","0","27:56","1","4",".250","0","3",".000","0","0","","1","3","4","0","1","1","1","4","2","0.3","-6",".250",".250","3.8","12.3","7.9","0.0","1.7","3.1","20.0","7.8","55","111"
"9","9","2018-11-03","24-242","BOS","@","IND","L (-1)","0","23:08","1","7",".143","1","4",".250","0","0","","0","0","0","9","3","0","2","4","3","4.2","+12",".214",".214","0.0","0.0","0.0","52.0","6.4","0.0","22.2","17.6","87","100"
"10","10","2018-11-05","24-244","BOS","@","DEN","L (-8)","0","25:05","3","5",".600","1","3",".333","2","2","1.000","1","2","3","3","2","4","2","2","9","12.1","-10",".765",".700","4.9","8.0","6.6","15.0","4.0","13.7","25.4","14.5","126","110"
"11","11","2018-11-08","24-247","BOS","@","PHO","W (+7)","0","26:59","1","4",".250","1","3",".333","4","6",".667","0","4","4","2","2","0","3","3","7","4.2","-2",".527",".375","0.0","18.3","8.0","10.6","3.6","0.0","31.1","15.0","85","97"
"12","12","2018-11-09","24-248","BOS","@","UTA","L (-8)","0","33:13","4","9",".444","4","9",".444","1","2",".500","1","2","3","10","2","0","1","2","13","16.4","+10",".658",".667","3.4","9.3","5.9","43.5","3.0","0.0","9.2","14.9","141","127"
"13","13","2018-11-11","24-250","BOS","@","POR","L (-6)","0","21:46","0","3",".000","0","1",".000","0","0","","2","2","4","4","0","1","0","2","0","2.6","+1",".000",".000","8.6","9.6","9.1","24.5","0.0","4.4","0.0","6.0","89","111"
"14","14","2018-11-14","24-253","BOS","","CHI","W (+29)","0","18:04","3","6",".500","2","4",".500","0","0","","0","1","1","2","1","0","2","3","8","4.5","+8",".667",".667","0.0","5.3","2.7","15.6","2.6","0.0","25.0","19.5","99","85"
"15","15","2018-11-16","24-255","BOS","","TOR","W (+7)","0","18:38","2","5",".400","0","2",".000","1","1","1.000","0","5","5","1","0","0","4","3","5","-0.7","-17",".460",".400","0.0","29.6","16.0","6.9","0.0","0.0","42.4","22.8","57","109"
"16","16","2018-11-17","24-256","BOS","","UTA","L (-12)","0","16:38","2","4",".500","0","1",".000","1","1","1.000","0","2","2","3","1","1","1","2","5","5.6","-13",".563",".500","0.0","14.1","6.0","29.6","3.0","7.2","18.4","13.8","111","99"
"17","17","2018-11-19","24-258","BOS","@","CHO","L (-5)","0","26:19","4","7",".571","4","6",".667","2","2","1.000","0","1","1","2","2","0","0","3","14","13.2","-12",".888",".857","0.0","4.4","2.1","9.7","3.6","0.0","0.0","13.2","171","116"
"18","18","2018-11-21","24-260","BOS","","NYK","L (-8)","0","19:56","1","4",".250","0","2",".000","0","2",".000","3","2","5","4","1","0","1","1","2","3.9","-13",".205",".250","13.1","10.9","12.2","27.1","2.4","0.0","17.0","11.9","84","117"
"19","19","2018-11-23","24-262","BOS","@","ATL","W (+18)","0","23:13","1","6",".167","0","3",".000","2","2","1.000","0","1","1","7","3","1","1","3","4","6.9","+15",".291",".167","0.0","5.0","2.5","36.2","5.8","4.5","12.7","14.0","93","83"
"20","20","2018-11-24","24-263","BOS","@","DAL","L (-9)","0","25:11","5","8",".625","3","4",".750","6","6","1.000","1","1","2","2","1","0","3","3","19","14.6","-11",".893",".813","4.9","4.1","4.5","12.1","2.0","0.0","22.0","23.9","143","119"
"21","21","2018-11-26","24-265","BOS","@","NOP","W (+17)","1","39:40","3","8",".375","2","5",".400","0","0","","1","1","2","5","1","1","1","4","8","7.2","+12",".500",".500","2.7","3.3","3.0","13.6","1.2","2.7","11.1","9.5","124","115"
"22","22","2018-11-30","24-269","BOS","","CLE","W (+33)","1","29:15","5","7",".714","2","4",".500","0","0","","1","2","3","7","3","1","0","1","12","18.6","+33",".857",".857","4.2","7.5","5.9","28.2","5.2","3.0","0.0","10.5","194","93"
"23","23","2018-12-01","24-270","BOS","@","MIN","W (+9)","1","27:31","2","4",".500","2","4",".500","0","0","","1","1","2","3","4","0","0","3","6","9.9","+1",".750",".750","4.7","4.2","4.4","14.3","7.0","0.0","0.0","6.4","167","102"
"24","24","2018-12-06","24-275","BOS","","NYK","W (+28)","1","23:39","2","8",".250","0","5",".000","0","0","","1","1","2","7","2","0","0","2","4","6.3","+16",".250",".250","5.1","3.8","4.4","31.6","4.1","0.0","0.0","14.8","102","100"
"25","25","2018-12-08","24-277","BOS","@","CHI","W (+56)","1","21:17","2","5",".400","2","4",".500","0","0","","0","3","3","3","2","0","0","0","6","8.3","+32",".600",".600","0.0","13.8","7.4","14.9","4.9","0.0","0.0","10.6","151","80"
"26","26","2018-12-10","24-279","BOS","","NOP","W (+13)","1","29:07","2","8",".250","0","4",".000","0","2",".000","1","1","2","5","3","0","3","3","4","1.7","+7",".225",".250","3.5","3.8","3.7","20.3","5.0","0.0","25.3","17.6","64","98"
"27","27","2018-12-12","24-281","BOS","@","WAS","W (+5)","1","39:12","5","12",".417","1","5",".200","7","7","1.000","2","3","5","3","3","0","1","4","18","16.4","+4",".597",".458","5.8","9.2","7.4","10.1","3.7","0.0","6.2","17.0","135","111"
