"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","26-233","POR","","LAL","W (+9)","0","8:02","0","0","","0","0","","0","0","","1","3","4","4","1","0","1","1","0","4.0","+8","","","11.5","37.3","23.9","54.3","5.4","0.0","100.0","4.6","127","98"
"2","2","2018-10-20","26-235","POR","","SAS","W (+13)","0","9:30","2","2","1.000","0","0","","1","1","1.000","1","1","2","0","0","0","0","1","5","5.0","0","1.025","1.000","15.3","9.5","11.8","0.0","0.0","0.0","0.0","11.8","215","121"
"4","3","2018-10-25","26-240","POR","@","ORL","W (+14)","0","4:15","0","0","","0","0","","0","0","","0","1","1","0","0","0","1","1","0","-1.1","-3","","","0.0","26.3","13.4","0.0","0.0","0.0","100.0","10.4","0","120"
"5","4","2018-10-27","26-242","POR","@","MIA","L (-9)","0","17:24","1","5",".200","1","4",".250","2","2","1.000","0","4","4","0","1","0","0","2","5","3.3","+7",".425",".300","0.0","22.1","11.3","0.0","2.8","0.0","0.0","14.8","92","115"
"6","5","2018-10-29","26-244","POR","@","IND","W (+10)","0","3:16","0","0","","0","0","","0","0","","0","0","0","0","0","0","2","3","0","-3.2","-6","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","28.3","0","99"
"9","6","2018-11-03","26-249","POR","","LAL","L (-4)","0","3:12","1","2",".500","0","1",".000","0","0","","0","1","1","0","0","0","2","1","2","-1.1","0",".500",".500","0.0","34.9","15.0","0.0","0.0","0.0","50.0","47.0","44","107"
"10","7","2018-11-04","26-250","POR","","MIN","W (+30)","0","21:49","3","7",".429","1","4",".250","8","8","1.000","4","8","12","2","1","0","1","2","15","17.1","+16",".713",".500","21.0","28.4","25.4","14.0","2.3","0.0","8.7","21.8","161","76"
"11","8","2018-11-06","26-252","POR","","MIL","W (+15)","0","15:31","2","4",".500","2","4",".500","0","0","","1","4","5","2","0","0","1","0","6","6.3","-3",".750",".750","7.5","23.8","16.6","14.8","0.0","0.0","20.0","14.5","139","111"
"12","9","2018-11-08","26-254","POR","","LAC","W (+11)","0","11:55","2","4",".500","1","2",".500","2","2","1.000","2","3","5","1","0","1","0","3","7","7.5","+6",".717",".625","16.8","26.3","21.4","12.6","0.0","6.1","0.0","17.0","169","105"
"13","10","2018-11-11","26-257","POR","","BOS","W (+6)","0","17:56","3","8",".375","2","3",".667","0","0","","2","4","6","0","0","0","2","3","8","3.0","-6",".500",".500","11.6","21.0","16.6","0.0","0.0","0.0","20.0","24.0","89","99"
"14","11","2018-11-14","26-260","POR","@","LAL","L (-9)","0","8:18","3","5",".600","1","2",".500","0","0","","0","6","6","0","0","0","0","0","7","6.5","-1",".700",".700","0.0","73.8","36.5","0.0","0.0","0.0","0.0","24.7","129","112"
"15","12","2018-11-16","26-262","POR","@","MIN","L (-16)","0","13:40","4","6",".667","2","2","1.000","0","0","","1","4","5","0","0","0","0","1","10","8.9","-5",".833",".833","7.8","30.5","19.3","0.0","0.0","0.0","0.0","18.4","166","113"
"16","13","2018-11-18","26-264","POR","@","WAS","W (+10)","0","3:55","2","2","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","5","4.7","-6","1.250","1.250","0.0","23.6","12.9","0.0","0.0","0.0","0.0","21.1","250","106"
"17","14","2018-11-20","26-266","POR","@","NYK","W (+4)","0","17:26","5","9",".556","3","4",".750","2","2","1.000","1","2","3","2","1","0","0","0","15","14.4","+8",".759",".722","6.0","14.1","9.7","17.6","2.9","0.0","0.0","24.0","166","118"
"18","15","2018-11-21","26-267","POR","@","MIL","L (-43)","0","15:33","2","4",".500","2","3",".667","0","0","","0","4","4","0","1","0","1","0","6","5.2","-6",".750",".750","0.0","28.7","12.5","0.0","2.8","0.0","20.0","12.6","112","124"
"19","16","2018-11-23","26-269","POR","@","GSW","L (-28)","0","12:45","4","6",".667","0","0","","0","1",".000","5","1","6","1","0","0","0","1","8","9.1","-7",".621",".667","38.4","11.4","27.5","16.4","0.0","0.0","0.0","21.0","143","131"
"20","17","2018-11-25","26-271","POR","","LAC","L (-4)","0","24:19","3","5",".600","2","4",".500","1","2",".500","6","10","16","3","0","0","2","1","9","13.2","-1",".765",".800","22.3","37.2","29.8","16.4","0.0","0.0","25.4","13.7","137","104"
"21","18","2018-11-28","26-274","POR","","ORL","W (+3)","0","14:37","1","5",".200","1","3",".333","1","2",".500","0","2","2","1","0","0","0","1","4","1.4","-5",".340",".300","0.0","17.8","7.8","9.7","0.0","0.0","0.0","17.5","87","121"
"22","19","2018-11-30","26-276","POR","","DEN","L (-1)","0","26:14","4","7",".571","1","2",".500","2","3",".667","1","3","4","3","0","1","1","3","11","9.5","-1",".661",".643","4.6","12.2","8.6","14.6","0.0","3.2","10.7","15.8","135","123"
"23","20","2018-12-02","26-278","POR","@","SAS","L (-13)","0","13:06","1","1","1.000","0","0","","2","2","1.000","2","2","4","1","0","0","1","0","4","5.4","-17","1.064","1.000","19.3","23.6","21.2","8.9","0.0","0.0","34.7","9.6","161","137"
"24","21","2018-12-04","26-280","POR","@","DAL","L (-9)","0","6:03","0","0","","0","0","","1","1","1.000","0","1","1","0","0","0","1","2","1","-0.5","-11","1.136","","0.0","15.3","8.1","0.0","0.0","0.0","69.4","10.2","68","114"
"25","22","2018-12-06","26-282","POR","","PHO","W (+22)","0","11:18","1","4",".250","1","2",".500","0","0","","0","6","6","3","1","0","0","3","3","4.3","+3",".375",".375","0.0","47.2","26.3","34.7","4.3","0.0","0.0","14.9","116","72"
"26","23","2018-12-08","26-284","POR","","MIN","W (+8)","0","9:51","1","3",".333","0","1",".000","0","0","","0","3","3","0","0","0","0","3","2","0.0","-4",".333",".333","0.0","29.8","15.7","0.0","0.0","0.0","0.0","12.7","77","108"
"27","24","2018-12-11","26-287","POR","@","HOU","L (-7)","0","4:33","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-4",".000",".000","0.0","0.0","0.0","27.8","0.0","0.0","0.0","9.6","58","126"
"28","25","2018-12-12","26-288","POR","@","MEM","L (-9)","0","9:32","1","3",".333","0","2",".000","0","0","","0","1","1","3","0","1","0","3","2","2.2","-8",".333",".333","0.0","10.3","5.3","56.0","0.0","8.7","0.0","14.0","95","95"
"29","26","2018-12-14","26-290","POR","","TOR","W (+6)","0","21:05","2","2","1.000","0","0","","0","0","","0","3","3","1","1","0","0","2","4","5.2","+16","1.000","1.000","0.0","21.3","9.1","5.2","2.4","0.0","0.0","4.1","205","127"
"30","27","2018-12-17","26-293","POR","@","LAC","W (+4)","0","11:25","1","3",".333","0","2",".000","0","0","","0","0","0","2","0","0","1","2","2","-0.1","-12",".333",".333","0.0","0.0","0.0","19.6","0.0","0.0","25.0","15.2","75","133"
"31","28","2018-12-19","26-295","POR","","MEM","W (+7)","0","26:34","4","7",".571","2","5",".400","2","2","1.000","1","6","7","2","1","1","2","5","12","10.3","+14",".761",".714","4.9","25.8","16.0","13.0","2.0","3.5","20.2","17.0","133","99"
"32","29","2018-12-21","26-297","POR","","UTA","L (-30)","0","15:33","3","5",".600","3","5",".600","0","0","","1","2","3","2","0","0","2","0","9","7.4","-21",".900",".900","6.3","17.6","11.0","24.0","0.0","0.0","28.6","19.8","128","129"
"33","30","2018-12-23","26-299","POR","","DAL","W (+3)","0","23:08","6","10",".600","1","4",".250","0","0","","0","6","6","0","0","0","1","5","13","7.2","-13",".650",".650","0.0","25.5","13.5","0.0","0.0","0.0","9.1","20.9","107","106"
"34","31","2018-12-25","26-301","POR","@","UTA","L (-21)","0","19:28","2","6",".333","1","3",".333","2","2","1.000","0","4","4","0","0","0","0","1","7","4.4","-9",".509",".417","0.0","24.7","10.8","0.0","0.0","0.0","0.0","15.1","108","120"
"35","32","2018-12-27","26-303","POR","@","GSW","W (+1)","0","17:40","0","2",".000","0","1",".000","0","0","","0","4","4","2","1","0","0","0","0","2.2","+3",".000",".000","0.0","21.1","10.6","15.8","2.7","0.0","0.0","4.6","48","94"
"36","33","2018-12-29","26-305","POR","","GSW","L (-10)","0","13:53","2","4",".500","0","1",".000","0","0","","2","4","6","0","0","0","1","1","4","3.2","-17",".500",".500","14.4","34.6","23.6","0.0","0.0","0.0","20.0","15.2","96","119"
"37","34","2018-12-30","26-306","POR","","PHI","W (+34)","0","16:43","3","4",".750","0","0","","3","4",".750","0","8","8","1","0","0","0","2","9","9.3","+24",".781",".750","0.0","37.7","24.2","7.1","0.0","0.0","0.0","14.4","165","84"
"38","35","2019-01-01","26-308","POR","@","SAC","W (+5)","0","15:27","0","2",".000","0","0","","0","0","","1","2","3","1","0","0","2","1","0","-1.8","-3",".000",".000","7.0","11.4","9.4","8.8","0.0","0.0","50.0","11.3","30","105"
"39","36","2019-01-04","26-311","POR","","OKC","L (-2)","0","17:46","3","6",".500","1","2",".500","0","0","","1","2","3","3","0","1","1","2","7","6.3","-8",".583",".583","5.5","10.8","8.2","24.6","0.0","3.9","14.3","16.3","113","111"
"40","37","2019-01-05","26-312","POR","","HOU","W (+9)","0","14:04","1","4",".250","0","1",".000","0","0","","1","5","6","2","0","0","1","2","2","1.4","-6",".250",".250","7.3","42.7","23.5","17.2","0.0","0.0","20.0","15.3","75","109"
"41","38","2019-01-07","26-314","POR","","NYK","W (+10)","0","21:36","4","8",".500","1","3",".333","0","0","","1","2","3","4","1","0","2","4","9","6.5","+4",".563",".563","4.8","8.4","6.7","28.6","2.3","0.0","20.0","19.9","107","106"
"42","39","2019-01-09","26-316","POR","","CHI","W (+12)","0","18:57","4","4","1.000","0","0","","0","0","","0","6","6","1","1","1","2","4","8","7.4","+11","1.000","1.000","0.0","32.3","19.0","6.9","2.5","3.6","33.3","14.0","119","103"
"43","40","2019-01-11","26-318","POR","","CHO","W (+31)","0","10:38","2","3",".667","0","0","","0","0","","0","1","1","1","0","3","0","4","4","4.2","+9",".667",".667","0.0","9.0","5.0","10.5","0.0","22.6","0.0","12.8","141","90"
"44","41","2019-01-13","26-320","POR","@","DEN","L (-3)","0","17:56","3","6",".500","1","3",".333","0","0","","0","2","2","1","0","0","1","2","7","3.5","-12",".583",".583","0.0","15.3","7.2","8.4","0.0","0.0","14.3","17.6","100","124"
"45","42","2019-01-14","26-321","POR","@","SAC","L (-8)","0","19:06","4","5",".800","3","4",".750","0","0","","2","5","7","2","1","0","1","0","11","13.4","-4","1.100","1.100","9.3","29.2","18.1","18.7","2.6","0.0","16.7","12.7","173","111"
"46","43","2019-01-16","26-323","POR","","CLE","W (+17)","0","19:40","1","2",".500","0","0","","2","2","1.000","1","6","7","1","0","0","0","1","4","5.8","-9",".694",".500","6.8","31.8","20.8","5.5","0.0","0.0","0.0","6.8","169","118"
"47","44","2019-01-18","26-325","POR","","NOP","W (+16)","0","13:42","2","3",".667","1","2",".500","0","0","","1","1","2","1","0","0","0","1","5","5.0","-3",".833",".833","6.7","8.3","7.5","8.5","0.0","0.0","0.0","8.7","180","119"
"48","45","2019-01-21","26-328","POR","@","UTA","W (+5)","0","13:20","3","4",".750","2","2","1.000","0","0","","0","2","2","1","1","0","0","1","8","8.3","+11","1.000","1.000","0.0","14.4","7.8","10.5","3.6","0.0","0.0","13.8","184","101"
"49","46","2019-01-22","26-329","POR","@","OKC","L (-9)","0","16:23","3","5",".600","1","3",".333","2","2","1.000","0","1","1","1","0","0","2","2","9","4.9","-9",".765",".700","0.0","7.1","3.3","8.6","0.0","0.0","25.4","18.7","120","130"
"51","47","2019-01-26","26-333","POR","","ATL","W (+9)","0","9:23","3","3","1.000","1","1","1.000","2","2","1.000","0","1","1","0","0","0","0","0","9","8.4","-4","1.160","1.167","0.0","11.4","6.2","0.0","0.0","0.0","0.0","17.5","240","119"
"52","48","2019-01-30","26-337","POR","","UTA","W (+27)","1","24:50","6","7",".857","4","5",".800","0","0","","1","5","6","4","0","0","0","2","16","17.7","+23","1.143","1.143","5.0","22.5","14.1","21.2","0.0","0.0","0.0","12.0","226","109"
"53","49","2019-02-05","26-343","POR","","MIA","L (-10)","0","24:03","2","7",".286","2","6",".333","1","2",".500","1","5","6","3","0","0","0","4","7","5.2","+1",".444",".429","4.4","29.4","15.2","15.8","0.0","0.0","0.0","14.4","109","122"
"54","50","2019-02-07","26-345","POR","","SAS","W (+9)","0","9:46","2","2","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","1","5","4.0","-6","1.250","1.250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.2","250","124"
"55","51","2019-02-10","26-348","POR","@","DAL","L (-1)","0","8:28","1","1","1.000","0","0","","0","2",".000","0","0","0","0","0","0","0","1","2","0.5","+2",".532","1.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.6","88","114"
"56","52","2019-02-11","26-349","POR","@","OKC","L (-9)","0","8:21","2","4",".500","1","1","1.000","0","0","","0","3","3","0","0","0","2","3","5","0.7","+11",".625",".625","0.0","40.1","19.0","0.0","0.0","0.0","33.3","29.6","73","118"
"62","53","2019-03-01","27-002","POR","@","TOR","L (-2)","0","18:38","1","2",".500","0","1",".000","0","0","","0","1","1","1","0","0","0","2","2","1.2","-8",".500",".500","0.0","7.4","3.5","6.5","0.0","0.0","0.0","4.6","123","124"
"65","54","2019-03-07","27-008","POR","","OKC","L (-8)","0","0:44","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","0","0","0.7","+2","","","100.0","0.0","66.3","0.0","0.0","0.0","","0.0","220","123"
"66","55","2019-03-09","27-010","POR","","PHO","W (+7)","0","9:01","1","3",".333","1","2",".500","0","0","","0","2","2","1","0","0","1","2","3","0.8","-20",".500",".500","0.0","20.1","11.2","14.1","0.0","0.0","25.0","18.1","89","116"
"74","56","2019-03-27","27-028","POR","@","CHI","W (+20)","0","18:00","0","3",".000","0","3",".000","4","4","1.000","1","3","4","2","0","0","0","3","4","3.7","+7",".420",".000","7.2","15.4","12.0","12.4","0.0","0.0","0.0","12.4","126","110"
"75","57","2019-03-29","27-030","POR","@","ATL","W (+20)","0","7:15","1","2",".500","0","1",".000","0","0","","1","3","4","0","0","0","0","0","2","2.6","+4",".500",".500","15.4","37.5","27.6","0.0","0.0","0.0","0.0","11.5","126","95"
"76","58","2019-03-30","27-031","POR","@","DET","L (-9)","0","8:35","2","3",".667","0","1",".000","1","1","1.000","1","2","3","3","0","0","1","2","5","5.3","-6",".727",".667","10.0","23.3","16.1","62.6","0.0","0.0","22.5","20.2","132","102"
"77","59","2019-04-01","27-033","POR","@","MIN","W (+10)","0","13:28","4","4","1.000","1","1","1.000","0","0","","0","4","4","2","0","0","1","1","9","9.0","-3","1.125","1.125","0.0","31.7","16.4","19.9","0.0","0.0","20.0","15.4","167","123"
"79","60","2019-04-05","27-037","POR","@","DEN","L (-9)","0","6:59","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","2","0","-0.5","-11","","","0.0","17.2","8.7","0.0","0.0","0.0","","0.0","0","131"
"82","61","2019-04-10","27-042","POR","","SAC","W (+5)","1","42:03","8","13",".615","1","2",".500","2","2","1.000","4","7","11","3","0","0","3","4","19","15.5","+11",".684",".654","12.3","19.0","15.9","7.8","0.0","0.0","17.8","17.1","135","136"
