"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","31-006","MEM","@","IND","L (-28)","1","28:58","3","11",".273","2","5",".400","3","3","1.000","1","1","2","3","1","0","1","1","11","7.2","-11",".446",".364","3.2","4.9","3.9","24.8","1.8","0.0","7.5","21.4","93","123"
"2","2","2018-10-19","31-008","MEM","","ATL","W (+14)","1","25:00","6","13",".462","2","5",".400","2","3",".667","0","4","4","11","0","0","0","4","16","16.2","+26",".559",".538","0.0","17.1","9.5","65.0","0.0","0.0","0.0","23.7","141","114"
"3","3","2018-10-22","31-011","MEM","@","UTA","W (+8)","1","34:39","6","20",".300","1","6",".167","10","11",".909","2","5","7","4","3","0","1","2","23","17.9","+13",".463",".325","5.9","15.1","10.4","24.4","4.4","0.0","3.9","33.9","102","85"
"4","4","2018-10-24","31-013","MEM","@","SAC","L (-5)","1","36:10","10","22",".455","4","11",".364","3","4",".750","2","4","6","5","1","0","3","2","27","18.5","-17",".568",".545","4.8","10.4","7.5","29.2","1.4","0.0","11.2","31.0","111","103"
"5","5","2018-10-27","31-016","MEM","","PHO","W (+21)","1","28:28","6","13",".462","0","4",".000","6","6","1.000","0","0","0","7","2","0","3","2","18","14.4","+11",".575",".462","0.0","0.0","0.0","34.8","3.4","0.0","16.1","31.2","110","98"
"6","6","2018-10-30","31-019","MEM","","WAS","W (+12)","1","35:12","6","18",".333","2","8",".250","5","7",".714","0","3","3","7","1","1","2","2","19","12.7","+20",".451",".389","0.0","11.1","5.5","34.3","1.4","3.5","8.7","30.7","98","104"
"7","7","2018-11-02","31-022","MEM","@","UTA","W (+10)","1","32:55","7","18",".389","3","6",".500","11","13",".846","2","3","5","5","1","0","0","2","28","23.4","-6",".590",".472","7.7","10.9","9.3","26.2","1.6","0.0","0.0","34.3","139","114"
"8","8","2018-11-04","31-024","MEM","@","PHO","L (-2)","1","26:52","3","16",".188","1","5",".200","5","6",".833","0","1","1","5","2","0","2","4","12","3.8","-15",".322",".219","0.0","6.9","2.7","29.2","3.9","0.0","9.7","36.2","76","111"
"9","9","2018-11-05","31-025","MEM","@","GSW","L (-16)","1","30:54","4","8",".500","1","5",".200","0","1",".000","0","1","1","5","0","1","3","1","9","5.7","-21",".533",".563","0.0","4.6","2.0","24.4","0.0","2.7","26.2","17.4","85","130"
"10","10","2018-11-07","31-027","MEM","","DEN","W (+2)","1","36:15","2","9",".222","0","2",".000","0","0","","0","3","3","8","1","0","2","2","4","3.2","+4",".222",".222","0.0","9.7","5.2","38.7","1.5","0.0","18.2","14.9","73","103"
