"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","23-112","DEN","@","LAC","W (+9)","0","16:23","3","9",".333","1","2",".500","0","0","","1","1","2","4","1","0","0","0","7","6.7","-9",".389",".389","5.6","5.7","5.7","48.4","3.0","0.0","0.0","22.8","105","101"
"2","2","2018-10-20","23-115","DEN","","PHO","W (+28)","0","13:23","0","3",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","2","0","-3.9","-15",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","25.0","12.4","0","100"
"3","3","2018-10-21","23-116","DEN","","GSW","W (+2)","0","21:36","4","10",".400","1","3",".333","0","2",".000","0","6","6","4","0","0","1","2","9","5.6","+18",".414",".450","0.0","33.3","15.3","34.0","0.0","0.0","8.4","23.5","90","104"
"4","4","2018-10-23","23-118","DEN","","SAC","W (+14)","0","28:57","4","12",".333","1","2",".500","2","2","1.000","1","2","3","7","1","0","0","3","11","10.2","+14",".427",".375","3.7","7.7","5.7","26.2","1.7","0.0","0.0","18.2","125","115"
"5","5","2018-10-25","23-120","DEN","@","LAL","L (-7)","0","27:17","6","9",".667","2","2","1.000","6","6","1.000","1","2","3","7","3","0","0","0","20","25.3","+3",".859",".778","4.1","8.2","6.1","34.7","5.0","0.0","0.0","17.1","187","110"
"6","6","2018-10-29","23-124","DEN","","NOP","W (+5)","0","24:11","3","9",".333","1","4",".250","0","0","","0","0","0","2","3","0","2","1","7","3.9","+2",".389",".389","0.0","0.0","0.0","11.0","5.7","0.0","18.2","18.8","70","103"
"7","7","2018-10-31","23-126","DEN","@","CHI","W (+1)","0","24:35","1","6",".167","0","1",".000","2","2","1.000","1","1","2","2","0","0","0","2","4","1.8","-4",".291",".167","4.3","4.4","4.4","10.1","0.0","0.0","0.0","12.1","93","115"
"8","8","2018-11-01","23-127","DEN","@","CLE","W (+19)","0","22:11","3","7",".429","1","1","1.000","0","0","","1","2","3","3","2","0","1","1","7","7.3","+5",".500",".500","6.0","10.1","8.2","18.8","5.0","0.0","12.5","16.3","117","101"
"9","9","2018-11-03","23-129","DEN","","UTA","W (+15)","0","12:03","1","3",".333","1","2",".500","0","0","","0","2","2","2","0","0","0","1","3","2.9","-1",".500",".500","0.0","15.9","9.1","21.5","0.0","0.0","0.0","11.0","122","97"
"10","10","2018-11-05","23-131","DEN","","BOS","W (+8)","0","19:30","3","5",".600","0","1",".000","2","3",".667","0","1","1","4","1","0","0","0","8","9.4","+14",".633",".600","0.0","6.3","2.8","29.3","2.5","0.0","0.0","13.5","152","111"
"11","11","2018-11-07","23-133","DEN","@","MEM","L (-2)","0","26:27","4","10",".400","0","3",".000","0","0","","0","2","2","3","1","0","0","0","8","6.3","+4",".400",".400","0.0","10.1","4.7","22.0","2.1","0.0","0.0","17.1","102","104"
"12","12","2018-11-09","23-135","DEN","","BRK","L (-2)","0","22:07","7","11",".636","1","2",".500","0","0","","0","6","6","2","1","0","0","2","15","13.5","+2",".682",".682","0.0","25.5","13.6","17.5","2.2","0.0","0.0","20.9","146","108"
"13","13","2018-11-11","23-137","DEN","","MIL","L (-7)","0","27:48","2","6",".333","1","2",".500","0","0","","0","3","3","10","0","1","0","1","5","9.8","+7",".417",".417","0.0","15.2","6.5","46.0","0.0","3.5","0.0","9.6","145","129"
"14","14","2018-11-13","23-139","DEN","","HOU","L (-10)","0","31:01","7","11",".636","3","6",".500","2","2","1.000","0","2","2","6","0","0","2","2","19","16.1","-8",".800",".773","0.0","10.3","4.9","34.2","0.0","0.0","14.4","21.7","141","130"
"15","15","2018-11-15","23-141","DEN","","ATL","W (+45)","1","29:09","4","9",".444","0","2",".000","0","0","","0","2","2","2","1","0","0","3","8","5.1","+23",".444",".444","0.0","5.5","3.3","7.1","1.6","0.0","0.0","12.3","106","95"
"16","16","2018-11-17","23-143","DEN","@","NOP","L (-10)","0","34:14","6","7",".857","1","1","1.000","0","0","","0","3","3","5","0","0","2","1","13","12.5","+1",".929",".929","0.0","9.8","4.7","18.7","0.0","0.0","22.2","11.1","145","129"
"17","17","2018-11-19","23-145","DEN","@","MIL","L (-6)","0","25:02","5","9",".556","0","2",".000","0","0","","0","3","3","4","0","0","1","2","10","7.6","+8",".556",".556","0.0","13.4","6.1","25.2","0.0","0.0","10.0","16.7","112","111"
"18","18","2018-11-21","23-147","DEN","@","MIN","W (+2)","0","23:09","4","6",".667","1","1","1.000","0","0","","0","3","3","4","0","0","1","1","9","8.7","0",".750",".750","0.0","15.9","7.8","24.6","0.0","0.0","14.3","13.9","137","113"
"19","19","2018-11-23","23-149","DEN","","ORL","W (+25)","0","25:37","3","7",".429","2","2","1.000","0","0","","1","2","3","4","1","0","0","1","8","9.0","+10",".571",".571","4.2","8.7","6.4","19.5","2.0","0.0","0.0","11.8","137","95"
