"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","25-137","WAS","","MIA","L (-1)","1","33:37","3","7",".429","0","0","","3","4",".750","2","9","11","0","3","3","0","1","9","13.7","+1",".514",".429","7.1","23.4","16.5","0.0","4.2","6.9","0.0","11.2","118","97"
"2","2","2018-10-20","25-139","WAS","","TOR","L (-4)","1","24:53","4","9",".444","2","7",".286","1","1","1.000","0","1","1","0","1","1","0","1","11","7.9","+13",".583",".556","0.0","4.6","2.2","0.0","1.9","3.3","0.0","16.0","116","119"
"3","3","2018-10-22","25-141","WAS","@","POR","W (+1)","1","43:31","6","16",".375","0","4",".000","4","5",".800","2","8","10","0","2","1","1","5","16","10.3","-3",".440",".375","3.7","16.5","9.8","0.0","2.1","1.8","5.2","17.8","92","102"
"4","4","2018-10-24","25-143","WAS","@","GSW","L (-22)","1","23:43","5","9",".556","2","6",".333","0","0","","0","1","1","1","2","0","1","2","12","8.9","-5",".667",".667","0.0","5.5","2.5","6.3","3.8","0.0","10.0","17.3","115","131"
"5","5","2018-10-26","25-145","WAS","@","SAC","L (-4)","1","21:33","2","6",".333","1","4",".250","0","0","","1","2","3","2","0","0","2","1","5","1.9","-8",".417",".417","5.1","8.7","7.0","12.5","0.0","0.0","25.0","15.2","78","114"
"6","6","2018-10-28","25-147","WAS","@","LAC","L (-32)","1","30:28","3","9",".333","0","2",".000","0","0","","1","4","5","2","2","0","0","0","6","6.2","-12",".333",".333","2.8","14.0","7.7","9.5","3.0","0.0","0.0","11.5","85","125"
"7","7","2018-10-30","25-149","WAS","@","MEM","L (-12)","1","37:57","6","14",".429","3","6",".500","0","0","","0","6","6","3","1","0","0","3","15","11.3","-8",".536",".536","0.0","20.0","10.1","15.5","1.3","0.0","0.0","17.2","109","115"
"8","8","2018-11-02","25-152","WAS","","OKC","L (-23)","1","15:34","4","6",".667","1","3",".333","0","0","","0","3","3","2","0","0","2","1","9","6.3","+7",".750",".750","0.0","29.8","13.6","19.5","0.0","0.0","25.0","22.0","108","134"
"10","9","2018-11-06","25-156","WAS","@","DAL","L (-19)","1","37:35","7","12",".583","5","6",".833","0","0","","1","4","5","5","3","2","0","3","19","22.0","-6",".792",".792","2.8","13.8","7.8","22.8","3.9","5.3","0.0","14.5","153","115"
"11","10","2018-11-09","25-159","WAS","@","ORL","L (-9)","1","23:11","3","7",".429","2","4",".500","0","0","","0","3","3","1","2","0","1","1","8","6.5","-9",".571",".571","0.0","15.9","8.2","5.8","4.2","0.0","12.5","15.3","100","114"
"12","11","2018-11-10","25-160","WAS","@","MIA","W (+6)","1","23:08","3","8",".375","0","2",".000","1","1","1.000","2","2","4","0","1","1","0","0","7","6.3","-2",".415",".375","10.4","9.0","9.7","0.0","2.1","3.8","0.0","15.3","114","111"
"13","12","2018-11-12","25-162","WAS","","ORL","W (+8)","1","21:42","2","4",".500","2","4",".500","0","0","","0","1","1","4","0","1","0","3","6","6.6","-10",".750",".750","0.0","5.3","2.9","24.9","0.0","3.7","0.0","8.5","171","120"
"14","13","2018-11-14","25-164","WAS","","CLE","W (+24)","1","26:14","7","11",".636","1","3",".333","0","0","","1","2","3","3","2","0","3","0","15","12.5","+10",".682",".682","4.1","8.9","6.4","17.6","3.5","0.0","21.4","21.1","109","93"
"15","14","2018-11-16","25-166","WAS","","BRK","L (-11)","1","28:55","3","10",".300","0","3",".000","2","2","1.000","0","6","6","2","1","0","2","0","8","4.4","-4",".368",".300","0.0","20.7","10.6","10.4","1.7","0.0","15.5","18.6","73","112"
"16","15","2018-11-18","25-168","WAS","","POR","L (-10)","1","28:15","5","8",".625","1","1","1.000","2","4",".500","0","4","4","2","0","1","2","0","13","9.9","-26",".666",".688","0.0","15.8","7.2","9.8","0.0","3.0","17.0","17.2","108","116"
"17","16","2018-11-20","25-170","WAS","","LAC","W (+7)","1","37:37","4","9",".444","1","4",".250","2","2","1.000","1","13","14","2","2","1","0","1","11","14.6","+10",".557",".500","2.7","41.5","20.3","7.3","2.5","2.1","0.0","10.8","127","110"
"18","17","2018-11-23","25-173","WAS","@","TOR","L (-18)","1","36:10","6","12",".500","1","6",".167","4","4","1.000","1","6","7","4","1","0","0","2","17","16.5","-7",".618",".542","2.6","18.5","9.9","16.6","1.3","0.0","0.0","15.2","140","125"
"19","18","2018-11-24","25-174","WAS","","NOP","W (+10)","1","31:30","12","15",".800","3","4",".750","2","3",".667","2","5","7","4","2","0","1","2","29","28.8","+15",".888",".900","7.4","16.2","12.1","18.6","2.8","0.0","5.8","23.1","165","108"
