"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"31","1","2018-12-17","21-049","CHI","@","OKC","L (-25)","0","2:53","0","1",".000","0","0","","0","0","","1","0","1","2","1","0","0","0","0","2.4","+4",".000",".000","37.0","0.0","18.5","87.6","16.4","0.0","0.0","14.5","111","94"
"34","2","2018-12-23","21-055","CHI","@","CLE","W (+20)","0","1:35","1","3",".333","1","1","1.000","0","0","","2","0","2","0","0","0","0","0","3","2.7","+1",".500",".500","100.0","0.0","81.9","0.0","0.0","0.0","0.0","94.3","130","110"
"58","3","2019-02-13","21-107","CHI","","MEM","W (+12)","0","1:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","117"
"76","4","2019-03-27","21-149","CHI","","POR","L (-20)","0","16:09","0","2",".000","0","1",".000","2","2","1.000","1","2","3","1","0","0","3","1","2","-0.8","-13",".347",".000","5.7","16.1","10.0","7.6","0.0","0.0","51.0","16.3","51","133"
"77","5","2019-03-30","21-152","CHI","","TOR","L (-23)","0","18:12","3","9",".333","0","2",".000","1","1","1.000","5","3","8","3","0","0","0","0","7","8.4","-1",".371",".333","22.7","18.8","21.1","23.9","0.0","0.0","0.0","21.3","114","129"
"78","6","2019-04-01","21-154","CHI","@","NYK","L (-8)","0","1:30","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.1","0","127"
"79","7","2019-04-03","21-156","CHI","@","WAS","W (+1)","0","26:02","4","9",".444","1","4",".250","2","4",".500","0","5","5","3","0","0","2","2","11","6.3","+3",".511",".500","0.0","18.8","10.5","13.6","0.0","0.0","15.7","20.0","97","109"
"80","8","2019-04-06","21-159","CHI","","PHI","L (-20)","1","20:13","2","7",".286","1","2",".500","2","2","1.000","1","3","4","2","0","0","2","2","7","3.1","-20",".444",".357","4.7","17.4","10.3","14.3","0.0","0.0","20.2","22.6","83","122"
"81","9","2019-04-09","21-162","CHI","","NYK","L (-10)","0","12:54","1","3",".333","0","0","","0","0","","1","2","3","1","0","0","0","1","2","1.9","+4",".333",".333","6.6","13.5","10.1","14.2","0.0","0.0","0.0","10.9","92","106"
"82","10","2019-04-10","21-163","CHI","@","PHI","L (-16)","0","19:13","2","4",".500","0","1",".000","1","3",".333","0","0","0","1","0","0","1","0","5","1.9","+10",".470",".500","0.0","0.0","0.0","6.2","0.0","0.0","15.8","14.5","85","136"
