"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","25-362","CLE","@","TOR","L (-12)","1","26:19","5","13",".385","0","2",".000","2","2","1.000","1","1","2","1","1","0","0","3","12","6.4","-12",".432",".385","3.7","4.2","4.0","7.3","1.8","0.0","0.0","21.4","102","116"
"2","2","2018-10-19","25-364","CLE","@","MIN","L (-8)","1","29:09","3","10",".300","0","2",".000","4","4","1.000","0","1","1","2","1","0","1","3","10","4.7","-2",".425",".300","0.0","4.2","2.0","8.2","1.6","0.0","7.8","17.5","96","128"
"3","3","2018-10-21","26-001","CLE","","ATL","L (-22)","1","26:40","6","12",".500","1","3",".333","0","0","","0","3","3","3","0","0","1","3","13","7.8","0",".542",".542","0.0","12.6","5.8","15.3","0.0","0.0","7.7","19.0","113","129"
"4","4","2018-10-24","26-004","CLE","","BRK","L (-16)","1","22:16","4","10",".400","0","0","","2","2","1.000","2","1","3","0","0","0","0","2","10","5.5","-19",".460",".400","8.3","4.8","6.7","0.0","0.0","0.0","0.0","21.1","109","113"
"5","5","2018-10-25","26-005","CLE","@","DET","L (-7)","1","29:51","4","12",".333","0","2",".000","2","2","1.000","1","2","3","1","1","0","0","1","10","5.8","-9",".388",".333","3.8","8.9","6.2","4.7","1.7","0.0","0.0","19.8","89","119"
"6","6","2018-10-27","26-007","CLE","","IND","L (-12)","1","29:16","8","15",".533","1","6",".167","0","0","","0","5","5","3","2","0","1","2","17","13.5","-19",".567",".567","0.0","30.4","13.0","18.3","3.6","0.0","6.3","23.7","127","126"
"7","7","2018-10-30","26-010","CLE","","ATL","W (+22)","1","30:52","9","13",".692","4","4","1.000","4","6",".667","0","1","1","3","3","0","1","4","26","22.5","+38",".831",".846","0.0","3.8","1.8","15.0","4.4","0.0","6.0","21.2","160","105"
"8","8","2018-11-01","26-012","CLE","","DEN","L (-19)","1","27:32","1","9",".111","0","3",".000","6","6","1.000","0","4","4","4","2","1","0","2","8","8.0","-15",".344",".111","0.0","19.4","8.8","21.6","4.0","3.0","0.0","19.4","98","120"
"9","9","2018-11-03","26-014","CLE","@","CHO","L (-32)","1","23:29","3","8",".375","1","1","1.000","0","0","","0","3","3","3","0","0","2","3","7","2.4","-5",".438",".438","0.0","17.5","8.1","21.2","0.0","0.0","20.0","20.3","77","134"
"10","10","2018-11-05","26-016","CLE","@","ORL","L (-2)","1","30:42","4","7",".571","1","1","1.000","2","2","1.000","0","1","1","1","0","0","1","3","11","6.5","-3",".698",".643","0.0","3.6","1.9","4.5","0.0","0.0","11.3","13.4","127","115"
"11","11","2018-11-07","26-018","CLE","","OKC","L (-9)","1","22:36","3","7",".429","2","3",".667","3","3","1.000","0","5","5","4","0","0","1","3","11","9.4","-2",".661",".571","0.0","23.1","11.2","31.9","0.0","0.0","10.7","17.4","134","98"
"12","12","2018-11-10","26-021","CLE","@","CHI","L (-1)","1","28:47","7","15",".467","2","4",".500","4","4","1.000","0","2","2","2","0","0","0","1","20","13.9","+4",".597",".533","0.0","7.8","3.7","12.2","0.0","0.0","0.0","25.2","137","110"
"13","13","2018-11-13","26-024","CLE","","CHO","W (+24)","1","28:36","7","12",".583","2","3",".667","0","0","","0","2","2","2","0","0","1","4","16","9.8","0",".667",".667","0.0","5.8","3.5","10.1","0.0","0.0","7.7","20.0","134","100"
"14","14","2018-11-14","26-025","CLE","@","WAS","L (-24)","1","16:03","2","5",".400","0","1",".000","6","6","1.000","0","2","2","2","0","0","1","3","10","7.1","-11",".654",".400","0.0","13.3","7.0","20.6","0.0","0.0","11.6","22.7","130","120"
