"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","24-164","CLE","@","TOR","L (-12)","0","16:16","1","2",".500","0","1",".000","2","4",".500","1","5","6","0","1","0","1","1","4","4.0","-10",".532",".500","6.0","34.3","19.2","0.0","2.9","0.0","21.0","11.9","94","108"
"2","2","2018-10-19","24-166","CLE","@","MIN","L (-8)","0","8:54","1","3",".333","1","2",".500","2","2","1.000","1","0","1","1","1","0","1","3","5","3.5","-13",".644",".500","12.3","0.0","6.5","13.6","5.2","0.0","20.5","22.0","123","121"
"3","3","2018-10-21","24-168","CLE","","ATL","L (-22)","0","14:29","3","5",".600","1","2",".500","0","0","","1","4","5","1","1","0","1","1","7","6.9","-9",".700",".700","6.6","30.8","17.8","9.2","3.1","0.0","16.7","16.1","124","118"
"4","4","2018-10-24","24-171","CLE","","BRK","L (-16)","0","3:50","2","2","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","4","3.7","+7","1.000","1.000","0.0","27.8","12.9","0.0","0.0","0.0","0.0","22.6","200","108"
"6","5","2018-10-27","24-174","CLE","","IND","L (-12)","1","24:05","3","7",".429","0","0","","0","0","","3","2","5","1","2","0","0","1","6","7.3","-10",".429",".429","16.6","14.8","15.8","5.9","4.4","0.0","0.0","12.6","126","125"
"7","6","2018-10-30","24-177","CLE","","ATL","W (+22)","1","28:49","4","6",".667","2","2","1.000","2","2","1.000","0","9","9","4","3","0","0","2","12","17.1","+17",".872",".833","0.0","36.6","17.2","17.4","4.7","0.0","0.0","9.4","189","101"
"8","7","2018-11-01","24-179","CLE","","DEN","L (-19)","1","34:30","3","10",".300","0","2",".000","0","0","","3","1","4","1","3","0","2","3","6","3.1","-12",".300",".300","9.7","3.9","7.0","4.7","4.8","0.0","16.7","16.0","70","125"
"9","8","2018-11-03","24-181","CLE","@","CHO","L (-32)","1","24:09","5","9",".556","1","3",".333","0","0","","0","1","1","0","0","0","0","1","11","6.6","-8",".611",".611","0.0","5.7","2.6","0.0","0.0","0.0","0.0","17.8","110","137"
"10","9","2018-11-05","24-183","CLE","@","ORL","L (-2)","1","14:25","0","4",".000","0","1",".000","2","2","1.000","0","1","1","1","0","0","0","1","2","-0.2","+1",".205",".000","0.0","7.6","4.1","8.1","0.0","0.0","0.0","15.7","61","114"
"27","10","2018-12-10","24-218","WAS","@","IND","L (-8)","0","10:25","1","3",".333","0","1",".000","0","0","","0","1","1","1","2","0","0","0","2","3.3","+20",".333",".333","0.0","13.2","5.5","14.2","9.1","0.0","0.0","12.5","80","94"
"28","11","2018-12-12","24-220","WAS","","BOS","L (-5)","0","3:56","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.3","0","129"
"29","12","2018-12-14","24-222","WAS","@","BRK","L (-7)","0","17:39","2","5",".400","0","2",".000","1","2",".500","2","4","6","1","1","1","0","0","5","6.9","-1",".425",".400","13.6","35.1","23.0","6.2","2.8","5.1","0.0","15.1","110","119"
"30","13","2018-12-16","24-224","WAS","","LAL","W (+18)","0","21:50","10","15",".667","0","2",".000","0","0","","2","3","5","4","3","0","3","2","20","17.8","+2",".667",".667","8.8","15.0","11.7","27.5","6.0","0.0","16.7","31.1","120","93"
"31","14","2018-12-18","24-226","WAS","@","ATL","L (-8)","0","13:04","2","4",".500","0","0","","0","0","","1","0","1","0","1","0","1","0","4","2.7","-7",".500",".500","8.2","0.0","4.3","0.0","3.6","0.0","20.0","16.1","84","117"
"32","15","2018-12-19","24-227","WAS","@","HOU","L (-18)","0","15:17","7","8",".875","1","2",".500","0","0","","0","2","2","0","1","0","1","3","15","11.6","-12",".938",".938","0.0","17.9","8.7","0.0","3.2","0.0","11.1","26.9","144","133"
"33","16","2018-12-22","24-230","WAS","","PHO","W (+3)","0","14:02","2","3",".667","0","0","","0","0","","1","3","4","0","1","1","0","0","4","6.0","-7",".667",".667","9.4","24.5","17.4","0.0","3.7","5.6","0.0","9.3","148","108"
"34","17","2018-12-23","24-231","WAS","@","IND","L (-16)","0","22:07","4","8",".500","0","1",".000","0","0","","0","2","2","0","0","0","0","1","8","4.2","-4",".500",".500","0.0","9.2","4.6","0.0","0.0","0.0","0.0","15.9","92","111"
"36","18","2018-12-28","24-236","WAS","","CHI","L (-9)","0","15:03","3","6",".500","0","0","","0","0","","1","4","5","0","1","0","0","1","6","5.5","-10",".500",".500","6.8","32.7","18.5","0.0","3.4","0.0","0.0","18.2","103","104"
"37","19","2018-12-29","24-237","WAS","","CHO","W (+4)","0","22:02","6","10",".600","1","3",".333","0","0","","1","4","5","2","0","1","0","1","13","12.0","+5",".650",".650","5.4","20.3","13.1","12.5","0.0","3.7","0.0","18.9","136","122"
"38","20","2019-01-02","24-241","WAS","","ATL","W (+16)","0","15:46","4","10",".400","0","0","","0","0","","2","0","2","1","0","0","0","2","8","3.9","-1",".400",".400","13.0","0.0","6.2","9.9","0.0","0.0","0.0","27.2","96","109"
"39","21","2019-01-04","24-243","WAS","@","MIA","L (-6)","0","16:53","2","4",".500","0","0","","0","0","","2","1","3","0","2","0","0","2","4","4.9","+1",".500",".500","12.1","6.8","9.6","0.0","5.5","0.0","0.0","9.8","121","105"
"40","22","2019-01-06","24-245","WAS","@","OKC","W (+18)","0","16:07","3","4",".750","0","0","","0","0","","3","5","8","0","1","0","1","0","6","8.0","+12",".750",".750","17.9","32.4","24.8","0.0","3.0","0.0","20.0","12.4","131","95"
"41","23","2019-01-08","24-247","WAS","@","PHI","L (-17)","0","22:26","4","9",".444","1","3",".333","5","6",".833","3","0","3","4","2","0","0","1","14","15.4","-2",".601",".500","15.3","0.0","7.7","25.6","4.2","0.0","0.0","22.8","144","129"
"42","24","2019-01-09","24-248","WAS","","PHI","W (+17)","0","18:45","4","6",".667","2","2","1.000","1","4",".250","0","2","2","1","1","0","0","0","11","9.5","-6",".709",".833","0.0","11.4","6.0","7.0","2.5","0.0","0.0","17.4","141","106"
"43","25","2019-01-11","24-250","WAS","","MIL","W (+7)","0","13:24","0","1",".000","0","1",".000","0","2",".000","0","2","2","0","0","1","0","0","0","-0.2","+5",".000",".000","0.0","15.2","8.3","0.0","0.0","7.3","0.0","6.3","0","108"
"44","26","2019-01-13","24-252","WAS","","TOR","L (-2)","0","12:47","0","3",".000","0","0","","0","0","","1","1","2","0","1","0","1","2","0","-1.9","+4",".000",".000","7.7","8.9","8.2","0.0","3.7","0.0","25.0","12.4","18","113"
"45","27","2019-01-17","24-256","WAS","","NYK","W (+1)","0","19:22","5","9",".556","0","0","","0","0","","3","2","5","2","1","0","2","1","10","8.4","+3",".556",".556","14.6","11.8","13.3","18.0","2.5","0.0","18.2","24.0","105","103"
"46","28","2019-01-21","24-260","WAS","","DET","W (+14)","0","19:21","4","6",".667","1","2",".500","2","2","1.000","1","4","5","1","1","0","0","0","11","12.0","0",".799",".750","5.8","23.6","14.6","9.5","2.5","0.0","0.0","16.4","160","88"
"47","29","2019-01-24","24-263","WAS","","GSW","L (-8)","0","16:33","0","5",".000","0","1",".000","0","0","","0","2","2","1","0","0","0","2","0","-3.0","-1",".000",".000","0.0","16.6","6.7","6.6","0.0","0.0","0.0","12.7","15","126"
"48","30","2019-01-25","24-264","WAS","@","ORL","W (+4)","0","18:19","1","4",".250","0","0","","0","0","","1","0","1","1","1","1","0","0","2","2.7","-4",".250",".250","6.0","0.0","2.9","8.1","2.9","5.1","0.0","10.9","78","101"
"50","31","2019-01-29","24-268","WAS","@","CLE","L (-3)","0","14:54","3","5",".600","0","1",".000","1","2",".500","1","2","3","1","0","0","0","0","7","6.3","+15",".595",".600","7.3","16.1","11.5","10.0","0.0","0.0","0.0","18.4","126","121"
"51","32","2019-01-30","24-269","WAS","","IND","W (+18)","0","25:00","4","6",".667","0","1",".000","0","2",".000","4","5","9","1","0","1","1","0","8","9.3","+2",".581",".667","20.8","22.3","21.6","5.8","0.0","3.6","12.7","14.9","121","97"
"52","33","2019-02-02","24-272","WAS","","MIL","L (-16)","0","17:49","1","6",".167","0","3",".000","0","0","","3","5","8","1","0","1","0","1","2","2.8","+9",".167",".167","15.5","33.7","23.4","6.7","0.0","5.2","0.0","13.9","76","125"
"53","34","2019-02-04","24-274","WAS","","ATL","L (-8)","0","5:08","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-7","","","0.0","0.0","0.0","19.5","0.0","0.0","","0.0","225","146"
"54","35","2019-02-06","24-276","WAS","@","MIL","L (-19)","0","20:57","5","10",".500","2","4",".500","0","0","","0","2","2","1","0","0","2","4","12","4.7","-20",".600",".600","0.0","11.5","6.2","6.3","0.0","0.0","16.7","22.1","96","137"
"59","36","2019-02-22","24-292","WAS","@","CHO","L (-13)","0","1:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","126"
"63","37","2019-03-03","24-301","WAS","","MIN","W (+14)","0","14:40","3","4",".750","1","1","1.000","4","4","1.000","0","2","2","3","1","0","0","1","11","12.7","+8",".955",".875","0.0","15.2","7.1","25.1","3.2","0.0","0.0","15.7","205","113"
"64","38","2019-03-06","24-304","WAS","","DAL","W (+9)","0","13:51","1","2",".500","1","2",".500","0","0","","0","2","2","0","0","0","0","1","3","2.2","+1",".750",".750","0.0","14.4","7.9","0.0","0.0","0.0","0.0","6.0","161","129"
