"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","23-315","BOS","","PHI","W (+18)","0","1:27","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","+2","","","0.0","67.6","32.5","0.0","0.0","0.0","","0.0","0","80"
"3","2","2018-10-20","23-319","BOS","@","NYK","W (+2)","0","2:18","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+1","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","111"
"4","3","2018-10-22","23-321","BOS","","ORL","L (-3)","0","6:53","1","2",".500","0","1",".000","0","0","","1","0","1","0","0","0","0","0","2","1.7","+5",".500",".500","13.9","0.0","7.0","0.0","0.0","0.0","0.0","13.0","117","105"
"5","4","2018-10-25","23-324","BOS","@","OKC","W (+6)","0","8:27","0","2",".000","0","1",".000","1","2",".500","1","0","1","0","0","0","0","2","1","-0.9","+5",".174",".000","11.1","0.0","5.6","0.0","0.0","0.0","0.0","14.7","61","104"
"6","5","2018-10-27","23-326","BOS","@","DET","W (+20)","0","5:15","0","2",".000","0","1",".000","0","2",".000","0","0","0","0","0","0","0","1","0","-2.6","-9",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.9","0","96"
"8","6","2018-11-01","23-331","BOS","","MIL","W (+4)","1","22:28","4","6",".667","2","4",".500","0","0","","0","5","5","0","2","0","0","4","10","9.3","+9",".833",".833","0.0","25.4","12.3","0.0","4.2","0.0","0.0","11.7","149","105"
"10","7","2018-11-05","23-335","BOS","@","DEN","L (-8)","0","3:17","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-8","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","130"
"11","8","2018-11-08","23-338","BOS","@","PHO","W (+7)","0","7:24","1","2",".500","0","1",".000","1","1","1.000","0","1","1","0","0","1","0","0","3","3.0","+2",".615",".500","0.0","16.7","7.3","0.0","0.0","12.3","0.0","13.8","136","94"
"12","9","2018-11-09","23-339","BOS","@","UTA","L (-8)","0","8:06","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","1","3","1.6","-6",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.2","125","135"
"14","10","2018-11-14","23-344","BOS","","CHI","W (+29)","0","21:21","2","2","1.000","0","0","","0","0","","1","1","2","0","0","0","2","0","4","2.4","+23","1.000","1.000","4.7","4.5","4.6","0.0","0.0","0.0","50.0","8.2","91","91"
"16","11","2018-11-17","23-347","BOS","","UTA","L (-12)","0","12:00","1","3",".333","0","2",".000","0","0","","1","1","2","0","1","0","0","0","2","2.3","+3",".333",".333","7.1","9.8","8.2","0.0","4.2","0.0","0.0","10.5","88","102"
"19","12","2018-11-23","23-353","BOS","@","ATL","W (+18)","0","23:32","3","11",".273","1","5",".200","1","2",".500","0","5","5","0","0","0","4","1","8","-1.8","+11",".337",".318","0.0","24.9","12.3","0.0","0.0","0.0","25.2","27.9","49","96"
"20","13","2018-11-24","23-354","BOS","@","DAL","L (-9)","0","18:33","0","0","","0","0","","0","0","","1","2","3","1","0","0","0","0","0","2.0","0","","","6.6","11.3","9.1","6.3","0.0","0.0","","0.0","225","122"
"21","14","2018-11-26","23-356","BOS","@","NOP","W (+17)","0","5:31","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.0","-2",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.2","152","120"
"22","15","2018-11-30","23-360","BOS","","CLE","W (+33)","0","14:38","2","4",".500","1","1","1.000","0","0","","0","2","2","0","0","0","0","0","5","3.6","+11",".625",".625","0.0","14.9","7.9","0.0","0.0","0.0","0.0","12.0","129","105"
