"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","29-029","TOR","","CLE","W (+12)","0","27:11","2","10",".200","1","3",".333","4","6",".667","4","3","7","1","2","3","2","6","9","6.1","-1",".356",".250","16.4","10.8","13.4","4.3","3.5","8.0","13.7","23.5","86","96"
"2","2","2018-10-19","29-031","TOR","","BOS","W (+12)","1","33:32","10","14",".714","1","2",".500","0","1",".000","4","2","6","2","0","1","1","2","21","18.5","+16",".727",".750","12.7","5.4","8.8","10.0","0.0","2.3","6.5","19.7","144","109"
"3","3","2018-10-20","29-032","TOR","@","WAS","W (+4)","0","27:29","4","10",".400","0","1",".000","8","10",".800","3","6","9","0","1","1","2","2","16","12.6","+1",".556",".400","12.5","22.3","17.7","0.0","1.7","3.5","12.2","23.7","115","107"
"4","4","2018-10-22","29-034","TOR","","CHO","W (+21)","1","24:25","7","12",".583","0","3",".000","1","2",".500","0","8","8","1","0","1","4","3","15","7.6","+15",".582",".583","0.0","28.6","18.1","5.4","0.0","2.8","23.7","31.3","82","104"
"5","5","2018-10-24","29-036","TOR","","MIN","W (+7)","1","27:58","7","10",".700","0","1",".000","1","2",".500","3","4","7","1","0","0","2","3","15","11.2","+3",".689",".700","13.2","14.0","13.7","5.1","0.0","0.0","15.5","20.0","123","114"
"6","6","2018-10-26","29-038","TOR","","DAL","W (+9)","0","25:58","5","13",".385","0","3",".000","1","1","1.000","2","6","8","1","0","2","5","2","11","3.4","-3",".409",".385","8.0","23.1","15.7","5.3","0.0","6.0","27.1","30.5","69","105"
"7","7","2018-10-29","29-041","TOR","@","MIL","L (-15)","1","28:30","12","21",".571","2","5",".400","4","4","1.000","2","7","9","1","0","1","0","3","30","23.8","+7",".659",".619","5.3","26.8","14.0","9.0","0.0","3.6","0.0","30.6","134","117"
"8","8","2018-10-30","29-042","TOR","","PHI","W (+17)","1","30:23","7","13",".538","0","1",".000","2","2","1.000","4","4","8","1","2","3","2","3","16","15.3","+16",".576",".538","16.2","12.4","14.0","4.4","3.0","9.3","12.6","21.0","115","101"
"9","9","2018-11-02","29-045","TOR","@","PHO","W (+9)","0","22:40","6","12",".500","0","4",".000","2","4",".500","0","4","4","1","2","2","1","2","14","10.7","+11",".509",".500","0.0","18.8","9.6","7.5","4.3","6.5","6.8","30.3","93","93"
"10","10","2018-11-04","29-047","TOR","@","LAL","W (+14)","1","29:07","15","17",".882","1","1","1.000","3","3","1.000","3","7","10","2","2","0","1","4","34","33.1","+32",".928",".912","11.0","27.5","18.9","13.6","3.2","0.0","5.2","27.4","176","100"
"11","11","2018-11-05","29-048","TOR","@","UTA","W (+13)","0","13:46","8","8","1.000","1","1","1.000","0","0","","1","4","5","1","0","0","2","6","17","12.8","+7","1.063","1.063","10.0","29.1","21.0","16.5","0.0","0.0","20.0","32.8","156","109"
"12","12","2018-11-07","29-050","TOR","@","SAC","W (+9)","1","28:01","6","10",".600","2","3",".667","0","0","","3","11","14","0","0","3","3","4","14","12.3","+5",".700",".700","13.5","41.0","28.6","0.0","0.0","7.9","23.1","18.7","114","97"
"13","13","2018-11-10","29-053","TOR","","NYK","W (+16)","1","25:40","5","11",".455","1","2",".500","1","2",".500","0","8","8","1","0","0","0","3","12","7.8","+3",".505",".500","0.0","29.9","16.1","5.7","0.0","0.0","0.0","19.9","111","110"
"14","14","2018-11-12","29-055","TOR","","NOP","L (-16)","1","26:58","8","16",".500","2","6",".333","1","2",".500","6","8","14","2","0","0","0","3","19","17.4","-10",".563",".563","20.2","32.4","25.7","14.4","0.0","0.0","0.0","25.8","131","124"
