"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","33-115","MIN","@","SAS","L (-4)","1","26:57","3","4",".750","0","0","","0","0","","2","9","11","0","0","0","1","5","6","5.5","-4",".750",".750","7.6","31.4","20.0","0.0","0.0","0.0","20.0","7.8","126","111"
"2","2","2018-10-19","33-117","MIN","","CLE","W (+8)","1","28:10","5","10",".500","0","1",".000","3","4",".750","3","5","8","2","0","0","2","4","13","9.0","-9",".553",".500","13.1","19.4","16.4","9.6","0.0","0.0","14.5","20.3","112","123"
"3","3","2018-10-20","33-118","MIN","@","DAL","L (-4)","1","31:11","4","6",".667","0","0","","1","1","1.000","1","5","6","1","2","1","1","2","9","10.2","-1",".699",".667","4.7","18.3","12.3","4.1","2.8","3.2","13.4","9.7","129","124"
"4","4","2018-10-22","33-120","MIN","","IND","W (+10)","1","32:39","6","7",".857","1","1","1.000","0","0","","2","5","7","1","1","3","3","1","13","13.8","-1",".929",".929","7.2","14.4","11.2","5.4","1.5","6.7","30.0","13.3","118","91"
"5","5","2018-10-24","33-122","MIN","@","TOR","L (-7)","1","19:57","6","10",".600","1","2",".500","0","0","","3","3","6","1","0","0","0","1","13","11.7","-7",".650",".650","14.7","18.5","16.4","9.4","0.0","0.0","0.0","20.4","144","120"
"6","6","2018-10-26","33-124","MIN","","MIL","L (-30)","1","19:19","4","9",".444","0","1",".000","3","5",".600","5","2","7","1","1","2","1","4","11","10.1","-15",".491",".444","17.3","12.7","15.7","9.5","2.3","10.8","8.2","23.9","108","112"
"7","7","2018-10-29","33-127","MIN","","LAL","W (+4)","1","28:52","3","7",".429","0","0","","2","4",".500","5","1","6","0","2","3","1","0","8","10.4","+3",".457",".429","16.3","3.5","10.1","0.0","3.2","7.0","10.2","13.0","110","115"
"8","8","2018-10-31","33-129","MIN","","UTA","W (+3)","1","24:14","5","7",".714","0","1",".000","0","0","","1","1","2","2","2","0","1","4","10","8.9","+3",".714",".714","5.7","3.7","4.5","9.9","3.8","0.0","12.5","14.2","136","121"
"9","9","2018-11-02","33-131","MIN","@","GSW","L (-17)","1","24:08","5","10",".500","2","4",".500","0","0","","2","1","3","3","0","0","0","3","12","9.6","-7",".600",".600","7.0","4.6","6.0","21.3","0.0","0.0","0.0","17.7","128","123"
"10","10","2018-11-04","33-133","MIN","@","POR","L (-30)","1","22:45","3","10",".300","0","1",".000","2","2","1.000","5","3","8","2","2","1","2","2","8","7.9","-19",".368",".300","17.0","15.1","16.2","18.6","4.4","3.6","15.5","24.0","83","109"
"11","11","2018-11-05","33-134","MIN","@","LAC","L (-11)","1","32:14","6","9",".667","0","0","","3","4",".750","3","6","9","1","2","1","0","6","15","15.6","-7",".697",".667","11.8","20.8","16.5","4.8","3.1","2.6","0.0","14.7","152","120"
"12","12","2018-11-07","33-136","MIN","@","LAL","L (-4)","1","37:21","6","14",".429","3","5",".600","1","2",".500","4","7","11","3","3","0","0","3","16","17.0","+12",".538",".536","11.2","21.9","16.2","11.6","4.0","0.0","0.0","17.4","131","112"
"13","13","2018-11-09","33-138","MIN","@","SAC","L (-11)","1","29:37","4","11",".364","0","1",".000","1","2",".500","4","5","9","2","0","0","1","3","9","6.0","-6",".379",".364","12.5","16.5","14.4","10.0","0.0","0.0","7.8","16.7","95","117"
"14","14","2018-11-12","33-141","MIN","","BRK","W (+7)","1","33:13","5","8",".625","0","0","","7","8",".875","3","6","9","1","1","1","2","4","17","15.7","+12",".738",".625","13.5","14.0","13.8","4.2","1.4","2.8","14.8","16.7","139","109"
"15","15","2018-11-14","33-143","MIN","","NOP","W (+7)","1","27:50","4","7",".571","0","0","","2","4",".500","1","3","4","1","1","1","0","2","10","9.1","0",".571",".571","3.7","11.2","7.4","5.7","1.7","2.6","0.0","13.1","122","99"
"16","16","2018-11-16","33-145","MIN","","POR","W (+16)","1","20:59","6","10",".600","0","0","","0","0","","3","1","4","5","0","0","0","2","12","12.5","+10",".600",".600","14.9","5.1","10.1","35.4","0.0","0.0","0.0","21.0","145","105"
"17","17","2018-11-18","33-147","MIN","","MEM","L (-13)","1","19:13","1","6",".167","0","0","","3","4",".750","5","0","5","0","1","0","2","2","5","2.5","-15",".322",".167","29.0","0.0","13.6","0.0","2.7","0.0","20.5","22.8","78","110"
"18","18","2018-11-21","33-150","MIN","","DEN","L (-2)","1","19:08","3","3","1.000","0","0","","1","1","1.000","0","4","4","1","0","0","0","2","7","7.2","+2","1.017","1.000","0.0","24.5","12.5","9.1","0.0","0.0","0.0","8.0","211","112"
"19","19","2018-11-23","33-152","MIN","@","BRK","W (+10)","1","25:55","6","7",".857","1","1","1.000","3","3","1.000","2","9","11","1","3","1","0","5","16","20.0","+10",".962",".929","8.1","43.9","24.3","5.6","5.8","5.4","0.0","14.5","198","91"
"20","20","2018-11-24","33-153","MIN","","CHI","W (+15)","1","23:24","2","5",".400","0","0","","2","2","1.000","1","1","2","2","1","0","2","2","6","3.9","+4",".510",".400","3.7","4.7","4.1","10.8","2.1","0.0","25.4","12.8","95","99"
"21","21","2018-11-26","33-155","MIN","@","CLE","W (+7)","1","29:40","2","6",".333","0","0","","3","4",".750","4","4","8","2","1","0","3","4","7","5.0","-8",".451",".333","16.6","16.2","16.4","8.8","1.7","0.0","27.9","17.0","93","104"
"22","22","2018-11-28","33-157","MIN","","SAS","W (+39)","1","23:59","6","10",".600","0","0","","1","2",".500","2","6","8","1","0","0","0","0","13","11.9","+24",".597",".600","8.5","25.5","17.0","5.3","0.0","0.0","0.0","19.2","133","95"
"23","23","2018-12-01","33-160","MIN","","BOS","L (-9)","1","23:09","4","6",".667","0","0","","0","4",".000","2","6","8","1","0","0","2","1","8","5.3","-1",".515",".667","9.9","33.6","21.0","7.2","0.0","0.0","20.5","18.1","89","120"
"24","24","2018-12-03","33-162","MIN","","HOU","W (+12)","1","27:05","4","11",".364","0","1",".000","7","8",".875","7","4","11","3","1","0","0","1","15","17.3","+10",".517",".364","31.0","19.7","25.7","18.4","1.9","0.0","0.0","23.8","141","102"
"25","25","2018-12-05","33-164","MIN","","CHO","W (+17)","1","25:08","4","5",".800","2","3",".667","1","2",".500","1","9","10","1","0","1","0","1","11","13.1","+6",".935","1.000","5.2","32.4","21.2","4.7","0.0","2.9","0.0","10.0","183","101"
"26","26","2018-12-08","33-167","MIN","@","POR","L (-8)","1","25:24","5","11",".455","0","1",".000","2","2","1.000","4","1","5","0","2","0","1","3","12","9.2","-14",".505",".455","15.4","4.3","10.2","0.0","3.8","0.0","7.8","21.6","107","115"
"27","27","2018-12-10","33-169","MIN","@","GSW","L (-8)","1","17:21","2","7",".286","0","1",".000","0","0","","1","2","3","0","1","0","1","1","4","0.8","-10",".286",".286","6.3","11.8","9.1","0.0","2.7","0.0","12.5","19.6","58","114"
"28","28","2018-12-12","33-171","MIN","@","SAC","L (-11)","1","16:43","3","8",".375","0","0","","0","2",".000","3","4","7","0","1","0","1","2","6","3.3","-5",".338",".375","21.0","31.9","26.1","0.0","2.9","0.0","10.1","24.5","83","134"
"30","29","2018-12-17","33-176","MIN","","SAC","W (+27)","1","21:45","6","11",".545","0","1",".000","0","0","","6","3","9","2","0","1","1","3","12","11.7","-5",".545",".545","30.8","12.5","20.7","12.7","0.0","4.2","8.3","22.0","125","102"
"31","30","2018-12-19","33-178","MIN","","DET","L (-6)","1","22:19","3","5",".600","0","0","","0","0","","3","5","8","1","0","0","0","6","6","5.6","-16",".600",".600","15.2","25.8","20.4","6.3","0.0","0.0","0.0","9.7","146","121"
"32","31","2018-12-21","33-180","MIN","@","SAS","L (-26)","1","23:35","4","4","1.000","0","0","","1","2",".500","2","5","7","1","0","2","0","2","9","11.6","+4",".922","1.000","8.5","24.8","16.0","8.2","0.0","7.5","0.0","9.1","189","125"
"33","32","2018-12-23","33-182","MIN","@","OKC","W (+2)","1","25:20","5","8",".625","0","0","","1","2",".500","1","4","5","1","1","0","1","2","11","8.8","+12",".619",".625","4.5","17.6","11.1","6.0","1.9","0.0","10.1","17.0","114","111"
"34","33","2018-12-26","33-185","MIN","@","CHI","W (+25)","1","26:18","6","9",".667","1","1","1.000","3","3","1.000","1","2","3","2","0","0","0","3","16","13.6","+23",".775",".722","4.1","7.0","5.6","10.4","0.0","0.0","0.0","16.8","166","101"
"35","34","2018-12-28","33-187","MIN","","ATL","L (-3)","1","25:31","2","3",".667","0","0","","0","0","","1","4","5","0","1","1","4","2","4","1.5","+4",".667",".667","3.6","17.3","9.9","0.0","1.9","3.2","57.1","11.3","54","111"
"36","35","2018-12-30","33-189","MIN","@","MIA","W (+9)","1","29:39","6","10",".600","0","0","","2","3",".667","1","6","7","1","0","0","1","1","14","10.8","+13",".618",".600","3.1","19.8","11.2","5.7","0.0","0.0","8.1","16.6","121","108"
"37","36","2018-12-31","33-190","MIN","@","NOP","L (-9)","1","31:38","6","6","1.000","0","0","","5","6",".833","2","3","5","2","1","1","0","1","17","19.8","+10",".984","1.000","6.7","12.0","9.1","9.0","1.6","2.4","0.0","11.9","206","130"
"38","37","2019-01-02","33-192","MIN","@","BOS","L (-13)","1","25:33","4","7",".571","0","2",".000","0","0","","2","3","5","1","0","0","2","4","8","4.1","-3",".571",".571","9.9","19.4","14.0","5.8","0.0","0.0","22.2","15.8","97","125"
"39","38","2019-01-04","33-194","MIN","","ORL","W (+17)","1","22:24","7","10",".700","0","0","","0","0","","1","9","10","1","1","0","2","5","14","10.9","+22",".700",".700","5.4","39.4","24.1","6.7","2.1","0.0","16.7","22.9","114","97"
