"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","24-213","BOS","","PHI","W (+18)","0","26:31","5","10",".500","1","2",".500","0","0","","0","8","8","1","0","1","1","0","11","8.8","+22",".550",".550","0.0","29.6","14.2","5.5","0.0","3.0","9.1","17.0","102","84"
"2","2","2018-10-19","24-216","BOS","@","TOR","L (-12)","0","23:13","2","7",".286","2","3",".667","2","2","1.000","2","3","5","3","1","0","0","4","8","7.7","-4",".508",".429","7.8","13.8","10.5","17.3","2.1","0.0","0.0","13.9","134","114"
"3","3","2018-10-20","24-217","BOS","@","NYK","W (+2)","0","22:54","4","8",".500","2","4",".500","0","0","","0","1","1","2","0","0","1","3","10","5.5","0",".625",".625","0.0","4.5","2.3","17.0","0.0","0.0","11.1","16.9","113","109"
"4","4","2018-10-22","24-219","BOS","","ORL","L (-3)","0","15:29","2","9",".222","1","5",".200","0","0","","0","2","2","1","0","0","0","0","5","0.8","+9",".278",".278","0.0","12.4","6.2","10.1","0.0","0.0","0.0","26.1","63","102"
"5","5","2018-10-25","24-222","BOS","@","OKC","W (+6)","0","24:57","2","5",".400","0","2",".000","0","0","","0","3","3","4","4","0","0","1","4","8.6","+3",".400",".400","0.0","11.3","5.7","26.4","7.7","0.0","0.0","8.6","109","84"
"6","6","2018-10-27","24-224","BOS","@","DET","W (+20)","0","27:21","4","8",".500","2","3",".667","4","4","1.000","0","8","8","2","0","0","0","2","14","13.0","+15",".717",".625","0.0","27.0","13.9","11.0","0.0","0.0","0.0","15.6","149","91"
"7","7","2018-10-30","24-227","BOS","","DET","W (+3)","0","19:28","1","4",".250","0","1",".000","1","2",".500","0","1","1","2","2","1","1","0","3","3.6","+5",".307",".250","0.0","5.0","2.6","14.3","4.8","4.3","17.0","12.9","67","96"
"8","8","2018-11-01","24-229","BOS","","MIL","W (+4)","0","26:08","3","11",".273","1","4",".250","0","0","","0","7","7","3","0","2","1","4","7","3.5","-12",".318",".318","0.0","30.6","14.8","15.5","0.0","6.6","8.3","20.1","75","108"
"9","9","2018-11-03","24-231","BOS","@","IND","L (-1)","0","18:56","2","5",".400","2","4",".500","1","2",".500","0","6","6","3","0","0","1","0","7","6.8","-9",".595",".600","0.0","35.4","16.9","23.1","0.0","0.0","14.5","16.5","117","106"
"10","10","2018-11-05","24-233","BOS","@","DEN","L (-8)","0","22:21","2","9",".222","2","5",".400","0","0","","0","3","3","0","1","1","1","2","6","1.3","-13",".333",".333","0.0","13.4","7.4","0.0","2.2","3.8","10.0","20.6","61","118"
