"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"3","1","2018-10-20","22-349","BRK","@","IND","L (-20)","0","6:33","0","3",".000","0","2",".000","2","2","1.000","0","1","1","2","0","0","0","0","2","1.6","+1",".258",".000","0.0","17.9","9.2","35.7","0.0","0.0","0.0","24.6","90","134"
"4","2","2018-10-24","22-353","BRK","@","CLE","W (+16)","0","3:50","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-7","","","0.0","0.0","0.0","33.0","0.0","0.0","","0.0","237","102"
"24","3","2018-12-01","23-026","BRK","@","WAS","L (-14)","0","4:25","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+4","","","0.0","0.0","0.0","36.2","0.0","0.0","","0.0","227","112"
"35","4","2018-12-23","23-048","BRK","","PHO","W (+8)","0","0:43","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.5","0","113"
"38","5","2018-12-29","23-054","BRK","@","MIL","L (-14)","0","27:54","3","8",".375","0","3",".000","0","0","","1","6","7","4","1","0","1","1","6","6.5","-3",".375",".375","4.4","25.8","15.2","21.0","1.7","0.0","11.1","14.3","93","123"
"42","6","2019-01-07","23-063","BRK","@","BOS","L (-21)","0","15:59","1","3",".333","0","2",".000","0","0","","0","1","1","3","0","0","2","3","2","-0.5","-7",".333",".333","0.0","6.8","3.3","31.1","0.0","0.0","40.0","13.4","65","118"
"44","7","2019-01-11","23-067","BRK","@","TOR","L (-17)","0","13:05","3","5",".600","1","3",".333","2","2","1.000","0","1","1","1","0","0","1","1","9","6.3","+6",".765",".700","0.0","6.3","3.4","14.1","0.0","0.0","14.5","21.4","130","117"
"50","8","2019-01-25","23-081","BRK","","NYK","W (+10)","0","25:53","5","11",".455","3","5",".600","6","6","1.000","1","7","8","2","2","0","3","2","19","15.7","+19",".696",".591","4.1","27.0","16.0","15.0","3.7","0.0","18.0","25.0","128","93"
"51","9","2019-01-28","23-084","BRK","@","BOS","L (-8)","0","25:27","1","5",".200","1","4",".250","0","0","","0","1","1","1","0","0","3","1","3","-2.5","-8",".300",".300","0.0","3.9","1.9","5.1","0.0","0.0","37.5","11.9","45","119"
"54","10","2019-02-02","23-089","BRK","@","ORL","L (-13)","0","11:05","3","7",".429","2","5",".400","0","0","","0","2","2","0","1","0","2","0","8","3.9","-1",".571",".571","0.0","17.7","8.7","0.0","4.1","0.0","22.2","33.6","75","91"
"55","11","2019-02-04","23-091","BRK","","MIL","L (-19)","0","26:14","2","9",".222","1","5",".200","5","6",".833","0","8","8","2","0","0","2","3","10","4.7","+1",".430",".278","0.0","26.6","12.7","12.5","0.0","0.0","14.7","19.6","85","107"
"66","12","2019-03-04","23-119","BRK","","DAL","W (+39)","0","7:27","0","3",".000","0","3",".000","0","0","","0","1","1","1","1","0","0","0","0","-0.1","-5",".000",".000","0.0","12.9","7.7","13.4","6.3","0.0","0.0","18.2","26","77"
"69","13","2019-03-11","23-126","BRK","","DET","W (+28)","0","5:19","1","2",".500","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","3","2.3","-1",".750",".750","0.0","13.9","8.9","0.0","0.0","0.0","0.0","17.1","136","84"
"70","14","2019-03-13","23-128","BRK","@","OKC","L (-12)","0","0:47","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","122"
"71","15","2019-03-16","23-131","BRK","@","UTA","L (-16)","0","13:20","3","6",".500","2","5",".400","4","6",".667","0","1","1","1","0","0","1","2","12","7.4","+2",".694",".667","0.0","7.1","3.3","16.2","0.0","0.0","10.4","31.1","122","119"
"76","16","2019-03-28","23-143","BRK","@","PHI","L (-13)","0","2:55","1","3",".333","1","3",".333","0","0","","0","0","0","0","0","0","0","0","3","1.3","0",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.9","96","127"
"77","17","2019-03-30","23-145","BRK","","BOS","W (+14)","0","1:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","105"
"82","18","2019-04-10","23-156","BRK","","MIA","W (+19)","0","18:58","2","7",".286","0","4",".000","0","0","","2","2","4","2","1","0","3","2","4","0.5","+2",".286",".286","7.7","9.0","8.3","13.3","2.4","0.0","30.0","19.6","61","88"
