"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2018-10-26","21-243","MIL","@","MIN","W (+30)","0","12:00","3","4",".750","1","2",".500","1","2",".500","1","3","4","0","0","1","0","4","8","6.7","0",".820",".875","10.3","16.7","14.4","0.0","0.0","5.8","0.0","17.1","161","88"
"6","2","2018-10-27","21-244","MIL","","ORL","W (+22)","0","6:03","0","1",".000","0","1",".000","0","0","","0","3","3","0","0","1","0","1","0","0.5","-7",".000",".000","0.0","38.4","24.3","0.0","0.0","13.7","0.0","7.0","0","72"
"7","3","2018-10-29","21-246","MIL","","TOR","W (+15)","0","23:13","4","7",".571","2","4",".500","1","2",".500","0","7","7","2","0","1","2","1","11","9.1","+6",".698",".714","0.0","22.6","13.4","11.3","0.0","3.6","20.2","17.4","110","99"
"9","4","2018-11-04","21-252","MIL","","SAC","W (+35)","0","9:47","1","5",".200","1","4",".250","0","0","","0","2","2","0","0","0","0","0","3","0.5","+10",".300",".300","0.0","18.2","9.8","0.0","0.0","0.0","0.0","20.2","64","104"
"11","5","2018-11-08","21-256","MIL","@","GSW","W (+23)","0","6:44","4","6",".667","0","1",".000","0","0","","1","0","1","0","1","0","0","0","8","7.1","-4",".667",".667","16.6","0.0","8.5","0.0","6.7","0.0","0.0","34.3","137","100"
"14","6","2018-11-14","21-262","MIL","","MEM","L (-3)","0","9:29","1","2",".500","1","2",".500","0","0","","0","2","2","1","0","2","0","2","3","3.9","+17",".750",".750","0.0","26.0","13.0","14.1","0.0","21.5","0.0","9.3","161","103"
"15","7","2018-11-16","21-264","MIL","","CHI","W (+19)","0","17:51","3","10",".300","3","7",".429","0","0","","1","2","3","1","0","1","0","3","9","4.7","+3",".450",".450","6.3","11.2","8.9","6.9","0.0","4.4","0.0","23.1","106","101"
"16","8","2018-11-19","21-267","MIL","","DEN","W (+6)","0","3:41","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-11","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","110"
"17","9","2018-11-21","21-269","MIL","","POR","W (+43)","0","20:55","4","10",".400","3","7",".429","0","0","","2","6","8","0","0","1","2","2","11","6.7","+12",".550",".550","10.7","24.6","18.5","0.0","0.0","4.4","16.7","21.3","101","89"
"18","10","2018-11-23","21-271","MIL","","PHO","L (-2)","0","8:10","1","4",".250","0","3",".000","0","2",".000","1","0","1","2","0","0","0","0","2","0.9","-5",".205",".250","14.3","0.0","7.1","32.5","0.0","0.0","0.0","25.1","75","119"
"19","11","2018-11-24","21-272","MIL","","SAS","W (+6)","0","16:49","2","6",".333","1","4",".250","0","0","","1","3","4","1","1","0","0","2","5","4.1","-1",".417",".417","7.9","19.5","14.3","6.6","2.7","0.0","0.0","15.3","103","121"
"20","12","2018-11-26","21-274","MIL","@","CHO","L (-3)","0","5:53","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","1","0","2","0","-0.8","-13",".000",".000","0.0","0.0","0.0","0.0","0.0","15.7","0.0","7.2","0","102"
"21","13","2018-11-28","21-276","MIL","","CHI","W (+3)","0","11:23","0","1",".000","0","1",".000","0","0","","0","3","3","1","0","1","0","2","0","0.8","+12",".000",".000","0.0","25.8","13.6","9.8","0.0","8.1","0.0","3.8","57","108"
"22","14","2018-12-01","21-279","MIL","@","NYK","L (-2)","0","12:53","2","3",".667","2","3",".667","3","4",".750","0","2","2","0","1","0","0","2","9","8.1","+3",".945","1.000","0.0","17.5","8.9","0.0","3.7","0.0","0.0","15.8","185","117"
"23","15","2018-12-05","21-283","MIL","","DET","W (+23)","0","21:13","3","8",".375","2","6",".333","3","6",".500","0","2","2","1","0","0","0","3","11","5.5","+4",".517",".500","0.0","8.4","4.7","7.2","0.0","0.0","0.0","21.8","104","95"
"24","16","2018-12-07","21-285","MIL","","GSW","L (-10)","0","12:23","1","5",".200","0","2",".000","0","0","","1","1","2","0","0","0","0","1","2","-0.5","-7",".200",".200","7.5","8.6","8.0","0.0","0.0","0.0","0.0","16.1","58","111"
"25","17","2018-12-09","21-287","MIL","@","TOR","W (+5)","0","8:21","1","2",".500","1","2",".500","2","2","1.000","0","2","2","0","0","3","1","1","5","5.3","+11",".868",".750","0.0","24.5","12.8","0.0","0.0","34.5","25.8","20.9","122","85"
"26","18","2018-12-10","21-288","MIL","","CLE","W (+16)","0","15:31","2","5",".400","0","1",".000","2","2","1.000","0","3","3","1","1","0","1","0","6","4.9","-4",".510",".400","0.0","17.2","8.9","8.6","3.1","0.0","14.5","18.5","98","88"
"27","19","2018-12-12","21-290","MIL","@","IND","L (-16)","0","10:49","2","3",".667","0","1",".000","0","0","","2","3","5","1","0","0","0","1","4","5.3","+9",".667",".667","18.1","27.7","22.9","15.2","0.0","0.0","0.0","12.1","155","113"
"28","20","2018-12-14","21-292","MIL","@","CLE","W (+12)","0","10:29","1","1","1.000","1","1","1.000","0","0","","0","4","4","0","0","0","0","1","3","3.5","-13","1.500","1.500","0.0","35.2","17.8","0.0","0.0","0.0","0.0","4.0","300","102"
"29","21","2018-12-17","21-295","MIL","@","DET","W (+3)","0","6:02","1","1","1.000","0","0","","0","0","","0","2","2","1","0","0","0","0","2","3.0","-1","1.000","1.000","0.0","37.9","19.4","22.1","0.0","0.0","0.0","7.6","206","107"
"30","22","2018-12-19","21-297","MIL","","NOP","W (+8)","0","14:30","2","2","1.000","1","1","1.000","2","4",".500","1","2","3","0","1","0","1","4","7","5.3","+12",".931","1.250","7.7","14.4","11.2","0.0","3.2","0.0","21.0","14.0","135","109"
"31","23","2018-12-21","21-299","MIL","@","BOS","W (+13)","0","15:03","4","5",".800","4","5",".800","0","0","","0","3","3","1","1","0","0","3","12","11.5","+5","1.200","1.200","0.0","18.1","10.5","11.3","3.2","0.0","0.0","14.2","224","103"
"32","24","2018-12-22","21-300","MIL","@","MIA","L (-7)","0","8:17","0","1",".000","0","1",".000","1","2",".500","0","1","1","0","0","1","1","4","1","-1.7","-2",".266",".000","0.0","10.9","5.5","0.0","0.0","10.2","34.7","15.4","36","92"
"33","25","2018-12-25","21-303","MIL","@","NYK","W (+14)","0","15:05","5","8",".625","0","2",".000","2","5",".400","0","3","3","0","0","2","0","1","12","9.1","+11",".588",".625","0.0","15.9","8.8","0.0","0.0","9.4","0.0","29.0","111","91"
"34","26","2018-12-27","21-305","MIL","","NYK","W (+16)","0","12:35","0","4",".000","0","4",".000","0","0","","1","3","4","0","0","2","0","0","0","0.2","+6",".000",".000","8.7","20.4","15.3","0.0","0.0","11.6","0.0","13.0","21","88"
"35","27","2018-12-29","21-307","MIL","","BRK","W (+14)","0","13:09","0","3",".000","0","2",".000","0","0","","0","1","1","0","0","0","0","2","0","-2.6","+5",".000",".000","0.0","9.4","4.6","0.0","0.0","0.0","0.0","9.7","0","116"
"36","28","2019-01-01","21-310","MIL","","DET","W (+23)","0","17:44","1","2",".500","0","1",".000","1","3",".333","1","4","5","1","1","0","1","4","3","2.2","+7",".452",".500","8.0","20.8","15.7","6.1","2.8","0.0","23.1","11.3","93","96"
"37","29","2019-01-04","21-313","MIL","","ATL","W (+32)","0","14:22","3","10",".300","1","6",".167","1","2",".500","1","2","3","0","0","1","0","4","8","2.2","-8",".368",".350","8.8","14.2","11.8","0.0","0.0","7.6","0.0","28.8","90","101"
"39","30","2019-01-07","21-316","MIL","","UTA","W (+12)","0","18:07","6","8",".750","2","3",".667","1","1","1.000","2","3","5","1","2","0","0","2","15","16.0","+5",".889",".875","11.8","16.9","14.4","8.8","5.3","0.0","0.0","19.4","178","96"
"40","31","2019-01-09","21-318","MIL","@","HOU","W (+7)","0","2:50","0","1",".000","0","0","","0","0","","1","0","1","0","0","0","0","0","0","0.0","-2",".000",".000","40.3","0.0","17.8","0.0","0.0","0.0","0.0","14.8","69","121"
"41","32","2019-01-11","21-320","MIL","@","WAS","L (-7)","0","5:21","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-13","1.000","1.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","200","123"
"43","33","2019-01-15","21-324","MIL","","MIA","W (+38)","0","9:46","1","3",".333","0","0","","0","0","","0","3","3","2","1","0","0","1","2","3.2","+6",".333",".333","0.0","29.5","15.4","22.8","4.8","0.0","0.0","13.3","98","78"
"44","34","2019-01-16","21-325","MIL","@","MEM","W (+10)","0","8:36","0","1",".000","0","0","","0","0","","0","4","4","0","0","0","0","2","0","-0.3","-19",".000",".000","0.0","38.5","22.8","0.0","0.0","0.0","0.0","5.1","0","93"
"46","35","2019-01-21","21-330","MIL","","DAL","W (+10)","0","4:02","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+1","","","0.0","0.0","0.0","28.3","0.0","0.0","","0.0","229","113"
"54","36","2019-02-08","21-348","DET","","NYK","W (+17)","0","8:09","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","1","1","0","-1.8","-2",".000",".000","0.0","13.1","6.9","0.0","0.0","0.0","50.0","10.6","0","109"
"55","37","2019-02-11","21-351","DET","","WAS","W (+9)","0","13:39","2","3",".667","1","1","1.000","0","0","","1","3","4","0","0","1","2","3","5","2.8","+15",".833",".833","8.8","23.4","16.5","0.0","0.0","7.8","40.0","15.9","94","110"
