"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","26-215","NYK","","ATL","W (+19)","1","28:51","10","22",".455","3","9",".333","8","8","1.000","1","5","6","5","2","0","0","2","31","26.5","+14",".607",".523","3.5","19.3","11.0","29.3","2.9","0.0","0.0","33.3","136","94"
"2","2","2018-10-19","26-217","NYK","@","BRK","L (-2)","1","36:28","10","25",".400","3","8",".375","6","7",".857","0","2","2","0","3","0","2","1","29","16.3","+2",".516",".460","0.0","7.3","2.9","0.0","4.2","0.0","6.6","36.4","101","112"
"3","3","2018-10-20","26-218","NYK","","BOS","L (-2)","1","37:24","8","21",".381","5","11",".455","3","3","1.000","0","3","3","3","1","0","3","4","24","11.9","-2",".538",".500","0.0","8.4","4.1","15.0","1.3","0.0","11.8","28.3","100","108"
"4","4","2018-10-22","26-220","NYK","@","MIL","L (-11)","1","33:44","10","23",".435","3","9",".333","1","2",".500","0","2","2","3","0","0","2","6","24","9.8","-25",".503",".500","0.0","5.6","2.9","13.9","0.0","0.0","7.7","31.6","99","129"
"5","5","2018-10-24","26-222","NYK","@","MIA","L (-23)","1","22:45","4","10",".400","2","5",".400","4","4","1.000","1","2","3","2","0","0","0","3","14","10.1","-21",".595",".500","3.7","10.8","6.6","17.2","0.0","0.0","0.0","22.7","129","114"
"6","6","2018-10-26","26-224","NYK","","GSW","L (-28)","1","34:41","9","21",".429","4","12",".333","2","3",".667","0","2","2","4","0","0","3","3","24","11.7","-15",".538",".524","0.0","7.9","3.5","20.9","0.0","0.0","11.8","30.7","105","133"
"7","7","2018-10-29","26-227","NYK","","BRK","W (+19)","1","34:54","8","19",".421","3","8",".375","6","7",".857","1","4","5","8","1","0","2","1","25","20.6","+11",".566",".500","3.7","11.5","8.1","32.4","1.5","0.0","8.3","29.3","136","108"
"8","8","2018-10-31","26-229","NYK","","IND","L (-6)","1","37:56","10","19",".526","7","11",".636","10","10","1.000","0","1","1","1","0","0","5","4","37","22.1","-14",".791",".711","0.0","3.5","1.7","5.9","0.0","0.0","17.6","33.7","128","120"
"9","9","2018-11-02","26-231","NYK","@","DAL","W (+12)","1","33:49","7","17",".412","4","11",".364","0","0","","1","5","6","3","1","0","2","3","18","11.0","+10",".529",".529","3.6","17.3","10.6","11.8","1.5","0.0","10.5","25.1","105","113"
"10","10","2018-11-04","26-233","NYK","@","WAS","L (-13)","1","24:18","2","10",".200","1","3",".333","2","4",".500","0","4","4","4","0","0","1","3","7","1.8","-21",".298",".250","0.0","15.5","8.1","22.5","0.0","0.0","7.8","21.4","78","113"
"12","11","2018-11-07","26-236","NYK","@","ATL","W (+5)","1","36:34","8","22",".364","2","11",".182","16","20",".800","0","1","1","3","3","1","2","1","34","23.9","+20",".552",".409","0.0","2.5","1.4","16.8","3.9","2.4","6.1","37.9","119","105"
"13","12","2018-11-10","26-239","NYK","@","TOR","L (-16)","1","31:33","11","17",".647","2","6",".333","3","5",".600","0","4","4","2","1","0","2","5","27","18.3","-6",".703",".706","0.0","14.2","6.5","11.2","1.5","0.0","9.4","26.9","132","131"
"14","13","2018-11-11","26-240","NYK","","ORL","L (-26)","1","26:06","2","12",".167","0","6",".000","3","4",".750","0","6","6","1","1","0","2","3","7","-0.7","-18",".254",".167","0.0","21.6","10.4","6.7","1.8","0.0","12.7","24.1","52","112"
"15","14","2018-11-14","26-243","NYK","@","OKC","L (-25)","1","24:42","6","12",".500","3","8",".375","5","7",".714","0","3","3","1","0","1","2","1","20","13.1","-14",".663",".625","0.0","14.6","7.0","7.1","0.0","3.1","11.7","28.6","119","129"
"16","15","2018-11-16","26-245","NYK","@","NOP","L (-5)","1","38:05","9","23",".391","4","12",".333","8","10",".800","2","6","8","2","2","0","3","2","30","19.5","-5",".547",".478","4.6","17.6","10.3","6.9","2.3","0.0","9.9","31.5","110","116"
"17","16","2018-11-18","26-247","NYK","@","ORL","L (-14)","1","35:57","9","20",".450","5","10",".500","9","10",".900","1","1","2","2","3","0","1","2","32","24.8","-24",".656",".575","3.0","4.2","3.5","9.5","4.1","0.0","3.9","29.1","149","129"
"18","17","2018-11-20","26-249","NYK","","POR","L (-4)","1","36:44","10","21",".476","3","6",".500","9","9","1.000","2","3","5","4","1","0","2","2","32","24.6","+10",".641",".548","6.7","8.5","7.7","18.1","1.4","0.0","7.4","32.7","134","127"
"19","18","2018-11-21","26-250","NYK","@","BOS","W (+8)","1","37:37","8","19",".421","4","7",".571","1","2",".500","0","4","4","4","0","0","7","3","21","6.3","-3",".528",".526","0.0","9.3","5.2","15.1","0.0","0.0","26.0","30.2","82","114"
"20","19","2018-11-23","26-252","NYK","","NOP","W (+5)","1","36:09","2","15",".133","1","7",".143","2","2","1.000","1","1","2","4","0","0","1","2","7","-0.7","-1",".220",".167","2.8","2.5","2.6","13.9","0.0","0.0","5.9","20.2","66","120"
"21","20","2018-11-25","26-254","NYK","@","MEM","W (+5)","1","38:25","6","16",".375","3","7",".429","7","7","1.000","0","1","1","2","0","0","0","2","22","14.1","+12",".577",".469","0.0","2.6","1.3","9.4","0.0","0.0","0.0","21.3","131","111"
"22","21","2018-11-27","26-256","NYK","@","DET","L (-7)","1","30:45","5","15",".333","2","7",".286","7","7","1.000","2","4","6","3","2","0","2","1","19","14.8","0",".525",".400","5.8","14.2","9.6","16.6","3.0","0.0","10.0","26.5","111","109"
"23","22","2018-11-28","26-257","NYK","@","PHI","L (-26)","1","27:12","1","11",".091","0","6",".000","3","3","1.000","1","0","1","3","1","0","0","1","5","1.1","-16",".203",".091","3.3","0.0","1.9","17.5","1.8","0.0","0.0","19.0","61","122"
"24","23","2018-12-01","26-260","NYK","","MIL","W (+2)","1","47:05","8","22",".364","3","8",".375","2","4",".500","0","4","4","8","0","0","3","2","21","11.0","+10",".442",".432","0.0","10.0","4.9","21.4","0.0","0.0","11.2","24.8","94","123"
"25","24","2018-12-03","26-262","NYK","","WAS","L (-3)","1","30:01","7","15",".467","4","9",".444","2","3",".667","0","0","0","2","0","0","0","2","20","12.5","-15",".613",".600","0.0","0.0","0.0","12.4","0.0","0.0","0.0","22.1","142","121"
"26","25","2018-12-06","26-265","NYK","@","BOS","L (-28)","1","33:11","7","19",".368","6","13",".462","2","2","1.000","1","0","1","2","1","0","3","2","22","10.8","-17",".553",".526","2.7","0.0","1.6","11.2","1.4","0.0","13.1","28.6","102","130"
"27","26","2018-12-08","26-267","NYK","","BRK","L (-8)","1","22:43","2","12",".167","0","5",".000","3","3","1.000","0","1","1","1","1","1","1","0","7","1.1","-9",".263",".167","0.0","4.9","2.5","6.1","2.2","3.2","7.0","28.0","59","116"
"28","27","2018-12-09","26-268","NYK","","CHO","L (-12)","1","34:45","7","13",".538","3","5",".600","4","4","1.000","0","2","2","5","2","0","5","4","21","14.2","-16",".711",".654","0.0","7.1","3.3","20.1","2.7","0.0","25.3","24.1","109","114"
"29","28","2018-12-12","26-271","NYK","@","CLE","L (-7)","1","43:10","6","18",".333","4","9",".444","4","4","1.000","1","4","5","1","1","1","1","3","20","11.9","+1",".506",".444","2.3","9.7","5.9","3.2","1.1","2.0","4.8","20.6","103","117"
"30","29","2018-12-14","26-273","NYK","@","CHO","W (+2)","1","34:48","5","12",".417","1","6",".167","1","1","1.000","0","2","2","0","1","0","0","4","12","5.6","-8",".482",".458","0.0","6.6","3.1","0.0","1.4","0.0","0.0","15.6","97","118"
"31","30","2018-12-16","26-275","NYK","@","IND","L (-11)","1","35:25","8","18",".444","1","5",".200","2","3",".667","1","1","2","3","2","1","3","2","19","11.2","-9",".492",".472","2.9","3.2","3.0","15.5","2.8","2.6","13.4","26.6","95","113"
"33","31","2018-12-19","26-278","NYK","@","PHI","L (-22)","1","27:45","7","16",".438","3","7",".429","10","10","1.000","0","3","3","5","2","0","3","3","27","20.8","-9",".662",".531","0.0","13.0","6.0","34.7","3.5","0.0","12.8","37.6","120","126"
"34","32","2018-12-21","26-280","NYK","","ATL","L (-7)","1","38:23","4","10",".400","1","6",".167","6","9",".667","0","4","4","5","0","0","0","2","15","12.3","-13",".537",".450","0.0","10.9","5.6","17.4","0.0","0.0","0.0","16.4","121","119"
