"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","26-166","IND","","MEM","W (+28)","1","25:47","6","11",".545","3","6",".500","1","2",".500","0","5","5","5","0","0","3","3","16","11.1","+9",".673",".682","0.0","18.3","11.0","26.0","0.0","0.0","20.2","25.5","121","92"
"2","2","2018-10-19","26-168","IND","@","MIL","L (-17)","1","31:41","10","23",".435","1","2",".500","4","6",".667","0","5","5","1","0","1","2","4","25","11.4","-24",".488",".457","0.0","17.6","8.3","6.6","0.0","3.2","7.2","36.1","94","114"
"3","3","2018-10-20","26-169","IND","","BRK","W (+20)","1","32:54","10","20",".500","3","6",".500","2","6",".333","1","6","7","3","4","0","3","1","25","18.6","+27",".552",".575","3.6","22.4","12.8","12.0","5.7","0.0","11.7","33.5","107","102"
"4","4","2018-10-22","26-171","IND","@","MIN","L (-10)","1","33:36","8","23",".348","2","7",".286","2","4",".500","1","6","7","3","0","1","3","1","20","8.2","-4",".404",".391","2.8","20.9","10.9","17.4","0.0","2.7","10.8","34.8","81","104"
"5","5","2018-10-24","26-173","IND","@","SAS","W (+20)","1","33:25","7","12",".583","3","6",".500","4","4","1.000","1","4","5","9","2","0","2","0","21","23.6","+25",".763",".708","4.0","11.5","8.4","36.0","3.1","0.0","12.7","22.5","148","103"
"6","6","2018-10-27","26-176","IND","@","CLE","W (+12)","1","36:41","10","15",".667","2","4",".500","2","6",".333","1","2","3","6","3","0","2","3","24","21.2","+16",".680",".733","4.8","7.3","6.2","22.5","4.3","0.0","10.2","25.6","128","118"
"7","7","2018-10-29","26-178","IND","","POR","L (-10)","1","36:00","9","24",".375","2","6",".333","1","1","1.000","0","9","9","7","1","0","1","3","21","14.2","+9",".430",".417","0.0","32.4","14.1","37.3","1.4","0.0","3.9","31.8","92","107"
"8","8","2018-10-31","26-180","IND","@","NYK","W (+6)","1","32:17","10","18",".556","3","9",".333","1","2",".500","0","6","6","1","2","1","3","3","24","16.0","+3",".636",".639","0.0","22.3","11.7","4.9","3.2","2.8","13.7","30.8","109","104"
"9","9","2018-11-02","26-182","IND","@","CHI","W (+2)","1","35:34","9","19",".474","1","6",".167","6","6","1.000","2","12","14","5","2","1","0","1","25","26.1","+5",".578",".500","6.6","36.8","22.2","24.2","2.9","2.3","0.0","27.6","132","103"
"10","10","2018-11-03","26-183","IND","","BOS","W (+1)","1","36:31","6","18",".333","4","13",".308","8","8","1.000","1","11","12","3","3","0","5","1","24","17.5","-3",".558",".444","3.1","30.8","17.5","14.0","4.1","0.0","18.9","31.7","97","96"
"11","11","2018-11-05","26-185","IND","","HOU","L (-4)","1","35:49","11","21",".524","4","11",".364","2","2","1.000","0","6","6","2","0","0","4","4","28","15.3","-4",".640",".619","0.0","21.7","10.3","14.7","0.0","0.0","15.5","33.6","105","110"
"12","12","2018-11-07","26-187","IND","","PHI","L (-6)","1","36:39","14","30",".467","4","14",".286","4","6",".667","0","6","6","7","2","3","1","1","36","29.2","-7",".551",".533","0.0","20.7","9.4","49.1","2.7","8.4","3.0","39.9","114","95"
"13","13","2018-11-09","26-189","IND","@","MIA","W (+8)","1","36:43","9","22",".409","1","5",".200","3","5",".600","0","5","5","10","4","0","1","3","22","19.7","+15",".455",".432","0.0","15.6","8.5","41.9","5.1","0.0","4.0","30.0","108","94"
"14","14","2018-11-11","26-191","IND","@","HOU","L (-12)","1","39:51","7","24",".292","3","10",".300","5","6",".833","1","9","10","7","2","0","3","4","22","13.3","-17",".413",".354","3.4","28.5","16.5","30.6","2.6","0.0","10.1","34.9","89","120"
"15","15","2018-11-16","26-196","IND","","MIA","W (+8)","1","29:31","3","12",".250","2","5",".400","0","0","","0","4","4","5","0","1","2","0","8","4.2","-13",".333",".333","0.0","11.6","6.6","26.1","0.0","2.9","14.3","21.4","73","97"
"16","16","2018-11-17","26-197","IND","","ATL","W (+8)","1","4:38","0","1",".000","0","0","","2","2","1.000","0","2","2","1","0","0","1","0","2","1.6","+2",".532",".000","0.0","43.2","22.0","29.6","0.0","0.0","34.7","25.2","88","85"
"28","17","2018-12-12","26-222","IND","","MIL","W (+16)","1","29:09","5","11",".455","1","4",".250","1","2",".500","1","9","10","6","0","0","2","1","12","11.1","+7",".505",".500","3.4","30.2","17.0","28.4","0.0","0.0","14.4","19.7","108","99"
"29","18","2018-12-14","26-224","IND","@","PHI","W (+12)","1","31:00","5","16",".313","0","2",".000","4","4","1.000","0","1","1","9","3","0","1","2","14","12.6","+2",".394",".313","0.0","2.9","1.6","40.7","4.8","0.0","5.3","25.8","100","102"
"30","19","2018-12-16","26-226","IND","","NYK","W (+11)","1","35:46","7","13",".538","5","8",".625","7","8",".875","0","8","8","7","5","0","4","2","26","26.8","+7",".787",".731","0.0","22.8","12.1","30.7","6.9","0.0","19.5","25.0","133","89"
"31","20","2018-12-18","26-228","IND","","CLE","L (-1)","1","33:43","4","15",".267","1","6",".167","3","6",".500","0","5","5","5","1","2","3","2","12","5.5","+8",".340",".300","0.0","14.2","6.9","22.7","1.5","4.7","14.5","26.4","71","98"
"32","21","2018-12-19","26-229","IND","@","TOR","L (-3)","1","36:03","9","19",".474","0","2",".000","2","3",".667","0","2","2","4","0","0","6","0","20","7.3","-4",".492",".474","0.0","5.2","2.9","20.5","0.0","0.0","22.8","32.7","83","110"
"33","22","2018-12-21","26-231","IND","@","BRK","W (+8)","1","35:48","8","14",".571","5","9",".556","5","6",".833","2","7","9","6","2","0","1","3","26","26.5","+10",".781",".750","7.4","27.6","17.2","24.2","2.9","0.0","5.7","23.4","157","111"
"34","23","2018-12-23","26-233","IND","","WAS","W (+16)","1","36:13","4","13",".308","2","7",".286","2","2","1.000","0","6","6","9","3","0","3","2","12","11.8","+1",".432",".385","0.0","16.9","8.5","31.6","4.0","0.0","17.8","18.8","100","87"
"35","24","2018-12-26","26-236","IND","@","ATL","W (+8)","1","34:40","5","13",".385","2","6",".333","4","6",".667","1","6","7","7","1","0","3","2","16","12.7","+15",".512",".462","3.5","20.8","12.1","24.8","1.4","0.0","16.1","22.7","108","121"
"36","25","2018-12-28","26-238","IND","","DET","W (+37)","1","25:36","2","9",".222","0","2",".000","3","4",".750","0","5","5","7","2","0","2","1","7","7.1","+12",".325",".222","0.0","18.0","10.8","26.6","3.8","0.0","15.7","22.0","85","84"
"37","26","2018-12-31","26-241","IND","","ATL","W (+8)","1","33:47","9","19",".474","2","4",".500","2","2","1.000","0","4","4","7","4","0","1","2","22","20.6","+9",".553",".526","0.0","10.9","6.2","34.0","5.9","0.0","4.8","27.5","118","106"
"38","27","2019-01-04","26-245","IND","@","CHI","W (+3)","1","37:00","14","28",".500","4","13",".308","4","5",".800","0","7","7","4","3","1","2","2","36","27.4","-7",".596",".571","0.0","25.7","12.5","19.8","4.2","2.3","6.2","40.6","117","104"
"39","28","2019-01-06","26-247","IND","@","TOR","L (-16)","1","34:18","6","15",".400","0","4",".000","4","5",".800","1","1","2","3","0","0","2","3","16","7.4","-15",".465",".400","3.1","3.5","3.3","12.1","0.0","0.0","10.4","23.0","97","129"
"40","29","2019-01-08","26-249","IND","@","CLE","W (+8)","1","33:42","6","14",".429","1","4",".250","4","4","1.000","0","2","2","5","1","0","2","5","17","10.7","+16",".539",".464","0.0","8.4","4.3","17.6","1.5","0.0","11.3","24.0","108","125"
"41","30","2019-01-09","26-250","IND","@","BOS","L (-27)","1","26:22","6","13",".462","3","7",".429","2","6",".333","1","2","3","0","1","0","0","2","17","10.2","-24",".543",".577","3.6","10.1","6.3","0.0","1.8","0.0","0.0","24.4","108","133"
"42","31","2019-01-11","26-252","IND","@","NYK","W (+15)","1","28:02","8","13",".615","3","5",".600","0","0","","1","3","4","6","1","0","5","0","19","14.9","+17",".731",".731","4.3","11.7","8.2","29.1","1.7","0.0","27.8","27.3","112","107"
