"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","24-017","MEM","@","IND","L (-28)","0","6:00","2","3",".667","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","5","3.7","+1",".833",".833","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.2","143","128"
"2","2","2018-10-19","24-019","MEM","","ATL","W (+14)","0","7:32","1","1","1.000","0","0","","2","2","1.000","1","0","1","0","0","0","2","1","4","2.0","-20","1.064","1.000","17.7","0.0","7.9","0.0","0.0","0.0","51.5","21.3","105","118"
"3","3","2018-10-22","24-022","MEM","@","UTA","W (+8)","0","21:51","2","7",".286","1","3",".333","2","2","1.000","1","2","3","2","1","0","1","3","7","4.4","+8",".444",".357","4.7","9.6","7.1","16.5","2.3","0.0","11.3","18.5","93","92"
"4","4","2018-10-24","24-024","MEM","@","SAC","L (-5)","0","24:59","5","10",".500","3","6",".500","0","0","","0","1","1","2","1","0","2","3","13","7.5","+12",".650",".650","0.0","3.8","1.8","14.6","2.0","0.0","16.7","20.1","109","104"
"5","5","2018-10-27","24-027","MEM","","PHO","W (+21)","0","25:22","6","8",".750","1","3",".333","1","1","1.000","0","1","1","2","2","0","1","2","14","12.7","+16",".829",".813","0.0","4.6","2.6","11.6","3.9","0.0","10.6","17.7","141","97"
"6","6","2018-10-30","24-030","MEM","","WAS","W (+12)","0","8:04","1","4",".250","1","3",".333","0","0","","0","0","0","0","0","0","2","0","3","-1.4","-10",".375",".375","0.0","0.0","0.0","0.0","0.0","0.0","33.3","34.8","45","112"
"7","7","2018-11-02","24-033","MEM","@","UTA","W (+10)","0","15:28","2","3",".667","1","1","1.000","0","2",".000","0","0","0","1","0","0","0","4","5","2.0","+14",".644",".833","0.0","0.0","0.0","9.8","0.0","0.0","0.0","11.9","127","119"
"8","8","2018-11-04","24-035","MEM","@","PHO","L (-2)","0","9:17","2","2","1.000","2","2","1.000","0","0","","0","1","1","0","0","0","1","2","6","3.9","-1","1.500","1.500","0.0","19.9","7.7","0.0","0.0","0.0","33.3","15.2","139","119"
"9","9","2018-11-05","24-036","MEM","@","GSW","L (-16)","0","19:22","3","9",".333","1","3",".333","0","0","","0","3","3","2","0","1","0","1","7","4.5","-5",".389",".389","0.0","21.9","9.8","16.2","0.0","4.3","0.0","21.8","81","126"
"10","10","2018-11-07","24-038","MEM","","DEN","W (+2)","0","14:37","1","2",".500","1","2",".500","2","2","1.000","0","1","1","1","0","0","0","2","5","4.2","-5",".868",".750","0.0","8.0","4.3","12.3","0.0","0.0","0.0","9.7","185","107"
"11","11","2018-11-10","24-041","MEM","","PHI","W (+6)","0","17:04","1","3",".333","1","2",".500","0","0","","0","0","0","0","0","0","0","2","3","0.5","-15",".500",".500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.7","111","108"
"12","12","2018-11-12","24-043","MEM","","UTA","L (-8)","0","18:16","2","4",".500","0","1",".000","2","2","1.000","1","1","2","2","2","0","3","3","6","4.2","0",".615",".500","6.0","5.6","5.8","18.9","5.5","0.0","38.1","19.7","86","98"
"13","13","2018-11-14","24-045","MEM","@","MIL","W (+3)","0","20:50","4","8",".500","0","4",".000","1","1","1.000","2","0","2","2","0","0","0","1","9","7.4","-1",".533",".500","11.8","0.0","5.9","14.1","0.0","0.0","0.0","18.4","125","122"
