"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","NYK","L","107","126","41","90",".456","10","36",".278","15","18",".833","7","45","19","7","3","24","30","","45","99",".455","12","33",".364","24","31",".774","10","46","21","12","6","15","23","94.3","111.0","113.5",".200",".400",".546","49.5","46.3","6.2","4.5","",".511","19.7","16.3",".167","",".515","11.8","79.2",".242"
"2","2","2018-10-19","@","MEM","L","117","131","41","83",".494","14","30",".467","21","36",".583","11","40","27","9","5","19","31","","44","81",".543","13","26",".500","30","43",".698","7","41","32","9","4","16","29","110.4","123.6","106.0",".434",".361",".592","49.4","65.9","8.5","9.1","",".578","16.1","24.4",".253","",".623","13.8","80.6",".370"
"3","3","2018-10-21","@","CLE","W","133","111","48","98",".490","22","47",".468","15","19",".789","9","44","32","9","7","12","21","","46","99",".465","10","27",".370","9","14",".643","15","49","23","5","2","18","25","125.5","104.7","106.0",".194",".480",".625","47.3","66.7","8.5","9.7","",".602","10.1","20.9",".153","",".515","14.6","70.0",".091"
"4","4","2018-10-24","","DAL","W","111","104","37","91",".407","15","38",".395","22","31",".710","10","54","28","6","6","15","26","","38","91",".418","12","40",".300","16","26",".615","9","52","25","7","9","17","27","102.7","96.2","108.1",".341",".418",".530","50.9","75.7","5.5","11.8","",".489","12.5","18.9",".242","",".484","14.2","83.0",".176"
"5","5","2018-10-27","","CHI","L","85","97","27","84",".321","12","40",".300","19","23",".826","11","48","20","9","8","22","13","","36","83",".434","12","33",".364","13","16",".813","8","52","25","14","6","20","21","83.6","95.3","101.7",".274",".476",".452","48.0","74.1","8.8","16.0","",".393","18.9","20.0",".226","",".506","18.2","82.2",".157"
"6","6","2018-10-29","@","PHI","L","92","113","35","94",".372","8","37",".216","14","21",".667","10","47","20","10","3","13","18","","41","99",".414","14","47",".298","17","18",".944","16","64","33","7","9","19","22","87.2","107.1","105.5",".223",".394",".446","42.3","57.1","9.5","5.8","",".415","11.2","17.2",".149","",".485","15.1","69.8",".172"
"7","7","2018-10-30","@","CLE","L","114","136","44","82",".537","15","35",".429","11","17",".647","6","39","25","6","8","22","29","","45","90",".500","13","25",".520","33","43",".767","13","48","23","13","1","13","20","107.8","128.6","105.7",".207",".427",".637","44.8","56.8","5.7","12.3","",".628","19.7","14.6",".134","",".572","10.7","71.7",".367"
"8","8","2018-11-01","","SAC","L","115","146","42","87",".483","8","31",".258","23","34",".676","10","43","26","6","6","22","28","","53","98",".541","14","35",".400","26","32",".813","10","46","38","14","3","14","29","101.9","129.4","112.9",".391",".356",".564","48.3","61.9","5.3","9.5","",".529","17.7","21.7",".264","",".612","11.1","76.7",".265"
"9","9","2018-11-03","","MIA","W","123","118","46","88",".523","13","32",".406","18","23",".783","8","37","33","11","7","16","21","","41","85",".482","16","40",".400","20","26",".769","13","41","27","6","6","17","20","122.4","117.4","100.5",".261",".364",".627","47.4","71.7","10.9","15.6","",".597","14.0","22.2",".205","",".576","15.0","69.0",".235"
"10","10","2018-11-06","@","CHO","L","102","113","41","85",".482","6","30",".200","14","18",".778","7","37","22","13","9","22","18","","45","92",".489","13","31",".419","10","18",".556","8","43","27","9","4","21","16","94.5","104.6","108.0",".212",".353",".549","46.3","53.7","12.0","14.8","",".518","19.1","16.7",".165","",".560","17.4","78.9",".109"
"11","11","2018-11-07","","NYK","L","107","112","37","92",".402","11","38",".289","22","29",".759","15","45","26","5","9","17","30","","34","77",".442","11","30",".367","33","47",".702","11","48","15","8","7","16","30","105.4","110.3","101.5",".315",".413",".511","48.4","70.3","4.9","19.1","",".462","14.0","28.8",".239","",".513","14.1","73.2",".429"
"12","12","2018-11-09","","DET","L","109","124","36","79",".456","7","28",".250","30","40",".750","9","53","17","6","2","16","21","","46","97",".474","20","47",".426","12","19",".632","10","44","30","10","6","10","31","105.9","120.5","102.9",".506",".354",".564","54.6","47.2","5.8","4.0","",".500","14.2","20.9",".380","",".577","8.7","81.5",".124"
"13","13","2018-11-11","@","LAL","L","106","107","41","95",".432","13","37",".351","11","13",".846","10","44","25","11","4","17","23","","39","92",".424","14","38",".368","15","24",".625","17","48","28","12","9","22","23","102.0","103.0","103.9",".137",".389",".526","47.8","61.0","10.6","7.4","",".500","14.4","24.4",".116","",".500","17.7","66.7",".163"
"14","14","2018-11-13","@","GSW","L","103","110","40","89",".449","12","32",".375","11","15",".733","10","42","25","9","2","14","18","","39","91",".429","12","27",".444","20","21",".952","13","48","28","8","6","13","20","106.4","113.6","96.8",".169",".360",".539","46.7","62.5","9.3","3.1","",".517","12.8","22.2",".124","",".495","11.5","71.1",".220"
"15","15","2018-11-15","@","DEN","L","93","138","32","92",".348","9","42",".214","20","27",".741","15","43","20","7","5","19","22","","53","94",".564","13","31",".419","19","25",".760","11","56","34","12","6","15","24","87.6","130.0","106.2",".293",".457",".448","43.4","62.5","6.6","7.9","",".397","15.5","25.0",".217","",".633","12.5","71.8",".202"
"16","16","2018-11-17","@","IND","L","89","97","31","87",".356","8","29",".276","19","27",".704","5","41","20","15","6","18","24","","35","87",".402","12","30",".400","15","21",".714","10","53","25","11","6","22","26","82.8","90.3","107.4",".310",".333",".450","43.6","64.5","14.0","10.5","",".402","15.4","10.4",".218","",".471","18.6","78.3",".172"
"17","17","2018-11-19","","LAC","L","119","127","45","101",".446","12","38",".316","17","19",".895","16","51","29","6","6","14","38","","40","93",".430","10","33",".303","37","47",".787","15","52","24","9","8","15","22","111.1","118.5","107.1",".188",".376",".544","49.5","64.4","5.6","10.0","",".505","11.3","30.2",".168","",".484","11.7","70.0",".398"
"18","18","2018-11-21","","TOR","L","108","124","42","93",".452","10","36",".278","14","18",".778","9","34","24","10","7","9","21","","48","90",".533","11","29",".379","17","23",".739","14","55","33","6","1","17","21","108.3","124.3","99.7",".194",".387",".535","38.2","57.1","10.0","11.5","",".505","8.2","18.0",".151","",".594","14.5","64.1",".189"
"19","19","2018-11-23","","BOS","L","96","114","35","81",".432","6","35",".171","20","29",".690","5","40","22","9","7","20","26","","42","91",".462","13","40",".325","17","21",".810","7","43","31","11","7","16","29","90.0","106.9","106.6",".358",".432",".512","48.2","62.9","8.4","13.7","",".469","17.6","12.2",".247","",".533","13.8","83.3",".187"
"20","20","2018-11-25","","CHO","W","124","123","50","94",".532","16","39",".410","8","11",".727","9","41","34","5","9","15","23","","41","92",".446","18","45",".400","23","28",".821","10","42","30","8","4","10","15","122.0","121.0","101.6",".117",".415",".627","49.4","68.0","4.9","19.1","",".617","13.2","22.0",".085","",".543","8.7","76.2",".250"
"21","21","2018-11-27","@","MIA","W","115","113","38","80",".475","12","31",".387","27","32",".844","10","46","22","13","7","24","24","","40","87",".460","13","38",".342","20","30",".667","11","43","22","20","3","20","25","107.8","105.9","106.7",".400",".388",".611","51.7","57.9","12.2","14.3","",".550","20.3","23.8",".338","",".534","16.6","76.6",".230"
"22","22","2018-11-28","@","CHO","L","94","108","32","93",".344","11","44",".250","19","22",".864","16","54","20","11","8","19","25","","38","83",".458","4","20",".200","28","37",".757","5","44","20","15","5","14","21","90.4","103.8","104.0",".237",".473",".458","55.1","62.5","10.6","12.7","",".403","15.6","29.1",".204","",".482","12.4","88.4",".337"
"23","23","2018-11-30","@","OKC","L","109","124","43","96",".448","11","36",".306","12","20",".600","14","42","26","15","3","21","12","","46","88",".523","18","41",".439","14","15",".933","7","46","30","12","7","20","24","101.4","115.3","107.5",".208",".375",".520","47.7","60.5","14.0","6.4","",".505","16.7","26.4",".125","",".625","17.5","80.0",".159"
"24","24","2018-12-03","","GSW","L","111","128","44","90",".489","5","26",".192","18","24",".750","9","35","23","10","4","18","21","","48","82",".585","13","24",".542","19","22",".864","6","39","33","10","8","20","24","105.2","121.3","105.5",".267",".289",".552","47.3","52.3","9.5","6.9","",".517","15.2","21.4",".200","",".665","17.9","81.3",".232"
"25","25","2018-12-05","","WAS","L","117","131","41","92",".446","12","38",".316","23","31",".742","8","43","28","13","4","17","27","","46","95",".484","12","38",".316","27","32",".844","12","49","35","9","4","15","24","105.8","118.5","110.6",".337",".413",".554","46.7","68.3","11.8","7.0","",".511","13.9","17.8",".250","",".547","12.1","74.5",".284"
