"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","PHO","L","100","121","38","88",".432","10","33",".303","14","20",".700","10","38","28","7","5","9","16","","44","81",".543","19","34",".559","14","16",".875","6","44","35","5","2","11","22","108.0","130.6","92.6",".227",".375",".517","46.3","73.7","7.6","10.6","",".489","8.5","20.8",".159","",".660","11.1","82.4",".173"
"2","2","2018-10-20","","MIN","W","140","136","49","98",".500","17","50",".340","25","34",".735","15","42","29","8","8","16","28","","44","84",".524","14","27",".519","34","40",".850","6","33","23","10","3","17","30","128.4","124.7","109.0",".347",".510",".620","56.0","59.2","7.3","14.0","",".587","12.4","35.7",".255","",".607","14.3","81.8",".405"
"3","3","2018-10-22","","CHI","W","115","109","40","93",".430","15","47",".319","20","21",".952","13","41","25","8","2","15","16","","41","80",".513","13","23",".565","14","21",".667","7","34","18","6","4","19","29","116.7","110.6","98.5",".226",".505",".562","54.7","62.5","8.1","3.5","",".511","12.8","32.5",".215","",".594","17.6","80.0",".175"
"4","4","2018-10-24","@","ATL","L","104","111","38","91",".418","12","40",".300","16","26",".615","9","52","25","7","9","17","27","","37","91",".407","15","38",".395","22","31",".710","10","54","28","6","6","15","26","96.2","102.7","108.1",".286",".440",".508","49.1","65.8","6.5","17.0","",".484","14.2","17.0",".176","",".489","12.5","81.1",".242"
"5","5","2018-10-26","@","TOR","L","107","116","38","92",".413","12","30",".400","19","24",".792","10","44","22","6","6","14","17","","44","91",".484","11","27",".407","17","20",".850","12","50","23","10","5","12","22","106.2","115.2","100.7",".261",".326",".522","46.8","57.9","6.0","9.4","",".478","12.0","20.8",".207","",".544","10.7","73.9",".187"
"6","6","2018-10-28","","UTA","L","104","113","38","91",".418","9","28",".321","19","25",".760","12","43","24","6","3","13","19","","42","80",".525","10","25",".400","19","22",".864","8","43","25","8","6","18","27","105.1","114.2","99.0",".275",".308",".510","50.0","63.2","6.1","5.5","",".467","11.3","25.5",".209","",".588","16.7","79.5",".238"
"7","7","2018-10-29","@","SAS","L","108","113","43","91",".473","10","34",".294","12","17",".706","8","49","15","9","3","22","21","","42","91",".462","9","20",".450","20","21",".952","5","41","27","17","2","17","19","97.7","102.2","100.1",".187",".374",".548","54.4","34.9","8.1","4.2","",".527","18.3","18.2",".132","",".511","14.5","89.1",".220"
"8","8","2018-10-31","@","LAL","L","113","114","43","86",".500","13","29",".448","14","19",".737","10","40","24","5","5","23","24","","43","84",".512","10","17",".588","18","24",".750","8","39","23","12","6","20","27","107.8","108.7","104.9",".221",".337",".599","50.6","55.8","4.8","7.5","",".576","19.6","24.4",".163","",".571","17.5","78.9",".214"
"9","9","2018-11-02","","NYK","L","106","118","40","81",".494","11","29",".379","15","24",".625","11","40","22","6","1","18","28","","46","84",".548","7","29",".241","19","26",".731","10","40","26","13","4","12","24","110.0","122.4","96.4",".296",".358",".579","50.0","55.0","6.2","1.8","",".562","16.4","26.8",".185","",".589","11.2","74.4",".226"
"10","10","2018-11-06","","WAS","W","119","100","39","82",".476","15","34",".441","26","27",".963","10","50","25","4","6","17","22","","37","87",".425","11","35",".314","15","20",".750","5","32","27","8","6","10","24","121.2","101.8","98.2",".329",".415",".634","61.0","64.1","4.1","11.5","",".567","15.3","27.0",".317","",".489","9.5","88.9",".172"
"11","11","2018-11-07","@","UTA","L","102","117","29","73",".397","8","24",".333","36","40",".900","12","49","14","3","4","24","27","","43","89",".483","13","37",".351","18","26",".692","8","35","31","12","10","11","32","101.9","116.9","100.1",".548",".329",".563","58.3","48.3","3.0","7.7","",".452","20.9","30.8",".493","",".556","9.9","82.2",".202"
"12","12","2018-11-10","","OKC","W","111","96","43","77",".558","14","29",".483","11","17",".647","4","38","31","9","5","16","23","","38","97",".392","9","34",".265","11","18",".611","26","53","17","9","2","16","19","118.1","102.2","94.0",".221",".377",".657","41.8","72.1","9.6","7.9","",".649","15.9","12.9",".143","",".438","13.2","56.7",".113"
