"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","LAC","W","107","98","33","87",".379","8","24",".333","33","42",".786","14","56","20","6","9","10","22","","35","88",".398","8","28",".286","20","24",".833","9","47","21","3","9","12","32","108.2","99.1","98.9",".483",".276",".507","54.4","60.6","6.1","15.0","",".425","8.7","26.9",".379","",".443","10.9","82.4",".227"
"2","2","2018-10-20","","PHO","W","119","91","43","85",".506","9","28",".321","24","29",".828","9","54","28","12","6","18","31","","29","77",".377","11","39",".282","22","35",".629","10","40","20","6","4","19","26","116.2","88.8","102.4",".341",".329",".609","57.4","65.1","11.7","15.8","",".559","15.5","23.1",".282","",".448","17.1","81.8",".286"
"3","3","2018-10-21","","GSW","W","100","98","35","86",".407","6","32",".188","24","42",".571","13","47","21","11","4","8","22","","36","79",".456","7","29",".241","19","24",".792","6","40","22","4","6","18","29","102.4","100.3","97.7",".488",".372",".479","54.0","60.0","11.3","8.0","",".442","7.1","27.7",".279","",".500","16.7","85.0",".241"
"4","4","2018-10-23","","SAC","W","126","112","51","99",".515","11","30",".367","13","15",".867","15","49","31","11","3","12","22","","45","86",".523","13","31",".419","9","20",".450","9","39","29","7","6","16","17","125.6","111.6","100.3",".152",".303",".597","55.7","60.8","11.0","5.5","",".571","10.2","33.3",".131","",".599","14.4","79.1",".105"
"5","5","2018-10-25","@","LAL","L","114","121","46","92",".500","6","23",".261","16","20",".800","10","44","22","8","5","19","22","","46","92",".500","10","29",".345","19","23",".826","9","42","27","13","3","13","19","107.8","114.4","105.7",".217",".250",".565","51.2","47.8","7.6","7.9","",".533","15.9","23.3",".174","",".554","11.3","79.1",".207"
"6","6","2018-10-29","","NOP","W","116","111","42","93",".452","11","35",".314","21","23",".913","9","41","28","14","5","13","17","","43","82",".524","11","24",".458","14","20",".700","7","44","28","8","5","22","25","111.0","106.2","104.5",".247",".376",".562","48.2","66.7","13.4","8.6","",".511","11.2","19.6",".226","",".591","19.5","82.1",".171"
"7","7","2018-10-31","@","CHI","W","108","107","45","99",".455","7","26",".269","11","18",".611","17","56","24","7","9","16","16","","39","92",".424","16","34",".471","13","18",".722","10","43","27","7","6","13","23","106.3","105.3","92.0",".182",".263",".505","56.6","53.3","6.9","15.5","",".490","13.0","34.0",".111","",".511","11.5","79.6",".141"
"8","8","2018-11-01","@","CLE","W","110","91","41","85",".482","10","26",".385","18","21",".857","14","44","22","8","7","12","18","","34","83",".410","5","18",".278","18","19",".947","13","35","18","11","4","13","22","125.8","104.1","87.4",".247",".306",".584","55.7","53.7","9.2","10.8","",".541","11.3","38.9",".212","",".440","12.5","69.8",".217"
"9","9","2018-11-03","","UTA","W","103","88","41","83",".494","9","28",".321","12","19",".632","8","48","32","8","0","17","26","","33","81",".407","6","31",".194","16","24",".667","10","40","22","12","7","12","21","108.2","92.4","95.2",".229",".337",".564","54.5","78.0","8.4","0.0","",".548","15.7","21.1",".145","",".444","11.6","80.0",".198"
"10","10","2018-11-05","","BOS","W","115","107","41","90",".456","13","34",".382","20","28",".714","15","47","25","5","4","13","14","","44","87",".506","9","31",".290","10","12",".833","7","40","22","9","9","12","21","119.0","110.7","96.7",".311",".378",".562","54.0","61.0","5.2","7.1","",".528","11.3","31.3",".222","",".557","11.5","82.1",".115"
"11","11","2018-11-07","@","MEM","L","87","89","32","82",".390","8","32",".250","15","19",".789","13","41","19","9","3","16","22","","30","70",".429","8","21",".381","21","25",".840","8","36","19","7","7","17","22","98.8","101.1","88.1",".232",".390",".481","53.2","59.4","10.2","6.1","",".439","15.0","31.7",".183","",".486","17.3","77.8",".300"
