"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","SAS","L","108","112","39","91",".429","6","19",".316","24","27",".889","14","46","20","9","2","11","27","","40","93",".430","11","25",".440","21","29",".724","19","52","22","3","4","12","22","112.7","116.8","95.8",".297",".209",".525","46.9","51.3","9.4","2.9","",".462","9.7","29.8",".264","",".489","10.2","62.7",".226"
"2","2","2018-10-19","","CLE","W","131","123","44","87",".506","10","25",".400","33","35",".943","9","40","28","9","7","13","21","","45","93",".484","8","23",".348","25","29",".862","13","43","26","5","2","14","24","126.7","119.0","103.4",".402",".287",".640","48.2","63.6","8.7","10.0","",".563","11.3","23.1",".379","",".527","11.7","70.5",".269"
"3","3","2018-10-20","@","DAL","L","136","140","44","84",".524","14","27",".519","34","40",".850","6","33","23","10","3","17","30","","49","98",".500","17","50",".340","25","34",".735","15","42","29","8","8","16","28","124.7","128.4","109.0",".476",".321",".669","44.0","52.3","9.2","6.3","",".607","14.3","18.2",".405","",".587","12.4","64.3",".255"
"4","4","2018-10-22","","IND","W","101","91","36","85",".424","7","33",".212","22","24",".917","8","47","24","9","12","15","17","","36","92",".391","8","26",".308","11","16",".688","12","45","18","6","6","15","24","101.7","91.6","99.3",".282",".388",".528","51.1","66.7","9.1","18.2","",".465","13.6","19.5",".259","",".435","13.2","76.5",".120"
"5","5","2018-10-24","@","TOR","L","105","112","40","96",".417","15","30",".500","10","16",".625","16","44","25","10","5","15","17","","46","89",".517","11","32",".344","9","12",".750","11","44","26","9","8","16","18","107.9","115.1","97.3",".167",".313",".510","50.0","62.5","10.3","8.8","",".495","12.7","32.7",".104","",".579","14.5","71.8",".101"
"6","6","2018-10-26","","MIL","L","95","125","36","112",".321","10","43",".233","13","18",".722","17","49","19","10","6","7","15","","49","92",".533","19","46",".413","8","11",".727","7","62","32","4","8","17","23","89.6","117.8","106.1",".161",".384",".396","44.1","52.8","9.4","13.0","",".366","5.5","23.6",".116","",".636","14.9","82.1",".087"
"7","7","2018-10-29","","LAL","W","124","120","42","98",".429","14","29",".483","26","30",".867","20","51","26","11","12","14","14","","49","104",".471","12","33",".364","10","15",".667","17","48","24","8","8","18","24","119.4","115.6","103.8",".306",".296",".558","51.5","61.9","10.6","16.9","",".500","11.2","39.2",".265","",".529","14.0","64.6",".096"
"8","8","2018-10-31","","UTA","W","128","125","50","86",".581","12","25",".480","16","24",".667","7","41","19","10","8","15","28","","47","97",".485","13","30",".433","18","30",".600","20","48","25","9","5","14","22","124.2","121.3","103.0",".279",".291",".663","46.1","38.0","9.7","11.9","",".651","13.4","20.0",".186","",".552","11.3","63.0",".186"
"9","9","2018-11-02","@","GSW","L","99","116","38","101",".376","13","45",".289","10","14",".714","8","39","25","8","4","5","16","","43","88",".489","13","34",".382","17","22",".773","12","61","31","3","9","16","16","98.3","115.1","100.8",".139",".446",".462","39.0","65.8","7.9","7.4","",".441","4.5","14.0",".099","",".563","14.1","72.1",".193"
"10","10","2018-11-04","@","POR","L","81","111","29","93",".312","7","30",".233","16","21",".762","13","38","18","9","4","11","21","","38","86",".442","7","28",".250","28","32",".875","17","66","15","7","1","16","20","84.4","115.6","96.0",".226",".323",".396","36.5","62.1","9.4","6.9","",".349","9.7","21.0",".172","",".483","13.8","59.5",".326"
"11","11","2018-11-05","@","LAC","L","109","120","40","85",".471","5","21",".238","24","30",".800","8","38","20","9","8","11","23","","43","88",".489","14","31",".452","20","22",".909","13","43","30","5","4","12","27","113.5","124.9","96.1",".353",".247",".555","46.9","50.0","9.4","14.0","",".500","10.1","21.1",".282","",".568","10.9","69.8",".227"
"12","12","2018-11-07","@","LAL","L","110","114","41","91",".451","20","40",".500","8","9",".889","11","40","22","10","5","15","17","","44","91",".484","15","34",".441","11","14",".786","12","47","32","6","4","16","14","113.0","117.1","97.3",".099",".440",".579","46.0","53.7","10.3","8.8","",".560","13.6","23.9",".088","",".566","14.1","70.7",".121"
"13","13","2018-11-09","@","SAC","L","110","121","39","94",".415","7","25",".280","25","31",".806","15","52","20","6","1","17","23","","43","95",".453","12","32",".375","23","29",".793","12","49","25","7","6","12","29","104.1","114.5","105.7",".330",".266",".511","51.5","51.3","5.7","1.6","",".452","13.6","28.8",".266","",".516","10.0","75.5",".242"
"14","14","2018-11-12","","BRK","W","120","113","42","80",".525","10","23",".435","26","31",".839","9","52","26","8","6","23","17","","40","101",".396","18","50",".360","15","22",".682","19","42","28","10","2","13","29","116.1","109.3","103.4",".388",".288",".641","55.3","61.9","7.7","11.8","",".588","19.7","28.1",".325","",".485","10.5","69.4",".149"
"15","15","2018-11-14","","NOP","W","107","100","37","90",".411","14","32",".438","19","24",".792","11","47","29","14","6","15","22","","40","94",".426","9","28",".321","11","18",".611","10","46","25","7","6","18","21","102.9","96.2","104.0",".267",".356",".532","50.5","78.4","13.5","9.1","",".489","13.0","23.4",".211","",".473","15.0","78.3",".117"
"16","16","2018-11-16","","POR","W","112","96","46","92",".500","12","28",".429","8","11",".727","9","43","28","11","4","12","16","","37","88",".420","8","29",".276","14","20",".700","11","48","16","6","1","18","14","112.3","96.3","99.7",".120",".304",".578","47.3","60.9","11.0","6.8","",".565","11.0","19.6",".087","",".466","15.7","75.6",".159"
"17","17","2018-11-18","","MEM","L","87","100","31","80",".388","12","29",".414","13","16",".813","10","49","20","8","3","20","20","","35","82",".427","12","28",".429","18","25",".720","10","43","26","11","9","12","20","92.6","106.4","94.0",".200",".363",".500","53.3","64.5","8.5","5.6","",".463","18.7","23.3",".163","",".500","11.4","79.6",".220"
"18","18","2018-11-21","","DEN","L","101","103","35","79",".443","9","32",".281","22","26",".846","8","40","24","8","3","17","15","","42","89",".472","14","35",".400","5","6",".833","9","40","29","12","4","13","22","106.3","108.4","95.1",".329",".405",".558","50.0","68.6","8.4","5.6","",".500","15.8","20.5",".278","",".551","12.4","78.0",".056"
"19","19","2018-11-23","@","BRK","W","112","102","44","92",".478","9","25",".360","15","17",".882","9","38","25","15","4","7","20","","33","79",".418","14","45",".311","22","26",".846","9","46","26","2","4","18","22","117.0","106.5","95.7",".185",".272",".563","45.2","56.8","15.7","11.8","",".527","6.6","19.6",".163","",".506","16.6","76.3",".278"
"20","20","2018-11-24","","CHI","W","111","96","42","103",".408","7","34",".206","20","23",".870","21","59","22","7","5","13","23","","32","81",".395","10","33",".303","22","31",".710","6","40","22","7","4","13","19","111.3","96.2","99.8",".223",".330",".491","59.6","52.4","7.0","10.4","",".442","10.3","38.2",".194","",".457","12.1","86.4",".272"
"21","21","2018-11-26","@","CLE","W","102","95","40","86",".465","8","26",".308","14","19",".737","8","39","18","8","8","8","18","","36","86",".419","10","31",".323","13","14",".929","9","40","24","4","3","16","18","109.1","101.6","93.5",".221",".302",".540","49.4","45.0","8.6","14.5","",".512","7.8","20.5",".163","",".477","14.8","77.5",".151"
"22","22","2018-11-28","","SAS","W","128","89","50","99",".505","18","41",".439","10","15",".667","13","48","33","12","6","8","18","","34","87",".391","8","27",".296","13","13","1.000","12","46","23","1","8","18","17","131.8","91.6","97.1",".152",".414",".606","51.1","66.0","12.4","10.0","",".596","7.0","27.7",".101","",".437","16.3","74.5",".149"
"23","23","2018-12-01","","BOS","L","109","118","37","82",".451","9","28",".321","26","32",".813","9","39","19","6","2","16","18","","40","85",".471","17","44",".386","21","21","1.000","7","40","30","9","3","14","25","109.7","118.7","99.4",".390",".341",".567","49.4","51.4","6.0","4.9","",".506","14.3","21.4",".317","",".571","12.9","81.1",".247"
"24","24","2018-12-03","","HOU","W","103","91","36","82",".439","11","22",".500","20","28",".714","13","42","22","11","7","14","16","","32","74",".432","11","39",".282","16","19",".842","7","34","24","9","6","20","27","111.9","98.9","92.0",".341",".268",".546","55.3","61.1","12.0","20.0","",".506","12.9","32.5",".244","",".507","19.5","80.6",".216"
"25","25","2018-12-05","","CHO","W","121","104","48","89",".539","12","24",".500","13","20",".650","10","50","34","6","11","15","15","","40","98",".408","12","33",".364","12","15",".800","13","40","27","7","1","10","15","121.7","104.6","99.5",".225",".270",".619","55.6","70.8","6.0","16.9","",".607","13.3","27.0",".146","",".469","8.7","75.5",".122"
"26","26","2018-12-08","@","POR","L","105","113","40","91",".440","7","16",".438","18","22",".818","10","40","25","12","7","12","23","","39","83",".470","10","33",".303","25","30",".833","14","53","23","10","9","19","20","105.2","113.2","99.8",".242",".176",".521","43.0","62.5","12.0","14.0","",".478","10.6","20.4",".198","",".530","16.5","68.2",".301"
"27","27","2018-12-10","@","GSW","L","108","116","38","83",".458","7","25",".280","25","31",".806","9","42","28","5","6","16","18","","39","93",".419","19","43",".442","19","21",".905","14","49","25","6","5","16","26","107.1","115.0","100.9",".373",".301",".559","46.2","73.7","5.0","12.0","",".500","14.2","20.5",".301","",".522","13.5","70.2",".204"
"28","28","2018-12-12","@","SAC","L","130","141","50","93",".538","9","22",".409","21","27",".778","12","39","30","4","4","11","24","","50","86",".581","19","38",".500","22","32",".688","9","38","34","3","6","10","21","129.7","140.6","100.3",".290",".237",".620","50.6","60.0","4.0","8.3","",".586","9.5","29.3",".226","",".692","9.1","75.0",".256"
"29","29","2018-12-15","@","PHO","L","99","107","39","96",".406","7","35",".200","14","19",".737","11","41","26","10","4","11","19","","41","90",".456","9","28",".321","16","20",".800","11","51","30","6","7","15","22","98.8","106.8","100.2",".198",".365",".474","44.6","66.7","10.0","6.5","",".443","9.5","21.6",".146","",".506","13.2","73.2",".178"
"30","30","2018-12-17","","SAC","W","132","105","48","96",".500","10","27",".370","26","30",".867","11","58","37","10","7","11","24","","38","90",".422","14","38",".368","15","23",".652","6","38","20","5","4","15","27","123.5","98.2","106.9",".313",".281",".604","60.4","77.1","9.4","13.5","",".552","9.2","25.6",".271","",".500","13.0","88.7",".167"
"31","31","2018-12-19","","DET","L","123","129","45","103",".437","9","33",".273","24","29",".828","11","49","22","8","4","7","27","","46","94",".489","20","48",".417","17","28",".607","8","44","26","3","2","13","25","113.7","119.3","98.0",".282",".320",".531","52.7","48.9","7.4","8.7","",".481","5.7","23.4",".233","",".596","10.9","82.6",".181"
"32","32","2018-12-21","@","SAS","L","98","124","33","83",".398","6","21",".286","26","31",".839","9","39","19","11","5","12","19","","46","87",".529","19","33",".576","13","18",".722","11","50","36","7","3","16","22","100.1","126.7","97.9",".373",".253",".507","43.8","57.6","11.2","9.3","",".434","11.0","18.8",".313","",".638","14.4","73.2",".149"
"33","33","2018-12-23","@","OKC","W","114","112","41","83",".494","14","27",".519","18","27",".667","6","40","25","9","5","15","23","","43","90",".478","9","25",".360","17","22",".773","9","45","17","4","10","13","27","112.0","110.0","101.8",".325",".325",".601","47.1","61.0","8.8","7.7","",".578","13.7","14.3",".217","",".528","11.5","79.1",".189"
