"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-16","25-076","OKC","@","GSW","L (-8)","0","23:28","3","8",".375","2","6",".333","0","0","","0","2","2","0","0","0","0","2","8","3.4","-5"
"2","2","2018-10-19","25-079","OKC","@","LAC","L (-16)","0","32:06","4","10",".400","2","7",".286","0","0","","1","1","2","1","1","0","2","0","10","5.3","-9"
"3","3","2018-10-21","25-081","OKC","","SAC","L (-11)","0","5:20","0","1",".000","0","1",".000","0","0","","0","1","1","2","0","0","0","0","0","1.0","+5"
"4","4","2018-10-25","25-085","OKC","","BOS","L (-6)","0","18:33","2","5",".400","2","5",".400","0","1",".000","0","1","1","1","0","0","0","2","6","3.1","+6"
"5","5","2018-10-28","25-088","OKC","","PHO","W (+7)","0","24:20","0","5",".000","0","3",".000","2","2","1.000","0","1","1","0","2","0","0","2","2","0.0","-1"
"6","6","2018-10-30","25-090","OKC","","LAC","W (+18)","0","15:10","1","2",".500","1","1","1.000","0","0","","0","0","0","0","4","1","1","5","3","3.7","-1"
"7","7","2018-11-01","25-092","OKC","@","CHO","W (+4)","0","30:16","9","15",".600","5","10",".500","2","2","1.000","0","2","2","0","0","0","0","4","25","17.1","+16"
"8","8","2018-11-02","25-093","OKC","@","WAS","W (+23)","0","24:28","3","8",".375","2","7",".286","0","0","","0","1","1","2","0","2","0","3","8","5.5","+27"
"9","9","2018-11-05","25-096","OKC","","NOP","W (+6)","0","30:16","2","4",".500","1","2",".500","2","2","1.000","0","4","4","3","0","0","1","1","7","6.9","+6"
"10","10","2018-11-07","25-098","OKC","@","CLE","W (+9)","0","26:13","3","12",".250","3","10",".300","0","0","","0","0","0","0","1","0","0","1","9","2.4","+11"
"11","11","2018-11-08","25-099","OKC","","HOU","W (+18)","0","19:09","0","3",".000","0","3",".000","0","0","","1","3","4","0","1","0","1","0","0","-0.5","-8"
"12","12","2018-11-10","25-101","OKC","@","DAL","L (-15)","0","26:05","2","6",".333","2","4",".500","0","0","","0","2","2","0","0","0","1","2","6","1.4","-9"
"13","13","2018-11-12","25-103","OKC","","PHO","W (+17)","0","20:11","2","6",".333","2","6",".333","2","2","1.000","0","2","2","2","2","1","1","4","8","6.7","-11"
"14","14","2018-11-14","25-105","OKC","","NYK","W (+25)","0","7:23","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-2.4","+3"
"18","15","2018-11-23","25-114","OKC","","CHO","W (+5)","0","6:46","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","4","0","-2.3","+1"
"19","16","2018-11-24","25-115","OKC","","DEN","L (-7)","0","7:48","0","2",".000","0","2",".000","0","0","","0","1","1","1","0","0","0","1","0","-0.8","-9"
"20","17","2018-11-28","25-119","OKC","","CLE","W (+17)","1","26:35","1","9",".111","1","8",".125","0","0","","1","2","3","1","0","0","0","1","3","-1.3","+13"
"21","18","2018-11-30","25-121","OKC","","ATL","W (+15)","1","25:50","7","11",".636","7","11",".636","0","0","","0","2","2","1","0","0","0","2","21","16.6","+6"
"22","19","2018-12-03","25-124","OKC","@","DET","W (+27)","0","17:59","1","3",".333","0","2",".000","0","0","","0","1","1","1","0","0","1","1","2","-0.1","-1"
"23","20","2018-12-05","25-126","OKC","@","BRK","W (+2)","0","18:54","0","2",".000","0","2",".000","0","0","","0","1","1","1","3","0","1","1","0","1.2","-10"
"24","21","2018-12-07","25-128","OKC","@","CHI","L (-2)","0","14:48","1","4",".250","1","4",".250","0","0","","0","3","3","1","0","0","1","3","3","0.0","-15"
"25","22","2018-12-10","25-131","OKC","","UTA","W (+9)","0","19:07","0","2",".000","0","1",".000","0","0","","0","3","3","0","1","0","2","1","0","-1.9","-12"
"26","23","2018-12-12","25-133","OKC","@","NOP","L (-4)","0","13:47","2","6",".333","1","5",".200","0","0","","0","1","1","2","1","0","0","0","5","4.3","0"
"27","24","2018-12-14","25-135","OKC","@","DEN","L (-11)","0","18:54","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-1.7","-1"
"28","25","2018-12-15","25-136","OKC","","LAC","W (+6)","0","20:10","2","4",".500","0","2",".000","2","2","1.000","0","4","4","0","0","0","0","0","6","5.2","+7"
"29","26","2018-12-17","25-138","OKC","","CHI","W (+25)","0","13:35","3","4",".750","2","3",".667","0","0","","2","1","3","0","1","0","0","1","8","8.7","+4"
"30","27","2018-12-19","25-140","OKC","@","SAC","W (+19)","0","23:20","3","7",".429","3","7",".429","0","0","","0","1","1","1","0","0","0","4","9","4.7","+6"
"31","28","2018-12-22","25-143","OKC","@","UTA","W (+1)","0","15:32","2","4",".500","2","4",".500","0","0","","0","1","1","0","0","0","0","4","6","2.7","+13"
"32","29","2018-12-23","25-144","OKC","","MIN","L (-2)","0","27:01","2","6",".333","1","5",".200","2","2","1.000","0","1","1","0","0","2","0","2","7","4.5","+1"
"50","30","2019-01-29","25-181","OKC","@","ORL","W (+9)","0","5:46","1","2",".500","1","2",".500","0","0","","0","1","1","0","0","0","0","1","3","1.9","+4"
"51","31","2019-02-01","25-184","OKC","@","MIA","W (+16)","0","9:21","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.8","-8"
