"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2018-10-28","25-033","OKC","","PHO","W (+7)","0","1:57","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","-9","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","115"
"6","2","2018-10-30","25-035","OKC","","LAC","W (+18)","0","2:00","0","1",".000","0","0","","0","0","","0","0","0","0","1","0","0","0","0","0.3","-1",".000",".000","0.0","0.0","0.0","0.0","21.9","0.0","0.0","19.5","0","64"
"8","3","2018-11-02","25-038","OKC","@","WAS","W (+23)","0","2:18","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-3","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","18.9","0","118"
"11","4","2018-11-08","25-044","OKC","","HOU","W (+18)","0","0:59","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.2","0","103"
"12","5","2018-11-10","25-046","OKC","@","DAL","L (-15)","0","1:38","1","1","1.000","0","0","","0","0","","0","0","0","0","1","0","1","0","2","1.7","-2","1.000","1.000","0.0","0.0","0.0","0.0","31.3","0.0","50.0","48.6","63","55"
"14","6","2018-11-14","25-050","OKC","","NYK","W (+25)","0","2:36","2","3",".667","0","0","","0","0","","1","2","3","0","0","1","0","0","4","4.7","+3",".667",".667","46.2","85.9","66.7","0.0","0.0","29.8","0.0","47.6","145","69"
"17","7","2018-11-21","25-057","OKC","@","GSW","W (+28)","0","3:09","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-0.4","+3",".000",".000","0.0","0.0","0.0","29.9","0.0","0.0","0.0","12.4","63","100"
"20","8","2018-11-28","25-064","OKC","","CLE","W (+17)","0","6:41","2","2","1.000","0","0","","0","0","","0","3","3","0","0","0","0","0","4","4.3","+4","1.000","1.000","0.0","44.0","23.2","0.0","0.0","0.0","0.0","13.6","200","87"
"21","9","2018-11-30","25-066","OKC","","ATL","W (+15)","0","9:07","1","3",".333","0","1",".000","0","0","","0","2","2","0","0","0","0","1","2","0.5","-7",".333",".333","0.0","19.9","12.0","0.0","0.0","0.0","0.0","13.8","69","105"
"22","10","2018-12-03","25-069","OKC","@","DET","W (+27)","0","5:07","0","0","","0","0","","0","0","","0","2","2","0","0","0","3","1","0","-2.8","-8","","","0.0","34.1","20.2","0.0","0.0","0.0","100.0","25.4","0","80"
"25","11","2018-12-10","25-076","OKC","","UTA","W (+9)","0","1:23","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","117"
"27","12","2018-12-14","25-080","OKC","@","DEN","L (-11)","0","0:33","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","125"
"29","13","2018-12-17","25-083","OKC","","CHI","W (+25)","0","4:25","1","1","1.000","0","0","","2","2","1.000","0","1","1","0","0","0","0","0","4","4.0","-3","1.064","1.000","0.0","24.2","12.1","0.0","0.0","0.0","0.0","16.7","228","99"
"30","14","2018-12-19","25-085","OKC","@","SAC","W (+19)","0","1:36","0","0","","0","0","","0","0","","0","2","2","0","0","0","1","0","0","-0.4","0","","","0.0","100.0","55.0","0.0","0.0","0.0","100.0","22.9","0","85"
"33","15","2018-12-25","25-091","OKC","@","HOU","L (-4)","0","9:39","0","3",".000","0","2",".000","0","0","","0","1","1","1","0","0","0","0","0","-1.1","+2",".000",".000","0.0","9.8","4.7","11.6","0.0","0.0","0.0","12.2","23","119"
"34","16","2018-12-28","25-094","OKC","@","PHO","W (+16)","0","33:10","7","13",".538","2","4",".500","2","2","1.000","1","4","5","0","0","0","0","2","18","12.8","+6",".648",".615","3.8","12.9","8.7","0.0","0.0","0.0","0.0","17.2","141","106"
"35","17","2018-12-30","25-096","OKC","@","DAL","L (-2)","1","15:41","1","5",".200","1","4",".250","0","0","","0","1","1","0","1","0","1","3","3","-1.0","-7",".300",".300","0.0","7.5","3.5","0.0","3.0","0.0","16.7","16.2","51","104"
"36","18","2018-12-31","25-097","OKC","","DAL","W (+20)","0","12:38","4","6",".667","2","3",".667","0","0","","1","2","3","1","0","0","0","4","10","7.8","0",".833",".833","6.9","19.0","12.0","12.3","0.0","0.0","0.0","17.8","166","98"
"37","19","2019-01-02","25-099","OKC","@","LAL","W (+7)","0","14:20","4","6",".667","2","3",".667","0","0","","0","4","4","1","0","0","0","4","10","7.7","+4",".833",".833","0.0","24.4","11.4","12.6","0.0","0.0","0.0","15.5","165","92"
"38","20","2019-01-04","25-101","OKC","@","POR","W (+2)","0","13:55","0","3",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","1","0","-2.2","-3",".000",".000","0.0","7.0","3.5","0.0","0.0","0.0","0.0","9.0","0","115"
"39","21","2019-01-06","25-103","OKC","","WAS","L (-18)","0","14:00","4","7",".571","1","1","1.000","0","0","","0","0","0","0","1","0","0","0","9","6.7","-20",".643",".643","0.0","0.0","0.0","0.0","3.4","0.0","0.0","21.7","118","119"
"40","22","2019-01-08","25-105","OKC","","MIN","L (-2)","0","9:22","0","2",".000","0","0","","0","0","","0","1","1","0","0","0","1","3","0","-3.3","-9",".000",".000","0.0","10.7","6.0","0.0","0.0","0.0","33.3","13.7","0","124"
"41","23","2019-01-10","25-107","OKC","@","SAS","L (-7)","0","12:13","4","4","1.000","1","1","1.000","0","0","","1","2","3","0","1","0","1","0","9","9.1","+4","1.125","1.125","9.1","23.7","15.5","0.0","3.9","0.0","20.0","17.3","158","122"
"42","24","2019-01-12","25-109","OKC","","SAS","W (+10)","0","16:59","6","6","1.000","1","1","1.000","2","2","1.000","0","2","2","2","0","1","0","0","15","15.9","+3","1.090","1.083","0.0","10.7","5.7","21.7","0.0","4.3","0.0","17.2","223","111"
"43","25","2019-01-15","25-112","OKC","@","ATL","L (-16)","0","14:25","1","6",".167","1","3",".333","0","0","","0","2","2","0","0","0","1","1","3","-1.6","-19",".250",".250","0.0","19.0","7.9","0.0","0.0","0.0","14.3","18.8","49","143"
"44","26","2019-01-17","25-114","OKC","","LAL","L (-10)","0","11:24","0","3",".000","0","2",".000","1","2",".500","0","1","1","0","0","0","0","0","1","-1.2","-10",".129",".000","0.0","10.8","4.3","0.0","0.0","0.0","0.0","13.4","31","126"
"45","27","2019-01-19","25-116","OKC","@","PHI","W (+2)","0","7:53","1","2",".500","1","1","1.000","0","0","","0","2","2","0","0","0","0","3","3","1.4","-7",".750",".750","0.0","26.5","13.2","0.0","0.0","0.0","0.0","10.6","149","114"
"46","28","2019-01-21","25-118","OKC","@","NYK","W (+18)","0","20:21","6","9",".667","2","3",".667","2","3",".667","0","6","6","2","2","0","2","2","16","14.1","-3",".775",".778","0.0","28.3","16.6","15.3","4.7","0.0","16.2","25.7","130","98"
"47","29","2019-01-22","25-119","OKC","","POR","W (+9)","0","10:07","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+3","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","129"
"48","30","2019-01-24","25-121","OKC","","NOP","W (+6)","0","12:05","1","5",".200","0","2",".000","1","2",".500","1","3","4","0","0","0","0","0","3","1.1","-9",".255",".200","8.3","23.4","16.1","0.0","0.0","0.0","0.0","19.1","71","111"
"49","31","2019-01-27","25-124","OKC","","MIL","W (+6)","0","15:23","2","4",".500","0","2",".000","0","0","","0","2","2","0","0","0","0","2","4","1.8","+5",".500",".500","0.0","12.5","6.2","0.0","0.0","0.0","0.0","10.8","99","112"
"50","32","2019-01-29","25-126","OKC","@","ORL","W (+9)","0","16:30","2","6",".333","1","3",".333","0","0","","0","2","2","0","0","0","0","1","5","1.8","-5",".417",".417","0.0","10.6","6.1","0.0","0.0","0.0","0.0","15.9","83","122"
"51","33","2019-02-01","25-129","OKC","@","MIA","W (+16)","0","14:59","0","5",".000","0","2",".000","2","2","1.000","1","4","5","1","0","0","1","4","2","-1.5","-13",".170",".000","6.5","26.7","16.5","7.3","0.0","0.0","14.5","19.3","55","102"
"53","34","2019-02-05","25-133","OKC","","ORL","W (+10)","0","16:10","4","5",".800","1","2",".500","2","3",".667","0","1","1","0","2","0","1","1","11","9.6","+2",".870",".900","0.0","6.1","3.3","0.0","5.2","0.0","13.7","17.3","140","103"
"54","35","2019-02-07","25-135","OKC","","MEM","W (+22)","0","19:44","3","5",".600","1","3",".333","0","0","","0","1","1","0","0","0","0","2","7","4.2","-6",".700",".700","0.0","5.9","2.7","0.0","0.0","0.0","0.0","11.0","133","105"
"55","36","2019-02-09","25-137","OKC","@","HOU","W (+5)","0","3:57","0","2",".000","0","1",".000","0","0","","1","1","2","0","0","0","1","2","0","-2.2","-11",".000",".000","27.6","25.3","26.4","0.0","0.0","0.0","33.3","30.1","24","110"
"56","37","2019-02-11","25-139","OKC","","POR","W (+9)","0","12:21","0","3",".000","0","0","","0","0","","0","3","3","1","0","0","0","2","0","-1.3","+6",".000",".000","0.0","24.3","12.8","9.5","0.0","0.0","0.0","10.5","24","111"
"57","38","2019-02-14","25-142","OKC","@","NOP","L (-9)","0","13:52","1","2",".500","0","1",".000","0","1",".000","0","2","2","0","0","1","0","0","2","1.9","+7",".410",".500","0.0","15.7","7.0","0.0","0.0","5.2","0.0","6.8","84","127"
"58","39","2019-02-22","25-150","OKC","","UTA","W (+1)","0","10:23","1","2",".500","1","2",".500","0","0","","1","0","1","0","1","0","0","1","3","3.3","-5",".750",".750","9.8","0.0","5.4","0.0","4.5","0.0","0.0","8.0","160","119"
"59","40","2019-02-23","25-151","OKC","","SAC","L (-3)","0","9:36","1","3",".333","0","1",".000","0","0","","0","0","0","0","0","0","0","3","2","-0.9","-5",".333",".333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.4","76","111"
"60","41","2019-02-26","25-154","OKC","@","DEN","L (-9)","0","7:26","1","1","1.000","0","0","","0","1",".000","0","1","1","0","0","1","0","0","2","2.3","+1",".694","1.000","0.0","15.0","6.9","0.0","0.0","10.8","0.0","7.6","114","112"
"61","42","2019-02-28","25-156","OKC","","PHI","L (-4)","0","16:41","1","1","1.000","1","1","1.000","2","2","1.000","0","3","3","0","1","0","0","1","5","6.2","-4","1.330","1.500","0.0","19.6","9.8","0.0","2.8","0.0","0.0","4.9","266","103"
