"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","31-168","PHI","@","BOS","L (-18)","0","11:11","1","1","1.000","0","0","","3","4",".750","0","3","3","1","0","0","0","1","5","5.5","-10",".906","1.000","0.0","24.3","12.6","14.4","0.0","0.0","0.0","10.5","193","103"
"2","2","2018-10-18","31-170","PHI","","CHI","W (+19)","0","15:09","6","9",".667","0","1",".000","1","1","1.000","1","2","3","1","0","0","1","4","13","8.5","-7",".689",".667","7.0","12.9","10.1","12.7","0.0","0.0","9.6","27.7","125","106"
"3","3","2018-10-20","31-172","PHI","","ORL","W (+1)","0","14:23","4","4","1.000","0","0","","0","0","","2","4","6","3","1","1","2","1","8","10.8","+9","1.000","1.000","13.9","28.4","21.1","31.6","3.5","5.5","33.3","18.5","139","108"
"4","4","2018-10-23","31-175","PHI","@","DET","L (-1)","0","13:00","3","5",".600","0","0","","0","2",".000","1","3","4","1","0","0","2","3","6","2.0","-7",".510",".600","9.7","23.5","17.3","11.1","0.0","0.0","25.4","26.5","81","120"
"5","5","2018-10-24","31-176","PHI","@","MIL","L (-15)","0","6:48","0","0","","0","0","","2","2","1.000","0","2","2","0","0","0","0","1","2","2.2","-6","1.136","","0.0","27.7","14.0","0.0","0.0","0.0","0.0","5.1","250","111"
"6","6","2018-10-27","31-179","PHI","","CHO","W (+2)","0","6:13","0","0","","0","0","","2","2","1.000","1","1","2","1","0","0","0","2","2","2.9","+4","1.136","","14.6","15.1","14.8","22.1","0.0","0.0","0.0","5.9","241","107"
"7","7","2018-10-29","31-181","PHI","","ATL","W (+21)","0","14:37","1","2",".500","0","0","","0","0","","1","5","6","3","0","1","0","2","2","5.2","+6",".500",".500","6.2","28.3","17.8","26.1","0.0","5.8","0.0","5.2","156","85"
"8","8","2018-10-30","31-182","PHI","@","TOR","L (-17)","0","11:59","2","4",".500","0","1",".000","1","2",".500","2","4","6","1","1","1","4","1","5","3.2","-4",".512",".500","15.7","41.1","26.7","13.4","3.7","6.2","45.0","28.0","67","107"
"9","9","2018-11-01","31-184","PHI","","LAC","W (+9)","0","11:53","2","3",".667","0","0","","1","1","1.000","0","3","3","1","0","0","2","2","5","2.5","-6",".727",".667","0.0","29.6","14.3","11.2","0.0","0.0","36.8","18.4","91","108"
"10","10","2018-11-03","31-186","PHI","","DET","W (+10)","0","14:12","1","3",".333","0","0","","4","4","1.000","1","2","3","3","1","0","1","3","6","6.5","+9",".630",".333","8.5","13.8","11.4","41.2","3.2","0.0","17.4","18.0","129","92"
"11","11","2018-11-04","31-187","PHI","@","BRK","L (-25)","0","6:58","1","2",".500","1","1","1.000","0","0","","0","1","1","1","0","0","2","5","3","-1.0","-9",".750",".750","0.0","13.2","8.2","28.6","0.0","0.0","50.0","25.0","78","121"
