"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","22-014","CHI","@","PHI","L (-19)","0","30:27","6","16",".375","1","3",".333","2","3",".667","0","5","5","2","0","0","1","2","15","6.9","+6",".433",".406","0.0","17.5","8.4","9.1","0.0","0.0","5.5","24.4","83","121"
"2","2","2018-10-20","22-016","CHI","","DET","L (-2)","0","21:30","5","6",".833","0","0","","0","0","","0","4","4","0","1","0","0","0","10","10.0","0",".833",".833","0.0","16.5","9.9","0.0","2.2","0.0","0.0","12.2","159","115"
"3","3","2018-10-22","22-018","CHI","@","DAL","L (-6)","0","4:32","1","2",".500","1","1","1.000","0","2",".000","0","0","0","0","0","0","0","0","3","1.2","+6",".521",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.2","96","127"
"4","4","2018-10-24","22-020","CHI","","CHO","W (+2)","0","8:53","1","2",".500","0","1",".000","2","3",".667","0","0","0","1","0","0","0","1","4","2.9","+12",".602",".500","0.0","0.0","0.0","17.1","0.0","0.0","0.0","16.9","139","125"
"5","5","2018-10-26","22-022","CHI","@","CHO","L (-29)","0","22:10","5","10",".500","2","5",".400","1","2",".500","0","2","2","0","0","2","0","2","13","8.8","-6",".597",".600","0.0","11.7","5.2","0.0","0.0","7.1","0.0","21.9","114","138"
"6","6","2018-10-27","22-023","CHI","@","ATL","W (+12)","0","15:12","4","8",".500","1","2",".500","0","0","","0","2","2","0","0","0","1","2","9","3.8","0",".563",".563","0.0","11.5","6.3","0.0","0.0","0.0","11.1","25.8","89","93"
"7","7","2018-10-29","22-025","CHI","","GSW","L (-25)","0","21:06","7","12",".583","4","6",".667","3","4",".750","1","1","2","1","0","0","0","1","21","16.3","+10",".763",".750","4.3","5.7","4.9","7.6","0.0","0.0","0.0","26.5","154","148"
"8","8","2018-10-31","22-027","CHI","","DEN","L (-1)","0","13:40","5","9",".556","4","4","1.000","1","3",".333","0","3","3","0","0","0","1","0","15","9.8","-4",".727",".778","0.0","23.3","11.8","0.0","0.0","0.0","8.8","38.9","112","107"
"9","9","2018-11-02","22-029","CHI","","IND","L (-2)","0","25:32","9","13",".692","3","5",".600","1","1","1.000","0","3","3","0","0","0","1","0","22","16.4","+6",".818",".808","0.0","13.8","6.6","0.0","0.0","0.0","6.9","25.4","137","117"
"10","10","2018-11-03","22-030","CHI","","HOU","L (-8)","0","9:54","0","6",".000","0","2",".000","2","2","1.000","0","2","2","1","0","0","0","0","2","-0.9","-6",".145",".000","0.0","22.6","11.8","17.3","0.0","0.0","0.0","32.7","39","105"
"11","11","2018-11-05","22-032","CHI","@","NYK","W (+1)","0","20:08","6","13",".462","1","5",".200","4","5",".800","0","1","1","0","2","1","1","2","17","11.1","-4",".559",".500","0.0","5.0","2.6","0.0","5.2","3.6","6.2","36.7","109","99"
"12","12","2018-11-07","22-034","CHI","@","NOP","L (-9)","0","16:34","3","11",".273","0","3",".000","0","0","","0","3","3","1","1","0","1","0","6","1.1","+1",".273",".273","0.0","17.4","8.6","9.9","2.8","0.0","8.3","30.4","54","102"
"13","13","2018-11-10","22-037","CHI","","CLE","W (+1)","0","19:16","4","12",".333","1","1","1.000","0","0","","1","2","3","2","0","0","1","0","9","3.9","+9",".375",".375","5.8","10.4","8.2","17.2","0.0","0.0","7.7","31.7","79","110"
"14","14","2018-11-12","22-039","CHI","","DAL","L (-5)","0","18:39","3","7",".429","1","1","1.000","2","2","1.000","1","0","1","0","1","0","2","2","9","4.2","-18",".571",".500","5.1","0.0","2.7","0.0","2.5","0.0","20.2","22.0","94","102"
"15","15","2018-11-14","22-041","CHI","@","BOS","L (-29)","0","18:29","3","10",".300","1","4",".250","0","0","","0","1","1","1","0","1","4","4","7","-2.7","-13",".350",".350","0.0","5.4","2.6","10.3","0.0","4.6","28.6","33.1","51","113"
"16","16","2018-11-16","22-043","CHI","@","MIL","L (-19)","0","20:45","8","14",".571","2","4",".500","0","0","","0","2","2","1","0","0","1","1","18","11.3","-7",".643",".643","0.0","10.8","5.1","10.3","0.0","0.0","6.7","31.1","110","123"
"17","17","2018-11-17","22-044","CHI","","TOR","L (-39)","0","32:34","6","19",".316","0","2",".000","1","2",".500","1","2","3","1","0","0","4","0","13","-0.3","-30",".327",".316","2.8","8.4","5.0","7.0","0.0","0.0","16.8","30.0","56","121"
"18","18","2018-11-21","22-048","CHI","","PHO","W (+8)","0","24:37","6","10",".600","2","3",".667","0","0","","0","1","1","0","0","0","2","0","14","7.7","0",".700",".700","0.0","4.8","2.6","0.0","0.0","0.0","16.7","21.6","102","116"
"19","19","2018-11-23","22-050","CHI","","MIA","L (-7)","0","18:12","0","6",".000","0","1",".000","0","0","","0","3","3","1","2","0","0","0","0","-0.6","-11",".000",".000","0.0","15.8","8.0","7.5","5.1","0.0","0.0","13.2","9","94"
"20","20","2018-11-24","22-051","CHI","@","MIN","L (-15)","0","19:32","2","7",".286","2","4",".500","2","4",".500","0","2","2","0","0","0","0","1","8","3.3","-17",".457",".429","0.0","8.9","5.0","0.0","0.0","0.0","0.0","20.0","90","117"
"21","21","2018-11-26","22-053","CHI","","SAS","L (-1)","0","2:46","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","0","2","1.3","-6",".500",".500","0.0","38.6","19.5","0.0","0.0","0.0","0.0","32.8","91","110"
"23","22","2018-11-30","22-057","CHI","@","DET","L (-19)","0","3:24","1","3",".333","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","0.3","-1",".333",".333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.5","64","120"
"24","23","2018-12-01","22-058","CHI","@","HOU","L (-16)","0","3:57","2","2","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","4","3.7","+4","1.000","1.000","0.0","30.4","13.8","0.0","0.0","0.0","0.0","21.8","200","123"
"27","24","2018-12-08","22-065","CHI","","BOS","L (-56)","0","18:10","1","9",".111","0","0","","2","2","1.000","0","0","0","1","0","0","1","0","4","-2.2","-27",".202",".111","0.0","0.0","0.0","9.3","0.0","0.0","9.2","28.1","44","151"
"31","25","2018-12-17","22-074","CHI","@","OKC","L (-25)","0","6:12","0","0","","0","0","","2","3",".667","0","0","0","0","0","0","0","0","2","1.6","+1",".758","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.9","165","129"
"33","26","2018-12-21","22-078","CHI","","ORL","W (+10)","0","11:41","0","4",".000","0","0","","1","2",".500","1","2","3","0","1","0","0","1","1","-0.3","+14",".102",".000","9.6","15.2","12.7","0.0","4.8","0.0","0.0","21.5","40","87"
"34","27","2018-12-23","22-080","CHI","@","CLE","W (+20)","0","13:33","2","6",".333","0","1",".000","4","4","1.000","0","3","3","2","0","1","1","1","8","6.2","+8",".515",".333","0.0","24.7","14.4","19.7","0.0","5.8","11.4","32.2","109","99"
"35","28","2018-12-26","22-083","CHI","","MIN","L (-25)","0","4:57","3","5",".600","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","7","5.0","-2",".700",".700","0.0","21.5","10.0","0.0","0.0","0.0","0.0","43.3","128","124"
"36","29","2018-12-28","22-085","CHI","@","WAS","W (+9)","0","3:13","1","3",".333","0","0","","0","0","","0","1","1","0","0","0","0","0","2","0.6","+1",".333",".333","0.0","31.7","17.4","0.0","0.0","0.0","0.0","44.8","66","101"
"38","30","2019-01-02","22-090","CHI","","ORL","L (-28)","0","24:26","5","12",".417","1","1","1.000","0","2",".000","0","4","4","1","0","0","1","0","11","4.7","-10",".427",".458","0.0","25.3","10.8","7.5","0.0","0.0","7.2","27.1","78","125"
"39","31","2019-01-04","22-092","CHI","","IND","L (-3)","0","19:53","5","9",".556","1","3",".333","2","2","1.000","0","3","3","0","2","0","0","1","13","11.2","+3",".658",".611","0.0","19.5","10.0","0.0","5.2","0.0","0.0","23.2","130","109"
"40","32","2019-01-06","22-094","CHI","","BRK","L (-17)","0","12:58","0","3",".000","0","1",".000","0","0","","0","1","1","1","0","1","0","2","0","-1.2","-8",".000",".000","0.0","9.5","4.5","9.0","0.0","10.0","0.0","10.4","22","124"
"41","33","2019-01-09","22-097","CHI","@","POR","L (-12)","0","19:53","5","10",".500","0","1",".000","2","2","1.000","0","1","1","1","0","0","0","1","12","7.6","-8",".551",".500","0.0","7.3","3.0","7.8","0.0","0.0","0.0","23.2","117","127"
"42","34","2019-01-11","22-099","CHI","@","GSW","L (-37)","0","13:26","4","7",".571","1","1","1.000","3","4",".750","0","0","0","1","0","0","0","1","12","8.6","-1",".685",".643","0.0","0.0","0.0","17.3","0.0","0.0","0.0","29.5","139","153"
"45","35","2019-01-17","22-105","CHI","@","DEN","L (-30)","0","9:08","2","4",".500","2","3",".667","0","0","","0","0","0","0","0","1","2","0","6","2.7","-3",".750",".750","0.0","0.0","0.0","0.0","0.0","9.4","33.3","28.7","84","144"
"47","36","2019-01-21","22-109","CHI","@","CLE","W (+16)","0","2:38","0","2",".000","0","0","","1","2",".500","0","1","1","0","0","0","0","0","1","-0.5","-3",".174",".000","0.0","34.4","20.7","0.0","0.0","0.0","0.0","50.6","41","88"
"48","37","2019-01-23","22-111","CHI","","ATL","L (-20)","0","3:28","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-2","1.000","1.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.1","200","133"
"50","38","2019-01-27","22-115","CHI","","CLE","L (-3)","0","11:46","2","6",".333","0","0","","0","0","","0","0","0","3","0","0","0","0","4","2.7","-9",".333",".333","0.0","0.0","0.0","39.7","0.0","0.0","0.0","23.2","89","121"
"51","39","2019-01-29","22-117","CHI","@","BRK","L (-5)","0","6:45","1","2",".500","0","0","","0","0","","1","1","2","0","0","1","0","1","2","2.3","0",".500",".500","17.3","13.7","15.3","0.0","0.0","12.1","0.0","11.9","121","105"
"52","40","2019-01-30","22-118","CHI","@","MIA","W (+16)","0","3:56","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-11",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.3","0","109"
"55","41","2019-02-08","22-127","CHI","@","BRK","W (+19)","0","0:38","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","111"
"58","42","2019-02-13","22-132","CHI","","MEM","W (+12)","0","1:41","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-4","","","0.0","0.0","0.0","63.4","0.0","0.0","","0.0","218","119"
"61","43","2019-02-25","22-144","CHI","","MIL","L (-11)","0","15:22","3","7",".429","1","2",".500","1","1","1.000","0","2","2","1","0","0","0","0","8","5.6","-9",".538",".500","0.0","14.5","7.3","9.9","0.0","0.0","0.0","21.4","107","122"
"64","44","2019-03-03","22-150","CHI","","ATL","L (-5)","0","20:19","8","13",".615","1","2",".500","0","0","","0","2","2","1","0","0","2","2","17","9.6","+9",".654",".654","0.0","10.7","5.4","8.4","0.0","0.0","13.3","30.8","107","126"
"65","45","2019-03-05","22-152","CHI","@","IND","L (-9)","0","0:20","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","122"
"68","46","2019-03-10","22-157","CHI","@","DET","L (-23)","0","13:33","2","5",".400","0","0","","5","7",".714","0","1","1","0","0","0","1","0","9","4.8","-4",".557",".400","0.0","8.6","4.4","0.0","0.0","0.0","11.0","31.1","103","142"
"69","47","2019-03-12","22-159","CHI","","LAL","L (-16)","0","11:14","2","3",".667","0","1",".000","0","0","","0","3","3","0","0","0","1","3","4","1.4","-13",".667",".667","0.0","33.7","15.1","0.0","0.0","0.0","25.0","15.2","90","123"
"70","48","2019-03-15","22-162","CHI","@","LAC","L (-7)","0","5:40","1","2",".500","0","0","","0","0","","0","4","4","1","0","1","1","2","2","1.8","+8",".500",".500","0.0","66.4","38.9","25.3","0.0","10.7","33.3","23.0","80","100"
"71","49","2019-03-17","22-164","CHI","@","SAC","L (-27)","0","12:00","2","6",".333","0","0","","0","1",".000","0","2","2","0","0","0","1","0","4","-0.2","+1",".311",".333","0.0","18.2","9.2","0.0","0.0","0.0","13.4","25.6","55","129"
"72","50","2019-03-18","22-165","CHI","@","PHO","W (+15)","0","16:56","3","10",".300","0","3",".000","0","0","","0","4","4","2","0","0","0","1","6","2.4","+2",".300",".300","0.0","24.1","13.0","15.1","0.0","0.0","0.0","25.2","78","106"
"73","51","2019-03-20","22-167","CHI","","WAS","W (+6)","1","23:22","1","4",".250","0","0","","0","0","","0","4","4","1","0","0","1","0","2","0.5","+10",".250",".250","0.0","20.2","9.3","4.8","0.0","0.0","20.0","9.0","54","117"
"74","52","2019-03-23","22-170","CHI","","UTA","L (-31)","1","27:07","5","11",".455","0","2",".000","0","0","","0","2","2","2","0","0","1","2","10","4.5","-11",".455",".455","0.0","7.7","3.4","14.7","0.0","0.0","8.3","18.8","88","121"
"75","53","2019-03-26","22-173","CHI","@","TOR","L (-9)","0","21:17","5","15",".333","1","2",".500","0","0","","0","6","6","3","1","0","0","1","11","7.0","-10",".367",".367","0.0","33.8","16.1","24.4","2.2","0.0","0.0","30.0","84","108"
"76","54","2019-03-27","22-174","CHI","","POR","L (-20)","1","32:24","3","11",".273","0","2",".000","4","6",".667","1","2","3","4","0","0","1","2","10","5.0","-5",".367",".273","2.8","8.0","5.0","17.1","0.0","0.0","6.8","20.2","91","135"
"77","55","2019-03-30","22-177","CHI","","TOR","L (-23)","0","17:56","5","11",".455","1","5",".200","1","3",".333","0","5","5","0","0","0","1","1","12","5.6","-1",".487",".500","0.0","31.9","13.4","0.0","0.0","0.0","7.5","30.5","92","128"
"78","56","2019-04-01","22-179","CHI","@","NYK","L (-8)","0","16:53","3","8",".375","0","1",".000","0","0","","0","2","2","1","0","0","0","0","6","2.9","-7",".375",".375","0.0","15.0","6.5","8.5","0.0","0.0","0.0","20.7","85","125"
