"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","22-088","PHI","@","BOS","L (-18)","1","42:45","7","14",".500","0","0","","5","10",".500","3","12","15","8","4","2","3","5","19","21.7","-8",".516",".500","6.9","25.4","16.5","34.4","4.3","3.7","14.0","21.2","104","90"
"2","2","2018-10-18","22-090","PHI","","CHI","W (+19)","1","33:42","5","8",".625","0","0","","3","3","1.000","1","12","13","11","1","2","3","0","13","20.8","+24",".697",".625","3.2","34.9","19.7","42.5","1.3","4.2","24.4","14.7","133","97"
"3","3","2018-10-20","22-092","PHI","","ORL","W (+1)","1","7:41","2","3",".667","0","0","","0","0","","0","0","0","4","0","0","0","2","4","4.7","-12",".667",".667","0.0","0.0","0.0","76.9","0.0","0.0","0.0","17.3","170","129"
"5","4","2018-10-24","22-096","PHI","@","MIL","L (-15)","1","37:32","6","15",".400","0","0","","2","6",".333","3","10","13","11","1","0","3","5","14","13.1","-10",".397",".400","7.7","25.1","16.5","46.4","1.1","0.0","14.5","21.8","94","109"
"6","5","2018-10-27","22-099","PHI","","CHO","W (+2)","1","32:11","5","20",".250","0","0","","4","6",".667","6","6","12","3","1","0","4","4","14","4.7","-6",".309",".250","16.9","17.5","17.2","16.2","1.5","0.0","15.0","34.5","74","103"
"7","6","2018-10-29","22-101","PHI","","ATL","W (+21)","1","26:54","8","11",".727","0","0","","5","5","1.000","5","7","12","9","0","1","2","3","21","25.9","+19",".795",".727","16.8","21.5","19.3","60.1","0.0","3.1","13.2","21.5","159","89"
"8","7","2018-10-30","22-102","PHI","@","TOR","L (-17)","1","34:09","4","9",".444","0","0","","3","6",".500","3","5","8","10","0","0","11","4","11","3.1","-12",".473",".444","8.3","18.0","12.5","43.4","0.0","0.0","48.6","25.0","73","124"
"9","8","2018-11-01","22-104","PHI","","LAC","W (+9)","1","34:41","6","11",".545","0","0","","2","2","1.000","1","2","3","11","1","0","2","3","14","15.5","-2",".589",".545","3.1","6.8","4.9","42.6","1.3","0.0","14.4","16.1","131","110"
"10","9","2018-11-03","22-106","PHI","","DET","W (+10)","1","29:18","2","4",".500","0","0","","5","6",".833","1","4","5","5","5","0","2","5","9","13.0","+5",".678",".500","4.1","13.4","9.2","33.1","7.7","0.0","23.1","13.1","126","83"
"11","10","2018-11-04","22-107","PHI","@","BRK","L (-25)","1","27:29","8","11",".727","0","0","","4","9",".444","3","9","12","3","4","0","5","0","20","19.4","-15",".668",".727","16.4","30.2","25.0","30.8","6.9","0.0","25.1","31.7","105","103"
"12","11","2018-11-07","22-110","PHI","@","IND","W (+6)","1","34:19","7","12",".583","0","0","","2","4",".500","0","10","10","8","0","2","1","3","16","17.4","0",".581",".583","0.0","30.4","16.7","42.7","0.0","4.4","6.8","19.7","124","94"
"13","12","2018-11-09","22-112","PHI","","CHO","W (+1)","1","41:03","9","16",".563","0","0","","4","6",".667","3","6","9","13","2","3","3","4","22","26.1","-2",".590",".563","8.1","12.9","10.8","50.3","2.3","5.5","13.9","21.8","129","114"
"14","13","2018-11-10","22-113","PHI","@","MEM","L (-6)","1","38:27","9","15",".600","0","0","","0","0","","2","12","14","5","0","1","6","1","18","13.9","-17",".600",".600","7.3","30.1","20.8","21.8","0.0","1.9","28.6","25.2","94","106"
"15","14","2018-11-12","22-115","PHI","@","MIA","W (+10)","1","35:13","5","7",".714","0","0","","3","4",".750","2","5","7","7","1","0","4","0","13","14.5","+20",".742",".714","6.5","17.0","11.6","29.6","1.4","0.0","31.3","15.9","124","117"
"16","15","2018-11-14","22-117","PHI","@","ORL","L (-5)","1","31:25","3","5",".600","0","0","","3","5",".600","0","3","3","6","0","1","1","3","9","9.5","-12",".625",".600","0.0","12.7","5.9","25.2","0.0","2.9","12.2","11.8","134","119"
"17","16","2018-11-16","22-119","PHI","","UTA","W (+6)","1","35:59","4","9",".444","0","0","","2","5",".400","0","8","8","8","1","1","3","2","10","10.0","+15",".446",".444","0.0","26.0","13.3","29.9","1.3","2.0","21.1","16.9","97","103"
"18","17","2018-11-17","22-120","PHI","@","CHO","W (+3)","1","39:12","7","13",".538","0","0","","9","11",".818","1","10","11","9","2","0","4","2","23","23.1","+1",".645",".538","2.8","25.5","14.6","41.2","2.3","0.0","18.3","22.9","121","100"
"19","18","2018-11-19","22-122","PHI","","PHO","W (+5)","1","32:24","9","13",".692","0","0","","1","6",".167","2","9","11","9","1","0","4","2","19","18.1","-3",".607",".692","7.6","29.6","19.4","48.2","1.4","0.0","20.4","24.0","112","109"
"20","19","2018-11-21","22-124","PHI","","NOP","W (+1)","1","35:22","9","18",".500","0","0","","4","4","1.000","0","8","8","7","1","2","6","3","22","15.5","+14",".557",".500","0.0","19.4","10.8","29.9","1.3","4.0","23.3","27.9","96","108"
"21","20","2018-11-23","22-126","PHI","","CLE","L (-9)","1","36:51","10","12",".833","0","0","","2","5",".400","1","3","4","10","1","1","1","4","22","24.1","-14",".775",".833","4.1","9.5","7.1","48.3","1.4","1.8","6.6","20.5","160","132"
"22","21","2018-11-25","22-128","PHI","@","BRK","W (+2)","1","38:14","5","13",".385","0","0","","3","6",".500","3","2","5","9","3","2","3","1","13","14.7","+9",".416",".385","8.2","6.4","7.4","30.0","3.8","4.0","16.1","20.4","103","120"
"23","22","2018-11-28","22-131","PHI","","NYK","W (+26)","1","24:01","5","9",".556","0","0","","4","7",".571","3","5","8","7","1","0","2","3","14","14.8","+8",".579",".556","15.8","18.9","17.6","37.8","2.0","0.0","14.2","25.6","126","90"
"24","23","2018-11-30","22-133","PHI","","WAS","W (+25)","1","25:26","5","5","1.000","0","0","","3","3","1.000","1","7","8","10","1","0","6","3","13","15.1","+22","1.028","1.000","3.7","27.0","15.1","56.2","1.8","0.0","48.7","18.7","119","94"
"25","24","2018-12-02","22-135","PHI","","MEM","W (+8)","1","37:05","8","10",".800","0","0","","3","8",".375","2","10","12","6","2","0","3","4","19","19.2","+5",".703",".800","7.4","29.4","19.7","30.3","2.6","0.0","18.2","20.7","124","92"
"26","25","2018-12-05","22-138","PHI","@","TOR","L (-11)","1","34:27","4","6",".667","0","0","","0","0","","2","8","10","11","1","0","7","4","8","9.3","+1",".667",".667","5.9","20.3","13.7","44.5","1.4","0.0","53.8","15.7","92","109"
"27","26","2018-12-07","22-140","PHI","@","DET","W (+6)","1","40:29","8","11",".727","0","0","","2","2","1.000","3","10","13","6","1","3","4","3","18","20.7","+4",".758",".727","8.1","26.3","17.3","20.6","1.2","5.8","25.2","16.3","126","107"
"28","27","2018-12-10","22-143","PHI","","DET","W (+14)","1","29:56","8","11",".727","0","0","","2","9",".222","4","6","10","7","2","1","2","0","18","20.9","+21",".602",".727","12.3","22.9","17.1","42.9","3.3","2.5","11.8","23.4","124","100"
"29","28","2018-12-12","22-145","PHI","","BRK","L (-3)","1","35:24","9","15",".600","0","0","","4","5",".800","3","5","8","7","4","2","3","3","22","24.4","-2",".640",".600","10.2","19.9","14.7","25.1","5.4","5.9","14.9","23.8","128","115"
"30","29","2018-12-14","22-147","PHI","","IND","L (-12)","1","37:50","7","15",".467","0","0","","4","8",".500","2","7","9","4","2","1","3","3","18","13.5","-13",".486",".467","4.8","20.7","11.9","18.7","2.6","1.7","13.9","23.6","99","112"
"31","30","2018-12-16","22-149","PHI","@","CLE","W (+23)","1","31:58","9","15",".600","0","0","","4","5",".800","4","7","11","14","1","0","0","4","22","28.8","+23",".640",".600","15.4","25.0","20.4","56.1","1.5","0.0","0.0","23.5","164","108"
"32","31","2018-12-17","22-150","PHI","@","SAS","L (-27)","1","29:26","7","10",".700","0","0","","2","2","1.000","0","6","6","6","0","0","3","2","16","14.0","-27",".735",".700","0.0","29.7","11.4","34.2","0.0","0.0","21.6","20.4","120","131"
"33","32","2018-12-19","22-152","PHI","","NYK","W (+22)","1","30:39","5","10",".500","0","0","","3","4",".750","3","9","12","10","1","1","3","0","13","18.1","+9",".553",".500","11.7","30.6","21.9","40.0","1.6","2.8","20.3","21.4","126","106"
"34","33","2018-12-22","22-155","PHI","","TOR","W (+25)","1","33:30","11","13",".846","0","0","","4","6",".667","1","11","12","8","0","1","1","2","26","29.0","+17",".831",".846","3.9","27.7","18.3","37.9","0.0","2.6","6.0","21.4","162","96"
"35","34","2018-12-25","22-158","PHI","@","BOS","L (-7)","1","37:58","4","9",".444","0","0","","3","7",".429","4","10","14","8","0","0","4","4","11","10.5","-17",".455",".444","10.9","23.3","17.6","34.5","0.0","0.0","24.9","18.1","99","110"
"36","35","2018-12-27","22-160","PHI","@","UTA","W (+17)","1","31:13","6","13",".462","0","0","","1","2",".500","6","8","14","12","3","1","7","1","13","17.2","+8",".468",".462","22.5","24.6","23.7","54.6","4.7","3.0","33.5","30.0","100","88"
"37","36","2018-12-30","22-163","PHI","@","POR","L (-34)","1","24:36","7","12",".583","0","0","","5","10",".500","0","3","3","3","1","0","2","3","19","12.2","-7",".579",".583","0.0","17.2","6.2","28.8","1.8","0.0","10.9","30.2","105","123"
