"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","25-086","SAS","","MIN","W (+4)","1","30:02","4","10",".400","1","5",".200","2","2","1.000","1","2","3","2","2","0","2","5","11","6.3","+2",".506",".450","3.1","6.8","4.9","9.5","3.3","0.0","15.5","17.5","103","111"
"2","2","2018-10-20","25-089","SAS","@","POR","L (-13)","1","27:11","6","13",".462","5","8",".625","0","0","","0","2","2","3","0","0","0","1","17","12.6","-16",".654",".654","0.0","10.7","4.1","16.9","0.0","0.0","0.0","20.5","137","134"
"3","3","2018-10-22","25-091","SAS","@","LAL","W (+1)","1","37:05","6","14",".429","4","8",".500","0","0","","1","2","3","1","1","0","1","4","16","9.0","-1",".571",".571","2.9","5.7","4.3","3.5","1.2","0.0","6.7","17.5","108","127"
"4","4","2018-10-24","25-093","SAS","","IND","L (-20)","1","31:05","5","10",".500","2","4",".500","3","3","1.000","0","2","2","4","0","0","1","2","15","11.6","-11",".663",".600","0.0","8.6","3.6","22.6","0.0","0.0","8.1","17.4","137","128"
"5","5","2018-10-27","25-096","SAS","","LAL","W (+4)","1","30:40","6","10",".600","1","3",".333","3","5",".600","0","1","1","1","2","0","2","3","16","10.4","-8",".656",".650","0.0","3.6","1.7","4.5","3.1","0.0","14.1","19.4","114","104"
"6","6","2018-10-29","25-098","SAS","","DAL","W (+5)","1","29:35","5","11",".455","2","5",".400","0","0","","0","0","0","1","1","0","2","3","12","4.8","+15",".545",".545","0.0","0.0","0.0","5.4","1.6","0.0","15.4","19.9","86","104"
"7","7","2018-10-31","25-100","SAS","@","PHO","W (+30)","1","22:15","3","7",".429","0","3",".000","1","1","1.000","0","1","1","7","1","0","1","1","7","8.1","+25",".470",".429","0.0","4.5","2.6","38.2","2.1","0.0","11.8","16.8","112","91"
"8","8","2018-11-03","25-103","SAS","","NOP","W (+14)","1","23:20","3","8",".375","0","4",".000","1","1","1.000","0","1","1","1","4","0","2","1","7","5.2","-5",".415",".375","0.0","5.0","2.3","5.3","8.2","0.0","19.2","19.3","69","84"
"9","9","2018-11-04","25-104","SAS","","ORL","L (-7)","1","25:59","5","13",".385","2","5",".400","1","1","1.000","0","1","1","2","0","0","1","4","13","5.0","+4",".484",".462","0.0","4.2","2.1","12.8","0.0","0.0","6.9","24.3","97","128"
"10","10","2018-11-07","25-107","SAS","@","MIA","L (-7)","1","31:52","4","12",".333","2","5",".400","2","2","1.000","0","1","1","3","1","0","0","4","12","7.0","-13",".466",".417","0.0","3.0","1.4","18.1","1.6","0.0","0.0","17.3","105","105"
