"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","24-053","BRK","@","DET","L (-3)","1","33:59","10","18",".556","0","2",".000","7","8",".875","1","3","4","4","1","1","3","2","27","20.3","-10",".627",".556","3.8","8.8","6.6","21.8","1.4","2.1","12.2","31.9","114","106"
"2","2","2018-10-19","24-055","BRK","","NYK","W (+2)","1","32:23","8","13",".615","2","5",".400","10","11",".909","1","5","6","5","0","0","4","3","28","22.2","0",".785",".692","4.1","13.5","9.8","29.5","0.0","0.0","18.3","30.1","140","115"
"3","3","2018-10-20","24-056","BRK","@","IND","L (-20)","1","27:37","8","9",".889","2","3",".667","1","2",".500","0","4","4","3","2","1","4","3","19","16.3","-20",".962","1.000","0.0","17.0","8.7","19.2","3.4","2.6","28.8","20.9","125","124"
"4","4","2018-10-24","24-060","BRK","@","CLE","W (+16)","1","31:41","5","12",".417","0","2",".000","0","0","","0","6","6","4","1","0","2","1","10","6.8","+23",".417",".417","0.0","17.5","9.4","19.9","1.6","0.0","14.3","19.7","84","90"
"5","5","2018-10-26","24-062","BRK","@","NOP","L (-2)","1","31:25","8","23",".348","1","6",".167","4","5",".800","4","2","6","4","0","0","2","3","21","10.7","-5",".417",".370","13.0","5.8","9.2","19.9","0.0","0.0","7.4","33.9","103","121"
"6","6","2018-10-28","24-064","BRK","","GSW","L (-6)","1","30:10","9","18",".500","4","7",".571","1","1","1.000","0","3","3","7","0","0","3","2","23","16.0","+9",".624",".611","0.0","10.8","5.7","40.2","0.0","0.0","14.0","31.4","115","125"
"7","7","2018-10-29","24-065","BRK","@","NYK","L (-19)","1","29:29","2","11",".182","0","6",".000","0","0","","0","2","2","5","2","0","2","3","4","0.0","-23",".182",".182","0.0","8.8","3.8","26.5","3.6","0.0","15.4","20.4","54","125"
"8","8","2018-10-31","24-067","BRK","","DET","W (+1)","1","39:37","7","16",".438","1","5",".200","4","6",".667","0","6","6","6","2","0","1","4","19","15.2","+13",".510",".469","0.0","15.7","7.3","23.9","2.4","0.0","5.1","20.2","116","106"
"9","9","2018-11-02","24-069","BRK","","HOU","L (-8)","1","30:15","10","17",".588","4","6",".667","5","7",".714","1","3","4","2","3","1","1","5","29","24.0","-18",".722",".706","4.1","11.9","8.0","12.1","5.2","3.6","4.7","32.2","142","119"
"10","10","2018-11-04","24-071","BRK","","PHI","W (+25)","1","28:31","8","20",".400","1","3",".333","3","4",".750","3","2","5","2","4","0","2","1","20","14.5","+19",".460",".425","9.7","10.5","10.0","9.2","6.7","0.0","8.4","32.8","99","89"
"11","11","2018-11-06","24-073","BRK","@","PHO","W (+22)","1","32:11","10","16",".625","3","6",".500","3","4",".750","1","4","5","1","1","1","3","2","26","18.9","+9",".732",".719","2.8","12.4","7.4","5.7","1.5","2.7","14.5","28.1","122","86"
"12","12","2018-11-09","24-076","BRK","@","DEN","W (+2)","1","31:26","6","13",".462","1","4",".250","4","9",".444","0","2","2","5","1","1","0","2","17","13.3","0",".501",".500","0.0","6.8","3.2","28.4","1.6","2.2","0.0","22.6","115","115"
"13","13","2018-11-10","24-077","BRK","@","GSW","L (-16)","1","20:54","1","6",".167","0","3",".000","2","4",".500","0","2","2","0","0","0","2","0","4","-2.0","-21",".258",".167","0.0","13.1","6.0","0.0","0.0","0.0","20.5","21.6","46","129"
"14","14","2018-11-12","24-079","BRK","@","MIN","L (-7)","1","16:43","5","12",".417","0","3",".000","0","0","","3","2","5","4","0","0","1","3","10","6.9","-2",".417",".417","13.9","17.9","15.3","44.8","0.0","0.0","7.7","30.2","105","120"
"57","15","2019-02-08","24-167","BRK","","CHI","L (-19)","0","14:56","5","11",".455","0","3",".000","1","2",".500","0","2","2","4","5","0","0","1","11","12.9","+3",".463",".455","0.0","18.4","7.7","56.1","15.7","0.0","0.0","34.1","104","90"
"58","16","2019-02-11","24-170","BRK","@","TOR","L (-2)","0","22:45","3","11",".273","0","5",".000","0","0","","0","0","0","4","1","1","5","3","6","-2.2","+7",".273",".273","0.0","0.0","0.0","21.3","2.0","3.5","31.3","30.7","54","119"
