"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2019-01-15","32-316","PHI","","MIN","W (+42)","0","8:07","1","2",".500","1","1","1.000","0","0","","0","2","2","2","1","0","0","1","3","4.6","+6",".750",".750","0.0","21.5","13.4","24.1","5.6","0.0","0.0","10.2","176","93"
"4","2","2019-01-21","32-322","PHI","","HOU","W (+28)","1","32:43","5","10",".500","0","1",".000","1","2",".500","0","3","3","1","2","2","3","3","11","6.4","+17",".506",".500","0.0","8.6","4.7","4.1","2.9","6.7","21.6","17.6","81","91"
"5","3","2019-01-23","32-324","PHI","","SAS","W (+2)","1","27:41","3","7",".429","2","3",".667","1","2",".500","0","1","1","2","2","0","2","3","9","5.4","+2",".571",".571","0.0","5.1","2.2","8.3","3.6","0.0","20.2","15.6","97","123"
"6","4","2019-01-26","32-327","PHI","@","DEN","L (-16)","1","32:02","7","15",".467","1","4",".250","5","6",".833","2","4","6","2","4","0","1","4","20","17.3","-10",".567",".500","5.9","14.6","9.8","10.9","5.9","0.0","5.4","24.3","116","115"
"7","5","2019-01-29","32-330","PHI","@","LAL","W (+16)","0","23:18","0","6",".000","0","2",".000","2","3",".667","0","3","3","2","2","0","0","2","2","0.9","-11",".137",".000","0.0","13.4","6.6","9.8","4.0","0.0","0.0","12.9","52","101"
"8","6","2019-01-31","32-332","PHI","@","GSW","W (+9)","0","9:48","2","5",".400","0","2",".000","0","0","","0","0","0","0","1","0","0","1","4","1.9","+3",".400",".400","0.0","0.0","0.0","0.0","5.0","0.0","0.0","20.8","90","105"
"9","7","2019-02-02","32-334","PHI","@","SAC","L (-7)","0","5:58","2","4",".500","0","1",".000","0","0","","2","0","2","1","0","0","2","2","4","1.3","-11",".500",".500","30.9","0.0","16.8","32.3","0.0","0.0","33.3","41.3","85","122"
"13","8","2019-02-21","32-353","SAC","@","GSW","L (-2)","0","13:26","4","7",".571","3","5",".600","0","0","","0","0","0","0","0","0","0","5","11","5.7","+2",".786",".786","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.7","150","123"
"15","9","2019-02-25","32-357","SAC","@","MIN","L (-7)","0","15:55","3","8",".375","1","4",".250","5","6",".833","0","2","2","1","0","0","1","2","12","6.7","+9",".564",".438","0.0","16.3","6.5","10.8","0.0","0.0","8.6","27.7","113","109"
"16","10","2019-02-27","32-359","SAC","","MIL","L (-1)","0","19:54","1","3",".333","0","2",".000","0","1",".000","0","0","0","3","0","1","0","3","2","1.5","-5",".291",".333","0.0","0.0","0.0","15.9","0.0","4.0","0.0","6.6","95","122"
"17","11","2019-03-01","32-361","SAC","","LAC","L (-7)","0","18:51","4","5",".800","0","1",".000","0","0","","1","1","2","3","1","0","0","3","8","9.0","+4",".800",".800","5.1","4.7","4.9","24.8","2.5","0.0","0.0","11.4","168","117"
"18","12","2019-03-04","32-364","SAC","","NYK","W (+7)","0","13:08","0","2",".000","0","1",".000","2","2","1.000","0","3","3","1","1","1","0","1","2","3.5","-2",".347",".000","0.0","23.3","12.0","9.4","3.6","6.5","0.0","9.5","92","96"
"19","13","2019-03-06","33-001","SAC","","BOS","L (-2)","0","10:14","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","2","0","-2.2","-8",".000",".000","0.0","12.7","6.3","0.0","0.0","0.0","50.0","9.0","0","117"
