"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","23-108","GSW","","OKC","W (+8)","1","26:33","6","7",".857","0","0","","0","0","","2","1","3","2","0","3","2","4","12","11.1","-1",".857",".857","7.9","3.2","5.3","11.6","0.0","10.0","22.2","13.1","130","102"
"2","2","2018-10-19","23-111","GSW","@","UTA","W (+1)","1","18:03","2","3",".667","0","0","","0","0","","1","3","4","1","2","2","0","4","4","6.8","+5",".667",".667","7.4","17.7","13.1","6.1","5.2","12.4","0.0","7.2","154","106"
"3","3","2018-10-21","23-113","GSW","@","DEN","L (-2)","1","18:56","4","5",".800","0","0","","0","2",".000","1","1","2","1","0","1","1","5","8","4.7","0",".680",".800","6.3","5.4","5.8","9.8","0.0","4.7","14.5","16.2","113","105"
"4","4","2018-10-22","23-114","GSW","","PHO","W (+20)","1","20:25","5","5","1.000","0","0","","3","5",".600","3","1","4","1","0","1","0","3","13","13.3","+5",".903","1.000","17.6","5.2","11.1","7.1","0.0","4.5","0.0","14.9","190","107"
"5","5","2018-10-24","23-116","GSW","","WAS","W (+22)","1","11:39","1","1","1.000","0","0","","3","4",".750","3","0","3","2","0","0","0","0","5","7.8","+5",".906","1.000","33.4","0.0","15.1","16.9","0.0","0.0","0.0","9.6","208","121"
"6","6","2018-10-26","23-118","GSW","@","NYK","W (+28)","1","14:08","1","1","1.000","0","0","","0","2",".000","0","0","0","3","2","2","0","0","2","6.4","-3",".532","1.000","0.0","0.0","0.0","21.4","6.8","13.3","0.0","6.0","149","88"
"7","7","2018-10-28","23-120","GSW","@","BRK","W (+6)","1","11:35","1","3",".333","0","0","","0","0","","1","0","1","1","1","2","2","4","2","0.5","-6",".333",".333","9.4","0.0","4.9","10.4","4.2","18.4","40.0","18.6","62","98"
"8","8","2018-10-29","23-121","GSW","@","CHI","W (+25)","1","13:50","1","2",".500","0","0","","0","0","","0","2","2","0","1","0","0","4","2","1.0","+13",".500",".500","0.0","13.1","7.5","0.0","3.3","0.0","0.0","6.1","99","116"
"9","9","2018-10-31","23-123","GSW","","NOP","W (+10)","1","10:37","3","4",".750","0","0","","0","0","","1","2","3","0","0","0","0","3","6","4.5","+3",".750",".750","10.8","19.7","15.4","0.0","0.0","0.0","0.0","15.2","154","119"
"10","10","2018-11-02","23-125","GSW","","MIN","W (+17)","1","16:37","2","3",".667","0","0","","2","2","1.000","1","3","4","0","0","0","0","0","6","6.3","+5",".773",".667","6.7","15.2","11.6","0.0","0.0","0.0","0.0","9.9","169","103"
"11","11","2018-11-05","23-128","GSW","","MEM","W (+16)","1","11:01","0","0","","0","0","","4","4","1.000","0","2","2","1","1","0","1","5","4","3.3","-3","1.136","","0.0","20.7","11.5","10.6","4.6","0.0","36.2","11.5","158","98"
"12","12","2018-11-08","23-131","GSW","","MIL","L (-23)","1","23:18","6","8",".750","0","0","","0","1",".000","1","3","4","1","1","0","1","2","12","9.9","-3",".711",".750","5.0","14.4","9.8","7.0","1.9","0.0","10.6","17.0","121","125"
"13","13","2018-11-10","23-133","GSW","","BRK","W (+16)","1","19:08","3","3","1.000","0","0","","2","3",".667","3","3","6","1","0","1","0","2","8","10.3","+12",".926","1.000","21.5","17.9","19.5","6.5","0.0","4.7","0.0","10.6","197","110"
"14","14","2018-11-12","23-135","GSW","@","LAC","L (-5)","1","13:30","0","1",".000","0","0","","0","0","","0","1","1","3","0","1","0","2","0","1.6","-8",".000",".000","0.0","9.6","4.1","26.8","0.0","5.5","0.0","3.2","111","110"
"15","15","2018-11-13","23-136","GSW","","ATL","W (+7)","1","17:37","1","1","1.000","0","0","","0","0","","2","3","5","2","1","1","1","3","2","4.9","+7","1.000","1.000","12.1","18.2","15.1","15.0","2.8","4.8","50.0","4.8","135","101"
"16","16","2018-11-15","23-138","GSW","@","HOU","L (-21)","1","18:29","1","2",".500","0","0","","3","4",".750","3","2","5","0","0","1","1","3","5","4.8","+4",".665",".500","20.0","11.3","15.3","0.0","0.0","6.5","21.0","12.2","126","126"
