"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","31-117","TOR","","CLE","W (+12)","1","32:45","4","9",".444","3","7",".429","0","0","","1","4","5","0","2","2","0","3","11","10.4","+15",".611",".611","3.4","12.0","8.0","0.0","2.9","4.4","0.0","12.0","126","100"
"2","2","2018-10-19","31-119","TOR","","BOS","W (+12)","1","32:28","5","8",".625","4","7",".571","0","0","","1","4","5","3","1","1","1","1","14","14.7","+25",".875",".875","3.3","11.2","7.5","12.5","1.5","2.3","11.1","11.8","158","102"
"3","3","2018-10-20","31-120","TOR","@","WAS","W (+4)","1","30:56","1","9",".111","1","8",".125","2","2","1.000","0","3","3","0","1","0","0","5","5","-1.0","+2",".253",".167","0.0","9.9","5.2","0.0","1.5","0.0","0.0","12.7","66","113"
"4","4","2018-10-22","31-122","TOR","","CHO","W (+21)","1","26:24","6","8",".750","4","6",".667","0","0","","0","6","6","2","1","2","1","2","16","16.6","+18","1.000","1.000","0.0","19.8","12.5","9.3","1.8","5.3","11.1","15.4","157","102"
"5","5","2018-10-24","31-124","TOR","","MIN","W (+7)","1","31:27","2","8",".250","2","5",".400","0","0","","0","4","4","3","0","1","1","0","6","4.2","+17",".375",".375","0.0","12.5","6.9","10.7","0.0","2.3","11.1","12.5","89","114"
"6","6","2018-10-26","31-126","TOR","","DAL","W (+9)","1","30:18","4","8",".500","4","7",".571","3","3","1.000","2","6","8","0","1","1","0","3","15","14.7","+4",".805",".750","6.9","19.8","13.5","0.0","1.6","2.6","0.0","13.2","171","105"
"7","7","2018-10-29","31-129","TOR","@","MIL","L (-15)","1","29:42","3","6",".500","2","3",".667","0","0","","1","4","5","1","1","0","1","0","8","7.6","-6",".667",".667","2.5","14.7","7.5","4.7","1.5","0.0","14.3","9.0","114","118"
"8","8","2018-10-30","31-130","TOR","","PHI","W (+17)","1","34:58","4","9",".444","2","4",".500","0","0","","1","1","2","4","2","1","2","4","10","8.2","+20",".556",".556","3.5","2.7","3.1","13.2","2.6","2.7","18.2","12.7","107","109"
"9","9","2018-11-02","31-133","TOR","@","PHO","W (+9)","1","25:51","3","8",".375","2","5",".400","0","0","","0","2","2","0","1","1","2","1","8","3.5","-2",".500",".500","0.0","8.3","4.2","0.0","1.9","2.9","20.0","18.0","71","104"
"10","10","2018-11-04","31-135","TOR","@","LAL","W (+14)","1","25:57","5","8",".625","5","8",".625","0","0","","1","2","3","3","0","2","1","3","15","14.0","+22",".938",".938","4.1","8.8","6.4","14.0","0.0","6.1","11.1","14.3","161","104"
"11","11","2018-11-05","31-136","TOR","@","UTA","W (+13)","1","22:04","3","5",".600","1","3",".333","0","0","","0","2","2","0","3","1","0","3","7","7.8","+6",".700",".700","0.0","9.1","5.2","0.0","6.6","4.0","0.0","10.2","140","101"
"12","12","2018-11-07","31-138","TOR","@","SAC","W (+9)","1","31:07","2","10",".200","2","8",".250","0","0","","1","4","5","2","1","0","5","1","6","-1.3","+11",".300",".300","4.1","13.4","9.2","8.1","1.5","0.0","33.3","19.4","56","105"
"13","13","2018-11-10","31-141","TOR","","NYK","W (+16)","1","21:07","3","7",".429","3","7",".429","0","0","","2","1","3","0","3","0","4","1","9","5.6","+2",".643",".643","10.6","4.5","7.3","0.0","6.8","0.0","36.4","22.4","84","105"
"14","14","2018-11-12","31-143","TOR","","NOP","L (-16)","1","22:44","1","4",".250","1","4",".250","0","0","","1","2","3","0","1","0","1","5","3","-0.1","-2",".375",".375","4.0","9.6","6.5","0.0","2.1","0.0","20.0","9.0","72","125"
"15","15","2018-11-14","31-145","TOR","","DET","L (-2)","1","20:01","2","4",".500","1","1","1.000","0","0","","0","2","2","1","0","0","0","1","5","3.9","+11",".625",".625","0.0","10.9","5.5","6.0","0.0","0.0","0.0","8.0","136","107"
"16","16","2018-11-16","31-147","TOR","@","BOS","L (-7)","1","30:07","4","10",".400","3","7",".429","0","0","","1","4","5","0","1","1","0","6","11","6.8","+18",".550",".550","3.7","17.2","9.9","0.0","1.6","2.8","0.0","14.3","117","114"
"17","17","2018-11-17","31-148","TOR","@","CHI","W (+39)","1","25:57","7","7","1.000","3","3","1.000","0","0","","1","3","4","3","1","0","1","2","17","17.8","+35","1.214","1.214","5.3","10.5","8.4","15.8","1.7","0.0","12.5","12.6","199","83"
"18","18","2018-11-20","31-151","TOR","@","ORL","W (+2)","1","33:40","5","13",".385","3","9",".333","0","0","","1","2","3","0","1","1","1","0","13","7.9","-4",".500",".500","3.2","5.9","4.6","0.0","1.5","2.6","7.1","18.7","91","98"
"19","19","2018-11-21","31-152","TOR","@","ATL","W (+16)","1","31:53","2","10",".200","2","7",".286","0","0","","1","2","3","1","2","0","2","4","6","0.2","+15",".300",".300","3.9","6.0","5.1","3.3","3.0","0.0","16.7","15.4","68","107"
"20","20","2018-11-23","31-154","TOR","","WAS","W (+18)","1","24:42","3","7",".429","3","7",".429","0","0","","1","2","3","2","0","0","1","4","9","5.4","+15",".643",".643","4.5","7.6","6.2","9.7","0.0","0.0","12.5","13.4","125","113"
"21","21","2018-11-25","31-156","TOR","","MIA","W (+10)","1","29:13","2","6",".333","0","4",".000","0","0","","1","0","1","1","0","0","1","3","4","-0.2","+19",".333",".333","4.1","0.0","1.8","3.8","0.0","0.0","14.3","10.5","78","130"
"22","22","2018-11-27","31-158","TOR","@","MEM","W (+8)","1","27:45","5","9",".556","4","8",".500","0","0","","0","4","4","0","0","1","1","0","14","10.6","+6",".778",".778","0.0","18.2","10.5","0.0","0.0","3.1","10.0","18.0","124","124"
"23","23","2018-11-29","31-160","TOR","","GSW","W (+3)","1","38:31","5","10",".500","3","6",".500","0","0","","3","2","5","3","1","2","0","4","13","13.6","+16",".650",".650","11.5","5.9","8.3","10.3","1.3","3.8","0.0","12.0","150","123"
"24","24","2018-12-01","31-162","TOR","@","CLE","W (+11)","1","31:37","6","9",".667","3","5",".600","0","0","","2","5","7","0","0","2","1","2","15","13.6","+24",".833",".833","7.8","16.2","12.4","0.0","0.0","4.6","10.0","15.0","149","101"
"25","25","2018-12-03","31-164","TOR","","DEN","L (-3)","1","31:10","3","9",".333","3","7",".429","0","0","","1","2","3","0","2","0","0","2","9","6.4","+5",".500",".500","3.8","6.3","5.1","0.0","3.0","0.0","0.0","12.7","101","106"
"26","26","2018-12-05","31-166","TOR","","PHI","W (+11)","1","32:05","2","9",".222","1","6",".167","0","0","","2","3","5","3","0","1","2","1","5","2.2","+5",".278",".278","5.4","9.5","7.3","11.2","0.0","2.8","18.2","13.6","71","106"
"27","27","2018-12-07","31-168","TOR","@","BRK","L (-1)","1","34:03","1","2",".500","0","1",".000","0","0","","0","4","4","2","0","0","0","2","2","2.8","+8",".500",".500","0.0","12.2","6.2","9.3","0.0","0.0","0.0","2.7","123","106"
"28","28","2018-12-09","31-170","TOR","","MIL","L (-5)","1","33:55","3","7",".429","2","4",".500","0","0","","1","4","5","4","1","3","2","5","8","8.1","+7",".571",".571","3.0","13.2","7.9","16.3","1.5","8.8","22.2","11.8","106","108"
"29","29","2018-12-11","31-172","TOR","@","LAC","W (+24)","1","27:45","4","7",".571","0","2",".000","1","2",".500","2","3","5","0","0","1","0","3","9","7.1","+34",".571",".571","8.2","11.5","9.9","0.0","0.0","2.8","0.0","12.6","127","108"
"30","30","2018-12-12","31-173","TOR","@","GSW","W (+20)","1","31:29","6","11",".545","1","5",".200","2","2","1.000","0","4","4","5","0","0","0","1","15","14.0","+12",".631",".591","0.0","14.2","6.9","21.9","0.0","0.0","0.0","16.4","140","100"
"31","31","2018-12-14","31-175","TOR","@","POR","L (-6)","1","35:57","6","10",".600","5","7",".714","2","2","1.000","2","10","12","0","0","2","1","4","19","17.6","+2",".873",".850","8.3","31.1","21.4","0.0","0.0","4.0","8.4","15.4","160","128"
"32","32","2018-12-16","31-177","TOR","@","DEN","L (-9)","1","38:10","3","9",".333","1","4",".250","0","0","","2","3","5","0","1","0","0","1","7","4.8","-2",".389",".389","5.4","7.9","6.6","0.0","1.4","0.0","0.0","10.8","96","110"
"33","33","2018-12-19","31-180","TOR","","IND","W (+3)","1","28:00","2","8",".250","1","6",".167","2","2","1.000","1","1","2","1","2","1","1","3","7","4.4","+6",".394",".313","3.4","4.2","3.7","5.0","3.5","2.9","10.1","15.2","84","101"
"35","34","2018-12-22","31-183","TOR","@","PHI","L (-25)","1","24:37","3","12",".250","1","5",".200","2","2","1.000","0","3","3","0","0","0","3","3","9","-1.5","-7",".349",".292","0.0","15.8","6.2","0.0","0.0","0.0","18.9","26.2","57","121"
