"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","28-210","NOP","@","HOU","W (+19)","0","19:56","0","2",".000","0","1",".000","0","0","","0","0","0","1","1","0","2","2","0","-2.5","-5",".000",".000","0.0","0.0","0.0","4.6","2.3","0.0","50.0","8.0","17","112"
"2","2","2018-10-19","28-212","NOP","","SAC","W (+20)","0","22:45","3","7",".429","3","7",".429","1","1","1.000","0","1","1","2","0","0","1","3","10","5.8","+9",".672",".643","0.0","4.3","2.3","8.5","0.0","0.0","11.8","14.2","128","121"
"3","3","2018-10-23","28-216","NOP","","LAC","W (+7)","0","13:07","1","2",".500","0","1",".000","0","0","","0","0","0","1","0","0","0","0","2","1.7","-1",".500",".500","0.0","0.0","0.0","10.1","0.0","0.0","0.0","6.2","117","115"
"4","4","2018-10-26","28-219","NOP","","BRK","W (+2)","0","4:26","1","3",".333","1","2",".500","0","0","","0","1","1","2","0","0","0","1","3","2.6","+1",".500",".500","0.0","23.0","10.8","65.3","0.0","0.0","0.0","27.0","134","115"
"9","5","2018-11-03","28-227","NOP","@","SAS","L (-14)","0","14:04","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","4","0","-1.3","-13",".000",".000","0.0","6.8","3.7","9.5","0.0","0.0","0.0","3.2","49","114"
"10","6","2018-11-05","28-229","NOP","@","OKC","L (-6)","0","17:01","3","4",".750","3","4",".750","0","0","","1","0","1","1","0","0","2","4","9","5.2","+1","1.125","1.125","6.6","0.0","3.3","8.7","0.0","0.0","33.3","14.4","125","123"
"11","7","2018-11-07","28-231","NOP","","CHI","W (+9)","0","19:58","4","6",".667","3","4",".750","0","0","","0","1","1","1","1","0","0","1","11","10.0","-4",".917",".917","0.0","4.7","2.4","7.4","2.3","0.0","0.0","12.4","166","97"
"12","8","2018-11-10","28-234","NOP","","PHO","W (+20)","0","21:48","3","5",".600","3","5",".600","0","0","","0","0","0","1","2","0","0","4","9","7.8","+8",".900",".900","0.0","0.0","0.0","6.2","4.5","0.0","0.0","9.4","185","102"
"13","9","2018-11-12","28-236","NOP","@","TOR","W (+16)","0","22:27","2","8",".250","2","7",".286","0","0","","0","3","3","1","0","1","2","1","6","1.1","+6",".375",".375","0.0","12.1","6.6","4.3","0.0","4.1","20.0","18.2","70","110"
"14","10","2018-11-14","28-238","NOP","@","MIN","L (-7)","0","18:19","0","1",".000","0","1",".000","0","0","","0","1","1","1","1","0","1","0","0","0.3","-16",".000",".000","0.0","5.6","2.8","6.6","2.5","0.0","50.0","4.4","25","106"
"15","11","2018-11-16","28-240","NOP","","NYK","W (+5)","0","29:40","1","6",".167","1","6",".167","0","0","","1","5","6","5","0","1","0","0","3","5.6","+25",".250",".250","3.8","14.7","9.9","17.4","0.0","2.5","0.0","7.6","101","114"
"16","12","2018-11-17","28-241","NOP","","DEN","W (+10)","0","23:12","1","3",".333","1","3",".333","0","0","","0","0","0","0","0","2","1","2","3","0.9","+3",".500",".500","0.0","0.0","0.0","0.0","0.0","7.4","25.0","7.3","70","117"
