"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","29-296","HOU","","NOP","L (-19)","0","29:21","7","14",".500","2","9",".222","5","5","1.000","0","3","3","1","0","0","0","0","21","15.6","-11",".648",".571","0.0","11.4","5.4","5.9","0.0","0.0","0.0","23.3","133","133"
"2","2","2018-10-20","29-299","HOU","@","LAL","W (+9)","0","31:37","4","13",".308","0","4",".000","1","1","1.000","0","1","1","1","0","2","1","1","9","2.5","+18",".335",".308","0.0","3.0","1.5","4.0","0.0","4.5","6.9","17.5","73","109"
"3","3","2018-10-21","29-300","HOU","@","LAC","L (-3)","1","32:55","7","18",".389","5","8",".625","2","2","1.000","1","4","5","2","1","0","0","1","21","15.1","+3",".556",".528","3.4","14.2","8.7","8.9","1.5","0.0","0.0","25.6","114","118"
"4","4","2018-10-24","29-303","HOU","","UTA","L (-11)","1","39:43","5","21",".238","1","12",".083","0","0","","2","2","4","3","0","1","1","3","11","0.9","-18",".262",".262","5.0","7.1","5.9","12.5","0.0","2.5","4.5","24.6","66","113"
"5","5","2018-10-26","29-305","HOU","","LAC","L (-20)","1","33:12","3","14",".214","1","6",".167","3","3","1.000","0","4","4","1","1","2","3","2","10","1.9","-16",".326",".250","0.0","18.7","6.7","4.3","1.4","5.2","16.4","21.7","64","129"
"6","6","2018-10-30","29-309","HOU","","POR","L (-19)","1","31:26","4","18",".222","2","8",".250","2","4",".500","2","4","6","1","0","0","0","5","12","1.5","-16",".304",".278","4.8","17.0","9.2","6.1","0.0","0.0","0.0","25.8","77","114"
"7","7","2018-11-02","29-312","HOU","@","BRK","W (+8)","1","34:36","6","14",".429","2","8",".250","7","7","1.000","0","1","1","3","0","0","4","1","21","11.6","+7",".615",".500","0.0","3.6","1.8","12.7","0.0","0.0","19.0","27.6","110","128"
"11","8","2018-11-10","29-320","HOU","@","SAS","L (-7)","0","30:12","10","26",".385","3","14",".214","0","0","","1","3","4","2","2","0","0","2","23","13.0","+7",".442",".442","3.0","11.4","6.7","22.5","3.5","0.0","0.0","37.3","102","105"
"12","9","2018-11-11","29-321","HOU","","IND","W (+12)","0","31:03","3","14",".214","2","9",".222","1","2",".500","0","4","4","0","0","1","2","4","9","-1.7","+3",".302",".286","0.0","17.7","8.5","0.0","0.0","3.2","11.8","25.3","57","111"
"13","10","2018-11-13","29-323","HOU","@","DEN","W (+10)","0","33:10","3","9",".333","2","7",".286","3","5",".600","0","0","0","2","0","1","2","1","11","4.8","0",".491",".444","0.0","0.0","0.0","8.4","0.0","2.8","15.2","19.8","93","117"
