"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","29-356","POR","","LAL","W (+9)","0","21:13","5","8",".625","0","0","","3","4",".750","1","2","3","6","2","0","3","2","13","12.7","+17",".666",".625","4.4","9.4","6.8","41.5","4.1","0.0","23.5","22.4","121","106"
"2","2","2018-10-20","29-358","POR","","SAS","W (+13)","0","24:32","4","8",".500","0","0","","0","0","","0","4","4","5","1","0","2","1","8","7.3","+9",".500",".500","0.0","14.8","9.1","26.3","2.1","0.0","20.0","18.7","105","114"
"3","3","2018-10-22","29-360","POR","","WAS","L (-1)","0","20:05","5","10",".500","0","1",".000","0","0","","1","6","7","3","0","0","2","3","10","6.4","+6",".500",".500","4.5","24.4","14.9","26.6","0.0","0.0","16.7","22.5","97","106"
"4","4","2018-10-25","29-363","POR","@","ORL","W (+14)","0","27:59","4","5",".800","0","0","","0","0","","0","0","0","7","1","1","2","2","8","9.9","0",".800",".800","0.0","0.0","0.0","29.2","1.8","3.1","28.6","11.1","137","121"
"5","5","2018-10-27","30-000","POR","@","MIA","L (-9)","0","25:12","3","10",".300","0","2",".000","2","2","1.000","0","4","4","3","2","2","2","4","8","5.3","-12",".368",".300","0.0","15.2","7.8","18.3","3.8","6.7","15.5","22.4","75","112"
"6","6","2018-10-29","30-002","POR","@","IND","W (+10)","0","25:44","6","9",".667","1","1","1.000","0","1",".000","1","7","8","3","1","0","1","4","13","12.0","+23",".689",".722","5.0","27.2","17.6","20.9","2.0","0.0","9.6","18.7","134","93"
"7","7","2018-10-30","30-003","POR","@","HOU","W (+19)","0","25:53","2","6",".333","0","1",".000","1","2",".500","0","7","7","2","1","0","3","3","5","1.5","-5",".363",".333","0.0","20.3","13.0","10.8","1.9","0.0","30.4","17.1","61","82"
"8","8","2018-11-01","30-005","POR","","NOP","W (+13)","0","26:57","5","11",".455","0","2",".000","4","4","1.000","0","8","8","7","1","0","2","1","14","14.2","+11",".549",".455","0.0","27.4","15.8","35.5","1.7","0.0","13.6","22.9","120","108"
"9","9","2018-11-03","30-007","POR","","LAL","L (-4)","0","23:43","4","7",".571","1","2",".500","2","4",".500","0","3","3","3","0","0","3","2","11","6.1","-9",".628",".643","0.0","14.1","6.1","16.9","0.0","0.0","25.5","18.6","99","111"
"10","10","2018-11-04","30-008","POR","","MIN","W (+30)","0","22:04","3","7",".429","0","2",".000","2","4",".500","0","5","5","2","0","0","2","3","8","3.2","+23",".457",".429","0.0","17.5","10.5","13.8","0.0","0.0","18.6","20.2","90","86"
"11","11","2018-11-06","30-010","POR","","MIL","W (+15)","0","31:32","7","12",".583","2","5",".400","0","0","","1","10","11","4","1","0","0","2","16","17.1","+21",".667",".667","3.7","29.3","18.0","16.3","1.6","0.0","0.0","17.1","152","105"
"12","12","2018-11-08","30-012","POR","","LAC","W (+11)","0","29:27","3","7",".429","0","1",".000","1","2",".500","0","1","1","7","1","1","0","1","7","9.4","+10",".444",".429","0.0","3.5","1.7","32.5","1.7","2.5","0.0","11.1","125","110"
"13","13","2018-11-11","30-015","POR","","BOS","W (+6)","0","27:09","2","8",".250","0","3",".000","0","0","","1","4","5","2","0","0","4","2","4","-2.3","-4",".250",".250","3.8","13.9","9.1","10.0","0.0","0.0","33.3","19.0","50","102"
"14","14","2018-11-14","30-018","POR","@","LAL","L (-9)","0","27:28","3","9",".333","0","1",".000","0","0","","1","6","7","6","0","1","1","1","6","6.9","-21",".333",".333","3.6","22.3","12.9","29.3","0.0","2.9","10.0","14.9","95","123"
"15","15","2018-11-16","30-020","POR","@","MIN","L (-16)","0","21:07","0","3",".000","0","1",".000","0","0","","0","1","1","4","2","0","2","3","0","-0.2","-11",".000",".000","0.0","4.9","2.5","24.6","4.6","0.0","40.0","9.9","39","107"
