"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","28-207","BOS","","PHI","W (+18)","1","24:37","4","12",".333","1","3",".333","1","2",".500","2","3","5","0","4","0","0","1","10","8.7","+10",".388",".375","7.4","11.9","9.6","0.0","7.5","0.0","0.0","21.4","90","74"
"2","2","2018-10-19","28-210","BOS","@","TOR","L (-12)","1","24:17","6","13",".462","1","3",".333","1","1","1.000","2","5","7","2","1","0","1","0","14","11.6","-11",".521",".500","7.5","22.0","14.1","14.0","2.0","0.0","6.9","24.3","110","113"
"4","3","2018-10-22","28-213","BOS","","ORL","L (-3)","1","24:56","4","8",".500","3","5",".600","0","0","","0","4","4","3","1","0","2","3","11","8.1","-1",".688",".688","0.0","15.4","7.7","19.7","2.0","0.0","20.0","18.0","109","96"
"5","4","2018-10-25","28-216","BOS","@","OKC","W (+6)","1","23:41","1","5",".200","1","4",".250","2","4",".500","0","7","7","1","0","0","2","3","5","0.7","-13",".370",".300","0.0","27.8","13.9","6.5","0.0","0.0","22.8","15.9","63","92"
"6","5","2018-10-27","28-218","BOS","@","DET","W (+20)","1","23:41","6","11",".545","2","5",".400","1","3",".333","0","5","5","1","1","0","3","3","15","7.9","+18",".609",".636","0.0","19.5","10.0","7.6","2.0","0.0","19.6","28.2","89","88"
"7","6","2018-10-30","28-221","BOS","","DET","W (+3)","1","25:53","3","10",".300","0","2",".000","0","0","","1","3","4","3","0","0","1","0","6","2.9","-1",".300",".300","3.9","11.4","7.7","17.7","0.0","0.0","9.1","18.2","73","108"
"8","7","2018-11-01","28-223","BOS","","MIL","W (+4)","1","26:38","6","11",".545","3","5",".600","3","3","1.000","2","2","4","5","0","1","1","1","18","17.5","+4",".731",".682","8.0","8.6","8.3","29.9","0.0","3.2","7.5","21.9","150","115"
"9","8","2018-11-03","28-225","BOS","@","IND","L (-1)","1","25:42","2","10",".200","0","5",".000","0","0","","2","5","7","3","1","2","1","3","4","3.0","-9",".200",".200","7.9","21.7","14.5","16.4","1.9","6.9","9.1","19.4","67","100"
"10","9","2018-11-05","28-227","BOS","@","DEN","L (-8)","1","25:52","3","7",".429","0","2",".000","2","2","1.000","1","8","9","2","0","0","1","2","8","7.0","+4",".508",".429","4.8","30.9","19.2","9.7","0.0","0.0","11.3","15.8","106","118"
"11","10","2018-11-08","28-230","BOS","@","PHO","W (+7)","1","24:54","3","8",".375","2","5",".400","0","0","","0","4","4","2","0","0","0","1","8","5.8","0",".500",".500","0.0","19.8","8.7","13.1","0.0","0.0","0.0","13.4","120","105"
"12","11","2018-11-09","28-231","BOS","@","UTA","L (-8)","1","25:40","3","9",".333","1","5",".200","6","6","1.000","0","1","1","7","1","0","1","3","13","11.9","-8",".558",".389","0.0","6.0","2.6","39.2","1.9","0.0","7.9","22.4","125","130"
"13","12","2018-11-11","28-233","BOS","@","POR","L (-6)","1","31:04","3","7",".429","1","3",".333","0","0","","1","8","9","5","1","0","1","1","7","9.5","-5",".500",".500","3.0","26.9","14.3","24.6","1.6","0.0","12.5","11.3","114","102"
"14","13","2018-11-14","28-236","BOS","","CHI","W (+29)","1","28:44","4","12",".333","1","4",".250","2","3",".667","2","2","4","4","3","0","1","1","11","10.2","+24",".413",".375","7.0","6.7","6.8","18.9","5.0","0.0","7.0","21.9","98","79"
"15","14","2018-11-16","28-238","BOS","","TOR","W (+7)","1","39:03","4","8",".500","1","4",".250","6","6","1.000","1","4","5","5","4","0","2","3","15","17.2","+18",".705",".563","3.3","11.3","7.6","16.3","5.1","0.0","15.8","14.6","136","103"
"16","15","2018-11-17","28-239","BOS","","UTA","L (-12)","1","26:04","3","7",".429","0","2",".000","1","1","1.000","1","3","4","3","2","0","3","0","7","6.0","-11",".470",".429","3.3","13.5","7.6","18.7","3.9","0.0","28.7","16.9","81","102"
"17","16","2018-11-19","28-241","BOS","@","CHO","L (-5)","0","30:49","1","6",".167","0","3",".000","2","2","1.000","2","6","8","4","2","0","2","0","4","6.2","-2",".291",".167","7.1","22.8","14.7","14.3","3.1","0.0","22.5","12.7","81","114"
"18","17","2018-11-21","28-243","BOS","","NYK","L (-8)","0","31:35","6","14",".429","2","7",".286","5","5","1.000","0","7","7","3","2","0","1","1","19","16.4","+10",".586",".500","0.0","24.2","10.7","15.8","3.0","0.0","5.8","22.0","120","113"
"19","18","2018-11-23","28-245","BOS","@","ATL","W (+18)","0","22:03","4","7",".571","1","3",".333","2","2","1.000","0","5","5","4","0","2","1","2","11","11.6","+20",".698",".643","0.0","26.5","13.1","26.2","0.0","9.5","11.3","16.6","133","89"
