"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-16","20-077","OKC","@","GSW","L (-8)","0","8:37","2","4",".500","0","0","","0","1",".000","0","1","1","1","1","0","0","2","4","2.8","+5",".450",".500","0.0","12.1","5.4","25.5","5.4","0.0","0.0","20.4","99","100"
"2","2","2018-10-19","20-080","OKC","@","LAC","L (-16)","0","8:32","0","1",".000","0","0","","3","4",".750","2","1","3","0","0","0","0","3","3","2.4","+1",".543",".000","21.2","12.0","16.9","0.0","0.0","0.0","0.0","13.3","142","113"
"3","3","2018-10-21","20-082","OKC","","SAC","L (-11)","0","21:05","5","7",".714","1","2",".500","0","0","","1","0","1","2","2","0","1","3","11","10.0","0",".786",".786","4.4","0.0","2.3","13.2","4.1","0.0","12.5","13.5","144","120"
"4","4","2018-10-25","20-086","OKC","","BOS","L (-6)","0","19:34","3","7",".429","0","0","","0","0","","2","3","5","0","1","3","1","1","6","6.3","+3",".429",".429","9.6","14.4","12.0","0.0","2.5","13.6","12.5","16.2","88","91"
"6","5","2018-10-30","20-091","OKC","","LAC","W (+18)","0","10:49","1","5",".200","0","1",".000","2","2","1.000","1","2","3","0","1","0","1","3","4","1.0","-4",".340",".200","10.8","23.4","16.9","0.0","4.0","0.0","14.5","24.8","74","98"
"7","6","2018-11-01","20-093","OKC","@","CHO","W (+4)","0","10:46","3","4",".750","0","1",".000","0","0","","2","0","2","0","0","0","0","1","6","5.4","0",".750",".750","16.5","0.0","8.9","0.0","0.0","0.0","0.0","15.0","160","116"
"8","7","2018-11-02","20-094","OKC","@","WAS","W (+23)","0","18:43","2","5",".400","0","1",".000","3","4",".750","1","3","4","0","1","0","0","0","7","6.5","+8",".518",".400","8.3","20.8","15.1","0.0","2.5","0.0","0.0","15.7","121","110"
"9","8","2018-11-05","20-097","OKC","","NOP","W (+6)","0","10:48","2","4",".500","0","1",".000","0","1",".000","0","0","0","0","2","0","0","2","4","2.8","+2",".450",".500","0.0","0.0","0.0","0.0","8.4","0.0","0.0","16.6","88","102"
"10","9","2018-11-07","20-099","OKC","@","CLE","W (+9)","0","13:09","3","7",".429","0","2",".000","2","2","1.000","0","3","3","0","1","0","1","4","8","3.6","-8",".508",".429","0.0","22.3","11.5","0.0","3.7","0.0","11.3","30.2","92","85"
"11","10","2018-11-08","20-100","OKC","","HOU","W (+18)","0","11:42","2","4",".500","0","1",".000","1","2",".500","2","2","4","0","0","0","1","1","5","3.2","-15",".512",".500","20.5","16.1","18.0","0.0","0.0","0.0","17.0","22.9","101","95"
"12","11","2018-11-10","20-102","OKC","@","DAL","L (-15)","0","7:19","0","3",".000","0","0","","0","0","","2","0","2","1","0","0","0","1","0","-0.4","-13",".000",".000","21.9","0.0","14.4","17.3","0.0","0.0","0.0","16.3","54","124"
"13","12","2018-11-12","20-104","OKC","","PHO","W (+17)","0","13:59","3","7",".429","0","1",".000","3","3","1.000","0","1","1","0","1","0","2","2","9","3.8","-6",".541",".429","0.0","8.6","4.3","0.0","3.6","0.0","19.4","31.1","92","106"
"14","13","2018-11-14","20-106","OKC","","NYK","W (+25)","0","19:26","5","11",".455","1","1","1.000","0","0","","2","2","4","0","2","0","0","2","11","8.5","+4",".500",".500","12.3","11.5","11.9","0.0","4.8","0.0","0.0","23.4","117","98"
"15","14","2018-11-17","20-109","OKC","@","PHO","W (+10)","1","19:10","0","1",".000","0","0","","1","2",".500","2","2","4","1","0","0","0","0","1","2.6","+7",".266",".000","12.2","11.9","12.1","6.6","0.0","0.0","0.0","4.0","120","108"
