"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","31-347","WAS","","MIA","L (-1)","1","11:38","1","2",".500","0","0","","1","2",".500","1","0","1","0","1","2","1","4","3","2.1","+3",".521",".500","10.3","0.0","4.3","0.0","4.0","13.3","25.8","14.3","90","109"
"2","2","2018-10-20","31-349","WAS","","TOR","L (-4)","1","17:29","0","3",".000","0","0","","2","4",".500","4","2","6","1","1","1","0","4","2","3.3","+1",".210",".000","23.4","13.1","18.5","7.4","2.7","4.7","0.0","11.5","100","113"
"3","3","2018-10-22","31-351","WAS","@","POR","W (+1)","1","4:00","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","2","0","-0.8","+1",".000",".000","0.0","0.0","0.0","28.8","0.0","0.0","0.0","10.1","51","114"
"5","4","2018-10-26","31-355","WAS","@","SAC","L (-4)","1","18:49","1","2",".500","0","1",".000","2","4",".500","0","5","5","1","2","0","1","3","4","4.2","-4",".532",".500","0.0","25.0","13.4","6.8","4.7","0.0","21.0","10.4","93","97"
"6","5","2018-10-28","31-357","WAS","@","LAC","L (-32)","1","28:53","3","5",".600","0","0","","5","6",".833","3","4","7","0","0","0","2","4","11","8.0","-24",".720",".600","8.7","14.8","11.4","0.0","0.0","0.0","20.7","13.0","124","131"
"7","6","2018-10-30","31-359","WAS","@","MEM","L (-12)","1","20:12","2","3",".667","0","0","","3","4",".750","1","5","6","0","0","0","0","4","7","5.9","-19",".735",".667","6.4","31.3","19.0","0.0","0.0","0.0","0.0","11.0","156","116"
"8","7","2018-11-02","31-362","WAS","","OKC","L (-23)","0","5:18","1","2",".500","0","0","","0","0","","1","1","2","0","0","0","1","2","2","0.2","-12",".500",".500","24.5","29.2","26.6","0.0","0.0","0.0","33.3","24.3","79","133"
"12","8","2018-11-10","32-005","WAS","@","MIA","W (+6)","0","13:42","1","1","1.000","0","0","","4","6",".667","1","1","2","0","0","1","1","1","6","5.2","+8",".824","1.000","8.8","7.6","8.1","0.0","0.0","6.4","21.6","14.2","135","115"
"13","9","2018-11-12","32-007","WAS","","ORL","W (+8)","0","7:06","0","1",".000","0","0","","0","0","","1","0","1","0","0","1","0","0","0","0.7","+8",".000",".000","20.5","0.0","9.0","0.0","0.0","11.5","0.0","6.5","77","114"
"14","10","2018-11-14","32-009","WAS","","CLE","W (+24)","0","24:03","2","3",".667","1","2",".500","4","6",".667","4","3","7","2","2","0","0","4","9","12.4","+24",".798",".833","17.7","14.6","16.2","10.0","3.8","0.0","0.0","9.3","181","91"
