"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-149","PHO","","DAL","W (+21)","1","33:34","3","10",".300","2","5",".400","0","0","","0","6","6","7","0","0","1","4","8","6.3","+7",".400",".400","0.0","17.9","10.5","25.2","0.0","0.0","9.1","15.9","106","110"
"2","2","2018-10-20","27-152","PHO","@","DEN","L (-28)","1","29:55","5","8",".625","3","5",".600","2","3",".667","2","2","4","2","1","0","2","3","15","12.2","-10",".805",".813","5.8","8.2","6.8","15.3","1.6","0.0","17.7","16.3","128","117"
"3","3","2018-10-22","27-154","PHO","@","GSW","L (-20)","1","26:18","3","8",".375","1","6",".167","0","0","","1","0","1","2","2","0","3","1","7","3.3","-25",".438",".438","4.1","0.0","2.1","10.9","3.6","0.0","27.3","17.5","75","118"
"4","4","2018-10-24","27-156","PHO","","LAL","L (-18)","1","28:02","2","8",".250","0","4",".000","0","0","","0","5","5","2","0","0","3","2","4","-1.7","-5",".250",".250","0.0","18.6","9.8","8.4","0.0","0.0","27.3","16.8","48","128"
"5","5","2018-10-27","27-159","PHO","@","MEM","L (-21)","1","29:57","4","6",".667","0","2",".000","3","3","1.000","0","4","4","4","0","0","3","3","11","8.2","-15",".751",".667","0.0","19.4","8.7","21.7","0.0","0.0","29.1","15.7","111","123"
"6","6","2018-10-28","27-160","PHO","@","OKC","L (-7)","1","5:37","0","2",".000","0","0","","0","0","","0","1","1","2","1","0","0","1","0","0.9","+2",".000",".000","0.0","19.9","9.8","45.0","8.1","0.0","0.0","14.3","52","97"
"8","7","2018-11-02","27-165","PHO","","TOR","L (-9)","1","32:04","8","12",".667","2","4",".500","1","1","1.000","0","1","1","2","0","0","1","3","19","13.3","+1",".764",".750","0.0","3.5","1.7","10.7","0.0","0.0","7.4","17.7","144","114"
"9","8","2018-11-04","27-167","PHO","","MEM","W (+2)","1","30:40","4","7",".571","3","5",".600","2","3",".667","0","2","2","2","0","0","2","5","13","7.3","+10",".781",".786","0.0","7.6","4.7","11.7","0.0","0.0","19.4","16.2","120","115"
"10","9","2018-11-06","27-169","PHO","","BRK","L (-22)","1","36:02","3","8",".375","2","4",".500","5","6",".833","0","3","3","4","1","0","3","3","13","8.7","-13",".611",".500","0.0","7.5","4.0","22.2","1.4","0.0","22.0","16.5","104","109"
"11","10","2018-11-08","27-171","PHO","","BOS","L (-7)","1","41:54","3","14",".214","1","8",".125","0","0","","0","5","5","6","2","0","1","4","7","3.5","-9",".250",".250","0.0","11.5","6.5","20.4","2.3","0.0","6.7","16.3","65","109"
"12","11","2018-11-10","27-173","PHO","@","NOP","L (-20)","1","26:08","2","7",".286","1","3",".333","0","0","","1","2","3","6","1","0","2","2","5","4.6","-24",".357",".357","3.8","8.5","6.1","35.2","1.9","0.0","22.2","15.2","88","125"
