"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-18","23-217","CHI","@","PHI","L (-19)","0","25:12","7","16",".438","1","4",".250","0","0","","1","4","5","1","1","0","2","3","15","7.0","-14",".469",".469","3.9","16.9","10.1","6.2","1.8","0.0","11.1","29.0","82","117"
"2","2","2018-10-20","23-219","CHI","","DET","L (-2)","0","23:42","5","13",".385","2","3",".667","1","2",".500","2","4","6","1","0","0","0","3","13","7.6","-7",".468",".462","11.3","15.0","13.5","6.0","0.0","0.0","0.0","25.7","103","121"
"3","3","2018-10-22","23-221","CHI","@","DAL","L (-6)","0","24:02","8","14",".571","2","3",".667","2","3",".667","2","1","3","1","1","0","1","2","20","14.6","-11",".653",".643","11.4","5.0","8.0","8.0","2.0","0.0","6.1","30.1","129","120"
"4","4","2018-10-24","23-223","CHI","","CHO","W (+2)","0","30:40","3","7",".429","0","2",".000","5","5","1.000","0","9","9","4","2","0","3","0","11","11.8","+9",".598",".429","0.0","32.0","17.4","19.4","3.3","0.0","24.6","17.9","106","110"
"5","5","2018-10-26","23-225","CHI","@","CHO","L (-29)","0","25:41","7","14",".500","2","5",".400","3","3","1.000","2","0","2","1","0","1","3","1","19","11.4","-18",".620",".571","8.0","0.0","4.4","7.8","0.0","3.1","16.4","31.8","106","144"
"6","6","2018-10-27","23-226","CHI","@","ATL","W (+12)","0","34:06","7","16",".438","3","6",".500","1","2",".500","2","6","8","3","1","2","3","1","18","13.5","+8",".533",".531","6.3","15.4","11.3","16.2","1.4","6.4","15.1","25.4","95","85"
"7","7","2018-10-29","23-228","CHI","","GSW","L (-25)","0","26:22","7","15",".467","0","3",".000","1","5",".200","2","7","9","5","1","1","1","0","15","13.4","-1",".436",".467","6.9","31.9","17.6","27.4","1.7","3.6","5.5","28.1","101","137"
"8","8","2018-10-31","23-230","CHI","","DEN","L (-1)","1","35:36","3","10",".300","0","4",".000","0","1",".000","0","9","9","0","0","0","1","4","6","-0.1","-3",".287",".300","0.0","26.8","13.5","0.0","0.0","0.0","8.7","15.1","53","105"
"9","9","2018-11-02","23-232","CHI","","IND","L (-2)","1","29:48","5","12",".417","0","1",".000","1","1","1.000","1","6","7","2","0","0","4","0","11","4.5","-6",".442",".417","3.7","23.6","13.3","9.5","0.0","0.0","24.3","24.8","74","115"
"10","10","2018-11-03","23-233","CHI","","HOU","L (-8)","1","40:23","6","12",".500","1","3",".333","2","2","1.000","0","3","3","0","1","0","7","2","15","3.1","+3",".582",".542","0.0","8.3","4.3","0.0","1.2","0.0","35.2","23.2","69","106"
"11","11","2018-11-05","23-235","CHI","@","NYK","W (+1)","1","42:25","7","15",".467","0","2",".000","1","1","1.000","1","7","8","2","0","1","4","2","15","7.4","+6",".486",".467","2.6","16.5","9.9","8.2","0.0","1.7","20.6","20.9","85","106"
"12","12","2018-11-07","23-237","CHI","@","NOP","L (-9)","1","35:56","7","14",".500","0","3",".000","6","8",".750","0","13","13","3","0","0","2","3","20","15.0","-11",".571",".500","0.0","34.7","17.2","14.0","0.0","0.0","10.2","22.8","108","103"
"13","13","2018-11-10","23-240","CHI","","CLE","W (+1)","1","30:14","5","13",".385","0","2",".000","3","4",".750","1","4","5","3","0","1","2","3","13","7.0","-9",".440",".385","3.7","13.2","8.7","15.3","0.0","2.3","11.9","26.0","88","107"
"14","14","2018-11-12","23-242","CHI","","DAL","L (-5)","1","29:30","6","17",".353","0","4",".000","4","4","1.000","2","4","6","2","0","0","1","6","16","7.1","-1",".426",".353","6.5","14.8","10.4","12.9","0.0","0.0","5.1","27.8","92","105"
"15","15","2018-11-14","23-244","CHI","@","BOS","L (-29)","1","26:32","6","13",".462","2","4",".500","0","0","","0","5","5","2","0","1","5","1","14","5.5","-16",".538",".538","0.0","18.8","9.2","16.3","0.0","3.2","27.8","29.6","76","111"
"16","16","2018-11-16","23-246","CHI","@","MIL","L (-19)","1","33:45","9","19",".474","3","6",".500","0","0","","0","8","8","3","0","0","4","2","21","11.0","-15",".553",".553","0.0","26.5","12.5","15.1","0.0","0.0","17.4","29.3","89","119"
"17","17","2018-11-17","23-247","CHI","","TOR","L (-39)","1","27:17","5","14",".357","2","4",".500","0","0","","1","5","6","2","2","0","3","3","12","5.6","-25",".429",".429","3.3","25.1","12.0","16.6","3.3","0.0","17.6","25.5","71","111"
"18","18","2018-11-21","23-251","CHI","","PHO","W (+8)","1","39:37","6","10",".600","0","1",".000","8","10",".800","2","11","13","8","2","0","3","2","20","23.1","+14",".694",".600","7.1","32.5","21.0","25.0","2.3","0.0","17.2","19.4","135","107"
"19","19","2018-11-23","23-253","CHI","","MIA","L (-7)","1","38:52","8","18",".444","0","4",".000","7","8",".875","3","7","10","1","1","1","3","4","23","15.2","-1",".534",".444","7.6","17.3","12.5","4.9","1.2","2.3","12.2","25.3","102","100"
"20","20","2018-11-24","23-254","CHI","@","MIN","L (-15)","1","38:30","11","18",".611","3","5",".600","2","4",".500","0","7","7","4","1","1","3","4","27","20.0","-9",".683",".694","0.0","15.9","8.8","27.3","1.2","1.8","13.2","26.4","113","110"
"21","21","2018-11-26","23-256","CHI","","SAS","L (-1)","1","35:34","7","15",".467","2","6",".333","2","3",".667","2","8","10","2","2","0","1","1","18","15.7","+1",".551",".533","6.1","24.0","15.2","8.3","2.7","0.0","5.8","22.1","111","106"
"22","22","2018-11-28","23-258","CHI","@","MIL","L (-3)","1","33:22","9","21",".429","2","6",".333","4","7",".571","2","6","8","5","0","0","3","5","24","13.4","+7",".498",".476","5.9","19.6","12.4","26.6","0.0","0.0","11.1","34.5","98","119"
"23","23","2018-11-30","23-260","CHI","@","DET","L (-19)","1","31:03","6","16",".375","0","4",".000","0","2",".000","3","3","6","0","1","0","2","4","12","2.8","-23",".355",".375","10.1","10.1","10.1","0.0","1.6","0.0","10.6","27.2","68","112"
"24","24","2018-12-01","23-261","CHI","@","HOU","L (-16)","1","32:14","8","15",".533","1","3",".333","4","5",".800","2","10","12","2","1","1","4","2","21","16.0","-12",".610",".567","6.2","37.2","20.3","11.0","1.4","3.5","18.9","28.3","105","116"
"25","25","2018-12-04","23-264","CHI","@","IND","L (-6)","0","29:15","6","12",".500","0","2",".000","0","0","","2","6","8","1","0","0","4","2","12","5.1","-6",".500",".500","6.4","25.9","14.8","6.0","0.0","0.0","25.0","23.0","77","101"
"26","26","2018-12-07","23-267","CHI","","OKC","W (+2)","0","23:23","6","14",".429","0","1",".000","4","5",".800","1","6","7","4","1","0","1","3","16","12.3","-5",".494",".429","4.9","25.7","16.0","26.8","1.9","0.0","5.8","31.5","107","103"
"27","27","2018-12-08","23-268","CHI","","BOS","L (-56)","0","26:41","3","7",".429","0","0","","2","2","1.000","0","3","3","3","0","0","1","2","8","5.5","-29",".508",".429","0.0","12.8","5.9","21.1","0.0","0.0","11.3","15.6","101","147"
