"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"16","1","2018-11-17","21-055","ATL","@","IND","L (-8)","0","12:08","3","6",".500","0","1",".000","6","7",".857","1","1","2","0","0","1","3","1","12","6.9","+14",".661",".500","8.2","8.6","8.4","0.0","0.0","6.9","24.8","40.9","100","96"
"17","2","2018-11-19","21-057","ATL","","LAC","L (-8)","0","20:30","7","10",".700","2","3",".667","2","2","1.000","2","1","3","6","0","0","0","5","18","17.7","-2",".827",".800","8.8","4.7","6.8","49.1","0.0","0.0","0.0","20.7","182","125"
"18","3","2018-11-21","21-059","ATL","","TOR","L (-16)","1","26:45","3","9",".333","0","3",".000","0","0","","1","5","6","4","0","0","2","3","6","2.7","-10",".333",".333","3.6","23.0","12.1","19.6","0.0","0.0","18.2","18.0","76","127"
"19","4","2018-11-23","21-061","ATL","","BOS","L (-18)","1","30:03","7","8",".875","0","0","","2","4",".500","1","6","7","1","0","0","5","4","16","9.0","-11",".820",".875","3.9","22.8","13.5","6.7","0.0","0.0","33.9","20.7","97","112"
"20","5","2018-11-25","21-063","ATL","","CHO","W (+1)","1","30:08","11","16",".688","0","1",".000","1","2",".500","4","7","11","4","0","1","2","4","23","20.6","+16",".681",".688","15.5","26.5","21.1","19.6","0.0","3.4","10.6","26.4","133","122"
"21","6","2018-11-27","21-065","ATL","@","MIA","W (+2)","1","29:12","6","10",".600","0","2",".000","4","4","1.000","0","4","4","2","0","1","2","2","16","11.9","-5",".680",".600","0.0","14.0","7.4","11.7","0.0","3.4","14.5","19.2","122","111"
"22","7","2018-11-28","21-066","ATL","@","CHO","L (-14)","1","31:14","3","10",".300","0","3",".000","3","3","1.000","2","8","10","4","1","0","3","2","9","7.0","-6",".398",".300","5.6","28.6","15.7","22.4","1.5","0.0","20.9","18.1","84","106"
"23","8","2018-11-30","21-068","ATL","@","OKC","L (-15)","1","32:47","9","15",".600","0","3",".000","1","1","1.000","4","7","11","1","0","1","1","0","19","17.4","-8",".615",".600","11.1","29.3","18.3","4.9","0.0","3.1","6.1","19.1","125","120"
"24","9","2018-12-03","21-071","ATL","","GSW","L (-17)","1","29:45","11","14",".786","0","1",".000","2","3",".667","3","8","11","2","0","1","2","2","24","22.0","-6",".783",".786","11.5","40.3","24.0","12.3","0.0","2.8","11.5","23.6","140","123"
"25","10","2018-12-05","21-073","ATL","","WAS","L (-14)","1","31:50","12","17",".706","2","4",".500","0","1",".000","3","11","14","0","0","0","2","5","26","19.9","-8",".745",".765","10.1","35.3","22.9","0.0","0.0","0.0","10.3","23.9","125","120"
