"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"5","1","2018-10-27","22-215","MIA","","POR","W (+9)","0","19:12","3","8",".375","1","2",".500","3","5",".600","0","5","5","1","3","1","0","3","10","9.5","+1",".490",".438","0.0","26.0","12.8","6.8","7.5","4.5","0.0","21.3","115","94"
"6","2","2018-10-29","22-217","MIA","","SAC","L (-10)","0","23:53","3","9",".333","0","2",".000","3","5",".600","4","1","5","2","0","0","1","1","9","6.2","-4",".402",".333","16.1","4.2","10.3","12.6","0.0","0.0","8.2","19.6","101","122"
"7","3","2018-10-30","22-218","MIA","@","CHO","L (-12)","0","29:47","2","7",".286","0","1",".000","1","1","1.000","0","3","3","5","2","1","2","3","5","4.8","-6",".336",".286","0.0","15.1","6.6","21.3","3.3","3.0","21.2","13.5","81","124"
"8","4","2018-11-03","22-222","MIA","@","ATL","L (-5)","1","36:46","5","11",".455","2","4",".500","3","4",".750","6","4","10","8","2","2","5","3","15","17.1","-10",".588",".545","18.7","14.5","16.7","30.3","2.6","4.7","28.2","20.4","117","117"
"9","5","2018-11-05","22-224","MIA","@","DET","W (+5)","1","34:31","3","10",".300","1","2",".500","2","4",".500","0","6","6","5","3","0","1","4","9","8.1","0",".383",".350","0.0","14.9","8.4","19.5","4.0","0.0","7.8","15.2","90","96"
"10","6","2018-11-07","22-226","MIA","","SAS","W (+7)","1","30:50","7","17",".412","1","6",".167","1","1","1.000","0","5","5","3","0","0","4","3","16","5.3","-2",".459",".441","0.0","13.4","7.1","18.6","0.0","0.0","18.7","29.3","81","99"
"11","7","2018-11-09","22-228","MIA","","IND","L (-8)","1","27:47","4","13",".308","1","2",".500","2","3",".667","0","2","2","5","1","0","3","3","11","4.0","-18",".384",".346","0.0","9.9","4.5","29.7","1.7","0.0","17.3","26.0","80","109"
"12","8","2018-11-10","22-229","MIA","","WAS","L (-6)","1","32:00","4","12",".333","0","5",".000","0","0","","2","0","2","6","0","0","1","2","8","5.0","-10",".333",".333","6.5","0.0","3.5","27.3","0.0","0.0","7.7","16.5","97","127"
"13","9","2018-11-12","22-231","MIA","","PHI","L (-10)","1","20:52","2","5",".400","1","1","1.000","0","0","","0","3","3","3","0","0","0","2","5","4.5","-18",".500",".500","0.0","16.4","8.4","21.3","0.0","0.0","0.0","10.8","126","132"
"14","10","2018-11-14","22-233","MIA","@","BRK","W (+13)","1","33:59","2","8",".250","0","1",".000","2","2","1.000","1","10","11","3","0","0","4","2","6","2.2","+19",".338",".250","3.9","24.8","16.7","9.8","0.0","0.0","31.1","15.9","65","99"
"15","11","2018-11-16","22-235","MIA","@","IND","L (-8)","1","22:41","2","8",".250","1","5",".200","0","0","","0","6","6","6","1","0","2","2","5","4.4","+4",".313",".313","0.0","30.2","13.0","41.3","2.1","0.0","20.0","18.7","78","99"
"16","12","2018-11-18","22-237","MIA","","LAL","L (-16)","1","24:37","1","5",".200","1","3",".333","3","4",".750","2","4","6","2","0","0","1","0","6","5.5","-23",".444",".300","8.1","15.6","11.9","11.8","0.0","0.0","12.9","14.1","105","121"
"17","13","2018-11-20","22-239","MIA","","BRK","L (-12)","0","16:55","4","7",".571","2","3",".667","0","0","","1","1","2","1","0","0","1","3","10","6.2","+11",".714",".714","4.9","6.0","5.4","11.5","0.0","0.0","12.5","18.5","128","114"
"18","14","2018-11-23","22-242","MIA","@","CHI","W (+7)","0","28:47","2","6",".333","1","3",".333","5","8",".625","0","10","10","1","1","1","3","2","10","7.0","+25",".525",".417","0.0","34.0","16.8","5.0","1.6","2.5","24.0","18.2","84","88"
"19","15","2018-11-25","22-244","MIA","@","TOR","L (-10)","0","30:28","3","10",".300","1","2",".500","2","2","1.000","2","2","4","3","1","0","0","3","9","7.1","+15",".414",".350","5.9","7.9","6.8","13.8","1.6","0.0","0.0","14.8","116","132"
"20","16","2018-11-27","22-246","MIA","","ATL","L (-2)","0","25:33","5","9",".556","1","2",".500","0","0","","0","3","3","3","1","0","6","5","11","2.7","+4",".611",".611","0.0","13.4","6.3","18.4","1.8","0.0","40.0","23.4","76","113"
"21","17","2018-11-30","22-249","MIA","","NOP","W (+5)","0","23:40","3","11",".273","1","3",".333","3","4",".750","0","3","3","1","0","0","1","2","10","2.9","+9",".392",".318","0.0","13.8","6.6","6.0","0.0","0.0","7.3","24.6","84","110"
"22","18","2018-12-02","22-251","MIA","","UTA","W (+2)","0","32:05","4","9",".444","1","2",".500","0","0","","0","5","5","1","2","1","4","3","9","4.0","+14",".500",".500","0.0","16.3","7.5","5.0","3.1","2.7","30.8","17.0","69","100"
"23","19","2018-12-04","22-253","MIA","","ORL","L (-15)","0","31:30","6","13",".462","2","4",".500","0","0","","3","2","5","2","0","2","0","1","14","12.4","-9",".538",".538","9.5","7.3","8.5","10.6","0.0","5.3","0.0","18.3","131","122"
"24","20","2018-12-07","22-256","MIA","@","PHO","W (+17)","0","31:25","7","8",".875","4","4","1.000","2","3",".667","1","7","8","6","1","1","4","2","20","20.7","+8","1.073","1.125","3.5","28.1","14.9","29.3","1.5","3.4","30.0","19.2","139","97"
"25","21","2018-12-08","22-257","MIA","@","LAC","W (+23)","1","39:21","7","16",".438","1","7",".143","6","8",".750","0","6","6","9","2","0","1","4","21","19.3","+28",".538",".469","0.0","13.1","6.9","34.9","2.4","0.0","4.9","20.8","126","96"
"26","22","2018-12-10","22-259","MIA","@","LAL","L (-3)","0","37:36","11","20",".550","6","10",".600","0","0","","2","5","7","2","1","0","2","3","28","20.5","+5",".700",".700","5.3","13.3","9.3","9.1","1.3","0.0","9.1","24.1","126","114"
"27","23","2018-12-12","22-261","MIA","@","UTA","L (-27)","0","28:57","4","12",".333","1","3",".333","0","2",".000","0","4","4","2","1","0","3","2","9","1.2","-18",".349",".375","0.0","18.9","8.1","14.8","1.7","0.0","18.9","26.2","59","118"
"28","24","2018-12-14","22-263","MIA","@","MEM","W (+3)","1","24:18","1","8",".125","1","5",".200","1","2",".500","1","3","4","3","0","0","3","2","4","-1.7","-7",".225",".188","5.2","12.9","9.4","17.4","0.0","0.0","25.3","22.2","60","115"
"29","25","2018-12-16","22-265","MIA","@","NOP","W (+6)","1","14:45","1","4",".250","0","2",".000","0","0","","1","1","2","3","0","0","1","1","2","1.3","+1",".250",".250","6.6","7.1","6.9","28.1","0.0","0.0","20.0","13.7","85","113"
"31","26","2018-12-22","22-271","MIA","","MIL","W (+7)","1","27:33","3","8",".375","2","6",".333","0","0","","1","5","6","5","2","0","4","1","8","6.9","+17",".500",".500","3.3","16.8","10.0","30.3","3.5","0.0","33.3","18.8","81","85"
