"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","27-110","TOR","","CLE","W (+12)","1","37:15","9","22",".409","1","3",".333","5","6",".833","1","11","12","2","0","0","2","3","24","14.0","+13",".487",".432","3.0","28.9","16.8","7.7","0.0","0.0","7.5","31.3","99","102"
"2","2","2018-10-19","27-112","TOR","","BOS","W (+12)","1","35:52","10","25",".400","2","5",".400","9","9","1.000","2","8","10","3","1","0","3","1","31","21.0","+17",".535",".440","5.9","20.2","13.7","13.6","1.4","0.0","9.4","38.1","111","100"
"4","3","2018-10-22","27-115","TOR","","CHO","W (+21)","1","31:04","9","14",".643","4","7",".571","0","0","","0","4","4","3","2","0","1","2","22","19.3","+27",".786",".786","0.0","11.2","7.1","12.8","3.1","0.0","6.7","21.8","138","106"
"5","4","2018-10-24","27-117","TOR","","MIN","W (+7)","1","35:24","15","23",".652","2","4",".500","3","4",".750","1","4","5","2","2","2","3","2","35","27.4","+2",".707",".696","3.5","11.1","7.7","10.6","2.8","4.1","10.8","34.1","127","106"
"6","5","2018-10-26","27-119","TOR","","DAL","W (+9)","1","34:38","7","16",".438","1","3",".333","6","6","1.000","1","8","9","5","3","1","0","0","21","22.9","+5",".563",".469","3.0","23.1","13.3","20.2","4.1","2.2","0.0","23.1","134","99"
"8","6","2018-10-30","27-123","TOR","","PHI","W (+17)","1","33:50","10","19",".526","2","5",".400","9","10",".900","1","6","7","4","4","0","0","4","31","29.0","+11",".662",".579","3.6","16.7","11.0","17.3","5.3","0.0","0.0","27.8","145","97"
"9","7","2018-11-02","27-126","TOR","@","PHO","W (+9)","1","29:41","7","14",".500","1","2",".500","4","6",".667","2","4","6","5","2","1","2","0","19","18.0","+4",".571",".536","7.5","14.4","11.0","27.2","3.3","2.5","10.7","29.2","115","100"
"12","8","2018-11-07","27-131","TOR","@","SAC","W (+9)","1","31:23","7","17",".412","2","5",".400","9","9","1.000","2","9","11","2","0","0","5","0","25","16.4","0",".596",".471","8.0","29.9","20.0","10.1","0.0","0.0","19.3","33.3","112","106"
"13","9","2018-11-10","27-134","TOR","","NYK","W (+16)","1","23:15","2","7",".286","0","2",".000","8","10",".800","2","5","7","3","1","0","3","0","12","10.1","+8",".526",".286","9.6","20.6","15.5","16.4","2.1","0.0","20.8","26.6","108","109"
"14","10","2018-11-12","27-136","TOR","","NOP","L (-16)","1","33:47","7","20",".350","1","6",".167","5","5","1.000","2","4","6","2","1","1","1","2","20","12.7","-15",".450",".375","5.4","12.9","8.8","9.8","1.4","2.0","4.3","28.3","100","125"
"15","11","2018-11-14","27-138","TOR","","DET","L (-2)","1","34:44","10","18",".556","0","2",".000","6","8",".750","0","9","9","4","3","0","6","2","26","18.3","+1",".604",".556","0.0","28.3","14.1","17.7","3.9","0.0","21.8","31.8","100","95"
"16","12","2018-11-16","27-140","TOR","@","BOS","L (-7)","1","42:32","11","25",".440","0","3",".000","9","11",".818","2","13","15","4","3","0","2","0","31","26.2","+4",".519",".440","5.2","39.5","21.0","17.6","3.5","0.0","6.3","32.3","110","109"
"18","13","2018-11-20","27-144","TOR","@","ORL","W (+2)","1","30:16","8","16",".500","1","3",".333","1","3",".333","1","5","6","2","1","0","2","3","18","10.6","-3",".520",".531","3.6","16.5","10.3","12.1","1.6","0.0","10.4","28.8","94","96"
"20","14","2018-11-23","27-147","TOR","","WAS","W (+18)","1","30:19","12","22",".545","1","4",".250","2","3",".667","2","8","10","2","2","0","1","0","27","22.2","+14",".579",".568","7.4","24.8","16.8","11.7","3.1","0.0","4.1","33.1","120","99"
"21","15","2018-11-25","27-149","TOR","","MIA","W (+10)","1","36:23","8","20",".400","3","8",".375","10","12",".833","0","10","10","2","1","2","1","2","29","22.4","+23",".574",".475","0.0","24.9","14.2","7.2","1.4","4.5","3.8","31.5","123","112"
"22","16","2018-11-27","27-151","TOR","@","MEM","W (+8)","1","36:43","5","11",".455","1","4",".250","6","9",".667","0","10","10","5","2","1","1","2","17","17.5","+12",".568",".500","0.0","34.4","19.8","18.4","2.8","2.3","6.3","21.7","125","114"
"23","17","2018-11-29","27-153","TOR","","GSW","W (+3)","1","44:06","14","24",".583","3","6",".500","6","6","1.000","2","6","8","3","1","1","1","4","37","30.2","+3",".694",".646","6.7","15.3","11.6","11.9","1.1","1.6","3.6","29.0","142","121"
"24","18","2018-12-01","27-155","TOR","@","CLE","W (+11)","1","36:50","11","21",".524","3","9",".333","9","9","1.000","1","8","9","2","1","2","1","2","34","28.8","+28",".681",".595","3.3","22.2","13.6","10.6","1.4","3.9","3.9","33.5","137","96"
"25","19","2018-12-03","27-157","TOR","","DEN","L (-3)","1","34:33","10","19",".526","1","7",".143","6","6","1.000","2","6","8","2","0","0","3","2","27","18.5","-13",".624",".553","6.8","17.0","12.3","10.6","0.0","0.0","12.2","31.3","113","109"
"26","20","2018-12-05","27-159","TOR","","PHI","W (+11)","1","35:07","13","24",".542","5","6",".833","5","6",".833","1","8","9","1","5","1","2","0","36","31.5","+4",".676",".646","2.5","23.3","12.1","5.4","6.7","2.6","7.0","32.4","129","87"
"27","21","2018-12-07","27-161","TOR","@","BRK","L (-1)","1","37:39","10","21",".476","5","6",".833","7","8",".875","0","3","3","4","4","1","3","3","32","25.1","0",".653",".595","0.0","8.3","4.2","26.9","5.3","2.2","10.9","33.2","113","94"
"28","22","2018-12-09","27-163","TOR","","MIL","L (-5)","1","37:29","8","18",".444","1","5",".200","3","3","1.000","3","5","8","4","2","2","1","0","20","19.4","+10",".518",".472","8.2","14.9","11.4","17.8","2.7","5.3","4.9","24.1","116","107"
"31","23","2018-12-14","27-168","TOR","@","POR","L (-6)","1","37:54","8","17",".471","4","7",".571","8","10",".800","1","5","6","4","1","0","3","5","28","19.5","-1",".654",".588","4.0","14.7","10.1","15.4","1.3","0.0","12.3","29.9","127","133"
"32","24","2018-12-16","27-170","TOR","@","DEN","L (-9)","1","38:23","12","21",".571","1","6",".167","4","4","1.000","2","12","14","4","0","0","4","1","29","22.5","+3",".637",".595","5.3","31.3","18.4","25.0","0.0","0.0","14.9","31.8","118","106"
"33","25","2018-12-19","27-173","TOR","","IND","W (+3)","1","38:46","11","23",".478","0","3",".000","6","9",".667","0","10","10","6","4","0","2","3","28","23.1","+7",".519",".478","0.0","30.2","13.5","30.5","5.1","0.0","6.9","32.2","107","94"
"34","26","2018-12-21","27-175","TOR","","CLE","W (+16)","1","32:17","12","16",".750","2","4",".500","11","12",".917","2","4","6","1","1","0","1","1","37","33.1","+11",".869",".813","7.1","14.2","10.6","4.9","1.6","0.0","4.5","30.0","175","120"
"36","27","2018-12-26","27-180","TOR","@","MIA","W (+2)","1","35:12","9","20",".450","2","5",".400","10","11",".909","3","5","8","2","2","0","2","0","30","24.2","-1",".604",".500","10.5","17.5","14.0","11.0","2.9","0.0","7.5","34.8","126","110"
"37","28","2018-12-28","27-182","TOR","@","ORL","L (-29)","1","29:26","7","19",".368","2","5",".400","5","5","1.000","2","4","6","1","0","1","1","0","21","13.5","-27",".495",".421","5.2","17.2","9.7","9.8","0.0","2.4","4.5","31.1","102","117"
"38","29","2018-12-30","27-184","TOR","","CHI","W (+6)","1","34:23","8","22",".364","1","6",".167","10","11",".909","1","8","9","0","0","0","2","0","27","15.5","+1",".503",".386","2.6","26.6","13.1","0.0","0.0","0.0","6.9","36.0","106","98"
"39","30","2019-01-01","27-186","TOR","","UTA","W (+6)","1","35:26","16","22",".727","0","3",".000","13","17",".765","0","6","6","1","0","0","2","2","45","34.1","+8",".763",".727","0.0","15.6","9.2","5.8","0.0","0.0","6.4","40.1","144","120"
"40","31","2019-01-03","27-188","TOR","@","SAS","L (-18)","1","32:47","8","13",".615","0","2",".000","5","7",".714","0","1","1","5","2","0","3","2","21","16.3","-21",".653",".615","0.0","3.9","1.8","26.8","3.0","0.0","15.7","25.5","116","130"
"41","32","2019-01-05","27-190","TOR","@","MIL","W (+7)","1","38:01","8","16",".500","2","3",".667","12","15",".800","0","7","7","6","5","0","2","1","30","29.7","+21",".664",".563","0.0","23.3","11.6","23.7","6.2","0.0","8.1","29.1","131","106"
"43","33","2019-01-08","27-193","TOR","","ATL","W (+3)","1","34:57","11","18",".611","3","6",".500","6","7",".857","1","3","4","6","6","1","1","2","31","33.1","+12",".735",".694","3.2","9.0","6.2","37.6","7.9","2.3","4.5","27.6","144","89"
"44","34","2019-01-11","27-196","TOR","","BRK","W (+17)","1","26:46","9","18",".500","2","5",".400","0","1",".000","4","7","11","4","1","0","2","1","20","16.9","+24",".542",".556","12.4","24.6","18.1","22.5","1.7","0.0","9.8","29.4","109","97"
"45","35","2019-01-13","27-198","TOR","@","WAS","W (+2)","1","44:59","15","29",".517","3","6",".500","8","9",".889","6","5","11","5","3","2","3","3","41","35.7","-1",".622",".569","15.2","10.9","12.9","21.7","3.2","3.5","8.3","32.9","133","112"
