"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"1","1","2018-10-17","22-285","TOR","","CLE","W (+12)","0","0:25","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","113"
"4","2","2018-10-22","22-290","TOR","","CHO","W (+21)","0","3:53","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","1","3","1.6","0",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.3","128","117"
"6","3","2018-10-26","22-294","TOR","","DAL","W (+9)","0","8:01","0","1",".000","0","1",".000","1","2",".500","1","0","1","0","0","0","0","1","1","0.2","+2",".266",".000","13.0","0.0","6.4","0.0","0.0","0.0","0.0","10.1","92","116"
"7","4","2018-10-29","22-297","TOR","@","MIL","L (-15)","0","13:10","1","6",".167","1","6",".167","0","0","","0","3","3","0","0","0","1","2","3","-1.7","+4",".250",".250","0.0","24.9","10.1","0.0","0.0","0.0","14.3","20.4","45","120"
"8","5","2018-10-30","22-298","TOR","","PHI","W (+17)","0","3:43","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-4","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","117"
"11","6","2018-11-05","22-304","TOR","@","UTA","W (+13)","0","4:13","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-9",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.7","0","121"
"12","7","2018-11-07","22-306","TOR","@","SAC","W (+9)","0","1:22","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","110"
"14","8","2018-11-12","22-311","TOR","","NOP","L (-16)","0","1:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","133"
"15","9","2018-11-14","22-313","TOR","","DET","L (-2)","0","8:39","0","2",".000","0","1",".000","0","0","","0","2","2","0","0","0","1","2","0","-2.6","-1",".000",".000","0.0","25.2","12.6","0.0","0.0","0.0","33.3","13.9","0","104"
"17","10","2018-11-17","22-316","TOR","@","CHI","W (+39)","0","18:50","3","4",".750","2","3",".667","1","1","1.000","0","3","3","0","1","0","5","2","9","3.5","+9","1.014","1.000","0.0","14.4","8.7","0.0","2.4","0.0","53.0","20.4","72","81"
"19","11","2018-11-21","22-320","TOR","@","ATL","W (+16)","0","3:03","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-2",".000",".000","0.0","31.5","17.7","0.0","0.0","0.0","0.0","13.4","0","108"
"20","12","2018-11-23","22-322","TOR","","WAS","W (+18)","0","1:14","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-4",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33.4","0","116"
"29","13","2018-12-11","22-340","TOR","@","LAC","W (+24)","0","4:21","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","1","0","3","1.7","0","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","50.0","20.4","74","114"
"30","14","2018-12-12","22-341","TOR","@","GSW","W (+20)","0","4:01","1","3",".333","1","3",".333","0","0","","0","1","1","0","0","0","0","1","3","1.2","-1",".500",".500","0.0","27.8","13.6","0.0","0.0","0.0","0.0","32.5","98","97"
"32","15","2018-12-16","22-345","TOR","@","DEN","L (-9)","0","3:39","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","+5","","","0.0","27.4","13.8","0.0","0.0","0.0","","0.0","0","107"
"33","16","2018-12-19","22-348","TOR","","IND","W (+3)","0","4:33","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","2","0","-2.2","+1",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","0","110"
"34","17","2018-12-21","22-350","TOR","","CLE","W (+16)","0","2:01","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+5","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","125"
"35","18","2018-12-22","22-351","TOR","@","PHI","L (-25)","0","4:14","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","-2","1.500","1.500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.6","300","122"
"37","19","2018-12-28","22-357","TOR","@","ORL","L (-29)","0","4:03","0","1",".000","0","1",".000","2","2","1.000","1","0","1","0","0","0","0","0","2","2.0","-3",".532",".000","18.8","0.0","11.7","0.0","0.0","0.0","0.0","19.1","136","123"
"44","20","2019-01-11","23-006","TOR","","BRK","W (+17)","0","2:08","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-5",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.1","0","106"
"48","21","2019-01-19","23-014","TOR","","MEM","W (+29)","0","4:50","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","2.0","-4",".750",".750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.6","133","108"
"49","22","2019-01-22","23-017","TOR","","SAC","W (+15)","0","1:29","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","110"
